Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC number,,,,,,
P,FS,L11,C,PFSL11C,PFSL11C,01/31/2013,01/31/2013,1,132,134,1,6,Construct,,,,,,,,,,
P,FS,L11,D,PFSL11D,PFSL11D,02/06/2013,02/06/2013,1,32,38,1,43,Construct,,,,,,,,,,
P,FS,L11,B,PFSL11B,PFSL11B,03/21/2013,03/22/2013,2,128,138,2,3,Construct,,,,,,,,,,
P,FS,L11,A,PFSL11A,PFSL11A,03/25/2013,03/25/2013,1,40,38,1,-52,Construct,,,,,,,,,,
P,FS,L12,C,PFSL12C,PFSL12C,02/01/2013,02/02/2013,2,320,350,2,5,Construct,,,,,,,,,,
P,FS,L12,D,PFSL12D,PFSL12D,02/07/2013,02/07/2013,1,88.02,90,1,49,Construct,,,,,,,,,,
P,FS,L12,B,PFSL12B,PFSL12B,03/28/2013,03/28/2013,1,312,320,1,5,Construct,,,,,,,,,,
P,FS,L12,A,PFSL12A,PFSL12A,04/02/2013,04/02/2013,1,88,90,1,-47,Construct,,,,,,,,,,
P,FS,L13,C,PFSL13C,PFSL13C,02/14/2013,02/15/2013,2,381,320,2,3,Construct,,,,,,,,,,
P,FS,L13,D,PFSL13D,PFSL13D,02/18/2013,02/19/2013,2,88,90,2,42,Construct,,,,,,,,,,
P,FS,L13,B,PFSL13B,PFSL13B,04/02/2013,04/02/2013,1,316,320,1,2,Construct,,,,,,,,,,
P,FS,L13,A,PFSL13A,PFSL13A,04/04/2013,04/05/2013,2,80,90,2,32,Construct,,,,,,,,,,
P,FS,L14,A,PFSL14A,PFSL14A,05/07/2013,05/08/2013,2,107,90,2,1,Construct,,,,,,,,,,
P,FS,L14,B,PFSL14B,PFSL14B,05/09/2013,05/10/2013,2,315,320,2,47,Construct,,,,,,,,,,
P,FS,L14,D,PFSL14D,PFSL14D,06/26/2013,06/26/2013,1,88,90,1,2,Construct,,,,,,,,,,
P,FS,L14,C,PFSL14C,PFSL14C,06/28/2013,06/29/2013,2,312,320,2,-31,Construct,,,,,,,,,,
P,FS,L15,B,PFSL15B,PFSL15B,05/29/2013,05/29/2013,1,248,258,1,10,Construct,,,,,,,,,,
P,FS,L15,A,PFSL15A,PFSL15A,06/08/2013,06/08/2013,1,72,73,1,30,Construct,,,,,,,,,,
P,FS,L15,D,PFSL15D,PFSL15D,07/08/2013,07/08/2013,1,72,90,1,16,Construct,,,,,,,,,,
P,FS,L15,C,PFSL15C,PFSL15C,07/24/2013,07/24/2013,1,248,258,1,40,Construct,,,,,,,,,,
P,FS,L16,B,PFSL16B,PFSL16B,09/02/2013,10/10/2013,39,316,311,2,-37,Construct,,,,,,,,,,
P,FS,L16,A,PFSL16A,PFSL16A,09/03/2013,10/09/2013,37,84,82,2,-35,Construct,Code 05,"Joining lifts ""A"" and ""A (2nd stage)"" under the name of ""A"".",Code 05a.,P-P-S-7887-0001,,,,,,
P,FS,L16,C,PFSL16C,PFSL16C,09/04/2013,10/12/2013,39,335,320,3,13,Construct,Code 05,"Joining lifts ""C"" and ""C (2nd stage)"" under the name of ""C"".",Code 05a.,P-P-S-7887-0001,,,,,,
P,FS,L16,D,PFSL16D,PFSL16D,10/25/2013,10/25/2013,1,88,90,1,-4,Construct,,,,,,,,,,
P,FS,L17,C,PFSL17C,PFSL17C,10/21/2013,10/22/2013,2,474,482,4,7,Construct,,,,,,,,,,
P,FS,L17,D,PFSL17D,PFSL17D,10/29/2013,10/29/2013,1,186,180,2,-11,Construct,,,,,,,,,,
P,FS,L18,B,PFSL18B,PFSL18B,10/18/2013,10/18/2013,1,163,185,1,3,Construct,,,,,,,,,,
P,FS,L18,A,PFSL18A,PFSL18A,10/21/2013,10/21/2013,1,111,106,1,2,Construct,,,,,,,,,,
P,FS,L18,C,PFSL18C,PFSL18C,10/23/2013,10/24/2013,2,136,126,2,1,Construct,,,,,,,,,,
P,FS,L18,D,PFSL18D,PFSL18D,10/25/2013,10/25/2013,1,77,80,1,-23,Construct,,,,,,,,,,
P,FS,L19,B,PFSL19B,PFSL19B,10/02/2013,10/02/2013,1,216,207,1,2,Construct,,,,,,,,,,
P,FS,L19,C,PFSL19C,PFSL19C,10/04/2013,10/04/2013,1,188,207,1,26,Construct,,,,,,,,,,
P,FS,L19,D,PFSL19D,PFSL19D,10/30/2013,10/30/2013,1,60,38,1,7,Construct,,,,,,,,,,
P,FS,L19,A,PFSL19A,PFSL19A,11/06/2013,11/06/2013,1,42,38,1,-97,Construct,,,,,,,,,,
P,FS,L20,D,PFSL20D,PFSL20D,08/01/2013,08/01/2013,1,136,135,1,58,Construct,,,,,,,,,,
P,FS,L20,B,PFSL20B,PFSL20B,09/28/2013,09/29/2013,2,334,320,2,3,Construct,,,,,,,,,,
P,FS,L20,C,PFSL20C,PFSL20C,10/02/2013,10/02/2013,1,272,320,1,10,Construct,,,,,,,,,,
P,FS,L20,A,PFSL20A,PFSL20A,10/12/2013,10/12/2013,1,80,90,1,-176,Construct,,,,,,,,,,
P,FS,L21,A,PFSL21A,PFSL21A,04/19/2013,04/19/2013,1,128,135,1,88,Construct,,,,,,,,,,
P,FS,L21,D,PFSL21D,PFSL21D,07/16/2013,07/17/2013,2,136,135,2,57,Construct,,,,,,,,,,
P,FS,L21,B,PFSL21B,PFSL21B,09/12/2013,09/13/2013,2,264,274,2,17,Construct,,,,,,,,,,
P,FS,L21,C,PFSL21C,PFSL21C,09/30/2013,10/01/2013,2,264,320,2,-75,Construct,,,,,,,,,,
P,FS,L22,D,PFSL22D,PFSL22D,07/18/2013,07/19/2013,2,144,135,2,29,Construct,,,,,,,,,,
P,FS,L22,C,PFSL22C,PFSL22C,08/17/2013,08/18/2013,2,289,320,2,2,Construct,,,,,,,,,,
P,FS,L22,A,PFSL22A,PFSL22A,08/20/2013,08/20/2013,1,140,135,1,21,Construct,,,,,,,,,,
P,FS,L22,B,PFSL22B,PFSL22B,09/10/2013,09/11/2013,2,268,274,2,-47,Construct,,,,,,,,,,
P,FS,L23,D,PFSL23D,PFSL23D,07/26/2013,07/26/2013,1,160,130,1,26,Construct,,,,,,,,,,
P,FS,L23,C,PFSL23C,PFSL23C,08/21/2013,08/21/2013,1,312,368,1,30,Construct,,,,,,,,,,
P,FS,L23,B,PFSL23B,PFSL23B,09/20/2013,09/20/2013,1,356,368,1,25,Construct,,,,,,,,,,
P,FS,L23,A,PFSL23A,PFSL23A,10/15/2013,10/15/2013,1,108,104,1,,Construct,,,,,,,,,,
