Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Drawing
A,CC2,G,2,ACC2G02,ACC2G02,07/10/2012,07/11/2012,2,72,61,2,-20,Construct,,,,
A,CC2,H,5,ACC2H05,ACC2H05,06/21/2012,07/03/2012,13,104,93,2,6,Construct,,,,
A,CC2,H,4,ACC2H04,ACC2H04,07/09/2012,07/12/2012,4,80,53,3,6,Construct,,,,
A,CC2,H,3,ACC2H03,ACC2H03,07/18/2012,07/18/2012,1,64,61,1,5,Construct,,,,
A,CC2,H,2,ACC2H02,ACC2H02,07/23/2012,07/25/2012,3,70,61,2,-342,Construct,,,,
A,CC2,I,5,ACC2I05,ACC2I05,08/18/2011,08/18/2011,1,232,190,1,18,Construct,,,,
A,CC2,I,04a,ACC2I04a,ACC2I04a,09/05/2011,09/05/2011,1,38,33,1,22,Construct,,,,
A,CC2,I,03a,ACC2I03a,ACC2I03a,09/27/2011,09/27/2011,1,34,28,1,150,Construct,,,,
A,CC2,I,04c,ACC2I04c,ACC2I04c,02/24/2012,02/24/2012,1,60,54,1,6,Construct,,,,
A,CC2,I,03c,ACC2I03c,ACC2I03c,03/01/2012,03/01/2012,1,64,46,1,58,Construct,,,,
A,CC2,I,2,ACC2I02,ACC2I02,04/28/2012,04/28/2012,1,178,230,1,6,Construct,,,,
A,CC2,I,1,ACC2I01,ACC2I01,05/04/2012,05/04/2012,1,252,176,1,-205,Construct,,,,
A,CC2,J,5,ACC2J05,ACC2J05,10/12/2011,11/23/2011,43,552,540,2,131,Construct,,,,
A,CC2,J,4,ACC2J04,ACC2J04,04/02/2012,05/24/2012,53,555,496,3,-38,Construct,,,,
A,CC2,J,3,ACC2J03,ACC2J03,04/16/2012,06/01/2012,47,586,492,2,25,Construct,,,,
A,CC2,J,2,ACC2J02,ACC2J02,06/26/2012,06/27/2012,2,619,514,2,-313,Construct,,,,
A,CC2,K,5,ACC2K05,ACC2K05,08/19/2011,08/22/2011,4,120,93,2,8,Construct,Code 02.,"Joining ""05a"" ""05b"" with ""05"". All quantities are assigned to ""05""",Code 02a.,A-P-S-5338-0001
A,CC2,K,4,ACC2K04,ACC2K04,08/30/2011,08/30/2011,1,64,53,1,11,Construct,,,,
A,CC2,K,3,ACC2K03,ACC2K03,09/10/2011,09/10/2011,1,75,61,1,13,Construct,,,,
A,CC2,K,2,ACC2K02,ACC2K02,09/23/2011,09/23/2011,1,74,61,1,-35,Construct,,,,
A,CC2,L,5,ACC2L05,ACC2L05,08/19/2011,08/22/2011,4,102,93,2,9,Construct,Code 02.,"Joining ""05a"" ""05b"" with ""05"". All quantities are assigned to ""05""",Code 02a.,A-P-S-5338-0001
A,CC2,L,4,ACC2L04,ACC2L04,08/31/2011,08/31/2011,1,72,53,1,12,Construct,,,,
A,CC2,L,3,ACC2L03,ACC2L03,09/12/2011,09/12/2011,1,80,61,1,11,Construct,,,,
A,CC2,L,2,ACC2L02,ACC2L02,09/23/2011,09/23/2011,1,78,61,1,,Construct,,,,
