Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,TRF4,NW,11,PTRF4NW11,PTRF4NW11,07/05/2013,07/05/2013,1,65,50,1,24,Construct,.,,,
P,TRF4,NW,10,PTRF4NW10,PTRF4NW10,07/29/2013,07/29/2013,1,88,60,1,35,Construct,,,,
P,TRF4,NW,09,PTRF4NW09,PTRF4NW09,09/02/2013,09/02/2013,1,81,45,1,26,Construct,,,,
P,TRF4,NW,08,PTRF4NW08,PTRF4NW08,09/28/2013,09/28/2013,1,122,45,1,17,Construct,,,,
P,TRF4,NW,07,PTRF4NW07,PTRF4NW07,10/15/2013,10/15/2013,1,97,45,1,148,Construct,,,,
P,TRF4,NW,06,PTRF4NW06,PTRF4NW06,03/12/2014,03/12/2014,1,40,45,1,20,Construct,,,,
P,TRF4,NW,05,PTRF4NW05,PTRF4NW05,04/01/2014,04/01/2014,1,40,45,1,38,Construct,,,,
P,TRF4,NW,04,PTRF4NW04,PTRF4NW04,05/09/2014,05/09/2014,1,39,40,1,18,Construct,,,,
P,TRF4,NW,03,PTRF4NW03,PTRF4NW03,05/27/2014,05/27/2014,1,48,50,1,7,Construct,,,,
P,TRF4,NW,02,PTRF4NW02,PTRF4NW02,06/03/2014,06/03/2014,1,42,40,1,8,Construct,,,,
P,TRF4,NW,01,PTRF4NW01,PTRF4NW01,06/11/2014,06/11/2014,1,30,25,1,-280,Construct,,,,
P,TRF4,P3,09,PTRF4P309,PTRF4P309,09/04/2013,09/04/2013,1,6,5,1,28,Construct,,,,
P,TRF4,P3,08,PTRF4P308,PTRF4P308,10/02/2013,10/02/2013,1,12,10,1,29,Construct,,,,
P,TRF4,P3,07,PTRF4P307,PTRF4P307,10/31/2013,10/31/2013,1,21.75,20,1,48,Construct,,,,
P,TRF4,P3,06,PTRF4P306,PTRF4P306,12/18/2013,12/18/2013,1,25,25,1,84,Construct,,,,
P,TRF4,P3,05,PTRF4P305,PTRF4P305,03/12/2014,03/12/2014,1,33,30,1,0,Construct,,,,
P,TRF4,P4,03,PTRF4P403,PTRF4P403,03/12/2014,03/12/2014,1,25,25,1,0,Construct,,,,
P,TRF4,P5,04,PTRF4P504,PTRF4P504,03/12/2014,03/12/2014,1,8,10,1,8,Construct,,,,
P,TRF4,P5,03,PTRF4P503,PTRF4P503,03/20/2014,03/20/2014,1,32,35,1,8,Construct,,,,
P,TRF4,P3,04,PTRF4P304,PTRF4P304,03/28/2014,03/28/2014,1,33,35,1,4,Construct,,,,
P,TRF4,P2,03,PTRF4P203,PTRF4P203,04/01/2014,04/01/2014,1,16,20,1,11,Construct,,,,
P,TRF4,P4,02,PTRF4P402,PTRF4P402,04/12/2014,04/12/2014,1,41,50,1,0,Construct,Code 03.,"Lift ""02/01"" will be separated into ""02"" and ""01"".  All quantities will be assigned to ""02"".",Code 03a.,P-P-S-6131-0003
P,TRF4,P4,01,PTRF4P401,PTRF4P401,04/12/2014,04/12/2014,1,0,0,0,10,Construct,Code 03.,"Lift ""02/01"" will be separated into ""02"" and ""01"".  All quantities will be assigned to ""02"".",Code 03a.,P-P-S-6131-0003
P,TRF4,P1,04,PTRF4P104,PTRF4P104,04/22/2014,04/22/2014,1,8,10,1,23,Construct,,,,
P,TRF4,P3,03,PTRF4P303,PTRF4P303,05/15/2014,05/15/2014,1,55,55,1,12,Construct,,,,
P,TRF4,P1,03,PTRF4P103,PTRF4P103,05/27/2014,05/27/2014,1,0,0,0,0,Construct,,,,
P,TRF4,P5,02,PTRF4P502,PTRF4P502,05/27/2014,05/27/2014,1,56,75,1,0,Construct,Code 03.,"Lift ""02/01"" will be separated into ""02"" and ""01"".  All quantities will be assigned to ""02"".",Code 03a.,P-P-S-6131-0003
P,TRF4,P5,01,PTRF4P501,PTRF4P501,05/27/2014,05/27/2014,1,0,0,0,4,Construct,Code 03.,"Lift ""02/01"" will be separated into ""02"" and ""01"".  All quantities will be assigned to ""02"".",Code 03a.,P-P-S-6131-0003
P,TRF4,P2,02,PTRF4P202,PTRF4P202,05/31/2014,05/31/2014,1,46,50,1,0,Construct,Code 03.,"Lift ""02/01"" will be separated into ""02"" and ""01"".  All quantities will be assigned to ""02"".",Code 03a.,P-P-S-6131-0002
P,TRF4,P2,01,PTRF4P201,PTRF4P201,05/31/2014,05/31/2014,1,0,0,0,10,Construct,Code 03.,"Lift ""02/01"" will be separated into ""02"" and ""01"".  All quantities will be assigned to ""02"".",Code 03a.,P-P-S-6131-0002
P,TRF4,P3,02,PTRF4P302,PTRF4P302,06/10/2014,06/11/2014,2,76,75,2,-1,Construct,Code 03.,"Lift ""02/01"" will be separated into ""02"" and ""01"".  All quantities will be assigned to ""02"".",Code 03a.,P-P-S-6131-0002
P,TRF4,P3,01,PTRF4P301,PTRF4P301,06/10/2014,06/11/2014,2,0,0,0,0,Construct,Code 03.,"Lift ""02/01"" will be separated into ""02"" and ""01"".  All quantities will be assigned to ""02"".",Code 03a.,P-P-S-6131-0002
P,TRF4,P1,02,PTRF4P102,PTRF4P102,06/11/2014,06/11/2014,1,65,70,1,0,Construct,Code 03.,"Lift ""02/01"" will be separated into ""02"" and ""01"".  All quantities will be assigned to ""02"".",Code 03a.,P-P-S-6131-0002
