Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in Days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC
P,IW,M02,W04 a,PIWM02W04a,PIWM02W04a,10/30/2014,10/30/2014,1,317,235,1,19,Construct,,,,
P,IW,M02,W03 a,PIWM02W03a,PIWM02W03a,11/18/2014,11/19/2014,2,250,263,2,9,Construct,,,,
P,IW,M02,W02 a,PIWM02W02a,PIWM02W02a,11/28/2014,11/28/2014,1,246,234,1,0,Construct,,,,
P,IW,M02,W05 c,PIWM02W05c,PIWM02W05c,11/28/2014,11/28/2014,1,5,2,1,16,Construct,,,,
P,IW,M02,W04 b,PIWM02W04b,PIWM02W04b,12/14/2014,12/14/2014,1,0,0,0,1,Construct,Code 01.,"A new row was created under the name of ""W04b"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-4207-0002
P,IW,M02,W04 c,PIWM02W04c,PIWM02W04c,12/15/2014,12/15/2014,1,4,2,1,3,Construct,,,,
P,IW,M02,W03 c,PIWM02W03c,PIWM02W03c,12/18/2014,12/18/2014,1,0,0,0,-1,Construct,Code 01.,"A new row was created under the name of ""W03c"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-4207-0002
P,IW,M02,W03 b,PIWM02W03b,PIWM02W03b,12/17/2014,12/17/2014,1,9,2,1,-18,Construct,Code 05.,"Lift ""W03 B"" will be renamed as ""W03b"".",Code 05a.,P-P-S-4207-0002
P,IW,M02,W02 b,PIWM02W02b,PIWM02W02b,11/29/2014,11/29/2014,1,0,0,0,24,Construct,Code 01.,"A new row was created under the name of ""W02b"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-4207-0002
P,IW,M02,W02 c,PIWM02W02c,PIWM02W02c,12/23/2014,12/29/2014,7,16,16,2,31,Construct,Code 05.,"Lift ""W02 C"" will be renamed as ""W02c"".",Code 05a.,P-P-S-4207-0002
P,IW,M02,W01,PIWM02W01,PIWM02W01,01/29/2015,01/29/2015,1,239,255,1,183,Construct,,,,
P,IW,M02,,PIWM02,PIWM02,07/31/2015,07/31/2015,1,4,4,1,-885,Construct,Code 06.,This lift did not  have a name in the Summary Design of Lits and Pours.   ,Code 06a.,P-P-S-4207-0002
P,IW,M03,F05,PIWM03F05,PIWM03F05,02/26/2013,02/27/2013,2,1402,1500,2,1,Construct,Code 06.,"Lift ""F05"" does not exist in the RFC.",Code 06a.,P-P-S-4210-0002
P,IW,M03,F04,PIWM03F04,PIWM03F04,02/28/2013,03/02/2013,3,2593,2593,3,33,Construct,Code 06.,"Lift ""F04"" does not exist in the RFC.",Code 06a.,P-P-S-4210-0002
P,IW,M03,F03,PIWM03F03,PIWM03F03,04/04/2013,04/06/2013,3,2668,2668,9,46,Construct,Code 06.,"Lift ""F03"" does not exist in the RFC.",Code 06a.,P-P-S-4210-0002
P,IW,M03,F02,PIWM03F02,PIWM03F02,05/22/2013,05/24/2013,3,2106,2038,3,5,Construct,,,,
P,IW,M03,F01,PIWM03F01,PIWM03F01,05/29/2013,05/30/2013,2,1065,1027,2,156,Construct,,,,
P,IW,M03,P03-3,PIWM03P3-03,PIWM03P3-03,11/02/2013,11/02/2013,1,122,125,1,12,Construct,,,,
P,IW,M03,C06,PIWM03C06,PIWM03C06,11/14/2013,11/15/2013,2,273,262,2,19,Construct,,,,
P,IW,M03,P02-02,PIWM03P2-02,PIWM03P2-02,12/04/2013,12/04/2013,1,217,199,1,2,Construct,,,,
P,IW,M03,P01-2,PIWM03P1-02,PIWM03P1-02,12/06/2013,12/06/2013,1,28,26,1,40,Construct,,,,
P,IW,M03,P03-02,PIWM03P3-02,PIWM03P3-02,01/15/2014,01/15/2014,1,89,81,1,6,Construct,,,,
P,IW,M03,P02-1,PIWM03P2-01,PIWM03P2-01,01/21/2014,01/21/2014,1,168,196,1,13,Construct,,,,
P,IW,M03,C05,PIWM03C05,PIWM03C05,02/03/2014,02/03/2014,1,257,265,1,35,Construct,,,,
P,IW,M03,P03-1,PIWM03P3-01,PIWM03P3-01,03/10/2014,05/16/2014,68,82,90,2,-64,Construct,Code 02.,"Joining ""P03-01"" and ""P03-01b"" as ""P03-01"". ",Code 02a.,P-P-S-4211-0002
P,IW,M03,P01-1,PIWM03P1-01,PIWM03P1-01,03/13/2014,03/13/2014,1,30,24,1,68,Construct,,,,
P,IW,M03,C04,PIWM03C04,PIWM03C04,05/20/2014,05/20/2014,1,24,48,1,10,Construct,,,,
P,IW,M03,C03,PIWM03C03,PIWM03C03,05/30/2014,05/30/2014,1,260,280,1,15,Construct,,,,
P,IW,M03,C02,PIWM03C02,PIWM03C02,06/14/2014,06/14/2014,1,641,608,1,37,Construct,,,,
P,IW,M03,C01,PIWM03C01,PIWM03C01,07/21/2014,07/22/2014,2,772,741,2,23,Construct,,,,
P,IW,M03,W06,PIWM03W06,PIWM03W06,08/14/2014,08/14/2014,1,186,196,1,50,Construct,,,,
P,IW,M03,W05 a,PIWM03W05a,PIWM03W05a,10/03/2014,10/03/2014,1,181,183,1,7,Construct,,,,
P,IW,M03,W04 a,PIWM03W04a,PIWM03W04a,10/10/2014,10/10/2014,1,313,315,1,17,Construct,,,,
P,IW,M03,W03 a,PIWM03W03a,PIWM03W03a,10/27/2014,10/28/2014,2,255,246,2,17,Construct,,,,
P,IW,M03,W02 a,PIWM03W02a,PIWM03W02a,11/14/2014,11/14/2014,1,232,231,1,12,Construct,,,,
P,IW,M03,W05 b,PIWM03W05b,PIWM03W05b,11/26/2014,11/26/2014,1,3,2,1,13,Construct,,,,
P,IW,M03,W04 b,PIWM03W04b,PIWM03W04b,12/09/2014,12/09/2014,1,4,2,1,7,Construct,,,,
P,IW,M03,W03 b,PIWM03W03b,PIWM03W03b,12/16/2014,12/16/2014,1,3,2,1,10,Construct,,,,
