Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in Days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC
P,IE,M02,P2-02,PIEM02P2-02,PIEM02P2-02,07/10/2013,07/10/2013,1,85,81,1,12,Construct,,,,
P,IE,M02,P2-01,PIEM02P2-01,PIEM02P2-01,07/22/2013,07/22/2013,1,65,54,1,32,Construct,,,,
P,IE,M02,P1-01,PIEM02P1-01,PIEM02P1-01,08/23/2013,08/24/2013,2,165,171,2,19,Construct,,,,
P,IE,M02,C04,PIEM02C04,PIEM02C04,09/12/2013,10/15/2013,34,439,439,4,6,Construct,Code 02.,"Joining lifts ""C04 a.1"", ""C04 a2"", ""C04 a3"" and ""C04.a3"" under the name of ""C04"".",Code 02a.,P-P-S-4241-0002
P,IE,M02,C03,PIEM02C03,PIEM02C03,10/21/2013,10/21/2013,1,177,174,1,32,Construct,,,,
P,IE,M02,C02,PIEM02C02,PIEM02C02,11/22/2013,11/30/2013,9,523,542,3,5,Construct,,,,
P,IE,M02,C01,PIEM02C01,PIEM02C01,12/05/2013,12/06/2013,2,413,433,2,20,Construct,,,,
P,IE,M02,W06,PIEM02W06,PIEM02W06,12/26/2013,12/26/2013,1,189,163,1,162,Construct,,,,
P,IE,M02,W05,PIEM02W05,PIEM02W05,06/06/2014,06/06/2014,1,176,183,1,11,Construct,,,,
P,IE,M02,W04,PIEM02W04,PIEM02W04,06/17/2014,06/18/2014,2,304,315,2,26,Construct,,,,
P,IE,M02,W03,PIEM02W03,PIEM02W03,07/14/2014,07/14/2014,1,281,282,1,16,Construct,,,,
P,IE,M02,W02,PIEM02W02,PIEM02W02,07/30/2014,07/30/2014,1,192,192,1,129,Construct,,,,
P,IE,M02,W01,PIEM02W01,PIEM02W01,12/06/2014,12/06/2014,1,45,60,1,-719,Construct,,,,
P,IE,M03,F02,PIEM03F02,PIEM03F02,12/17/2012,12/18/2012,2,1456,1377,2,21,Construct,,,,
P,IE,M03,F01,PIEM03F01,PIEM03F01,01/08/2013,01/09/2013,2,1389,1383,2,58,Construct,,,,
P,IE,M03,C06,PIEM03C06,PIEM03C06,03/08/2013,03/09/2013,2,227,245,2,0,Construct,,,,
P,IE,M03,P1-02,PIEM03P1-02,PIEM03P1-02,03/09/2013,03/09/2013,1,32,26,1,2,Construct,,,,
P,IE,M03,P2-02,PIEM03P2-02,PIEM03P2-02,03/11/2013,03/12/2013,2,200,189,2,14,Construct,,,,
P,IE,M03,P3-03,PIEM03P3-03,PIEM03P3-03,03/26/2013,03/27/2013,2,76,82,2,27,Construct,,,,
P,IE,M03,C05,PIEM03C05,PIEM03C05,04/23/2013,04/23/2013,1,264,252,1,46,Construct,,,,
P,IE,M03,P2-01,PIEM03P2-01,PIEM03P2-01,06/08/2013,06/08/2013,1,187,187,1,6,Construct,,,,
P,IE,M03,C04,PIEM03C04,PIEM03C04,06/14/2013,06/14/2013,1,29,20,1,41,Construct,Code 05.,"Lift ""C04.a1"" will be renamed as ""C04"".",Code 05a.,P-P-S-4246-0002
P,IE,M03,P1-01,PIEM03P1-01,PIEM03P1-01,07/25/2013,07/25/2013,1,29,24,1,75,Construct,,,,
P,IE,M03,P3-02,PIEM03P3-02,PIEM03P3-02,10/08/2013,10/09/2013,2,73,81,2,21,Construct,,,,
P,IE,M03,P3-01,PIEM03P3-01,PIEM03P3-01,10/30/2013,10/30/2013,1,52,44,1,20,Construct,,,,
P,IE,M03,C03,PIEM03C03,PIEM03C03,11/19/2013,12/11/2013,23,307,402,3,9,Construct,Code 02.,"Joining lifts ""C03"" and ""C03 a"" under the name of ""C03"".",Code 02a.,P-P-S-4246-0002
P,IE,M03,C02,PIEM03C02,PIEM03C02,12/20/2013,12/21/2013,2,655,608,2,20,Construct,Code 02.,"Joining lifts ""C02 b"" and ""C02B"" under the name of ""C02"".",Code 02a.,P-P-S-4246-0002
P,IE,M03,C01,PIEM03C01,PIEM03C01,01/10/2014,04/15/2014,96,919,881,2,37,Construct,,,,
P,IE,M03,W06,PIEM03W06,PIEM03W06,05/22/2014,05/22/2014,1,223,191,1,57,Construct,,,,
P,IE,M03,W05,PIEM03W05,PIEM03W05,07/18/2014,07/19/2014,2,161,184,2,18,Construct,,,,
P,IE,M03,W04,PIEM03W04,PIEM03W04,08/06/2014,08/06/2014,1,313,315,1,10,Construct,,,,
P,IE,M03,W03,PIEM03W03,PIEM03W03,08/16/2014,08/16/2014,1,254,282,1,9,Construct,,,,
P,IE,M03,W02,PIEM03W02,PIEM03W02,08/25/2014,08/25/2014,1,195,193,1,96,Construct,,,,
P,IE,M03,W01,PIEM03W01,PIEM03W01,11/29/2014,11/29/2014,1,114,125,1,238,Construct,,,,
P,IE,M03,Gratings Concrete,PIEM03GratingsConcrete,PIEM03GratingsConcrete,07/25/2015,07/25/2015,1,4,4,1,-880,Construct,Code 06.,This lift did not  have a name in the Summary Design of Lits and Pours.   ,Code 06a.,P-P-S-4246-0002
P,IE,M04,F02,PIEM04F02,PIEM04F02,02/25/2013,02/27/2013,3,2059,2072,3,14,Construct,,,,
P,IE,M04,F01,PIEM04F01,PIEM04F01,03/13/2013,03/14/2013,2,1080,1034,2,18,Construct,,,,
P,IE,M04,C06 b,PIEM04C06b,PIEM04C06b,04/01/2013,04/01/2013,1,208,222,1,11,Construct,,,,
P,IE,M04,P3-02,PIEM04P3-02,PIEM04P3-02,04/12/2013,04/13/2013,2,169,169,2,10,Construct,,,,
P,IE,M04,P2-02,PIEM04P2-02,PIEM04P2-02,04/23/2013,04/23/2013,1,93,79,1,8,Construct,,,,
P,IE,M04,C05 b,PIEM04C05b,PIEM04C05b,05/01/2013,05/02/2013,2,248,221,2,29,Construct,,,,
P,IE,M04,P2-01,PIEM04P2-01,PIEM04P2-01,05/31/2013,06/01/2013,2,122,75,2,20,Construct,,,,
P,IE,M04,C06 a,PIEM04C06a,PIEM04C06a,06/21/2013,06/21/2013,1,132,130,1,52,Construct,,,,
P,IE,M04,C05 a,PIEM04C05a,PIEM04C05a,08/12/2013,08/12/2013,1,121,130,1,17,Construct,,,,
P,IE,M04,C03 a,PIEM04C03a,PIEM04C03a,08/29/2013,08/29/2013,1,72,74,1,1,Construct,,,,
P,IE,M04,C03 b,PIEM04C03b,PIEM04C03b,08/30/2013,08/30/2013,1,0,0,0,21,Construct,Code 01.,"A new row was created under the name of ""C03 b"", with 0 quantities and the dates of the previous lift plus one day.",Code 01a.,P-P-S-4251-0002
P,IE,M04,C02,PIEM04C02,PIEM04C02,09/20/2013,09/20/2013,1,46,32,1,29,Construct,Code 05.,"Lift ""C02 a"" will be renamed as ""C02"".",Code 05a.,P-P-S-4251-0002
P,IE,M04,P3-01,PIEM04P3-01,PIEM04P3-01,10/19/2013,10/19/2013,1,167,167,1,18,Construct,,,,
P,IE,M04,C04,PIEM04C04,PIEM04C04,11/06/2013,11/13/2013,8,1089,1077,2,12,Construct,Code 02.,"Joining lifts ""C04.a1"" and ""C04.a2"" under the name of ""C04"".",Code 02a.,P-P-S-4251-0002
P,IE,M04,C01,PIEM04C01,PIEM04C01,11/25/2013,11/26/2013,2,975,1002,2,17,Construct,Code 05.,"Lift ""C02 b+C01"" will be renamed as ""C01"".",Code 05a.,P-P-S-4251-0002
P,IE,M04,W06,PIEM04W06,PIEM04W06,12/13/2013,12/14/2013,2,208,173,2,73,Construct,,,,
P,IE,M04,W05,PIEM04W05,PIEM04W05,02/25/2014,02/25/2014,1,178,169,1,22,Construct,,,,
P,IE,M04,W04,PIEM04W04,PIEM04W04,03/19/2014,03/19/2014,1,313,302,1,52,Construct,,,,
P,IE,M04,W03,PIEM04W03,PIEM04W03,05/10/2014,05/10/2014,1,287,271,1,23,Construct,,,,
P,IE,M04,W02,PIEM04W02,PIEM04W02,06/02/2014,06/02/2014,1,210,187,1,199,Construct,,,,
P,IE,M04,W01,PIEM04W01,PIEM04W01,12/18/2014,12/18/2014,1,119,124,1,-654,Construct,,,,
P,IE,M05,F02 b,PIEM05F02b,PIEM05F02b,03/04/2013,03/05/2013,2,1697,1785,2,3,Construct,,,,
P,IE,M05,F02 a,PIEM05F02a,PIEM05F02a,03/08/2013,03/08/2013,1,416,405,1,11,Construct,,,,
P,IE,M05,F01 a,PIEM05F01a,PIEM05F01a,03/19/2013,03/20/2013,2,208,208,2,6,Construct,,,,
P,IE,M05,F01 b,PIEM05F01b,PIEM05F01b,03/26/2013,03/27/2013,2,935,888,2,27,Construct,,,,
P,IE,M05,C05 b,PIEM05C05b,PIEM05C05b,04/23/2013,04/24/2013,2,252,222,2,16,Construct,,,,
P,IE,M05,C04 b,PIEM05C04b,PIEM05C04b,05/10/2013,05/11/2013,2,232,220,2,6,Construct,,,,
P,IE,M05,P2-02,PIEM05P2-02,PIEM05P2-02,05/17/2013,05/18/2013,2,77,70,2,24,Construct,,,,
P,IE,M05,C05 a,PIEM05C05a,PIEM05C05a,06/11/2013,06/12/2013,2,400,413,2,12,Construct,,,,
P,IE,M05,P3-02,PIEM05P3-02,PIEM05P3-02,06/24/2013,06/25/2013,2,32,31,2,13,Construct,,,,
P,IE,M05,P2-01,PIEM05P2-01,PIEM05P2-01,07/08/2013,07/09/2013,2,73,66,2,6,Construct,,,,
P,IE,M05,C04 a,PIEM05C04a,PIEM05C04a,07/15/2013,07/16/2013,2,462,459,2,27,Construct,,,,
P,IE,M05,P3-01,PIEM05P3-01,PIEM05P3-01,08/12/2013,08/12/2013,1,32,29,1,-17,Construct,,,,
P,IE,M05,C03,PIEM05C03,PIEM05C03,07/26/2013,09/17/2013,54,452,553,2,13,Construct,Code 02.,"Joining lifts ""C03 a"" and ""C03 b"" under the name of ""C03"".",Code 02a.,P-P-S-4256-0002
P,IE,M05,C02,PIEM05C02,PIEM05C02,09/30/2013,09/30/2013,1,1062,1062,1,10,Construct,,,,
P,IE,M05,C01,PIEM05C01,PIEM05C01,10/10/2013,10/11/2013,2,1514,1559,2,99,Construct,,,,
P,IE,M05,W05,PIEM05W05,PIEM05W05,01/18/2014,03/14/2014,56,455,439,4,8,Construct,Code 02.,"Joining lifts ""W05a"", ""W05b"", ""W05c"" and ""W05d"" under the name of ""W05"".",Code 02a.,P-P-S-4256-0002
P,IE,M05,W04 a,PIEM05W04a,PIEM05W04a,03/22/2014,03/22/2014,1,142,158,1,13,Construct,,,,
P,IE,M05,W04 b,PIEM05W04b,PIEM05W04b,04/04/2014,04/04/2014,1,49,48,1,6,Construct,,,,
P,IE,M05,W03 a,PIEM05W03a,PIEM05W03a,04/10/2014,04/10/2014,1,161,158,1,46,Construct,,,,
P,IE,M05,W03 b,PIEM05W03b,PIEM05W03b,05/26/2014,05/26/2014,1,73,49,1,1,Construct,,,,
P,IE,M05,W02 a,PIEM05W02a,PIEM05W02a,05/27/2014,05/28/2014,2,180,130,2,16,Construct,,,,
P,IE,M05,W02 b,PIEM05W02b,PIEM05W02b,06/13/2014,06/13/2014,1,99,98,1,68,Construct,,,,
P,IE,M05,W01 b,PIEM05W01b,PIEM05W01b,08/20/2014,10/24/2014,66,51,61,2,47,Construct,,,,
P,IE,M05,W01 a,PIEM05W01a,PIEM05W01a,12/10/2014,12/10/2014,1,63,59,1,-673,Construct,,,,
P,IE,M06,F02,PIEM06F02,PIEM06F02,02/05/2013,02/06/2013,2,1444,1517,2,13,Construct,,,,
P,IE,M06,F01a,PIEM06F01a,PIEM06F01a,02/19/2013,02/20/2013,2,941,1103,2,-1,Construct,Code 03.,"Lift ""F01"" will be separated into ""F01a"" and ""F01b"".  All quantities will be assigned to ""F01a"".",Code 03a.,P-P-S-4260-0002
P,IE,M06,F01b,PIEM06F01b,PIEM06F01b,02/19/2013,02/20/2013,2,0,0,0,58,Construct,Code 03.,"Lift ""F01"" will be separated into ""F01a"" and ""F01b"".  All quantities will be assigned to ""F01a"".",Code 03a.,P-P-S-4260-0002
P,IE,M06,C08a,PIEM06C08a,PIEM06C08a,04/19/2013,04/19/2013,1,72,90,1,0,Construct,Code 03.,"Lift ""C08"" will be separated into ""C08a"", ""C08b"" and ""C08c"".  All quantities will be assigned to ""C08a"".",Code 03a.,P-P-S-4261-0002
P,IE,M06,C08b,PIEM06C08b,PIEM06C08b,04/19/2013,04/19/2013,1,0,0,0,0,Construct,Code 03.,"Lift ""C08"" will be separated into ""C08a"", ""C08b"" and ""C08c"".  All quantities will be assigned to ""C08a"".",Code 03a.,P-P-S-4261-0002
P,IE,M06,C08c,PIEM06C08c,PIEM06C08c,04/19/2013,04/19/2013,1,0,0,0,15,Construct,Code 03.,"Lift ""C08"" will be separated into ""C08a"", ""C08b"" and ""C08c"".  All quantities will be assigned to ""C08a"".",Code 03a.,P-P-S-4261-0002
P,IE,M06,C07 b,PIEM06C07b,PIEM06C07b,05/04/2013,05/06/2013,3,153,161,2,11,Construct,,,,
P,IE,M06,C07 a,PIEM06C07a,PIEM06C07a,05/17/2013,05/18/2013,2,356,306,2,2,Construct,Code 05.,"Lift ""C07 a1"" will be renamed as ""C07a"".",Code 05a.,P-P-S-4261-0002
P,IE,M06,C06 b,PIEM06C06b,PIEM06C06b,05/20/2013,05/20/2013,1,168,155,1,3,Construct,,,,
P,IE,M06,C07 c,PIEM06C07c,PIEM06C07c,05/23/2013,05/24/2013,2,160,211,2,0,Construct,Code 05.,"Lift ""C07 a.2"" will be renamed as ""C07c"".",Code 05a.,P-P-S-4261-0002
P,IE,M06,C05 b,PIEM06C05b,PIEM06C05b,05/24/2013,05/24/2013,1,72,65,1,1,Construct,,,,
P,IE,M06,C05c,PIEM06C05c,PIEM06C05c,05/25/2013,05/25/2013,1,0,0,0,4,Construct,Code 01.,"A new row was created under the name of ""C05c"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-4261-0002
P,IE,M06,C06 a,PIEM06C06a,PIEM06C06a,05/29/2013,05/29/2013,1,404,400,1,0,Construct,Code 05.,"Lift ""C06 a.1"" will be renamed as ""C06a"".",Code 05a.,P-P-S-4261-0002
P,IE,M06,P2-04,PIEM06P2-04,PIEM06P2-04,05/29/2013,05/29/2013,1,33,24,1,2,Construct,,,,
P,IE,M06,C06c,PIEM06C06c,PIEM06C06c,05/31/2013,05/31/2013,1,174,176,1,8,Construct,Code 05.,"Lift ""C06 a2"" will be renamed as ""C06c"".",Code 05a.,P-P-S-4261-0002
P,IE,M06,P2-03,PIEM06P2-03,PIEM06P2-03,06/08/2013,06/08/2013,1,57,49,1,9,Construct,,,,
P,IE,M06,C05 a,PIEM06C05a,PIEM06C05a,06/17/2013,06/17/2013,1,216,249,1,7,Construct,,,,
P,IE,M06,C04a,PIEM06C04a,PIEM06C04a,06/24/2013,06/24/2013,1,69,79,1,10,Construct,Code 05.,"Lift ""C04-a1+a2"" will be renamed as ""C04a"".",Code 05a.,P-P-S-4261-0002
P,IE,M06,P2-02,PIEM06P2-02,PIEM06P2-02,07/04/2013,07/04/2013,1,56,46,1,11,Construct,,,,
P,IE,M06,P2-01,PIEM06P2-01,PIEM06P2-01,07/15/2013,07/15/2013,1,22,19,1,24,Construct,,,,
P,IE,M06,C04 b,PIEM06C04b,PIEM06C04b,08/08/2013,08/09/2013,2,472,468,2,12,Construct,,,,
P,IE,M06,C03,PIEM06C03,PIEM06C03,08/21/2013,08/22/2013,2,591,566,2,11,Construct,,,,
P,IE,M06,C02,PIEM06C02,PIEM06C02,09/02/2013,09/03/2013,2,1064,1111,2,10,Construct,,,,
P,IE,M06,C01,PIEM06C01,PIEM06C01,09/13/2013,09/14/2013,2,568,609,2,21,Construct,,,,
P,IE,M06,W07,PIEM06W07,PIEM06W07,10/05/2013,10/05/2013,1,211,197,1,4,Construct,,,,
P,IE,M06,W06,PIEM06W06,PIEM06W06,10/09/2013,10/09/2013,1,264,263,1,13,Construct,,,,
P,IE,M06,W05,PIEM06W05,PIEM06W05,10/22/2013,10/23/2013,2,240,251,2,14,Construct,,,,
P,IE,M06,W04,PIEM06W04,PIEM06W04,11/06/2013,11/07/2013,2,216,216,2,6,Construct,,,,
P,IE,M06,W03,PIEM06W03,PIEM06W03,11/13/2013,11/13/2013,1,176,173,1,280,Construct,,,,
P,IE,M06,W02,PIEM06W02,PIEM06W02,08/20/2014,08/20/2014,1,120,103,1,1,Construct,,,,
P,IE,M06,W01,PIEM06W01,PIEM06W01,08/21/2014,08/21/2014,1,0,0,0,-575,Construct,Code 01.,"A new row was created under the name of ""W01"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-4262-0002
P,IE,M07,F02,PIEM07F02,PIEM07F02,01/23/2013,01/25/2013,3,1265,1197,3,5,Construct,,,,
P,IE,M07,F01,PIEM07F01,PIEM07F01,01/30/2013,01/31/2013,2,772,714,2,47,Construct,,,,
P,IE,M07,C09 b,PIEM07C09b,PIEM07C09b,03/19/2013,03/19/2013,1,83,75,1,1,Construct,,,,
P,IE,M07,C09 c,PIEM07C09c,PIEM07C09c,03/20/2013,03/20/2013,1,80,69,1,13,Construct,,,,
P,IE,M07,C08 b,PIEM07C08b,PIEM07C08b,04/02/2013,04/02/2013,1,168,142,1,0,Construct,,,,
P,IE,M07,C08 c,PIEM07C08c,PIEM07C08c,04/02/2013,04/02/2013,1,160,135,1,10,Construct,,,,
P,IE,M07,C07 b,PIEM07C07b,PIEM07C07b,04/12/2013,04/12/2013,1,138,144,1,11,Construct,,,,
P,IE,M07,C07 c,PIEM07C07c,PIEM07C07c,04/23/2013,04/24/2013,2,161,137,2,8,Construct,Code 05.,"Lift ""PIEM07C07a"" will be renamed as ""PIEM07C07c"".",Code 05a.,P-P-S-4266-0002
P,IE,M07,C06 c,PIEM07C06c,PIEM07C06c,05/02/2013,05/02/2013,1,64,65,1,12,Construct,,,,
P,IE,M07,C04 a,PIEM07C04a,PIEM07C04a,05/14/2013,05/15/2013,2,456,381,2,0,Construct,,,,
P,IE,M07,C06 b,PIEM07C06b,PIEM07C06b,05/15/2013,05/15/2013,1,75,67,1,6,Construct,,,,
P,IE,M07,C03 a,PIEM07C03a,PIEM07C03a,05/21/2013,05/22/2013,2,232,196,2,0,Construct,,,,
P,IE,M07,C03b,PIEM07C03b,PIEM07C03b,05/22/2013,05/22/2013,1,0,0,0,23,Construct,Code 01.,"A new row was created under the name of ""C03b"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-4266-0002
P,IE,M07,P2-04,PIEM07P2-04,PIEM07P2-04,06/14/2013,06/14/2013,1,41,54,1,6,Construct,,,,
P,IE,M07,P2-03,PIEM07P2-03,PIEM07P2-03,06/20/2013,06/20/2013,1,88,78,1,7,Construct,,,,
P,IE,M07,P2-02,PIEM07P2-02,PIEM07P2-02,06/27/2013,06/27/2013,1,81,74,1,4,Construct,,,,
P,IE,M07,P2-01,PIEM07P2-01,PIEM07P2-01,07/01/2013,07/01/2013,1,29,22,1,18,Construct,,,,
P,IE,M07,C05,PIEM07C05,PIEM07C05,07/19/2013,07/20/2013,2,304,314,2,1,Construct,,,,
P,IE,M07,C04 a,PIEM07C04a,PIEM07C04a,07/21/2013,07/21/2013,1,0,0,0,5,Construct,Code 01.,"A new row was created under the name of ""C03b"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-4266-0002
P,IE,M07,C04 b,PIEM07C04b,PIEM07C04b,07/26/2013,07/27/2013,2,472,477,2,1,Construct,Code 05.,"Lift ""C04 b.1"" will be renamed as ""C04b"".",Code 05a.,P-P-S-4266-0002
P,IE,M07,C03 a,PIEM07C03a,PIEM07C03a,07/28/2013,07/28/2013,1,0,0,0,1,Construct,Code 01.,"A new row was created under the name of ""C03b"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-4266-0002
P,IE,M07,C03 b,PIEM07C03b,PIEM07C03b,07/29/2013,07/29/2013,1,0,0,0,8,Construct,Code 01.,"A new row was created under the name of ""C03b"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-4266-0002
P,IE,M07,C02 b,PIEM07C02b,PIEM07C02b,08/06/2013,08/07/2013,2,584,611,2,8,Construct,,,,
P,IE,M07,C02 a,PIEM07C02a,PIEM07C02a,08/15/2013,08/15/2013,1,0,0,0,0,Construct,Code 03.,"Lift ""C02 a + C01 a"" will be separated into ""C01"" and ""C02 a"".  All quantities will be assigned to ""C01"".",Code 03a.,P-P-S-4266-0002
P,IE,M07,C01,PIEM07C01,PIEM07C01,08/15/2013,08/15/2013,1,860,874,1,25,Construct,Code 03.,"Lift ""C02 a + C01 a"" will be separated into ""C01"" and ""C02 a"".  All quantities will be assigned to ""C01"".",Code 03a.,P-P-S-4266-0002
P,IE,M07,W08,PIEM07W08,PIEM07W08,09/09/2013,09/09/2013,1,384,395,1,10,Construct,,,,
P,IE,M07,W07,PIEM07W07,PIEM07W07,09/19/2013,09/20/2013,2,332,353,2,11,Construct,,,,
P,IE,M07,W06,PIEM07W06,PIEM07W06,10/01/2013,10/01/2013,1,265,240,1,16,Construct,,,,
P,IE,M07,W05,PIEM07W05,PIEM07W05,10/17/2013,10/17/2013,1,228,229,1,11,Construct,,,,
P,IE,M07,W04,PIEM07W04,PIEM07W04,10/28/2013,10/29/2013,2,192,194,2,21,Construct,,,,
P,IE,M07,W03,PIEM07W03,PIEM07W03,11/19/2013,11/19/2013,1,132,139,1,8,Construct,,,,
P,IE,M07,W02,PIEM07W02,PIEM07W02,11/27/2013,11/28/2013,2,120,114,2,371,Construct,,,,
P,IE,M07,W01,PIEM07W01,PIEM07W01,12/04/2014,12/05/2014,2,130,191,2,-729,Construct,,,,
P,IE,M11,F01,PIEM11F01,PIEM11F01,12/06/2012,12/07/2012,2,1692,1500,2,12,Construct,,,,
P,IE,M11,W07,PIEM11W07,PIEM11W07,12/19/2012,12/19/2012,1,569,565,1,9,Construct,,,,
P,IE,M11,W06,PIEM11W06,PIEM11W06,12/28/2012,12/28/2012,1,692,694,1,19,Construct,,,,
P,IE,M11,W05,PIEM11W05,PIEM11W05,01/16/2013,01/16/2013,1,640,649,1,6,Construct,,,,
P,IE,M11,W04,PIEM11W04,PIEM11W04,01/22/2013,01/23/2013,2,624,605,2,12,Construct,,,,
P,IE,M11,W03,PIEM11W03,PIEM11W03,02/04/2013,02/04/2013,1,558,559,1,10,Construct,,,,
P,IE,M11,W02,PIEM11W02,PIEM11W02,02/14/2013,02/15/2013,2,529,514,2,6,Construct,,,,
P,IE,M11,W01,PIEM11W01,PIEM11W01,02/21/2013,02/21/2013,1,33,40,1,419,Construct,,,,
P,IE,M11,TACON,PIEM11TACON,PIEM11TACON,04/16/2014,04/16/2014,1,80,80,1,-489,Construct,Code 06.,"Lift ""TACON"" does not exist in the RFC.",Code 06a.,P-P-S-4286-0001
P,IE,M12,F01,PIEM12F01,PIEM12F01,12/13/2012,12/14/2012,2,1417,1249,2,12,Construct,,,,
P,IE,M12,W06,PIEM12W06,PIEM12W06,12/26/2012,12/26/2012,1,325.28,309,1,10,Construct,,,,
P,IE,M12,W05,PIEM12W05,PIEM12W05,01/05/2013,01/05/2013,1,357,355,1,14,Construct,,,,
P,IE,M12,W04,PIEM12W04,PIEM12W04,01/19/2013,01/19/2013,1,280,302,1,10,Construct,,,,
P,IE,M12,W03,PIEM12W03,PIEM12W03,01/29/2013,01/29/2013,1,224,249,1,63,Construct,,,,
P,IE,M12,W02,PIEM12W02,PIEM12W02,04/02/2013,04/02/2013,1,208,196,1,2,Construct,,,,
P,IE,M12,W01,PIEM12W01,PIEM12W01,04/04/2013,04/05/2013,2,152,145,2,-106,Construct,,,,
P,IE,M13,F01,PIEM13F01,PIEM13F01,12/20/2012,12/21/2012,2,1357.05,1220,2,19,Construct,,,,
P,IE,M13,W06,PIEM13W06,PIEM13W06,01/09/2013,01/10/2013,2,288,302,2,2,Construct,,,,
P,IE,M13,W05,PIEM13W05,PIEM13W05,01/12/2013,01/12/2013,1,350,347,1,70,Construct,,,,
P,IE,M13,W04,PIEM13W04,PIEM13W04,03/23/2013,03/23/2013,1,288,286,1,5,Construct,,,,
P,IE,M13,W03,PIEM13W03,PIEM13W03,03/28/2013,03/28/2013,1,248,245,1,16,Construct,,,,
P,IE,M13,W02,PIEM13W02,PIEM13W02,04/13/2013,04/13/2013,1,224,194,1,9,Construct,,,,
P,IE,M13,W01,PIEM13W01,PIEM13W01,04/22/2013,05/29/2013,38,177,153,2,-166,Construct,Code 02.,"Joining lifts ""W01"" and ""F01->W01"" under the name of ""W01"".",Code 02a.,P-P-S-4276-0001
P,IE,M14,F03,PIEM14F03,PIEM14F03,12/14/2012,12/15/2012,2,199,108,2,13,Construct,,,,
P,IE,M14,F02 a,PIEM14F02a,PIEM14F02a,12/28/2012,12/29/2012,2,504,542,2,1,Construct,,,,
P,IE,M14,F02 b,PIEM14F02b,PIEM14F02b,12/30/2012,12/30/2012,1,0,0,0,5,Construct,Code 01.,"A new row was created under the name of ""F02b"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-4280-0001
P,IE,M14,F01,PIEM14F01,PIEM14F01,01/04/2013,01/05/2013,2,731,668,2,12,Construct,,,,
P,IE,M14,W06,PIEM14W06,PIEM14W06,01/17/2013,01/17/2013,1,280,275,1,6,Construct,,,,
P,IE,M14,W05,PIEM14W05,PIEM14W05,01/23/2013,01/23/2013,1,324,316,1,54,Construct,,,,
P,IE,M14,W04,PIEM14W04,PIEM14W04,03/18/2013,03/19/2013,2,272,270,2,20,Construct,,,,
P,IE,M14,W03,PIEM14W03,PIEM14W03,04/08/2013,04/08/2013,1,232,224,1,24,Construct,,,,
P,IE,M14,W02,PIEM14W02,PIEM14W02,05/02/2013,05/03/2013,2,218,177,2,5,Construct,,,,
P,IE,M14,W01,PIEM14W01,PIEM14W01,05/08/2013,05/08/2013,1,146,130,1,-133,Construct,,,,
P,IE,M15,F03,PIEM15F03,PIEM15F03,12/26/2012,12/27/2012,2,178.44,186,2,6,Construct,,,,
P,IE,M15,F02,PIEM15F02,PIEM15F02,01/02/2013,01/02/2013,1,214.18,208,1,8,Construct,,,,
P,IE,M15,F01,PIEM15F01,PIEM15F01,01/10/2013,01/11/2013,2,1198,1201,2,4,Construct,,,,
P,IE,M15,W07,PIEM15W07,PIEM15W07,01/15/2013,01/15/2013,1,400,397,1,6,Construct,,,,
P,IE,M15,W06,PIEM15W06,PIEM15W06,01/21/2013,01/21/2013,1,376,353,1,37,Construct,,,,
P,IE,M15,W05,PIEM15W05,PIEM15W05,02/27/2013,02/28/2013,2,324,307,2,11,Construct,,,,
P,IE,M15,W04,PIEM15W04,PIEM15W04,03/11/2013,03/11/2013,1,268,262,1,11,Construct,,,,
P,IE,M15,W03,PIEM15W03,PIEM15W03,03/22/2013,03/22/2013,1,216,217,1,12,Construct,,,,
P,IE,M15,W02,PIEM15W02,PIEM15W02,04/03/2013,04/03/2013,1,176,172,1,30,Construct,,,,
P,IE,M15,W01,PIEM15W01,PIEM15W01,05/03/2013,05/04/2013,2,161,128,2,-110,Construct,,,,
P,IE,M16,F02,PIEM16F02,PIEM16F02,01/14/2013,01/15/2013,2,868,914,2,3,Construct,,,,
P,IE,M16,F01,PIEM16F01,PIEM16F01,01/18/2013,01/18/2013,1,948,914,1,6,Construct,,,,
P,IE,M16,W09,PIEM16W09,PIEM16W09,01/24/2013,01/25/2013,2,260,266,2,4,Construct,,,,
P,IE,M16,W08,PIEM16W08,PIEM16W08,01/29/2013,01/29/2013,1,256,245,1,3,Construct,,,,
P,IE,M16,W07,PIEM16W07,PIEM16W07,02/01/2013,02/02/2013,2,288,283,2,18,Construct,,,,
P,IE,M16,W06,PIEM16W06,PIEM16W06,02/20/2013,02/21/2013,2,261,251,2,4,Construct,,,,
