Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Drawing,
A,CC1,L,03,ACC1L03,ACC1L03,09/26/2011,09/26/2011,1,68,61,1,4,Construct,,,,,
A,CC1,L,02,ACC1L02,ACC1L02,09/30/2011,09/30/2011,1,56,61,1,386,Construct,,,,,
A,CC1,E,05,ACC1E05,ACC1E05,10/20/2012,11/08/2012,20,184,190,3,5,Construct,Code 02.,"Joining ""05b"" with ""05"". All quantities are assigned to ""05"".",Code 02a.,A-P-S-5221-0001,
A,CC1,E,04b,ACC1E04b,ACC1E04b,11/13/2012,11/13/2012,1,64,33,1,1,Construct,,,,,
A,CC1,E,04c,ACC1E04c,ACC1E04c,11/14/2012,11/14/2012,1,28,54,1,2,Construct,,,,,
A,CC1,E,03b,ACC1E03b,ACC1E03b,11/16/2012,11/16/2012,1,32,28,1,1,Construct,,,,,
A,CC1,E,03c,ACC1E03c,ACC1E03c,11/17/2012,11/17/2012,1,56,46,1,55,Construct,,,,,
A,CC1,E,02,ACC1E02,ACC1E02,01/11/2013,01/11/2013,1,160,176,1,6,Construct,,,,,
A,CC1,E,01,ACC1E01,ACC1E01,01/17/2013,01/17/2013,1,220,230,1,-154,Construct,,,,,
A,CC1,F,05,ACC1F05,ACC1F05,08/16/2012,11/28/2012,105,584,530,4,19,Construct,Code 02.,"Joining ""05a"" ""05c"" with ""05"". All quantities are assigned to ""05"".",Code 02a.,A-P-S-5223-0001,
A,CC1,F,04,ACC1F04,ACC1F04,12/17/2012,01/23/2013,38,568,515,4,-19,Construct,Code 02.,"Joining ""04a"" ""04b"" ""04c"" with ""04"". All quantities are assigned to ""04"".",Code 02a.,A-P-S-5224-0001,
A,CC1,F,03,ACC1F03,ACC1F03,01/04/2013,01/30/2013,27,556,460,4,14,Construct,Code 02.,"Joining ""03a"" ""03b"" ""03c"" with ""03"". All quantities are assigned to ""03"".",Code 02a.,A-P-S-5224-0001,
A,CC1,F,02,ACC1F02,ACC1F02,02/13/2013,02/14/2013,2,568,514,2,-206,Construct,,,,,
A,CC1,G,05,ACC1G05,ACC1G05,07/23/2012,08/01/2012,10,92,93,2,6,Construct,Code 02.,"Joining ""05a"" ""05b"". All quantities are assigned to ""05"".",Code 02a.,A-P-S-5227-0001,
A,CC1,G,04,ACC1G04,ACC1G04,08/07/2012,08/07/2012,1,64,53,1,3,Construct,,,,,
A,CC1,G,03,ACC1G03,ACC1G03,08/10/2012,08/10/2012,1,61,61,1,5,Construct,,,,,
A,CC1,G,02,ACC1G02,ACC1G02,08/15/2012,08/15/2012,1,64,61,1,-18,Construct,,,,,
A,CC1,H,05,ACC1H05,ACC1H05,07/28/2012,08/07/2012,11,119,93,2,3,Construct,,,,,
A,CC1,H,04,ACC1H04,ACC1H04,08/10/2012,08/10/2012,1,64,53,1,5,Construct,,,,,
A,CC1,H,03,ACC1H03,ACC1H03,08/15/2012,08/15/2012,1,71,61,1,5,Construct,,,,,
A,CC1,H,02,ACC1H02,ACC1H02,08/20/2012,08/20/2012,1,72,61,1,,Construct,,,,,
