Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Activity Type,Days before next lift,Revision Process,,,RFC
P,CC1,H,04,PCC1H04,PCC1H04,10/18/2012,10/18/2012,1,80,53,1,Construct,12,,,,
P,CC1,H,03,PCC1H03,PCC1H03,10/30/2012,10/30/2012,1,88,77,1,Construct,13,,,,
P,CC1,H,02,PCC1H02,PCC1H02,11/12/2012,11/12/2012,1,80,59,1,Construct,105,,,,
P,CC1,I,05,PCC1I05,PCC1I05,02/25/2013,02/26/2013,2,304,258,2,Construct,17,,,,
P,CC1,I,04a,PCC1I04a,PCC1I04a,03/15/2013,03/16/2013,2,132,109,2,Construct,-1,Code 03.,"Lift ""C04 a+c"" will be divided into ""04a"" and ""04b"".  All quantities will be assigned to ""04a"".",Code 03a.,P-P-S-5232-0001
P,CC1,I,04c,PCC1I04c,PCC1I04c,03/15/2013,03/16/2013,2,0,0,0,Construct,18,Code 03.,"Lift ""C04 a+c"" will be divided into ""04a"" and ""04c"".  All quantities will be assigned to ""04a"".",Code 03a.,P-P-S-5232-0001
P,CC1,I,03a,PCC1I03a,PCC1I03a,04/03/2013,04/04/2013,2,120,114,2,Construct,-1,Code 03.,"Lift ""03 a+c"" will be divided into ""03a"" and ""03c"".  All quantities will be assigned to ""03a"".",Code 03a.,P-P-S-5232-0001
P,CC1,I,03c,PCC1I03c,PCC1I03c,04/03/2013,04/04/2013,2,0,0,0,Construct,93,Code 03.,"Lift ""03 a+c"" will be divided into ""03a"" and ""03c"".  All quantities will be assigned to ""03a"".",Code 03a.,P-P-S-5232-0001
P,CC1,I,02,PCC1I02,PCC1I02,07/06/2013,07/06/2013,1,280,255,1,Construct,3,,,,
P,CC1,I,01,PCC1I01,PCC1I01,07/09/2013,07/09/2013,1,362,303,1,Construct,-326,,,,
P,CC1,J,05,PCC1J05,PCC1J05,08/17/2012,08/18/2012,2,468,475,2,Construct,47,,,,
P,CC1,J,04,PCC1J04,PCC1J04,10/04/2012,10/05/2012,2,488,422,2,Construct,27,,,,
P,CC1,J,03,PCC1J03,PCC1J03,11/01/2012,11/01/2012,1,544.12,511,2,Construct,69,,,,
P,CC1,J,02,PCC1J02,PCC1J02,01/09/2013,01/09/2013,1,478,430,1,Construct,-223,,,,
P,CC1,K,05,PCC1K05,PCC1K05,05/31/2012,06/07/2012,8,104,93,2,Construct,9,,,,
P,CC1,K,04,PCC1K04,PCC1K04,06/16/2012,06/16/2012,1,73,53,1,Construct,19,,,,
P,CC1,K,03,PCC1K03,PCC1K03,07/05/2012,07/06/2012,2,96,77,2,Construct,10,,,,
P,CC1,K,02,PCC1K02,PCC1K02,07/16/2012,07/16/2012,1,67,59,1,Construct,-51,,,,
P,CC1,L,05,PCC1L05,PCC1L05,05/26/2012,06/01/2012,7,117,93,2,Construct,11,,,,
P,CC1,L,04,PCC1L04,PCC1L04,06/12/2012,06/12/2012,1,85,53,1,Construct,11,,,,
P,CC1,L,03,PCC1L03,PCC1L03,06/23/2012,06/23/2012,1,88,77,1,Construct,11,,,,
P,CC1,L,02,PCC1L02,PCC1L02,07/04/2012,07/04/2012,1,72,59,1,Construct,,,,,
