Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Proces,,,RFC,Note,Corrections,Revision FR
P,UE,M02,W09,PUEM02W09,PUEM02W09,12/17/2012,12/17/2012,1,478,494,1,28,Construct,,,,,,,
P,UE,M02,W08,PUEM02W08,PUEM02W08,1/14/2013,1/15/2013,2,492,418,2,20,Construct,,,,,,,
P,UE,M02,W07,PUEM02W07,PUEM02W07,2/4/2013,2/5/2013,2,308,343,2,10,Construct,,,,,,,
P,UE,M02,W06,PUEM02W06,PUEM02W06,2/15/2013,2/16/2013,2,256,260,2,123,Construct,,,,,,,
P,UE,M02,W05,PUEM02W05,PUEM02W05,6/19/2013,6/20/2013,2,272,274,2,13,Construct,,,,,,,
P,UE,M02,W04,PUEM02W04,PUEM02W04,7/3/2013,7/4/2013,2,201,205,2,19,Construct,,,,,,,
P,UE,M02,W03,PUEM02W03,PUEM02W03,7/23/2013,7/23/2013,1,211,212,1,17,Construct,,,,,,,
P,UE,M02,W02,PUEM02W02,PUEM02W02,8/9/2013,8/10/2013,2,193,161,2,416,Construct,,,,,,,
P,UE,M02,W01,PUEM02W01,PUEM02W01,9/30/2014,9/30/2014,1,60,67,1,-1007,Construct,,,,,,,
P,UE,M03,F02,PUEM03F02,PUEM03F02,12/28/2011,12/28/2011,1,652.03,658,1,10,Construct,,,,,,,
P,UE,M03,F01,PUEM03F01,PUEM03F01,1/7/2012,1/7/2012,1,940.09,918,1,39,Construct,,,,,,,
P,UE,M03,C04a,PUEM03C04a,PUEM03C04a,2/15/2012,2/15/2012,1,182,182,1,21,Construct,,,,,"Error in model name, fix model.",FIXED,
P,UE,M03,C04b,PUEM03C04b,PUEM03C04b,3/7/2012,3/7/2012,1,216,141,1,-12,Construct,,,,,"Error in model name, fix model.",FIXED,
P,UE,M03,C04c,PUEM03C04c,PUEM03C04c,2/24/2012,2/24/2012,1,92,92,1,5,Construct,,,,,"Error in model name, fix model.",FIXED,
P,UE,M03,C03a,PUEM03C03a,PUEM03C03a,2/29/2012,2/29/2012,1,161,161,1,13,Construct,,,,,,,
P,UE,M03,C03b,PUEM03C03b,PUEM03C03b,3/13/2012,3/13/2012,1,208,174,1,-11,Construct,,,,,,,
P,UE,M03,C03c,PUEM03C03c,PUEM03C03c,3/2/2012,3/2/2012,1,110,110,1,295,Construct,,,,,,,
P,UE,M03,C02,PUEM03C02,PUEM03C02,12/22/2012,12/22/2012,1,338,299,1,5,Construct,,,,,,,
P,UE,M03,C01,PUEM03C01,PUEM03C01,12/27/2012,1/18/2013,23,1135,1092,3,83,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1741-0001,"model has only one part, joining a and b in the table",,
P,UE,M03,W09,PUEM03W09,PUEM03W09,4/11/2013,4/12/2013,2,524,494,2,21,Construct,,,,,,,
P,UE,M03,W08,PUEM03W08,PUEM03W08,5/3/2013,5/4/2013,2,440,419,2,30,Construct,,,,,,,
P,UE,M03,W07,PUEM03W07,PUEM03W07,6/3/2013,6/3/2013,1,336,344,1,7,Construct,,,,,,,
P,UE,M03,W06,PUEM03W06,PUEM03W06,6/10/2013,6/10/2013,1,274,260,1,86,Construct,,,,,,,
P,UE,M03,W05,PUEM03W05,PUEM03W05,9/4/2013,9/4/2013,1,270,273,1,15,Construct,,,,,,,
P,UE,M03,W04,PUEM03W04,PUEM03W04,9/19/2013,9/19/2013,1,201,206,1,26,Construct,,,,,,,
P,UE,M03,W03,PUEM03W03,PUEM03W03,10/15/2013,10/16/2013,2,209,190,1,12,Construct,,,,,,,
P,UE,M03,W02,PUEM03W02,PUEM03W02,10/28/2013,10/28/2013,1,158,155,1,346,Construct,,,,,,,
P,UE,M03,W01,PUEM03W01,PUEM03W01,10/9/2014,10/9/2014,1,75,64,1,-1032,Construct,,,,,,,
P,UE,M04,F02,PUEM04F02,PUEM04F02,12/12/2011,12/13/2011,2,427,403,2,6,Construct,,,,,,,
P,UE,M04,F01,PUEM04F01,PUEM04F01,12/19/2011,12/19/2011,1,579,567,1,46,Construct,,,,,,,
P,UE,M04,C04a,PUEM04C04a,PUEM04C04a,2/3/2012,2/3/2012,1,100,100,1,6,Construct,,,,,"model has C05, to be corrected in model.",FIXED,
P,UE,M04,C04b,PUEM04C04b,PUEM04C04b,2/9/2012,2/9/2012,1,266,168,1,-51,Construct,,,,,,,
P,UE,M04,C04c,PUEM04C04c,PUEM04C04c,12/20/2011,12/20/2011,1,0,0,0,64,Construct,Code 01.,"A new row was created under the name of ""C04c"", with 0 quantities and with the dates of the preivous lift plus one day.",Code 01a.,P-P-S-1761-0001,,,
P,UE,M04,C03a,PUEM04C03a,PUEM04C03a,2/22/2012,2/22/2012,1,103,103,1,6,Construct,,,,,,,
P,UE,M04,C03b,PUEM04C03b,PUEM04C03b,2/28/2012,2/29/2012,2,136,125,2,-2,Construct,,,,,,,
P,UE,M04,C03c,PUEM04C03c,PUEM04C03c,2/27/2012,2/27/2012,1,48.98,48.98,1,337,Construct,,,,,,,
P,UE,M04,C02,PUEM04C02,PUEM04C02,1/29/2013,1/30/2013,2,209,185,2,6,Construct,,,,,,,
P,UE,M04,C01,PUEM04C01,PUEM04C01,2/5/2013,2/14/2013,10,616,616,2,21,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1761-0001,"model has only one part, joining a and b in the table",,
P,UE,M04,W09,PUEM04W09,PUEM04W09,3/7/2013,3/8/2013,2,337,308,1,67,Construct,,,,,,,
P,UE,M04,W08,PUEM04W08,PUEM04W08,5/14/2013,5/15/2013,2,274,262,2,10,Construct,,,,,,,
P,UE,M04,W07,PUEM04W07,PUEM04W07,5/25/2013,5/25/2013,1,210,217,1,39,Construct,,,,,,,
P,UE,M04,W06,PUEM04W06,PUEM04W06,7/3/2013,7/3/2013,1,169,165,1,29,Construct,,,,,,,
P,UE,M04,W05,PUEM04W05,PUEM04W05,8/1/2013,8/1/2013,1,176,174,1,21,Construct,,,,,,,
P,UE,M04,W04,PUEM04W04,PUEM04W04,8/22/2013,8/22/2013,1,145,134,1,39,Construct,,,,,,,
P,UE,M04,W03,PUEM04W03,PUEM04W03,9/30/2013,9/30/2013,1,117,122,1,23,Construct,,,,,,,
P,UE,M04,W02,PUEM04W02,PUEM04W02,10/23/2013,10/24/2013,2,122,91,2,352,Construct,,,,,,,
P,UE,M04,W01,PUEM04W01,PUEM04W01,10/11/2014,10/11/2014,1,43,34,1,-729,Construct,,,,,,,
P,UE,M05,F03,PUEM05F03,PUEM05F03,10/12/2012,10/13/2012,2,585,569,2,319,Construct,,,,,"model is missing this piece, to be fixed in model.",FIXED,
P,UE,M05,F02,PUEM05F02,PUEM05F02,8/28/2013,8/29/2013,2,896,871,2,13,Construct,,,,,,,
P,UE,M05,F01,PUEM05F01,PUEM05F01,9/11/2013,9/11/2013,1,1161,1286,1,33,Construct,,,,,,,
P,UE,M05,C04a,PUEM05C04a,PUEM05C04a,10/14/2013,10/15/2013,2,265,245,2,1,Construct,,,,,,,
P,UE,M05,C04b,PUEM05C04b,PUEM05C04b,10/16/2013,10/17/2013,2,294,273,2,-14,Construct,,,,,,,
P,UE,M05,C04c,PUEM05C04c,PUEM05C04c,10/3/2013,10/3/2013,1,121,126,1,47,Construct,,,,,,,
P,UE,M05,C03a,PUEM05C03a,PUEM05C03a,11/19/2013,11/20/2013,2,225,221,2,-5,Construct,,,,,,,
P,UE,M05,C03b,PUEM05C03b,PUEM05C03b,11/15/2013,11/16/2013,2,285,280,2,12,Construct,,,,,,,
