Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,Notes,,
P,UW,M09,W09,PUWM09W09,PUWM09W09,04/04/2012,04/05/2012,2,552,494,2,18,Construct,,,,,,,
P,UW,M09,W08,PUWM09W08,PUWM09W08,04/23/2012,04/24/2012,2,400,419,2,8,Construct,,,,,,,
P,UW,M09,W07,PUWM09W07,PUWM09W07,05/02/2012,05/03/2012,2,352,344,2,21,Construct,,,,,,,
P,UW,M09,W06,PUWM09W06,PUWM09W06,05/24/2012,05/25/2012,2,258,260,2,24,Construct,,,,,,,
P,UW,M09,W05,PUWM09W05,PUWM09W05,06/18/2012,06/19/2012,2,282,274,2,8,Construct,,,,,,,
P,UW,M09,W04,PUWM09W04,PUWM09W04,06/27/2012,06/28/2012,2,216,206,2,9,Construct,,,,,,,
P,UW,M09,W03,PUWM09W03,PUWM09W03,07/07/2012,07/07/2012,1,192,189,1,10,Construct,,,,,,,
P,UW,M09,W02,PUWM09W02,PUWM09W02,07/17/2012,07/18/2012,2,168,170,2,38,Construct,,,,,,,
P,UW,M09,W01,PUWM09W01,PUWM09W01,08/25/2012,09/02/2014,739,86,79,2,-1069,Construct,,,,,,,
P,UW,M10,F02,PUWM10F02,PUWM10F02,09/29/2011,09/29/2011,1,698,658,1,13,Construct,,,,,,,
P,UW,M10,F01,PUWM10F01,PUWM10F01,10/12/2011,10/19/2011,8,952,918,3,6,Construct,Code 02.,"Joining ""F01"" and ""F01 Chamfer"" under the name of ""F01"".",Code 02a.,P-P-S-1381-0002,"No chamfer in model, joining activity.",,
P,UW,M10,C04a,PUWM10C04a,PUWM10C04a,10/25/2011,10/25/2011,1,179,179,1,80,Construct,,,,,,,
P,UW,M10,C04b,PUWM10C04b,PUWM10C04b,01/13/2012,01/13/2012,1,208,157,1,-57,Construct,,,,,,,
P,UW,M10,C04c,PUWM10C04c,PUWM10C04c,11/17/2011,01/14/2012,59,86,80,2,-61,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M10,C03a,PUWM10C03a,PUWM10C03a,11/14/2011,11/14/2011,1,166,166,1,80,Construct,,,,,,,
P,UW,M10,C03b,PUWM10C03b,PUWM10C03b,02/02/2012,02/02/2012,1,219,199,1,-64,Construct,,,,,,,
P,UW,M10,C03c,PUWM10C03c,PUWM10C03c,11/30/2011,11/30/2011,1,80,80,1,149,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M10,C02,PUWM10C02,PUWM10C02,04/27/2012,04/28/2012,2,312,299,2,13,Construct,,,,,,,
P,UW,M10,C01,PUWM10C01,PUWM10C01,05/11/2012,05/22/2012,12,1010,999,4,13,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1381-0002,"Model has no separation, uniting a and b",,
P,UW,M10,W09,PUWM10W09,PUWM10W09,06/04/2012,06/04/2012,1,496,494,1,15,Construct,,,,,,,
P,UW,M10,W08,PUWM10W08,PUWM10W08,06/19/2012,06/19/2012,1,404,419,1,8,Construct,,,,,,,
P,UW,M10,W07,PUWM10W07,PUWM10W07,06/27/2012,06/27/2012,1,344,344,1,9,Construct,,,,,,,
P,UW,M10,W06,PUWM10W06,PUWM10W06,07/06/2012,07/06/2012,1,258,260,1,27,Construct,,,,,,,
P,UW,M10,W05,PUWM10W05,PUWM10W05,08/02/2012,08/02/2012,1,268,275,1,15,Construct,,,,,,,
P,UW,M10,W04,PUWM10W04,PUWM10W04,08/17/2012,08/17/2012,1,208,206,1,13,Construct,,,,,,,
P,UW,M10,W03,PUWM10W03,PUWM10W03,08/30/2012,08/30/2012,1,188,189,1,14,Construct,,,,,,,
P,UW,M10,W02,PUWM10W02,PUWM10W02,09/13/2012,09/13/2012,1,166,170,1,686,Construct,,,,,,,
P,UW,M10,W01,PUWM10W01,PUWM10W01,07/31/2014,07/31/2014,1,64,58,1,-1056,Construct,,,,,,,
P,UW,M11,F02,PUWM11F02,PUWM11F02,09/09/2011,09/09/2011,1,304,276,1,7,Construct,,,,,,,
P,UW,M11,F01,PUWM11F01,PUWM11F01,09/16/2011,10/07/2011,22,432,385,2,23,Construct,Code 02.,"Joining ""F01"" and ""F01 Chamfer"" under the name of ""F01"".",Code 02a.,P-P-S-1401-0001,"No chamfer in model, joining activity.",,
P,UW,M11,C04a,PUWM11C04a,PUWM11C04a,10/30/2011,11/07/2011,9,83,83,2,15,Construct,,,,,,,
P,UW,M11,C04b,PUWM11C04b,PUWM11C04b,11/22/2011,11/22/2011,1,96,58,1,-33,Construct,,,,,,,
P,UW,M11,C04c,PUWM11C04c,PUWM11C04c,10/20/2011,10/20/2011,1,40,40,1,30,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M11,C03a,PUWM11C03a,PUWM11C03a,11/19/2011,11/22/2011,4,104,104,2,9,Construct,,,,,,,
P,UW,M11,C03b,PUWM11C03b,PUWM11C03b,12/01/2011,12/01/2011,1,92,83,1,-41,Construct,,,,,,,
P,UW,M11,C03c,PUWM11C03c,PUWM11C03c,10/21/2011,10/21/2011,1,0,0,0,120,Construct,Code 01.,"A new row was created, under the name of ""C03c"", with 0 quantities and the date of the previous lift plus one day.",Code 01a.,P-P-S-1401-001,Table and model have correct name..review model.,,
P,UW,M11,C02,PUWM11C02,PUWM11C02,02/18/2012,02/18/2012,1,128,125,1,17,Construct,,,,,,,
P,UW,M11,C01,PUWM11C01,PUWM11C01,03/06/2012,03/13/2012,8,457,419,2,29,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1401-0001,"Model has no separation, uniting a and b",,
P,UW,M11,W09,PUWM11W09,PUWM11W09,04/11/2012,04/11/2012,1,218,210,1,13,Construct,,,,,,,
P,UW,M11,W08,PUWM11W08,PUWM11W08,04/24/2012,04/24/2012,1,182,179,1,8,Construct,,,,,,,
P,UW,M11,W07,PUWM11W07,PUWM11W07,05/02/2012,05/02/2012,1,152,148,1,12,Construct,,,,,,,
P,UW,M11,W06,PUWM11W06,PUWM11W06,05/14/2012,05/15/2012,2,120,112,2,10,Construct,,,,,,,
P,UW,M11,W05,PUWM11W05,PUWM11W05,05/25/2012,05/25/2012,1,120,119,1,11,Construct,,,,,,,
P,UW,M11,W04,PUWM11W04,PUWM11W04,06/05/2012,06/05/2012,1,94,90,1,10,Construct,,,,,,,
P,UW,M11,W03,PUWM11W03,PUWM11W03,06/15/2012,06/15/2012,1,83,80,1,7,Construct,,,,,,,
P,UW,M11,W02,PUWM11W02,PUWM11W02,06/22/2012,06/22/2012,1,64,65,1,13,Construct,,,,,,,
P,UW,M11,W01,PUWM11W01,PUWM11W01,07/05/2012,07/05/2012,1,22,20,1,-224,Construct,,,,,,,
P,UW,M12,F02,PUWM12F02,PUWM12F02,11/24/2011,11/25/2011,2,1020,998,1,12,Construct,,,,,"F02 is divided in 2 in the model, creating duplicate dated lift and dividing quantities",,
P,UW,M12,F01a,PUWM12F01a,PUWM12F01a,12/07/2011,03/09/2012,94,773,723,2,-4,Construct,Code 02.,"Joining ""F01"" and ""F01a"" under the name of ""F01a"".",Code 02a.,P-P-S-1420-0002,,,
P,UW,M12,F01b,PUWM12F01b,PUWM12F01b,03/05/2012,03/07/2012,3,142,142,2,15,Construct,Code 02.,"Joining ""F01b"" and ""F01c"" under the name of ""F01b"".",Code 02a.,P-P-S-1420-0002,"Model has only a and b, joining lifts",,
P,UW,M12,C04a,PUWM12C04a,PUWM12C04a,03/22/2012,03/22/2012,1,168,164,1,-8,Construct,,,,,"Model is not separated, correct",,
P,UW,M12,C04b,PUWM12C04b,PUWM12C04b,03/14/2012,03/14/2012,1,197,194,1,16,Construct,,,,,,,
P,UW,M12,C04c,PUWM12C04c,PUWM12C04c,03/30/2012,03/30/2012,1,160,137,1,3,Construct,,,,,"Model is not separated, correct",,
P,UW,M12,C03a,PUWM12C03a,PUWM12C03a,04/02/2012,04/02/2012,1,176,176,1,-12,Construct,,,,,"Model is not separated, correct",,
P,UW,M12,C03b,PUWM12C03b,PUWM12C03b,03/21/2012,03/21/2012,1,208,208,1,28,Construct,,,,,,,
P,UW,M12,C03c,PUWM12C03c,PUWM12C03c,04/18/2012,04/18/2012,1,162,144,1,171,Construct,,,,,"Model is not separated, correct",,
P,UW,M12,C02,PUWM12C02,PUWM12C02,10/06/2012,10/06/2012,1,345,320,1,6,Construct,,,,,,,
P,UW,M12,C01,PUWM12C01,PUWM12C01,10/12/2012,10/24/2012,13,1055,1050,2,50,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1420-0002,"Model has no separation, uniting a and b",,
P,UW,M12,W09,PUWM12W09,PUWM12W09,12/13/2012,12/14/2012,2,493,494,2,13,Construct,,,,,,,
P,UW,M12,W08,PUWM12W08,PUWM12W08,12/27/2012,12/28/2012,2,442.5,419,2,33,Construct,,,,,,,
P,UW,M12,W07,PUWM12W07,PUWM12W07,01/30/2013,01/31/2013,2,341,344,2,14,Construct,,,,,,,
P,UW,M12,W06,PUWM12W06,PUWM12W06,02/14/2013,02/15/2013,2,318,259,2,17,Construct,,,,,,,
P,UW,M12,W05,PUWM12W05,PUWM12W05,03/04/2013,03/05/2013,2,306,273,2,32,Construct,,,,,,,
P,UW,M12,W04,PUWM12W04,PUWM12W04,04/06/2013,04/06/2013,1,225,225,1,24,Construct,,,,,,,
P,UW,M12,W03,PUWM12W03,PUWM12W03,04/30/2013,04/30/2013,1,245,182,1,197,Construct,,,,,,,
P,UW,M12,W02,PUWM12W02,PUWM12W02,11/13/2013,11/13/2013,1,157,157,1,285,Construct,,,,,,,
P,UW,M12,W01,PUWM12W01,PUWM12W01,08/25/2014,08/25/2014,1,52.5,63,1,-1038,Construct,,,,,,,
P,UW,M13,F03,PUWM13F03,PUWM13F03,10/22/2011,10/23/2011,2,949,885,2,22,Construct,,,,,,,
P,UW,M13,F02,PUWM13F02,PUWM13F02,11/14/2011,11/14/2011,1,960,1030,1,84,Construct,,,,,,,
P,UW,M13,F01a,PUWM13F01a,PUWM13F01a,02/06/2012,02/06/2012,1,128,128,1,-38,Construct,,,,,"Model is not separated, correct",,
P,UW,M13,F01b,PUWM13F01b,PUWM13F01b,12/30/2011,02/16/2012,49,385.04,130,4,9,Construct,Code 05.,"Lift ""F01"" will be renamed as ""F01b"".",Code 05a.,P-P-S-1442-0001,"Model is not separated, correct in Table, Replacing info from F01 to F01b since it is empty.",,
P,UW,M13,F01c,PUWM13F01c,PUWM13F01c,02/25/2012,02/25/2012,1,107,72,1,32,Construct,Code 02.,"Joining ""F01c"", ""F01c-N"" and ""F01C-S"" as ""F01c"".",Code 02a.,P-P-S-1442-0001,"Model is not separated, correct",,
P,UW,M13,C04a,PUWM13C04a,PUWM13C04a,03/28/2012,03/28/2012,1,235,235,1,52,Construct,,,,,,,
P,UW,M13,C04b,PUWM13C04b,PUWM13C04b,05/19/2012,05/19/2012,1,304,350,1,-22,Construct,,,,,,,
P,UW,M13,C04c,PUWM13C04c,PUWM13C04c,04/27/2012,05/29/2012,33,152,80,2,-47,Construct,,,,,,,
P,UW,M13,C03a,PUWM13C03a,PUWM13C03a,04/12/2012,04/12/2012,1,226,226,1,47,Construct,,,,,,,
P,UW,M13,C03b,PUWM13C03b,PUWM13C03b,05/29/2012,05/30/2012,2,312,326,2,-16,Construct,,,,,,,
P,UW,M13,C03c,PUWM13C03c,PUWM13C03c,05/14/2012,06/07/2012,25,137,73,2,46,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M13,C02,PUWM13C02,PUWM13C02,07/23/2012,07/23/2012,1,395,400,1,10,Construct,,,,,,,
P,UW,M13,C01,PUWM13C01,PUWM13C01,08/02/2012,08/22/2012,21,1287,1290,4,15,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1442-0001,"Model has no separation, uniting a and b",,
P,UW,M13,W09,PUWM13W09,PUWM13W09,09/06/2012,09/06/2012,1,504,501,1,13,Construct,,,,,,,
P,UW,M13,W08,PUWM13W08,PUWM13W08,09/19/2012,09/20/2012,2,424,426,2,8,Construct,Code 05.,"Lift ""W08a"" will be renamed a ""W08"".",Code 05a.,P-P-S-1442-0001,"removing the ""a"" from the name in the table.",,
P,UW,M13,W07,PUWM13W07,PUWM13W07,09/28/2012,09/28/2012,1,352,350,1,11,Construct,,,,,,,
P,UW,M13,W06,PUWM13W06,PUWM13W06,10/09/2012,10/09/2012,1,275,266,1,10,Construct,,,,,,,
P,UW,M13,W05,PUWM13W05,PUWM13W05,10/19/2012,10/20/2012,2,288,282,2,26,Construct,,,,,,,
P,UW,M13,W04,PUWM13W04,PUWM13W04,11/15/2012,11/16/2012,2,218.28,212,2,14,Construct,,,,,,,
P,UW,M13,W03,PUWM13W03,PUWM13W03,11/30/2012,12/01/2012,2,193,195,2,335,Construct,,,,,,,
P,UW,M13,W02,PUWM13W02,PUWM13W02,11/01/2013,11/01/2013,1,144.5,142,1,292,Construct,,,,,,,
P,UW,M13,W01,PUWM13W01,PUWM13W01,08/20/2014,08/20/2014,1,64,57,1,-992,Construct,,,,,,,
P,UW,M14,F02,PUWM14F02,PUWM14F02,12/02/2011,12/02/2011,1,1042,1000,0.5,11,Construct,,,,,,,
P,UW,M14,F01a,PUWM14F01a,PUWM14F01a,12/13/2011,03/23/2012,102,746,722,3,-23,Construct,Code 05.,"Lift ""F01"" will be renamed as ""F01a"".",Code 05a.,P-P-S-1462-0001,"Lift has a and b, no c, chaning names in table",,
P,UW,M14,F01b,PUWM14F01b,PUWM14F01b,02/29/2012,03/02/2012,3,133,133,2,54,Construct,Code 05.,"Lift ""F01c"" will be renamed as ""F01b"".",Code 05a.,P-P-S-1462-0001,,,
P,UW,M14,C04a,PUWM14C04a,PUWM14C04a,04/25/2012,04/25/2012,1,177,170,1,-30,Construct,,,,,,,
P,UW,M14,C04b,PUWM14C04b,PUWM14C04b,03/26/2012,03/26/2012,1,208,200,1,73,Construct,,,,,,,
P,UW,M14,C04c,PUWM14C04c,PUWM14C04c,06/07/2012,06/07/2012,1,161,126,1,-24,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M14,C03a,PUWM14C03a,PUWM14C03a,05/14/2012,05/14/2012,1,191,189,1,-18,Construct,,,,,,,
P,UW,M14,C03b,PUWM14C03b,PUWM14C03b,04/26/2012,04/26/2012,1,224,224,1,67,Construct,,,,,,,
P,UW,M14,C03c,PUWM14C03c,PUWM14C03c,07/02/2012,07/02/2012,1,153,115,1,84,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M14,C02,PUWM14C02,PUWM14C02,09/24/2012,09/25/2012,2,343,323,2,8,Construct,,,,,,,
P,UW,M14,C01,PUWM14C01,PUWM14C01,10/03/2012,10/16/2012,14,1068,1051,4,22,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1462-0001,"Model has no separation, uniting a and b",,
P,UW,M14,W09,PUWM14W09,PUWM14W09,11/07/2012,11/07/2012,1,485,494,1,15,Construct,,,,,,,
P,UW,M14,W08,PUWM14W08,PUWM14W08,11/22/2012,11/22/2012,1,417,419,1,12,Construct,,,,,,,
P,UW,M14,W07,PUWM14W07,PUWM14W07,12/04/2012,12/05/2012,2,324,344,2,41,Construct,,,,,,,
P,UW,M14,W06,PUWM14W06,PUWM14W06,01/15/2013,01/16/2013,2,290,260,2,17,Construct,,,,,,,
P,UW,M14,W05,PUWM14W05,PUWM14W05,02/02/2013,02/02/2013,1,273,274,1,20,Construct,,,,,,,
P,UW,M14,W04,PUWM14W04,PUWM14W04,02/22/2013,02/22/2013,1,221,206,1,42,Construct,,,,,,,
P,UW,M14,W03,PUWM14W03,PUWM14W03,04/05/2013,04/06/2013,2,226,194,2,202,Construct,,,,,,,
P,UW,M14,W02,PUWM14W02,PUWM14W02,10/25/2013,10/25/2013,1,165,154,1,293,Construct,,,,,,,
P,UW,M14,W01,PUWM14W01,PUWM14W01,08/14/2014,08/14/2014,1,53,62,1,-1009,Construct,,,,,,,
P,UW,M15,F02,PUWM15F02,PUWM15F02,11/09/2011,11/10/2011,2,560,531,2,8,Construct,,,,,,,
P,UW,M15,F01,PUWM15F01,PUWM15F01,11/18/2011,11/19/2011,2,760,743,2,25,Construct,,,,,,,
P,UW,M15,C04a,PUWM15C04a,PUWM15C04a,12/14/2011,12/14/2011,1,152,152,1,51,Construct,,,,,,,
P,UW,M15,C04b,PUWM15C04b,PUWM15C04b,02/03/2012,02/03/2012,1,176,94,1,-10,Construct,,,,,,,
P,UW,M15,C04c,PUWM15C04c,PUWM15C04c,01/24/2012,01/24/2012,1,88,88,1,-12,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M15,C03a,PUWM15C03a,PUWM15C03a,01/12/2012,01/12/2012,1,128.28,128,1,41,Construct,,,,,,,
P,UW,M15,C03b,PUWM15C03b,PUWM15C03b,02/22/2012,02/23/2012,2,168,166,2,-22,Construct,,,,,,,
P,UW,M15,C03c,PUWM15C03c,PUWM15C03c,02/01/2012,02/01/2012,1,64,64,1,56,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M15,C02,PUWM15C02,PUWM15C02,03/28/2012,03/29/2012,2,240,241,2,11,Construct,,,,,,,
P,UW,M15,C01,PUWM15C01,PUWM15C01,04/09/2012,04/20/2012,12,825,804,2,34,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1480-0001,"Model has no separation, uniting a and b",,
P,UW,M15,W09,PUWM15W09,PUWM15W09,05/24/2012,05/25/2012,2,387,396,2,18,Construct,,,,,,,
P,UW,M15,W08,PUWM15W08,PUWM15W08,06/12/2012,06/13/2012,2,345,336,2,6,Construct,,,,,,,
P,UW,M15,W07,PUWM15W07,PUWM15W07,06/19/2012,06/20/2012,2,294,275,2,8,Construct,,,,,,,
P,UW,M15,W06,PUWM15W06,PUWM15W06,06/28/2012,06/28/2012,1,218,208,1,11,Construct,,,,,,,
P,UW,M15,W05,PUWM15W05,PUWM15W05,07/09/2012,07/09/2012,1,227,219,1,5,Construct,,,,,,,
P,UW,M15,W04,PUWM15W04,PUWM15W04,07/14/2012,07/14/2012,1,193,164,1,5,Construct,,,,,,,
P,UW,M15,W03,PUWM15W03,PUWM15W03,07/19/2012,07/20/2012,2,164,159,2,6,Construct,,,,,,,
P,UW,M15,W02,PUWM15W02,PUWM15W02,07/26/2012,07/27/2012,2,137,133,2,743,Construct,,,,,,,
P,UW,M15,W01,PUWM15W01,PUWM15W01,08/09/2014,08/09/2014,1,40,57,1,-1029,Construct,,,,,,,
P,UW,M16,F02,PUWM16F02,PUWM16F02,10/15/2011,10/15/2011,1,733,659,1,10,Construct,,,,,,,
P,UW,M16,F01,PUWM16F01,PUWM16F01,10/25/2011,10/26/2011,2,880,922,2,13,Construct,,,,,,,
P,UW,M16,C04a,PUWM16C04a,PUWM16C04a,11/08/2011,01/31/2012,85,202,202,2,13,Construct,,,,,,,
P,UW,M16,C04b,PUWM16C04b,PUWM16C04b,02/13/2012,02/14/2012,2,224,214,2,2,Construct,,,,,,,
P,UW,M16,C04c,PUWM16C04c,PUWM16C04c,02/16/2012,02/16/2012,1,81,0,1,-2,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M16,C03a,PUWM16C03a,PUWM16C03a,02/14/2012,02/14/2012,1,169,169,1,17,Construct,,,,,,,
P,UW,M16,C03b,PUWM16C03b,PUWM16C03b,03/02/2012,03/02/2012,1,216,216,1,6,Construct,,,,,,,
P,UW,M16,C03c,PUWM16C03c,PUWM16C03c,03/08/2012,03/08/2012,1,75,59,1,102,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M16,C02,PUWM16C02,PUWM16C02,06/18/2012,06/18/2012,1,313,299,1,7,Construct,,,,,,,
P,UW,M16,C01,PUWM16C01,PUWM16C01,06/25/2012,07/03/2012,9,1002,999,2,44,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1502-0001,"Model has no separation, uniting a and b",,
P,UW,M16,W09,PUWM16W09,PUWM16W09,08/16/2012,08/17/2012,2,514,494,2,17,Construct,,,,,,,
P,UW,M16,W08,PUWM16W08,PUWM16W08,09/03/2012,09/03/2012,1,430,419,1,7,Construct,,,,,,,
P,UW,M16,W07,PUWM16W07,PUWM16W07,09/10/2012,09/11/2012,2,357,344,2,15,Construct,,,,,,,
P,UW,M16,W06,PUWM16W06,PUWM16W06,09/26/2012,09/27/2012,2,268,260,2,19,Construct,,,,,,,
P,UW,M16,W05,PUWM16W05,PUWM16W05,10/16/2012,10/17/2012,2,270,275,2,26,Construct,,,,,,,
P,UW,M16,W04,PUWM16W04,PUWM16W04,11/12/2012,11/12/2012,1,237,206,1,12,Construct,,,,,,,
P,UW,M16,W03,PUWM16W03,PUWM16W03,11/24/2012,11/24/2012,1,193,196,1,362,Construct,,,,,,,
P,UW,M16,W02,PUWM16W02,PUWM16W02,11/21/2013,11/22/2013,2,161,157,2,252,Construct,,,,,,,
P,UW,M16,W01,PUWM16W01,PUWM16W01,08/01/2014,08/01/2014,1,81,79,1,-998,Construct,,,,,,,
P,UW,M17,F02,PUWM17F02,PUWM17F02,11/07/2011,11/08/2011,2,750,659,2,7,Construct,,,,,,,
P,UW,M17,F01,PUWM17F01,PUWM17F01,11/15/2011,11/15/2011,1,880,921,1,49,Construct,,,,,,,
P,UW,M17,C04a,PUWM17C04a,PUWM17C04a,01/03/2012,01/04/2012,2,182.56,182.56,2,52,Construct,,,,,,,
P,UW,M17,C04b,PUWM17C04b,PUWM17C04b,02/25/2012,02/25/2012,1,219,144,1,-19,Construct,,,,,,,
P,UW,M17,C04c,PUWM17C04c,PUWM17C04c,02/06/2012,02/07/2012,2,88,88,2,38,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M17,C03a,PUWM17C03a,PUWM17C03a,03/16/2012,03/16/2012,1,161,153,1,-4,Construct,,,,,,,
P,UW,M17,C03b,PUWM17C03b,PUWM17C03b,03/12/2012,03/12/2012,1,210,210,1,3,Construct,,,,,,,
P,UW,M17,C03c,PUWM17C03c,PUWM17C03c,03/15/2012,03/15/2012,1,81,81,1,56,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M17,C02,PUWM17C02,PUWM17C02,05/10/2012,05/11/2012,2,298,299,2,10,Construct,,,,,,,
P,UW,M17,C01,PUWM17C01,PUWM17C01,05/21/2012,05/29/2012,9,1031,999,2,45,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1522-0001,"Model has no separation, uniting a and b",,
P,UW,M17,W09,PUWM17W09,PUWM17W09,07/13/2012,07/13/2012,1,503,494,1,8,Construct,,,,,,,
P,UW,M17,W08,PUWM17W08,PUWM17W08,07/21/2012,07/22/2012,2,430,419,2,15,Construct,,,,,,,
P,UW,M17,W07,PUWM17W07,PUWM17W07,08/06/2012,08/06/2012,1,357,344,1,11,Construct,,,,,,,
P,UW,M17,W06,PUWM17W06,PUWM17W06,08/17/2012,08/17/2012,1,273,258,1,11,Construct,,,,,,,
P,UW,M17,W05,PUWM17W05,PUWM17W05,08/28/2012,08/29/2012,2,297,272,2,10,Construct,,,,,,,
P,UW,M17,W04,PUWM17W04,PUWM17W04,09/08/2012,09/08/2012,1,210,205,1,16,Construct,,,,,,,
P,UW,M17,W03,PUWM17W03,PUWM17W03,09/24/2012,09/24/2012,1,217,189,1,17,Construct,,,,,,,
P,UW,M17,W02,PUWM17W02,PUWM17W02,10/11/2012,10/11/2012,1,175,149,1,653,Construct,,,,,,,
P,UW,M17,W01,PUWM17W01,PUWM17W01,07/26/2014,07/26/2014,1,64,65,1,-904,Construct,,,,,,,
P,UW,M18,F02,PUWM18F02,PUWM18F02,02/03/2012,02/03/2012,1,472,392,1,6,Construct,,,,,,,
P,UW,M18,F01,PUWM18F01,PUWM18F01,02/09/2012,02/10/2012,2,552,554,2,25,Construct,,,,,,,
P,UW,M18,C04a,PUWM18C04a,PUWM18C04a,03/06/2012,03/06/2012,1,116,81,1,-3,Construct,,,,,,,
P,UW,M18,C04b,PUWM18C04b,PUWM18C04b,03/03/2012,03/03/2012,1,112,112,1,-4,Construct,,,,,,,
P,UW,M18,C04c,PUWM18C04c,PUWM18C04c,02/28/2012,02/28/2012,1,56.5,57,1,34,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M18,C03a,PUWM18C03a,PUWM18C03a,04/02/2012,04/03/2012,2,113,113,2,8,Construct,,,,,,,
P,UW,M18,C03b,PUWM18C03b,PUWM18C03b,04/11/2012,04/11/2012,1,121,94,1,-11,Construct,,,,,,,
P,UW,M18,C03c,PUWM18C03c,PUWM18C03c,03/31/2012,03/31/2012,1,52,52,1,82,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M18,C02,PUWM18C02,PUWM18C02,06/21/2012,06/21/2012,1,176,179,1,5,Construct,,,,,,,
P,UW,M18,C01,PUWM18C01,PUWM18C01,06/26/2012,07/05/2012,10,614,602,3,391,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1542-0001,"Model has no separation, uniting a and b",,
P,UW,M18,W09,PUWM18W09,PUWM18W09,07/31/2013,07/31/2013,1,281,293,1,19,Construct,,,,,,,
P,UW,M18,W08,PUWM18W08,PUWM18W08,08/19/2013,08/20/2013,2,238,247,2,22,Construct,,,,,,,
P,UW,M18,W07,PUWM18W07,PUWM18W07,09/11/2013,09/11/2013,1,199,202,1,19,Construct,,,,,,,
P,UW,M18,W06,PUWM18W06,PUWM18W06,09/30/2013,09/30/2013,1,169,151,1,14,Construct,,,,,,,
P,UW,M18,W05,PUWM18W05,PUWM18W05,10/14/2013,10/14/2013,1,152,158,1,4,Construct,,,,,,,
P,UW,M18,W04,PUWM18W04,PUWM18W04,10/18/2013,10/18/2013,1,117,111,1,21,Construct,,,,,,,
P,UW,M18,W03,PUWM18W03,PUWM18W03,11/08/2013,11/08/2013,1,112,115,1,10,Construct,,,,,,,
P,UW,M18,W02,PUWM18W02,PUWM18W02,11/18/2013,11/18/2013,1,113,102,1,234,Construct,,,,,,,
P,UW,M18,W01,PUWM18W01,PUWM18W01,07/10/2014,07/10/2014,1,73,41,1,-678,Construct,,,,,,,
P,UW,M19,F02,PUWM19F02,PUWM19F02,08/31/2012,09/01/2012,2,752,755,2,16,Construct,,,,,,,
P,UW,M19,F01,PUWM19F01,PUWM19F01,09/17/2012,09/18/2012,2,1144,1155,2,37,Construct,,,,,,,
P,UW,M19,C04a,PUWM19C04a,PUWM19C04a,10/25/2012,10/25/2012,1,229,220,1,98,Construct,,,,,"model has wrong name, correct.",,
P,UW,M19,C04b,PUWM19C04b,PUWM19C04b,01/31/2013,01/31/2013,1,233,224,1,-28,Construct,,,,,,,
P,UW,M19,C04c,PUWM19C04c,PUWM19C04c,01/03/2013,01/03/2013,1,137,137,1,-15,Construct,,,,,"model has wrong name, correct.",,
P,UW,M19,C03a,PUWM19C03a,PUWM19C03a,12/19/2012,12/19/2012,1,233,221,1,72,Construct,,,,,"model has wrong name, correct.",,
P,UW,M19,C03b,PUWM19C03b,PUWM19C03b,03/01/2013,03/02/2013,2,263,295,2,-39,Construct,,,,,,,
P,UW,M19,C03c,PUWM19C03c,PUWM19C03c,01/22/2013,01/23/2013,2,154,111,2,110,Construct,,,,,"model has wrong name, correct.",,
P,UW,M19,C02,PUWM19C02,PUWM19C02,05/13/2013,05/13/2013,1,409,405,1,3,Construct,,,,,,,
