Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,Notes,,
P,UW,M02,C05b,PUWM02C05b,PUWM02C05b,05/11/2012,05/12/2012,2,526,526,2,-1,Construct,Code 03.,"Lift ""C05&C06 b+c"" will be separated into ""C05b"", ""C05c"", ""C06b"" and ""C06c"".  All quantities will be assigned to ""C05b"".",Code 03a.,P-P-S-1723-0002,Changing name only to C05b,,
P,UW,M02,C05c,PUWM02C05c,PUWM02C05c,05/11/2012,05/12/2012,2,0,0,0,-1,Construct,Code 03.,"Lift ""C05&C06 b+c"" will be separated into ""C05b"", ""C05c"", ""C06b"" and ""C06c"".  All quantities will be assigned to ""C05b"".",Code 03a.,P-P-S-1723-0002,Changing name only to C05b,,
P,UW,M02,C06b,PUWM02C06b,PUWM02C06b,05/11/2012,05/12/2012,2,0,0,0,-1,Construct,Code 03.,"Lift ""C05&C06 b+c"" will be separated into ""C05b"", ""C05c"", ""C06b"" and ""C06c"".  All quantities will be assigned to ""C05b"".",Code 03a.,P-P-S-1723-0002,Changing name only to C05b,,
P,UW,M02,C06c,PUWM02C06c,PUWM02C06c,05/11/2012,05/12/2012,2,0,0,0,108,Construct,Code 03.,"Lift ""C05&C06 b+c"" will be separated into ""C05b"", ""C05c"", ""C06b"" and ""C06c"".  All quantities will be assigned to ""C05b"".",Code 03a.,P-P-S-1723-0002,Changing name only to C05b,,
P,UW,M02,C04,PUWM02C04,PUWM02C04,08/28/2012,09/21/2012,25,286,286,2,-17,Construct,Code 02.,"Joining ""C04a"" and ""C04b"" under the name of C04.",Code 02a.,P-P-S-1723-0002,"only C04 exists in model, joining a and b",,
P,UW,M02,C03,PUWM02C03,PUWM02C03,09/04/2012,09/25/2012,22,233,233,3,78,Construct,Code 02.,"Joining ""C03a-1"" and ""C03b"" under the name of C03.",Code 02a.,P-P-S-1723-0002,"only C03 exists in model, joining a and b",,
P,UW,M02,C02,PUWM02C02,PUWM02C02,12/12/2012,12/13/2012,2,563,500,2,36,Construct,Code 02.,"Joining ""C02b-1"" and ""C02"" under the name of C02.",Code 02a.,P-P-S-1723-0002,,,
P,UW,M02,C01,PUWM02C01,PUWM02C01,01/18/2013,01/19/2013,2,952,1070,2,270,Construct,Code 05.,"Lift ""C01a"" will be renamed as ""C01"".",Code 05a.,P-P-S-1723-0002,"Model has C01, deleting ""a"" from the name",,
P,UW,M02,W09,PUWM02W09,PUWM02W09,10/16/2013,10/16/2013,1,135,89,1,13,Construct,,,,,,,
P,UW,M02,W08,PUWM02W08,PUWM02W08,10/29/2013,10/29/2013,1,297,312,1,16,Construct,,,,,,,
P,UW,M02,W07,PUWM02W07,PUWM02W07,11/14/2013,11/15/2013,2,373,350,2,38,Construct,,,,,,,
P,UW,M02,W06,PUWM02W06,PUWM02W06,12/23/2013,12/23/2013,1,232,260,1,23,Construct,,,,,,,
P,UW,M02,W05,PUWM02W05,PUWM02W05,01/15/2014,02/26/2014,43,453,479,2,-41,Construct,,,,,,,
P,UW,M02,W04,PUWM02W04,PUWM02W04,01/16/2014,01/16/2014,1,0,0,0,58,Construct,Code 01.,"A new row was created under the name of ""W04"" with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-1723-0002,"No ""04 1st, joining lifts to 04",,
P,UW,M02,W03,PUWM02W03,PUWM02W03,03/15/2014,03/15/2014,1,188,198,1,19,Construct,,,,,,,
P,UW,M02,W02,PUWM02W02,PUWM02W02,04/03/2014,04/03/2014,1,160,161,1,58,Construct,,,,,,,
P,UW,M02,W01,PUWM02W01,PUWM02W01,05/31/2014,05/31/2014,1,80,68,1,-824,Construct,,,,,,,
P,UW,M03,F02,PUWM03F02,PUWM03F02,02/27/2012,02/27/2012,1,718,658,1,4,Construct,,,,,,,
P,UW,M03,F01,PUWM03F01,PUWM03F01,03/02/2012,03/03/2012,2,904,918,2,12,Construct,,,,,,,
P,UW,M03,C04a,PUWM03C04a,PUWM03C04a,03/15/2012,03/15/2012,1,170,170,1,14,Construct,,,,,,,
P,UW,M03,C04b,PUWM03C04b,PUWM03C04b,03/29/2012,03/29/2012,1,229,145,1,-9,Construct,,,,,,,
P,UW,M03,C04c,PUWM03C04c,PUWM03C04c,03/20/2012,03/20/2012,1,100,100,1,3,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M03,C03a,PUWM03C03a,PUWM03C03a,03/23/2012,03/23/2012,1,161,161,1,59,Construct,,,,,,,
P,UW,M03,C03b,PUWM03C03b,PUWM03C03b,05/21/2012,05/22/2012,2,204,190,2,-34,Construct,,,,,,,
P,UW,M03,C03c,PUWM03C03c,PUWM03C03c,04/18/2012,04/18/2012,1,92,92,1,163,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M03,C02,PUWM03C02,PUWM03C02,09/28/2012,09/29/2012,2,334,299,2,9,Construct,,,,,,,
P,UW,M03,C01,PUWM03C01,PUWM03C01,10/08/2012,10/20/2012,13,1043,998,4,219,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1242-0001,"Model has no separation, uniting a and b",,
P,UW,M03,W09,PUWM03W09,PUWM03W09,05/27/2013,05/28/2013,2,549,494,2,176,Construct,,,,,,,
P,UW,M03,W08,PUWM03W08,PUWM03W08,11/20/2013,11/21/2013,2,441,419,2,8,Construct,,,,,,,
