Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,,,,
P,H3C,4C,F06,PH3C4CF06,PH3C4CF06,05/02/2013,05/03/2013,2,312,280,2,6,Construct,,,,,,,,
P,H3C,4C,F05,PH3C4CF05,PH3C4CF05,05/09/2013,05/10/2013,2,364,324,2,4,Construct,,,,,,,,
P,H3C,4C,F04,PH3C4CF04,PH3C4CF04,05/14/2013,05/14/2013,1,416,365,1,11,Construct,,,,,,,,
P,H3C,4C,F03,PH3C4CF03,PH3C4CF03,05/25/2013,05/25/2013,1,753,707,1,54,Construct,,,,,,,,
P,H3C,4C,F02,PH3C4CF02,PH3C4CF02,07/18/2013,07/19/2013,2,208,246,2,17,Construct,,,,,,,,
P,H3C,4C,F01,PH3C4CF01,PH3C4CF01,08/05/2013,08/06/2013,2,152,138,2,-508,Construct,,,,,,,,
P,H3E,3A,F07,PH3E3AF07,PH3E3AF07,03/16/2012,03/17/2012,2,787,740,2,13,Construct,,,,,,,,
P,H3E,3A,F06,PH3E3AF06,PH3E3AF06,03/30/2012,03/31/2012,2,731,731,2,23,Construct,,,,,,,,
P,H3E,3A,F05a,PH3E3AF05a,PH3E3AF05a,04/23/2012,04/24/2012,2,368,409,2,7,Construct,,,,,,,,
P,H3E,3A,F05b,PH3E3AF05b,PH3E3AF05b,05/01/2012,05/02/2012,2,348,286,2,61,Construct,,,,,,,,
P,H3E,3A,F05c,PH3E3AF05c,PH3E3AF05c,07/02/2012,07/02/2012,1,350,277,1,-49,Construct,,,,,,,,
P,H3E,3A,F04a,PH3E3AF04a,PH3E3AF04a,05/14/2012,05/15/2012,2,304,296,2,10,Construct,,,,,,,,
P,H3E,3A,F04b,PH3E3AF04b,PH3E3AF04b,05/25/2012,05/26/2012,2,352,296,2,55,Construct,,,,,,,,
P,H3E,3A,F04c,PH3E3AF04c,PH3E3AF04c,07/20/2012,07/21/2012,2,304,286,2,212,Construct,,,,,,,,
P,H3E,3A,F03,PH3E3AF03,PH3E3AF03,02/18/2013,03/20/2013,31,1786,1883,5,35,Construct,Code 02.,"Joining lifts ""F03a"", ""F03b"" and ""F03c"" under the name of ""F03"".",Code 02a.,P-P-S-0671-0003,,,,
P,H3E,3A,F02,PH3E3AF02,PH3E3AF02,04/24/2013,07/17/2013,85,734,667,3,-70,Construct,,,,,,,,
P,H3E,3A,F01,PH3E3AF01,PH3E3AF01,05/08/2013,05/09/2013,2,665,665,2,15,Construct,,,,,,,,
P,H3E,3A,W13,PH3E3AW13,PH3E3AW13,05/24/2013,05/25/2013,2,1033,979,2,11,Construct,,,,,,,,
P,H3E,3A,W12,PH3E3AW12,PH3E3AW12,06/05/2013,06/06/2013,2,995,943,2,12,Construct,,,,,,,,
P,H3E,3A,W11,PH3E3AW11,PH3E3AW11,06/18/2013,06/19/2013,2,853,900,2,15,Construct,,,,,,,,
P,H3E,3A,W10,PH3E3AW10,PH3E3AW10,07/04/2013,07/05/2013,2,840,882,2,18,Construct,,,,,,,,
P,H3E,3A,W09,PH3E3AW09,PH3E3AW09,07/23/2013,07/24/2013,2,778,890,2,13,Construct,,,,,,,,
P,H3E,3A,W08,PH3E3AW08,PH3E3AW08,08/06/2013,08/06/2013,1,624,625,1,15,Construct,,,,,,,,
P,H3E,3A,W07a,PH3E3AW07a,PH3E3AW07a,08/20/2013,08/20/2013,1,488,485,1,1,Construct,Code 05.,"Lift ""W07"" will be renamed as ""W07a"".",Code 05a.,P-P-S-0673-0006,,,,
P,H3E,3A,W07b,PH3E3AW07b,PH3E3AW07b,08/21/2013,08/21/2013,1,0,0,0,19,Construct,Code 01.,"A new row was created under the name of ""W07b"", with 0 quantities and the dates of the previous lift plus one day.",Code 01a.,P-P-S-0673-0006,,,,
P,H3E,3A,W06a,PH3E3AW06a,PH3E3AW06a,09/09/2013,09/10/2013,2,219,221,2,-10,Construct,Code 02.,"Joining Lifts ""W06 a"" and ""W06 a"" under the name of ""W06 a"".",Code 02a.,P-P-S-0673-0006,,,,
P,H3E,3A,W06b,PH3E3AW06b,PH3E3AW06b,08/31/2013,08/31/2013,1,518,505,1,19,Construct,,,,,,,,
P,H3E,3A,W05,PH3E3AW05,PH3E3AW05,09/19/2013,09/20/2013,2,594,612,2,74,Construct,,,,,,,,
P,H3E,3A,W04,PH3E3AW04,PH3E3AW04,12/03/2013,12/03/2013,1,432,423,1,16,Construct,,,,,,,,
P,H3E,3A,W03,PH3E3AW03,PH3E3AW03,12/19/2013,12/19/2013,1,326,340,1,92,Construct,,,,,,,,
P,H3E,3A,W02a,PH3E3AW02a,PH3E3AW02a,03/21/2014,04/03/2014,14,267,321,4,48,Construct,Code 02.,"Joining lifts ""W02"", ""W02 (Viga)"", ""W02 a (Viga)"" and ""W02 (Upper Drive System)"" under the name of ""W02a"".",Code 02a.,P-P-S-0673-0005,,,,
P,H3E,3A,W01,PH3E3AW01,PH3E3AW01,05/21/2014,10/24/2014,157,163,157,2,-872,Construct,,,,,,,,
P,H3E,3B,F07,PH3E3BF07,PH3E3BF07,06/04/2012,06/05/2012,2,753,725,2,84,Construct,,,,,,,,
P,H3E,3B,F06,PH3E3BF06,PH3E3BF06,08/28/2012,10/25/2012,59,771,831,3,82,Construct,,,,,,,,
P,H3E,3B,F05a,PH3E3BF05a,PH3E3BF05a,01/15/2013,01/16/2013,2,588,490,1,-1,Construct,Code 03.,"Lift ""F05 a&b"" will be separated into ""F05a"" and ""F05b"".  All quantities will be assigned to ""F05a"".",Code 03a.,P-P-S-0670-0003,,,,
P,H3E,3B,F05b,PH3E3BF05b,PH3E3BF05b,01/15/2013,01/16/2013,2,0,0,0,5,Construct,Code 03.,"Lift ""F05 a&b"" will be separated into ""F05a"" and ""F05b"".  All quantities will be assigned to ""F05a"".",Code 03a.,P-P-S-0670-0003,,,,
P,H3E,3B,F05c,PH3E3BF05c,PH3E3BF05c,01/21/2013,01/21/2013,1,382,332,1,9,Construct,,,,,,,,
P,H3E,3B,F04a,PH3E3BF04a,PH3E3BF04a,01/30/2013,01/30/2013,1,560,507,1,0,Construct,Code 03.,"Lift ""F04 a&b"" will be separated into ""F04a"" and ""F04b"".  All quantities will be assigned to ""F04a"".",Code 03a.,P-P-S-0670-0003,,,,
P,H3E,3B,F04b,PH3E3BF04b,PH3E3BF04b,01/30/2013,01/30/2013,1,0,0,2,6,Construct,Code 03.,"Lift ""F04 a&b"" will be separated into ""F04a"" and ""F04b"".  All quantities will be assigned to ""F04a"".",Code 03a.,P-P-S-0670-0003,,,,
P,H3E,3B,F04c,PH3E3BF04c,PH3E3BF04c,02/05/2013,02/06/2013,2,344,344,2,111,Construct,,,,,,,,
P,H3E,3B,F03,PH3E3BF03,PH3E3BF03,05/28/2013,06/15/2013,19,1740,1740,3,46,Construct,,,,,,,,
P,H3E,3B,F02,PH3E3BF02,PH3E3BF02,07/31/2013,08/01/2013,2,617,652,2,13,Construct,,,,,,,,
P,H3E,3B,F01,PH3E3BF01,PH3E3BF01,08/14/2013,08/15/2013,2,782,752,2,22,Construct,,,,,,,,
P,H3E,3B,W13,PH3E3BW13,PH3E3BW13,09/06/2013,09/08/2013,3,1038,1012,3,24,Construct,,,,,,,,
P,H3E,3B,W12,PH3E3BW12,PH3E3BW12,10/02/2013,10/03/2013,2,988,997,2,20,Construct,,,,,,,,
P,H3E,3B,W11,PH3E3BW11,PH3E3BW11,10/23/2013,10/24/2013,2,990,997,2,14,Construct,,,,,,,,
P,H3E,3B,W10,PH3E3BW10,PH3E3BW10,11/07/2013,11/08/2013,2,999,1018,2,11,Construct,,,,,,,,
P,H3E,3B,W09,PH3E3BW09,PH3E3BW09,11/19/2013,11/20/2013,2,1028,1007,2,9,Construct,,,,,,,,
P,H3E,3B,W08,PH3E3BW08,PH3E3BW08,11/29/2013,11/30/2013,2,846,813,2,12,Construct,,,,,,,,
P,H3E,3B,W07a,PH3E3BW07a,PH3E3BW07a,12/12/2013,12/13/2013,2,744,709,2,-1,Construct,Code 05.,"Lift ""W07"" will be renamed as ""W07a"".",Code 05a.,P-P-S-0673-0006,,,,
P,H3E,3B,W07b,PH3E3BW07b,PH3E3BW07b,12/12/2013,12/13/2013,2,0,0,0,-1,Construct,Code 01.,"A new row was created under the name of ""W07b"", with 0 quantities and the dates of the previous lift plus one day.",Code 01a.,P-P-S-0673-0006,,,,
P,H3E,3B,W07c,PH3E3BW07c,PH3E3BW07c,12/12/2013,12/13/2013,2,0,0,0,20,Construct,Code 01.,"A new row was created under the name of ""W07c"", with 0 quantities and the dates of the previous lift plus one day.",Code 01a.,P-P-S-0673-0006,,,,
P,H3E,3B,W06a,PH3E3BW06a,PH3E3BW06a,01/02/2014,01/02/2014,1,1017,1055,1,0,Construct,Code 03.,"Lift ""W06 a&b"" will be separated into W06a and ""W06b"".  All quantities will be assigned to ""W06a"".",Code 03a.,P-P-S-0673-0005,,,,
P,H3E,3B,W06b,PH3E3BW06b,PH3E3BW06b,01/02/2014,01/02/2014,1,0,0,0,22,Construct,Code 03.,"Lift ""W06 a&b"" will be separated into W06a and ""W06b"".  All quantities will be assigned to ""W06a"".",Code 03a.,P-P-S-0673-0005,,,,
P,H3E,3B,W05,PH3E3BW05,PH3E3BW05,01/24/2014,01/24/2014,1,1026,973,1,60,Construct,,,,,,,,
P,H3E,3B,W04,PH3E3BW04,PH3E3BW04,03/25/2014,03/25/2014,1,710,742,1,27,Construct,,,,,,,,
P,H3E,3B,W03,PH3E3BW03,PH3E3BW03,04/21/2014,04/21/2014,1,595,644,1,42,Construct,,,,,,,,
P,H3E,3B,W02a,PH3E3BW02a,PH3E3BW02a,06/02/2014,06/19/2014,18,547,600,6,15,Construct,,,,,,,,
P,H3E,3B,W01,PH3E3BW01,PH3E3BW01,07/04/2014,10/10/2014,99,311,309,1,-931,Construct,,,,,,,,
P,H3E,3C,F07,PH3E3CF07,PH3E3CF07,03/23/2012,03/24/2012,2,740,722,2,19,Construct,,,,,,,,
P,H3E,3C,F06,PH3E3CF06,PH3E3CF06,04/12/2012,05/03/2012,22,1073,1195,3,77,Construct,,,,,,,,
P,H3E,3C,F05a,PH3E3CF05a,PH3E3CF05a,07/19/2012,07/20/2012,2,372,285,2,153,Construct,,,,,,,,
P,H3E,3C,F05b1,PH3E3CF05b1,PH3E3CF05b1,12/20/2012,12/21/2012,2,633,633,3,-10,Construct,,,,,,,,
P,H3E,3C,F05b2,PH3E3CF05b2,PH3E3CF05b2,12/20/2012,12/28/2012,9,280,243,3,39,Construct,,,,,,,,
P,H3E,3C,F05c,PH3E3CF05c,PH3E3CF05c,12/11/2012,12/12/2012,2,344,276,2,55,Construct,,,,,,,,
P,H3E,3C,F04a,PH3E3CF04a,PH3E3CF04a,02/05/2013,02/05/2013,1,296,296,1,-22,Construct,,,,,,,,
P,H3E,3C,F04b,PH3E3CF04b,PH3E3CF04b,01/14/2013,01/15/2013,2,732,717,2,8,Construct,,,,,,,,
P,H3E,3C,F04c,PH3E3CF04c,PH3E3CF04c,01/23/2013,01/24/2013,2,293,286,2,63,Construct,,,,,,,,
P,H3E,3C,F03,PH3E3CF03,PH3E3CF03,03/28/2013,04/27/2013,31,1709,1683,3,104,Construct,,,,,,,,
P,H3E,3C,F02,PH3E3CF02,PH3E3CF02,08/09/2013,09/18/2013,41,631,611,3,-32,Construct,,,,,,,,
P,H3E,3C,F01,PH3E3CF01,PH3E3CF01,08/17/2013,08/17/2013,1,588,579,1,7,Construct,,,,,,,,
P,H3E,3C,W13,PH3E3CW13,PH3E3CW13,08/24/2013,08/25/2013,2,994,985,2,8,Construct,,,,,,,,
P,H3E,3C,W12,PH3E3CW12,PH3E3CW12,09/02/2013,09/03/2013,2,950,930,2,9,Construct,,,,,,,,
P,H3E,3C,W11,PH3E3CW11,PH3E3CW11,09/12/2013,09/13/2013,2,584,662,2,8,Construct,,,,,,,,
P,H3E,3C,W10,PH3E3CW10,PH3E3CW10,09/21/2013,09/21/2013,1,666,669,1,10,Construct,,,,,,,,
P,H3E,3C,W09a,PH3E3CW09a,PH3E3CW09a,10/01/2013,10/02/2013,2,669,641,3,15,Construct,,,,,,,,
P,H3E,3C,W09b,PH3E3CW09b,PH3E3CW09b,10/09/2013,10/09/2013,1,634,611,3,17,Construct,,,,,,,,
P,H3E,3C,W08,PH3E3CW08,PH3E3CW08,10/17/2013,10/18/2013,2,600,602,2,8,Construct,,,,,,,,
P,H3E,3C,W07a,PH3E3CW07a,PH3E3CW07a,10/26/2013,10/26/2013,1,585,622,1,0,Construct,Code 05.,"Lift ""W07"" will be renamed as ""W07a"".",Code 05a.,P-P-S-0673-0006,,,,
P,H3E,3C,W07b,PH3E3CW07b,PH3E3CW07b,10/26/2013,10/26/2013,1,0,0,0,14,Construct,Code 01.,"A new row was created under the name of ""W07b"", with 0 quantities and the dates of the previous lift plus one day.",Code 01a.,P-P-S-0673-0006,,,,
P,H3E,3C,W06,PH3E3CW06,PH3E3CW06,11/09/2013,11/09/2013,1,524,523,1,12,Construct,,,,,,,,
P,H3E,3C,W05,PH3E3CW05,PH3E3CW05,11/21/2013,11/22/2013,2,633,627,2,15,Construct,,,,,,,,
P,H3E,3C,W04,PH3E3CW04,PH3E3CW04,12/07/2013,12/07/2013,1,469,444,1,19,Construct,,,,,,,,
P,H3E,3C,W03,PH3E3CW03,PH3E3CW03,12/26/2013,12/26/2013,1,385,379,1,77,Construct,,,,,,,,
P,H3E,3C,W02a,PH3E3CW02a,PH3E3CW02a,03/13/2014,04/15/2014,34,374,380,3,50,Construct,,,,,,,,
P,H3E,3C,W01,PH3E3CW01,PH3E3CW01,06/04/2014,10/24/2014,143,204,219,2,-869,Construct,,,,,,,,
P,H3E,2A,F03,PH3E2AF03,PH3E2AF03,06/07/2012,06/08/2012,2,1136,1100,2,20,Construct,,,,,,,,
P,H3E,2A,F02,PH3E2AF02,PH3E2AF02,06/28/2012,06/29/2012,2,1074,1036,2,12,Construct,,,,,,,,
P,H3E,2A,F01,PH3E2AF01,PH3E2AF01,07/11/2012,07/11/2012,1,444,441,1,10,Construct,,,,,,,,
P,H3E,2A,W13,PH3E2AW13,PH3E2AW13,07/21/2012,07/21/2012,1,817,800,1,13,Construct,,,,,,,,
P,H3E,2A,W12,PH3E2AW12,PH3E2AW12,08/03/2012,08/04/2012,2,728,738,2,12,Construct,,,,,,,,
P,H3E,2A,W11,PH3E2AW11,PH3E2AW11,08/16/2012,08/17/2012,2,672,697,2,12,Construct,,,,,,,,
P,H3E,2A,W10,PH3E2AW10,PH3E2AW10,08/29/2012,08/30/2012,2,640,655,2,12,Construct,,,,,,,,
P,H3E,2A,W09,PH3E2AW09,PH3E2AW09,09/11/2012,09/12/2012,2,646,614,2,19,Construct,,,,,,,,
P,H3E,2A,W08,PH3E2AW08,PH3E2AW08,10/01/2012,10/02/2012,2,482,465,2,56,Construct,,,,,,,,
P,H3E,2A,W07,PH3E2AW07,PH3E2AW07,11/27/2012,11/27/2012,1,493,469,1,9,Construct,,,,,,,,
P,H3E,2A,W06,PH3E2AW06,PH3E2AW06,12/06/2012,12/07/2012,2,441,438,2,68,Construct,,,,,,,,
P,H3E,2A,W05,PH3E2AW05,PH3E2AW05,02/13/2013,02/14/2013,2,478,467,2,46,Construct,,,,,,,,
P,H3E,2A,W04,PH3E2AW04,PH3E2AW04,04/01/2013,04/02/2013,2,372,331,2,81,Construct,,,,,,,,
P,H3E,2A,W03,PH3E2AW03,PH3E2AW03,06/22/2013,06/12/2014,356,264,286,2,9,Construct,,,,,,,,
P,H3E,2A,W02,PH3E2AW02,PH3E2AW02,06/21/2014,06/27/2014,7,222,242,3,12,Construct,,,,,,,,
P,H3E,2A,W01,PH3E2AW01,PH3E2AW01,07/09/2014,07/09/2014,1,109,107,1,-454,Construct,,,,,,,,
P,H3E,2B,F03,PH3E2BF03,PH3E2BF03,04/11/2013,04/12/2013,2,1109,1075,2,38,Construct,,,,,,,,
P,H3E,2B,F02,PH3E2BF02,PH3E2BF02,05/20/2013,05/21/2013,2,978,978,2,20,Construct,,,,,,,,
P,H3E,2B,F01,PH3E2BF01,PH3E2BF01,06/10/2013,06/11/2013,2,525,517,2,58,Construct,,,,,,,,
P,H3E,2B,W13,PH3E2BW13,PH3E2BW13,08/08/2013,08/10/2013,3,805,763,1,13,Construct,,,,,,,,
P,H3E,2B,W12,PH3E2BW12,PH3E2BW12,08/23/2013,08/24/2013,2,862,818,2,5,Construct,,,,,,,,
P,H3E,2B,W11,PH3E2BW11,PH3E2BW11,08/29/2013,08/30/2013,2,790,818,2,5,Construct,,,,,,,,
P,H3E,2B,W10,PH3E2BW10,PH3E2BW10,09/04/2013,09/05/2013,2,786,818,2,6,Construct,,,,,,,,
P,H3E,2B,W09,PH3E2BW09,PH3E2BW09,09/11/2013,09/12/2013,2,838,818,2,11,Construct,,,,,,,,
P,H3E,2B,W08,PH3E2BW08,PH3E2BW08,09/23/2013,09/23/2013,1,658,660,1,11,Construct,,,,,,,,
P,H3E,2B,W07,PH3E2BW07,PH3E2BW07,10/04/2013,10/05/2013,2,734,709,2,7,Construct,,,,,,,,
P,H3E,2B,W06,PH3E2BW06,PH3E2BW06,10/12/2013,10/12/2013,1,707,709,1,6,Construct,,,,,,,,
P,H3E,2B,W05,PH3E2BW05,PH3E2BW05,10/18/2013,10/19/2013,2,807,818,2,12,Construct,,,,,,,,
P,H3E,2B,W04,PH3E2BW04,PH3E2BW04,10/31/2013,11/01/2013,2,637,637,2,17,Construct,,,,,,,,
P,H3E,2B,W03,PH3E2BW03,PH3E2BW03,11/18/2013,11/18/2013,1,537,533,1,28,Construct,,,,,,,,
P,H3E,2B,W02,PH3E2BW02,PH3E2BW02,12/16/2013,06/23/2014,190,500,524,5,24,Construct,,,,,,,,
P,H3E,2B,W01,PH3E2BW01,PH3E2BW01,07/17/2014,07/18/2014,2,209,257,2,-441,Construct,,,,,,,,
P,H3E,2C,F03,PH3E2CF03,PH3E2CF03,05/03/2013,05/08/2013,6,1165,1100,4,8,Construct,,,,,,,,
P,H3E,2C,F02,PH3E2CF02,PH3E2CF02,05/16/2013,05/17/2013,2,1067,1036,2,12,Construct,,,,,,,,
P,H3E,2C,F01,PH3E2CF01,PH3E2CF01,05/29/2013,05/30/2013,2,457,473,2,5,Construct,,,,,,,,
P,H3E,2C,W13,PH3E2CW13,PH3E2CW13,06/04/2013,06/05/2013,2,897,800,2,19,Construct,,,,,,,,
P,H3E,2C,W12,PH3E2CW12,PH3E2CW12,06/24/2013,06/25/2013,2,809,802,2,15,Construct,,,,,,,,
P,H3E,2C,W11,PH3E2CW11,PH3E2CW11,07/10/2013,07/11/2013,2,727,697,2,14,Construct,,,,,,,,
P,H3E,2C,W10,PH3E2CW10,PH3E2CW10,07/25/2013,07/26/2013,2,671,720,2,8,Construct,,,,,,,,
P,H3E,2C,W09,PH3E2CW09,PH3E2CW09,08/03/2013,08/03/2013,1,589,614,1,9,Construct,,,,,,,,
P,H3E,2C,W08,PH3E2CW08,PH3E2CW08,08/12/2013,08/12/2013,1,462,465,1,7,Construct,,,,,,,,
P,H3E,2C,W07,PH3E2CW07,PH3E2CW07,08/19/2013,08/20/2013,2,509,469,2,6,Construct,,,,,,,,
P,H3E,2C,W06,PH3E2CW06,PH3E2CW06,08/26/2013,08/27/2013,2,482,438,2,6,Construct,,,,,,,,
P,H3E,2C,W05,PH3E2CW05,PH3E2CW05,09/02/2013,09/03/2013,2,506,502,2,11,Construct,,,,,,,,
P,H3E,2C,W04,PH3E2CW04,PH3E2CW04,09/14/2013,09/14/2013,1,394,366,1,16,Construct,,,,,,,,
P,H3E,2C,W03,PH3E2CW03,PH3E2CW03,09/30/2013,09/30/2013,1,289,306,1,19,Construct,,,,,,,,
P,H3E,2C,W02,PH3E2CW02,PH3E2CW02,10/19/2013,07/02/2014,257,289,341,3,22,Construct,,,,,,,,
P,H3E,2C,W01,PH3E2CW01,PH3E2CW01,07/24/2014,07/24/2014,1,206,196,1,-897,Construct,,,,,,,,
P,H3E,1A,F03,PH3E1AF03,PH3E1AF03,02/08/2012,02/09/2012,2,1292,1155,2,26,Construct,,,,,,,,
P,H3E,1A,F02,PH3E1AF02,PH3E1AF02,03/06/2012,03/07/2012,2,1232,1042,2,14,Construct,,,,,,,,
P,H3E,1A,F01,PH3E1AF01,PH3E1AF01,03/21/2012,03/22/2012,2,502,514,2,25,Construct,,,,,,,,
P,H3E,1A,W13,PH3E1AW13,PH3E1AW13,04/16/2012,04/18/2012,3,1064,960,3,14,Construct,,,,,,,,
P,H3E,1A,W12,PH3E1AW12,PH3E1AW12,05/02/2012,05/03/2012,2,904,891,2,18,Construct,,,,,,,,
P,H3E,1A,W11,PH3E1AW11,PH3E1AW11,05/21/2012,05/21/2012,1,867,840,1,38,Construct,,,,,,,,
P,H3E,1A,W10,PH3E1AW10,PH3E1AW10,06/28/2012,06/29/2012,2,835,811,2,31,Construct,,,,,,,,
P,H3E,1A,W09,PH3E1AW09,PH3E1AW09,07/30/2012,07/31/2012,2,870,761,2,11,Construct,,,,,,,,
P,H3E,1A,W08,PH3E1AW08,PH3E1AW08,08/11/2012,08/12/2012,2,599,581,2,15,Construct,,,,,,,,
P,H3E,1A,W07,PH3E1AW07,PH3E1AW07,08/27/2012,08/28/2012,2,643,607,2,28,Construct,,,,,,,,
P,H3E,1A,W06,PH3E1AW06,PH3E1AW06,09/25/2012,09/26/2012,2,561,554,2,55,Construct,,,,,,,,
P,H3E,1A,W05,PH3E1AW05,PH3E1AW05,11/20/2012,11/21/2012,2,651,595,2,106,Construct,,,,,,,,
P,H3E,1A,W04,PH3E1AW04,PH3E1AW04,03/07/2013,03/15/2013,9,426,479,3,99,Construct,,,,,,,,
P,H3E,1A,W03,PH3E1AW03,PH3E1AW03,06/22/2013,07/10/2014,384,275,283,2,12,Construct,,,,,,,,
P,H3E,1A,W02,PH3E1AW02,PH3E1AW02,07/22/2014,07/26/2014,5,217,233,3,7,Construct,,,,,,,,
P,H3E,1A,W01,PH3E1AW01,PH3E1AW01,08/02/2014,08/02/2014,1,100,102,1,-885,Construct,,,,,,,,
P,H3E,1B,F03,PH3E1BF03,PH3E1BF03,02/29/2012,03/01/2012,2,1184,1133,2,39,Construct,,,,,,,,
P,H3E,1B,F02,PH3E1BF02,PH3E1BF02,04/09/2012,04/10/2012,2,1116,1087,2,32,Construct,,,,,,,,
P,H3E,1B,F01,PH3E1BF01,PH3E1BF01,05/12/2012,05/13/2012,2,646,598,2,16,Construct,,,,,,,,
P,H3E,1B,W13,PH3E1BW13,PH3E1BW13,05/29/2012,05/30/2012,2,992,935,2,19,Construct,,,,,,,,
P,H3E,1B,W12,PH3E1BW12,PH3E1BW12,06/18/2012,06/19/2012,2,992,987,2,24,Construct,,,,,,,,
P,H3E,1B,W11,PH3E1BW11,PH3E1BW11,07/13/2012,07/14/2012,2,976,840,2,52,Construct,,,,,,,,
P,H3E,1B,W10,PH3E1BW10,PH3E1BW10,09/04/2012,09/05/2012,2,1026,995,2,13,Construct,,,,,,,,
P,H3E,1B,W09,PH3E1BW09,PH3E1BW09,09/18/2012,09/20/2012,3,1017,959,3,27,Construct,,,,,,,,
P,H3E,1B,W08,PH3E1BW08,PH3E1BW08,10/17/2012,10/18/2012,2,825,794,2,93,Construct,,,,,,,,
P,H3E,1B,W07,PH3E1BW07,PH3E1BW07,01/19/2013,01/20/2013,2,944,883,2,43,Construct,,,,,,,,
P,H3E,1B,W06,PH3E1BW06,PH3E1BW06,03/04/2013,03/04/2013,1,862,841,1,50,Construct,,,,,,,,
P,H3E,1B,W05,PH3E1BW05,PH3E1BW05,04/23/2013,04/24/2013,2,1039,1087,2,353,Construct,,,,,,,,
P,H3E,1B,W04,PH3E1BW04,PH3E1BW04,04/12/2014,04/12/2014,1,764,748,1,40,Construct,,,,,,,,
P,H3E,1B,W03,PH3E1BW03,PH3E1BW03,05/22/2014,05/22/2014,1,549,567,1,26,Construct,,,,,,,,
P,H3E,1B,W02,PH3E1BW02,PH3E1BW02,06/17/2014,07/18/2014,32,464,505,3,12,Construct,,,,,,,,
P,H3E,1B,W01,PH3E1BW01,PH3E1BW01,07/30/2014,07/31/2014,2,235,257,2,-896,Construct,,,,,,,,
P,H3E,1C,F03,PH3E1CF03,PH3E1CF03,02/16/2012,02/17/2012,2,1318,1155,2,26,Construct,,,,,,,,
P,H3E,1C,F02,PH3E1CF02,PH3E1CF02,03/14/2012,03/15/2012,2,1240,1042,2,13,Construct,,,,,,,,
P,H3E,1C,F01,PH3E1CF01,PH3E1CF01,03/28/2012,03/29/2012,2,520,513,2,25,Construct,,,,,,,,
P,H3E,1C,W13,PH3E1CW13,PH3E1CW13,04/23/2012,04/24/2012,2,1020,960,2,28,Construct,,,,,,,,
P,H3E,1C,W12,PH3E1CW12,PH3E1CW12,05/22/2012,05/25/2012,4,928,891,4,17,Construct,,,,,,,,
P,H3E,1C,W11,PH3E1CW11,PH3E1CW11,06/11/2012,06/11/2012,1,864,848,1,24,Construct,,,,,,,,
P,H3E,1C,W10,PH3E1CW10,PH3E1CW10,07/05/2012,07/06/2012,2,866,804,2,118,Construct,,,,,,,,
P,H3E,1C,W09,PH3E1CW09,PH3E1CW09,11/01/2012,11/02/2012,2,783,761,2,27,Construct,,,,,,,,
P,H3E,1C,W08,PH3E1CW08,PH3E1CW08,11/29/2012,11/30/2012,2,577,584,2,17,Construct,,,,,,,,
P,H3E,1C,W07,PH3E1CW07,PH3E1CW07,12/17/2012,12/19/2012,3,623,616,3,43,Construct,,,,,,,,
P,H3E,1C,W06,PH3E1CW06,PH3E1CW06,01/31/2013,02/01/2013,2,602,564,2,21,Construct,,,,,,,,
P,H3E,1C,W05,PH3E1CW05,PH3E1CW05,02/22/2013,02/23/2013,2,728,625,2,20,Construct,,,,,,,,
P,H3E,1C,W04,PH3E1CW04,PH3E1CW04,03/15/2013,04/09/2013,26,463,455,3,63,Construct,,,,,,,,
P,H3E,1C,W03,PH3E1CW03,PH3E1CW03,06/11/2013,04/07/2014,301,324,348,2,38,Construct,,,,,,,,
P,H3E,1C,W02,PH3E1CW02,PH3E1CW02,05/15/2014,05/29/2014,15,317,349,3,12,Construct,,,,,,,,
P,H3E,1C,W01,PH3E1CW01,PH3E1CW01,06/10/2014,06/11/2014,2,247,197,2,,Construct,,,,,,,,
,,,,,,,,,168067.32,164492,,,,,,,,,,,
,,,,,,,,,168067.32,164492,,,,,,,,,,,
,,,,,,,,,0,0,,,,,,,,,,,
