Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,,,,
P,H3W,6B,W09a,PH3W6BW09a,PH3W6BW09a,05/31/2013,05/31/2013,1,280,260,1,0,Construct,Code 03.,"Lift ""W09 a&b"" will be separated into ""W09a"" and ""W09b"".  All quantities will be assigned to ""W09a"".",Code 03a.,P-P-S-0747-0001,,,,
P,H3W,6B,W09b,PH3W6BW09b,PH3W6BW09b,05/31/2013,05/31/2013,1,0,0,0,15,Construct,Code 03.,"Lift ""W09 a&b"" will be separated into ""W09a"" and ""W09b"".  All quantities will be assigned to ""W09a"".",Code 03a.,P-P-S-0747-0001,,,,
P,H3W,6B,W08a,PH3W6BW08a,PH3W6BW08a,06/15/2013,06/15/2013,1,248,260,1,0,Construct,Code 03.,"Lift ""W08 (a+b)"" will be separated into ""W08a"" and ""W08b"".  All quantities will be assigned to ""W08a"".",Code 03a.,P-P-S-0747-0001,,,,
P,H3W,6B,W08b,PH3W6BW08b,PH3W6BW08b,06/15/2013,06/15/2013,1,0,0,0,76,Construct,Code 03.,"Lift ""W08 (a+b)"" will be separated into ""W08a"" and ""W08b"".  All quantities will be assigned to ""W08a"".",Code 03a.,P-P-S-0747-0001,,,,
P,H3W,6B,W07,PH3W6BW07,PH3W6BW07,08/30/2013,09/05/2013,7,463,480,3,11,Construct,Code 02.,"Joining ""W07"" and ""W07b"" under the name of ""W07"".",Code 02a.,P-P-S-0747-0001,,,,
P,H3W,6B,W06,PH3W6BW06,PH3W6BW06,09/16/2013,09/16/2013,1,485,480,1,12,Construct,,,,,,,,
P,H3W,6B,W05,PH3W6BW05,PH3W6BW05,09/28/2013,09/28/2013,1,473,480,1,13,Construct,,,,,,,,
P,H3W,6B,W04a,PH3W6BW04a,PH3W6BW04a,10/11/2013,10/12/2013,2,464,480,2,9,Construct,Code 03.,"Lift ""W04"" will be separated into ""W04a"" and ""W04b"".  All quantities will be assigned to ""W04a"".",Code 03a.,P-P-S-0747-0003,,,,
P,H3W,6B,W04b,PH3W6BW04b,PH3W6BW04b,10/11/2013,10/12/2013,2,0,0,0,21,Construct,Code 03.,"Lift ""W04"" will be separated into ""W04a"" and ""W04b"".  All quantities will be assigned to ""W04a"".",Code 03a.,P-P-S-0747-0003,,,,
P,H3W,6B,W03,PH3W6BW03,PH3W6BW03,10/21/2013,10/22/2013,2,492,480,2,11,Construct,,,,,,,,
P,H3W,6B,W02,PH3W6BW02,PH3W6BW02,11/02/2013,11/02/2013,1,408,403,1,223,Construct,,,,,,,,
P,H3W,6B,W01,PH3W6BW01,PH3W6BW01,06/13/2014,06/13/2014,1,219,218,1,-626,Construct,,,,,,,,
P,H3W,6C,F03,PH3W6CF03,PH3W6CF03,09/25/2012,09/26/2012,2,968,1023,2,34,Construct,,,,,,,,
P,H3W,6C,F02,PH3W6CF02,PH3W6CF02,10/30/2012,07/11/2013,255,727,725,5,-2,Construct,Code 02.,"Joining lifts ""F02"" and ""F02b"" under the name of ""F02"".",Code 02a.,P-P-S-0745-0001,,,,
P,H3W,6C,F01,PH3W6CF01,PH3W6CF01,07/09/2013,07/10/2013,2,292,300,2,16,Construct,,,,,,,,
P,H3W,6C,W14a,PH3W6CW14a,PH3W6CW14a,07/26/2013,07/27/2013,2,735,613,2,-1,Construct,Code 03.,"Lift ""W14 a,b,c"" will be separated into ""W14a"", ""W14b"" and ""W14c"".  All quantities will be assigned to ""W14a"".",Code 03a.,P-P-S-0746-0003,,,,
