Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Activity Type,Days before next lift,,Revision Process,,RFC number
P,LW,M02,F02 b,PLWM02F02b,PLWM02F02b,8/29/2012,8/30/2012,2,0,0,2,Construct,4,Code 03.,"Lift ""F02a"""" will be converted into  ""F02a"" and ""F02b"".    All quantities will be assigned to ""F02a"".",Code 03a.,P-P-S-3220-0002
P,LW,M02,F01 a,PLWM02F01a,PLWM02F01a,9/3/2012,9/4/2012,2,276,257,4,Construct,202,,,,
P,LW,M02,C06 b,PLWM02C06b,PLWM02C06b,3/25/2013,3/26/2013,2,488,533,2,Construct,7,,,,
P,LW,M02,C05 a,PLWM02C05a,PLWM02C05a,4/2/2013,4/10/2013,9,432,463,2,Construct,-8,Code 03.,"Lift ""C05a&C04a"" will be converted into  ""C05a"" and ""C04a"".    All quantities will be assigned to ""C05a"".",Code 03a.,P-P-S-3221-0002
P,LW,M02,C06 a,PLWM02C06a,PLWM02C06a,4/2/2013,4/3/2013,2,0,0,0,Construct,-1,Code 03.,"Lift ""C04/C05/C06 a"" will be converted into  ""C05c"" and ""C06a"".    All quantities will be assigned to ""C05b"".",Code 03a.,P-P-S-3221-0002
P,LW,M02,C04 a,PLWM02C04a,PLWM02C04a,4/2/2013,4/10/2013,9,0,0,3,Construct,15,Code 03.,"Lift ""C05a&C04a"" will be converted into  ""C05a"" and ""C04a"".    All quantities will be assigned to ""C05a"".",Code 03a.,P-P-S-3221-0002
P,LW,M02,C04 b,PLWM02C04b,PLWM02C04b,4/25/2013,4/26/2013,2,540,578,2,Construct,-1,,,,
P,LW,M02,C05 b,PLWM02C05b,PLWM02C05b,4/25/2013,4/26/2013,2,0,0,2,Construct,12,,,,
P,LW,M02,C03 a,PLWM02C03a,PLWM02C03a,5/8/2013,5/8/2013,1,233,155,1,Construct,0,Code 03.,"Lift ""C03b"" will be converted into  ""C03a"" and ""C03b"".    All quantities will be assigned to ""C03b"".",Code 03a.,P-P-S-3221-0002
P,LW,M02,C03 b,PLWM02C03b,PLWM02C03b,5/8/2013,5/8/2013,1,0,0,0,Construct,44,Code 03.,"Lift ""C03b"" will be converted into  ""C03a"" and ""C03b"".    All quantities will be assigned to ""C03b"".",Code 03a.,P-P-S-3221-0002
P,LW,M02,C02,PLWM02C02,PLWM02C02,6/21/2013,6/22/2013,2,462,488,2,Construct,20,,,,
P,LW,M02,C01,PLWM02C01,PLWM02C01,7/12/2013,7/24/2013,13,1372,1243,4,Construct,22,Code 02.,"Joining ""C01a"" and ""C01b"" as ""C01""",Code 02a.,P-P-S-3221-0002
P,LW,M02,W11,PLWM02W11,PLWM02W11,8/15/2013,8/15/2013,1,273,276,1,Construct,13,,,,
P,LW,M02,W10,PLWM02W10,PLWM02W10,8/28/2013,8/28/2013,1,398,418,1,Construct,12,,,,
P,LW,M02,W09,PLWM02W09,PLWM02W09,9/9/2013,9/9/2013,1,361,343,1,Construct,9,,,,
P,LW,M02,W08,PLWM02W08,PLWM02W08,9/18/2013,9/19/2013,2,240,251,2,Construct,18,,,,
P,LW,M02,W07,PLWM02W07,PLWM02W07,10/7/2013,10/8/2013,2,212,226,2,Construct,15,,,,
P,LW,M02,W06,PLWM02W06,PLWM02W06,10/23/2013,10/24/2013,2,224,201,2,Construct,6,,,,
P,LW,M02,W05,PLWM02W05,PLWM02W05,10/30/2013,10/30/2013,1,173,175,1,Construct,19,,,,
P,LW,M02,W04,PLWM02W04,PLWM02W04,11/18/2013,11/18/2013,1,173,158,1,Construct,16,,,,
P,LW,M02,W03,PLWM02W03,PLWM02W03,12/4/2013,12/4/2013,1,145,143,1,Construct,15,,,,
P,LW,M02,W02,PLWM02W02,PLWM02W02,12/19/2013,12/19/2013,1,129,129,1,Construct,274,,,,
P,LW,M02,W01,PLWM02W01,PLWM02W01,9/19/2014,9/19/2014,1,70,62,1,Construct,-916,,,,
P,LW,M03,F02,PLWM03F02,PLWM03F02,3/17/2012,3/18/2012,2,948,897,2,Construct,-1,Code 03.,"Lift ""F02&F03"" will be converted into  ""F02"" and ""F03"".    All quantities will be assigned to ""F02"".",Code 03a.,P-P-S-3240-0001
P,LW,M03,F03,PLWM03F03,PLWM03F03,3/17/2012,3/18/2012,2,0,0,0,Construct,8,Code 03.,"Lift ""F02&F03"" will be converted into  ""F02"" and ""F03"".    All quantities will be assigned to ""F02"".",Code 03a.,P-P-S-3240-0001
P,LW,M03,F01,PLWM03F01,PLWM03F01,3/26/2012,3/26/2012,1,808,776,1,Construct,52,,,,
P,LW,M03,C04 a,PLWM03C04a,PLWM03C04a,5/17/2012,5/18/2012,2,410,318,2,Construct,1,,,,
P,LW,M03,C04 c,PLWM03C04c,PLWM03C04c,5/19/2012,5/19/2012,1,48,93,1,Construct,23,,,,
P,LW,M03,C04 b,PLWM03C04b,PLWM03C04b,6/11/2012,6/12/2012,2,208,209,2,Construct,7,,,,
P,LW,M03,C03 c,PLWM03C03c,PLWM03C03c,6/19/2012,6/19/2012,1,85,80,1,Construct,6,,,,
P,LW,M03,C03 a,PLWM03C03a,PLWM03C03a,6/25/2012,6/26/2012,2,406,364,2,Construct,10,,,,
P,LW,M03,C03 b,PLWM03C03b,PLWM03C03b,7/6/2012,7/6/2012,1,208,204,1,Construct,17,,,,
P,LW,M03,C02,PLWM03C02,PLWM03C02,7/23/2012,7/24/2012,2,384,376,2,Construct,7,,,,
P,LW,M03,C01,PLWM03C01,PLWM03C01,7/31/2012,8/15/2012,16,1349,1243,4,Construct,7,Code 02.,"Joining ""C01a"" and ""C01b"" as ""C01""",Code 02a.,P-P-S-3241-0002
P,LW,M03,W11,PLWM03W11,PLWM03W11,8/22/2012,8/23/2012,2,492,494,2,Construct,7,,,,
P,LW,M03,W10,PLWM03W10,PLWM03W10,8/30/2012,8/31/2012,2,420,418,2,Construct,7,,,,
P,LW,M03,W09,PLWM03W09,PLWM03W09,9/7/2012,9/7/2012,1,348,344,1,Construct,7,,,,
P,LW,M03,W08,PLWM03W08,PLWM03W08,9/14/2012,9/15/2012,2,260,251,2,Construct,5,,,,
P,LW,M03,W07,PLWM03W07,PLWM03W07,9/20/2012,9/21/2012,2,222,208,2,Construct,7,,,,
P,LW,M03,W06,PLWM03W06,PLWM03W06,9/28/2012,9/28/2012,1,217,218,1,Construct,7,,,,
P,LW,M03,W05,PLWM03W05,PLWM03W05,10/5/2012,10/5/2012,1,188,218,1,Construct,7,,,,
P,LW,M03,W04,PLWM03W04,PLWM03W04,10/12/2012,10/12/2012,1,176,158,1,Construct,8,,,,
P,LW,M03,W03,PLWM03W03,PLWM03W03,10/20/2012,10/20/2012,1,140,141,1,Construct,10,,,,
P,LW,M03,W02,PLWM03W02,PLWM03W02,10/30/2012,10/30/2012,1,127,120,1,Construct,17,,,,
P,LW,M03,W01,PLWM03W01,PLWM03W01,11/16/2012,5/22/2015,918,103,89,3,Construct,6,Code 02.,"Joining ""W01"" and ""W01 (2nd stage Beam)"" as ""W01"".",Code 02a.,P-P-S-3242-0001
P,LW,M03,W01,PLWM03W01,PLWM03W01,5/28/2015,5/28/2015,1,22,10,1,Construct,-1136,,,,
P,LW,M04,F02,PLWM04F02,PLWM04F02,4/17/2012,4/24/2012,8,986,897,3,Construct,-7,Code 03.,"Lift ""F02&F03"" will be converted into  ""F02"" and ""F03"".    All quantities will be assigned to ""F02"".",Code 03a.,P-P-S-3260-0001
