Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,,,,
P,CU1,1W,03S,PCU11W03S,PCU11W03S,9/10/2012,9/11/2012,2,286,200,2,-193,Construct,,,,,,,,
P,CU1,2W,16,PCU12W16,PCU12W16,3/2/2012,3/2/2012,1,146,95,1,5,Construct,,,,,,,,
P,CU1,2W,15,PCU12W15,PCU12W15,3/7/2012,3/7/2012,1,80,44,1,12,Construct,,,,,,,,
P,CU1,2W,14,PCU12W14,PCU12W14,3/19/2012,3/19/2012,1,476,411,1,80,Construct,,,,,,,,
P,CU1,2W,13a,PCU12W13a,PCU12W13a,6/7/2012,6/13/2012,7,352,351,4,-6,Construct,Code 03.,"Lift ""13 a&b"" will be divided into ""13a"" and ""13b"".  All quantities will be assigned to ""13a"".",Code 03a.,P-P-S-5622-0001.,,,,
P,CU1,2W,13b,PCU12W13b,PCU12W13b,6/7/2012,6/13/2012,7,0,0,0,54,Construct,Code 03.,"Lift ""13 a&b"" will be divided into ""13a"" and ""13b"".  All quantities will be assigned to ""13a"".",Code 03a.,P-P-S-5622-0001.,,,,
P,CU1,2W,12a,PCU12W12a,PCU12W12a,8/6/2012,8/7/2012,2,357,349,2,-1,Construct,Code 03.,"Lift ""12 a&b"" will be divided into ""12a"" and ""12b"".  All quantities will be assigned to ""12a"".",Code 03a.,P-P-S-5622-0001.,,,,
P,CU1,2W,12b,PCU12W12b,PCU12W12b,8/6/2012,8/7/2012,2,0,0,0,45,Construct,Code 03.,"Lift ""12 a&b"" will be divided into ""12a"" and ""12b"".  All quantities will be assigned to ""12a"".",Code 03a.,P-P-S-5622-0001.,,,,
P,CU1,2W,11,PCU12W11,PCU12W11,9/21/2012,9/21/2012,1,160,147,1,38,Construct,,,,,,,,
P,CU1,2W,10,PCU12W10,PCU12W10,10/29/2012,10/30/2012,2,268.4,245,2,37,Construct,,,,,,,,
