Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,,,,
P,CU2,C,04a,PCU2C04a,PCU2C04a,09/27/2011,09/27/2011,1,152,124,1,15,Construct,.,,,,,,,
P,CU2,C,04b,PCU2C04b,PCU2C04b,10/12/2011,10/12/2011,1,160,124,1,-12,Construct,,,,,,,,
P,CU2,C,04c,PCU2C04c,PCU2C04c,09/30/2011,09/30/2011,1,146,124,1,12,Construct,,,,,,,,
P,CU2,C,04d,PCU2C04d,PCU2C04d,10/12/2011,10/12/2011,1,152,124,1,30,Construct,,,,,,,,
P,CU2,C,03a-N,PCU2C03aN,PCU2C03aN,11/11/2011,11/22/2011,12,168,72,2,22,Construct,,,,,,,,
P,CU2,C,03a-S,PCU2C03aS,PCU2C03aS,12/14/2011,12/14/2011,1,80,72,1,-50,Construct,,,,,,,,
P,CU2,C,03b-N,PCU2C03bN,PCU2C03bN,10/25/2011,11/01/2011,8,136,72,2,7,Construct,,,,,,,,
P,CU2,C,03b-S,PCU2C03bS,PCU2C03bS,11/08/2011,11/12/2011,5,176,72,2,-3,Construct,,,,,,,,
P,CU2,C,03c-N,PCU2C03cN,PCU2C03cN,11/09/2011,11/15/2011,7,106,72,2,1,Construct,,,,,,,,
P,CU2,C,03c-S,PCU2C03cS,PCU2C03cS,11/16/2011,11/21/2011,6,104,72,2,-26,Construct,,,,,,,,
P,CU2,C,03d-N,PCU2C03dN,PCU2C03dN,10/26/2011,11/01/2011,7,118,72,2,-8,Construct,,,,,,,,
P,CU2,C,03d-S,PCU2C03dS,PCU2C03dS,10/24/2011,11/01/2011,9,123,72,2,71,Construct,,,,,,,,
P,CU2,C,02a,PCU2C02a,PCU2C02a,01/11/2012,01/11/2012,1,296,137,1,-7,Construct,,,,,,,,
P,CU2,C,02b,PCU2C02b,PCU2C02b,01/04/2012,01/04/2012,1,232,137,1,-12,Construct,,,,,,,,
P,CU2,C,02c,PCU2C02c,PCU2C02c,12/23/2011,12/23/2011,1,194,137,1,-10,Construct,,,,,,,,
P,CU2,C,02d,PCU2C02d,PCU2C02d,12/13/2011,12/13/2011,1,200,137,1,41,Construct,,,,,,,,
P,CU2,C,01a,PCU2C01a,PCU2C01a,01/23/2012,01/28/2012,6,997,488,2,2,Construct,Code 02.,"Joining ""01 a"" and ""01 a- b"" under the name of ""01a"".",Code 02a.,P-P-S-5733-0010,,,,
P,CU2,C,01b,PCU2C01b,PCU2C01b,01/30/2012,01/30/2012,1,480,244,1,-59,Construct,,,,,,,,
P,CU2,1E,4,PCU21E04,PCU21E04,12/02/2011,12/03/2011,2,464,430,2,19,Construct,,,,,,,,
P,CU2,1E,03N,PCU21E03N,PCU21E03N,12/22/2011,12/22/2011,1,229,217,1,7,Construct,,,,,,,,
P,CU2,1E,03S,PCU21E03S,PCU21E03S,12/29/2011,12/29/2011,1,328.02,217,1,-111,Construct,,,,,,,,
P,CU2,2E,16,PCU22E16,PCU22E16,09/09/2011,09/09/2011,1,72,95,1,4,Construct,,,,,,,,
P,CU2,2E,15,PCU22E15,PCU22E15,09/13/2011,09/13/2011,1,130,44,1,14,Construct,,,,,,,,
P,CU2,2E,14,PCU22E14,PCU22E14,09/27/2011,09/27/2011,1,464,357,1,34,Construct,,,,,,,,
P,CU2,2E,13a,PCU22E13a,PCU22E13a,10/31/2011,11/01/2011,2,328,245,2,-12,Construct,,,,,,,,
