Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,H4W,6B,W04,PH4W6BW04,PH4W6BW04,09/16/2013,09/16/2013,1,433,425,1,15,Construct,,,,
P,H4W,6B,W03,PH4W6BW03,PH4W6BW03,10/01/2013,10/02/2013,2,431,423,2,10,Construct,,,,
P,H4W,6B,W02 b,PH4W6BW02b,PH4W6BW02b,10/12/2013,10/12/2013,1,274,285,1,14,Construct,,,,
P,H4W,6B,W02 a,PH4W6BW02a,PH4W6BW02a,10/26/2013,10/26/2013,1,241,265,1,341,Construct,,,,
P,H4W,6B,W01,PH4W6BW01,PH4W6BW01,10/02/2014,10/02/2014,1,154,168,1,-729,Construct,,,,
P,H4W,6C,F03,PH4W6CF03,PH4W6CF03,10/03/2012,10/04/2012,2,656,580,2,9,Construct,,,,
P,H4W,6C,F02,PH4W6CF02,PH4W6CF02,10/13/2012,10/13/2012,1,824,795,1,38,Construct,,,,
P,H4W,6C,F01,PH4W6CF01,PH4W6CF01,11/20/2012,11/21/2012,2,812,725,5,156,Construct,,,,
P,H4W,6C,W13 a,PH4W6CW13a,PH4W6CW13a,04/26/2013,05/15/2013,20,287,175,3,-1,Construct,Code 02.,"Joining lifts ""W13a"" and ""W13 a+b+c"" under the name of ""W13a"".",Code 02a.,P-P-S-0926-0007
P,H4W,6C,W13 b,PH4W6CW13b,PH4W6CW13b,05/14/2013,05/15/2013,2,584,545,2,-1,Construct,,,,
P,H4W,6C,W13 c,PH4W6CW13c,PH4W6CW13c,05/14/2013,05/15/2013,2,130,162,2,16,Construct,,,,
P,H4W,6C,W12 a,PH4W6CW12a,PH4W6CW12a,05/31/2013,05/31/2013,1,168,168,1,0,Construct,,,,
P,H4W,6C,W12 b,PH4W6CW12b,PH4W6CW12b,05/31/2013,06/01/2013,2,504,500,2,0,Construct,,,,
P,H4W,6C,W12 c,PH4W6CW12c,PH4W6CW12c,06/01/2013,06/01/2013,1,156,150,1,59,Construct,,,,
P,H4W,6C,W11,PH4W6CW11,PH4W6CW11,07/30/2013,07/31/2013,2,335,320,2,13,Construct,,,,
P,H4W,6C,W10,PH4W6CW10,PH4W6CW10,08/13/2013,08/14/2013,2,916,888,2,14,Construct,,,,
P,H4W,6C,W09 a,PH4W6CW09a,PH4W6CW09a,08/28/2013,08/29/2013,2,522,465,2,1,Construct,,,,
P,H4W,6C,W09 b,PH4W6CW09b,PH4W6CW09b,08/30/2013,08/30/2013,1,150,121,1,0,Construct,Code 03.,"Lift ""W09 b&c"" will be separated into ""W09b"" and ""W09c"".  All quantities will be assigned to ""W09b"".",Code 03a.,P-P-S-0926-0010
P,H4W,6C,W09 c,PH4W6CW09c,PH4W6CW09c,08/30/2013,08/30/2013,1,0,0,0,12,Construct,Code 03.,"Lift ""W09 b&c"" will be separated into ""W09b"" and ""W09c"".  All quantities will be assigned to ""W09b"".",Code 03a.,P-P-S-0926-0010
P,H4W,6C,W08 a,PH4W6CW08a,PH4W6CW08a,09/11/2013,09/12/2013,2,471,465,2,1,Construct,,,,
P,H4W,6C,W08 b,PH4W6CW08b,PH4W6CW08b,09/13/2013,09/13/2013,1,129,121,1,0,Construct,Code 03.,"Lift ""W08 b+c"" will be separated into ""W08b"" and ""W08c"".  All quantities will be assigned to ""W08b"".",Code 03a.,P-P-S-0926-0010
P,H4W,6C,W08 c,PH4W6CW08c,PH4W6CW08c,09/13/2013,09/13/2013,1,0,0,0,12,Construct,Code 03.,"Lift ""W08 b+c"" will be separated into ""W08b"" and ""W08c"".  All quantities will be assigned to ""W08b"".",Code 03a.,P-P-S-0926-0010
P,H4W,6C,W07,PH4W6CW07,PH4W6CW07,09/25/2013,10/08/2013,14,1053,1078,3,13,Construct,Code 02.,"Joining lifts ""W07 (1st stage)"" and ""W07 (2nd stage)"" under the name of ""W07"".",Code 02a.,P-P-S-0926-0007
P,H4W,6C,W06,PH4W6CW06,PH4W6CW06,10/21/2013,10/22/2013,2,1058,1080,2,15,Construct,,,,
P,H4W,6C,W05,PH4W6CW05,PH4W6CW05,11/06/2013,11/06/2013,1,1065,1080,1,13,Construct,,,,
P,H4W,6C,W04,PH4W6CW04,PH4W6CW04,11/19/2013,11/20/2013,2,996,1013,2,15,Construct,,,,
P,H4W,6C,W03,PH4W6CW03,PH4W6CW03,12/05/2013,12/05/2013,1,1114,1147,1,11,Construct,,,,
P,H4W,6C,W02 b,PH4W6CW02b,PH4W6CW02b,12/16/2013,12/16/2013,1,737,720,1,18,Construct,,,,
P,H4W,6C,W02 a,PH4W6CW02a,PH4W6CW02a,01/03/2014,01/03/2014,1,685,663,1,227,Construct,,,,
P,H4W,6C,W01,PH4W6CW01,PH4W6CW01,08/18/2014,08/19/2014,2,402,413,2,-650,Construct,,,,
P,H4W,6D,F03,PH4W6DF03,PH4W6DF03,11/07/2012,11/07/2012,1,504.04,510,1,10,Construct,,,,
P,H4W,6D,F02,PH4W6DF02,PH4W6DF02,11/17/2012,11/24/2012,8,710,685,2,18,Construct,,,,
P,H4W,6D,F01,PH4W6DF01,PH4W6DF01,12/12/2012,12/12/2012,1,554,578,1,16,Construct,,,,
