Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,
A,VS5,,C05a1,AVS5C05a1,AVS5C05a1,06/21/2013,06/22/2013,1,168,174,2,3,Construct,.,,,,
A,VS5,,C05a3,AVS5C05a3,AVS5C05a3,06/25/2013,06/25/2013,0,173,174,1,4,Construct,,,,,
A,VS5,,C05a2,AVS5C05a2,AVS5C05a2,06/29/2013,06/29/2013,0,168,168,1,12,Construct,,,,,
A,VS5,,C04a1,AVS5C04a1,AVS5C04a1,07/11/2013,07/11/2013,0,260,270,1,2,Construct,,,,,
A,VS5,,C04a3,AVS5C04a3,AVS5C04a3,07/13/2013,07/13/2013,0,248,270,1,6,Construct,,,,,
A,VS5,,C04a2,AVS5C04a2,AVS5C04a2,07/19/2013,07/19/2013,0,223,260,1,13,Construct,,,,,
A,VS5,,C03a1,AVS5C03a1,AVS5C03a1,08/01/2013,08/01/2013,0,64,59,1,1,Construct,,,,,
A,VS5,,C03a2,AVS5C03a2,AVS5C03a2,08/02/2013,08/02/2013,0,95,82,1,6,Construct,,,,,
A,VS5,,C03a3,AVS5C03a3,AVS5C03a3,08/08/2013,08/08/2013,0,84,82,1,4,Construct,,,,,
A,VS5,,C03a4,AVS5C03a4,AVS5C03a4,08/12/2013,08/13/2013,1,84,82,2,2,Construct,,,,,
A,VS5,,C03a5,AVS5C03a5,AVS5C03a5,08/15/2013,08/15/2013,0,70,82,1,11,Construct,,,,,
A,VS5,,C03a7,AVS5C03a7,AVS5C03a7,08/26/2013,08/26/2013,0,61,82,1,16,Construct,,,,,
A,VS5,,C03a6,AVS5C03a6,AVS5C03a6,09/11/2013,09/11/2013,0,83,82,1,-22,Construct,,,,,
A,VS5,,C02a01,AVS5C02a01,AVS5C02a01,08/20/2013,08/20/2013,0,62,52,1,2,Construct,,,,,
A,VS5,,C02a3,AVS5C02a3,AVS5C02a3,08/22/2013,08/22/2013,0,77,74,1,13,Construct,,,,,
A,VS5,,C02a2,AVS5C02a2,AVS5C02a2,09/04/2013,09/04/2013,0,63,74,1,2,Construct,,,,,
A,VS5,,C02a5,AVS5C02a5,AVS5C02a5,09/06/2013,09/06/2013,0,85,74,1,10,Construct,,,,,
A,VS5,,C02a4,AVS5C02a4,AVS5C02a4,09/16/2013,09/16/2013,0,72,74,1,0,Construct,,,,,
A,VS5,,C02a7,AVS5C02a7,AVS5C02a7,09/16/2013,09/16/2013,0,52,52,1,8,Construct,,,,,
A,VS5,,C02a6,AVS5C02a6,AVS5C02a6,09/24/2013,09/24/2013,0,80,74,1,44,Construct,,,,,
A,VS5,,C01a,AVS5C01a,AVS5C01a,11/07/2013,11/24/2013,17,621,620,4,-79,Construct,Code 02.,"Joining lifts ""C01a-1"" and ""C01a-1(II)"" under the name of ""C01a"".",Code 02a.,A-P-S-6700-0002,
A,VS5,,C05b3,AVS5C05b3,AVS5C05b3,09/06/2013,09/06/2013,0,165,176,1,5,Construct,,,,,(*)
A,VS5,,C05b1,AVS5C05b1,AVS5C05b1,09/11/2013,09/12/2013,1,215,190,2,5,Construct,,,,,(*)
A,VS5,,C05b2,AVS5C05b2,AVS5C05b2,09/17/2013,09/18/2013,1,176,176,2,2,Construct,,,,,(*)
A,VS5,,C04b3,AVS5C04b3,AVS5C04b3,09/20/2013,09/21/2013,1,246,290,2,4,Construct,,,,,(*)
A,VS5,,C04b1,AVS5C04b1,AVS5C04b1,09/25/2013,09/25/2013,0,304,309,1,7,Construct,,,,,(*)
A,VS5,,C04b2,AVS5C04b2,AVS5C04b2,10/02/2013,10/02/2013,0,247,279,1,229,Construct,,,,,(*)
A,VS5,,C03b1,AVS5C03b1,AVS5C03b1,05/19/2014,05/19/2014,0,56,55,1,7,Construct,,,,,(*)
A,VS5,,C03b2,AVS5C03b2,AVS5C03b2,05/26/2014,05/26/2014,0,56,46,1,-6,Construct,,,,,(*)
A,VS5,,C03b3,AVS5C03b3,AVS5C03b3,05/20/2014,05/20/2014,0,120,103,1,7,Construct,,,,,(*)
A,VS5,,C03b4,AVS5C03b4,AVS5C03b4,05/27/2014,05/27/2014,0,56,50,1,2,Construct,,,,,(*)
A,VS5,,C03b5,AVS5C03b5,AVS5C03b5,05/29/2014,05/29/2014,0,104,90,1,15,Construct,,,,,(*)
A,VS5,,C03b6,AVS5C03b6,AVS5C03b6,06/13/2014,06/13/2014,0,0,55,0,0,Construct,,,,,(*)
A,VS5,,C03b7,AVS5C03b7,AVS5C03b7,06/13/2014,06/14/2014,1,128,56,2,-19,Construct,,,,,(*)
A,VS5,,C02b1,AVS5C02b1,AVS5C02b1,05/26/2014,05/26/2014,0,64,57,1,0,Construct,,,,,(*)
A,VS5,,C02b3,AVS5C02b3,AVS5C02b3,05/26/2014,05/26/2014,0,80,107,1,3,Construct,,,,,(*)
A,VS5,,C02b2,AVS5C02b2,AVS5C02b2,05/29/2014,05/29/2014,0,56,48,1,5,Construct,,,,,(*)
