Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,Note,Corrections,Further Notse
P,ME,M02,W06,PMEM02W06,PMEM02W06,8/14/2013,8/14/2013,1,288,280,1,50,Construct,,,,,,,
P,ME,M02,W05,PMEM02W05,PMEM02W05,10/3/2013,10/3/2013,1,236,283,1,9,Construct,,,,,,,
P,ME,M02,W04,PMEM02W04,PMEM02W04,10/12/2013,10/12/2013,1,240,232,1,10,Construct,,,,,,,
P,ME,M02,W03 b,PMEM02W03b,PMEM02W03b,10/22/2013,10/23/2013,2,160,142,2,14,Construct,,,,,,,
P,ME,M02,W03 a,PMEM02W03a,PMEM02W03a,11/6/2013,11/6/2013,1,144,147,1,7,Construct,,,,,,,
P,ME,M02,W02,PMEM02W02,PMEM02W02,11/13/2013,11/14/2013,2,113,97,2,372,Construct,,,,,,,
P,ME,M02,W01,PMEM02W01,PMEM02W01,11/21/2014,12/26/2014,36,64,78,2,-1176,Construct,,,,,,,
P,ME,M03,F03,PMEM03F03,PMEM03F03,10/7/2011,10/7/2011,1,482,429,1,124,Construct,,,,,,,
P,ME,M03,F02,PMEM03F02,PMEM03F02,2/8/2012,2/9/2012,2,664,787,2,21,Construct,,,,,,,
P,ME,M03,F01,PMEM03F01,PMEM03F01,3/1/2012,3/2/2012,2,950,851,2,25,Construct,,,,,,,
P,ME,M03,C04 a,PMEM03C04a,PMEM03C04a,3/27/2012,3/28/2012,2,201,201,2,3,Construct,,,,,,,
P,ME,M03,C04 c,PMEM03C04c,PMEM03C04c,3/31/2012,3/31/2012,1,97,97,1,9,Construct,,,,,,,
P,ME,M03,C03 a,PMEM03C03a,PMEM03C03a,4/9/2012,4/9/2012,1,209,209,1,183,Construct,,,,,,,
P,ME,M03,C03 c,PMEM03C03c,PMEM03C03c,10/9/2012,10/10/2012,2,105,105,2,14,Construct,,,,,,,
P,ME,M03,C04 b,PMEM03C04b,PMEM03C04b,10/24/2012,10/24/2012,1,216,118,1,7,Construct,,,,,,,
P,ME,M03,C03 b,PMEM03C03b,PMEM03C03b,10/31/2012,11/1/2012,2,220.42,220,2,15,Construct,,,,,,,
P,ME,M03,C02,PMEM03C02,PMEM03C02,11/16/2012,11/16/2012,1,345.62,299,1,7,Construct,,,,,,,
P,ME,M03,C01,PMEM03C01,PMEM03C01,11/23/2012,12/4/2012,12,1093,999,2,111,Construct,Code 02.,"Joining ""C01a"" and ""C01b""under the name of ""C01"".",Code 02a.,P-P-S-2741-0002,"Model has no part a or b, joining pours",,
P,ME,M03,W09,PMEM03W09,PMEM03W09,3/25/2013,3/25/2013,1,550,494,1,42,Construct,,,,,,,
P,ME,M03,W08,PMEM03W08,PMEM03W08,5/6/2013,5/7/2013,2,417,419,2,22,Construct,,,,,,,
P,ME,M03,W07,PMEM03W07,PMEM03W07,5/29/2013,5/30/2013,2,422,344,2,41,Construct,,,,,,,
P,ME,M03,W06,PMEM03W06,PMEM03W06,7/10/2013,7/11/2013,2,308,280,2,160,Construct,,,,,,,
P,ME,M03,W05,PMEM03W05,PMEM03W05,12/18/2013,12/19/2013,2,288,283,2,18,Construct,,,,,,,
P,ME,M03,W04,PMEM03W04,PMEM03W04,1/6/2014,1/6/2014,1,225,233,1,12,Construct,,,,,,,
P,ME,M03,W03a,PMEM03W03a,PMEM03W03a,1/18/2014,1/18/2014,1,224,211,1,0,Construct,Code 03.,"Lift ""W03"" will be separated into ""W03a"" and ""W03b"". All quantities will be assigned to ""W03a"".",Code 03a.,P-P-S-2743-0002,,,
P,ME,M03,W03b,PMEM03W03b,PMEM03W03b,1/18/2014,1/18/2014,1,0,0,0,12,Construct,Code 03.,"Lift ""W03"" will be separated into ""W03a"" and ""W03b"". All quantities will be assigned to ""W03a"".",Code 03a.,P-P-S-2743-0002,,,
P,ME,M03,W02,PMEM03W02,PMEM03W02,1/30/2014,1/30/2014,1,180,175,1,272,Construct,,,,,,,
P,ME,M03,W01,PMEM03W01,PMEM03W01,10/29/2014,12/26/2014,59,81,99,2,-1168,Construct,,,,,,,
P,ME,M04,F03,PMEM04F03,PMEM04F03,10/15/2011,10/15/2011,1,288,262,1,14,Construct,,,,,,,
P,ME,M04,F02,PMEM04F02,PMEM04F02,10/29/2011,10/30/2011,2,500,482,2,92,Construct,,,,,,,
P,ME,M04,F01,PMEM04F01,PMEM04F01,1/30/2012,1/30/2012,1,524,524,1,15,Construct,,,,,,,
P,ME,M04,C04 c,PMEM04C04c,PMEM04C04c,2/14/2012,2/15/2012,2,64.52,65,2,0,Construct,,,,,,,
P,ME,M04,C04 a,PMEM04C04a,PMEM04C04a,2/15/2012,2/16/2012,2,128,128,2,1,Construct,,,,,,,
P,ME,M04,C04 b,PMEM04C04b,PMEM04C04b,2/17/2012,2/17/2012,1,152,75,1,18,Construct,,,,,,,
P,ME,M04,C03 b,PMEM04C03b,PMEM04C03b,3/6/2012,3/6/2012,1,128,128,1,6,Construct,,,,,,,
P,ME,M04,C03 a,PMEM04C03a,PMEM04C03a,3/12/2012,3/13/2012,2,112.5,113,2,100,Construct,,,,,,,
P,ME,M04,C03 c,PMEM04C03c,PMEM04C03c,6/21/2012,6/21/2012,1,61,36,1,152,Construct,,,,,,,
P,ME,M04,C02,PMEM04C02,PMEM04C02,11/20/2012,11/20/2012,1,210,185,1,8,Construct,,,,,,,
P,ME,M04,C01,PMEM04C01,PMEM04C01,11/28/2012,12/7/2012,10,640,616,2,249,Construct,Code 02.,"Joining ""C01a"" and ""C01b""under the name of ""C01"".",Code 02a.,P-P-S-2763-0002,"Model has no part a or b, joining pours",,
P,ME,M04,W09,PMEM04W09,PMEM04W09,8/13/2013,8/13/2013,1,305,307,1,15,Construct,,,,,,,
P,ME,M04,W08,PMEM04W08,PMEM04W08,8/28/2013,8/28/2013,1,273,262,1,13,Construct,,,,,,,
P,ME,M04,W07,PMEM04W07,PMEM04W07,9/10/2013,9/10/2013,1,221,217,1,14,Construct,,,,,,,
P,ME,M04,W06,PMEM04W06,PMEM04W06,9/24/2013,9/24/2013,1,181,176,1,44,Construct,,,,,,,
P,ME,M04,W05,PMEM04W05,PMEM04W05,11/7/2013,11/8/2013,2,173,179,2,8,Construct,,,,,,,
P,ME,M04,W04,PMEM04W04,PMEM04W04,11/16/2013,11/16/2013,1,177,150,1,10,Construct,,,,,,,
P,ME,M04,W03a,PMEM04W03a,PMEM04W03a,11/26/2013,11/26/2013,1,145,140,1,0,Construct,Code 03.,"Lift ""W03"" will be separated into ""W03a"" and ""W03b"". All quantities will be assigned to ""W03a"".",Code 03a.,P-P-S-2763-0002,,,
P,ME,M04,W03b,PMEM04W03b,PMEM04W03b,11/26/2013,11/26/2013,1,0,0,0,8,Construct,Code 03.,"Lift ""W03"" will be separated into ""W03a"" and ""W03b"". All quantities will be assigned to ""W03a"".",Code 03a.,P-P-S-2763-0002,,,
P,ME,M04,W02,PMEM04W02,PMEM04W02,12/4/2013,12/5/2013,2,103,84,2,319,Construct,,,,,,,
P,ME,M04,W01,PMEM04W01,PMEM04W01,10/20/2014,12/26/2014,68,56,46,2,-840,Construct,,,,,,,
P,ME,M05,F03,PMEM05F03,PMEM05F03,9/7/2012,9/8/2012,2,1051,896,2,4,Construct,,,,,,,
P,ME,M05,F02,PMEM05F02,PMEM05F02,9/12/2012,9/16/2012,5,1117,1097,3,5,Construct,,,,,,,
P,ME,M05,F01,PMEM05F01,PMEM05F01,9/21/2012,10/3/2012,13,1161,1178,3,6,Construct,,,,,,,
P,ME,M05,C04 a,PMEM05C04a,PMEM05C04a,10/9/2012,10/10/2012,2,225,225,2,2,Construct,,,,,,,
P,ME,M05,C04 c,PMEM05C04c,PMEM05C04c,10/12/2012,10/13/2012,2,96,96,2,10,Construct,,,,,,,
P,ME,M05,C03 a,PMEM05C03a,PMEM05C03a,10/23/2012,10/24/2012,2,211,211,2,6,Construct,,,,,,,
P,ME,M05,C03 c,PMEM05C03c,PMEM05C03c,10/30/2012,10/31/2012,2,120.54,121,2,27,Construct,,,,,,,
P,ME,M05,C04 b,PMEM05C04b,PMEM05C04b,11/27/2012,11/28/2012,2,288,241,2,12,Construct,,,,,,,
P,ME,M05,C03 b,PMEM05C03b,PMEM05C03b,12/10/2012,12/11/2012,2,289,281,2,22,Construct,,,,,,,
P,ME,M05,C02,PMEM05C02,PMEM05C02,1/2/2013,1/3/2013,2,484.5,414,2,6,Construct,,,,,,,
P,ME,M05,C01,PMEM05C01,PMEM05C01,1/9/2013,1/19/2013,11,1511,1380,5,90,Construct,Code 02.,"Joining ""C01a"" and ""C01b""under the name of ""C01"".",Code 02a.,P-P-S-2781-0002,"Model has no part a or b, joining pours",,
