Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in Days,Actual Quantity,Design Quantity,Number of Pours,Activity Type,Days before next lift,Revision Process,,,RFC,,,
P,CC2,H,02,PCC2H02,PCC2H02,12/15/2011,12/15/2011,1,64,59,1,Construct,417,,,,,,,
P,CC2,I,05,PCC2I05,PCC2I05,02/04/2013,02/05/2013,2,284,258,2,Construct,95,,,,,,,
P,CC2,I,04a,PCC2I04a,PCC2I04a,05/11/2013,05/11/2013,1,54,43,1,Construct,23,,,,,,,
P,CC2,I,04c,PCC2I04c,PCC2I04c,06/03/2013,06/03/2013,1,80,63,1,Construct,0,,,,,,,
P,CC2,I,03a,PCC2I03a,PCC2I03a,06/03/2013,06/03/2013,1,72,45,1,Construct,3,,,,,,,
P,CC2,I,03c,PCC2I03c,PCC2I03c,06/06/2013,06/07/2013,2,96,65,2,Construct,49,,,,,,,
P,CC2,I,02,PCC2I02,PCC2I02,07/26/2013,07/27/2013,2,312,255,2,Construct,3,,,,,,,
P,CC2,I,01,PCC2I01,PCC2I01,07/30/2013,07/31/2013,2,448,303,2,Construct,-399,,,,,,,
P,CC2,J,05,PCC2J05,PCC2J05,06/27/2012,07/14/2012,18,536,470,2,Construct,44,,,,,,,
P,CC2,J,04,PCC2J04,PCC2J04,08/27/2012,08/28/2012,2,450,422,2,Construct,15,,,,,,,
P,CC2,J,03,PCC2J03,PCC2J03,09/12/2012,09/13/2012,2,528,511,2,Construct,28,,,,,,,
P,CC2,J,02,PCC2J02,PCC2J02,10/11/2012,10/12/2012,2,454,429,2,Construct,-218,,,,,,,
P,CC2,K,05,PCC2K05,PCC2K05,03/08/2012,03/14/2012,7,106.52,93,2,Construct,5,,,,,,,
P,CC2,K,04,PCC2K04,PCC2K04,03/19/2012,03/19/2012,1,68,53,1,Construct,7,,,,,,,
P,CC2,K,03,PCC2K03,PCC2K03,03/26/2012,03/26/2012,1,74,77,1,Construct,4,,,,,,,
P,CC2,K,02,PCC2K02,PCC2K02,03/30/2012,03/30/2012,1,64,59,1,Construct,27,,,,,,,
P,CC2,L,05,PCC2L05,PCC2L05,04/26/2012,05/17/2012,22,124,93,3,Construct,8,,,,,,,
P,CC2,L,04,PCC2L04,PCC2L04,05/25/2012,05/25/2012,1,105,53,1,Construct,10,,,,,,,
P,CC2,L,03,PCC2L03,PCC2L03,06/04/2012,06/04/2012,1,80,77,1,Construct,10,,,,,,,
P,CC2,L,02,PCC2L02,PCC2L02,06/14/2012,06/14/2012,1,64,59,1,Construct,,,,,,,,
