Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,,,Revision Process,,,RFC number,
P,H1W,6C,W10a,PH1W6CW10a,PH1W6CW10a,10/12/2012,10/13/2012,2,901,810,1,-1,Construct,,,Code 03.,"Lift ""W10 a+b+c"" will be divided in three.  All quantities will be assigned to ""W10 a"".",Code 03a.,P-P-S-0136-0003,
P,H1W,6C,W10b,PH1W6CW10b,PH1W6CW10b,10/12/2012,10/13/2012,2,0,0,1,-1,Construct,,,Code 03.,"Lift ""W10 a+b+c"" will be divided in three.  All quantities will be assigned to ""W10 a"".",Code 03a.,P-P-S-0136-0003,
P,H1W,6C,W10c,PH1W6CW10c,PH1W6CW10c,10/12/2012,10/13/2012,2,0,0,1,32,Construct,,,Code 03.,"Lift ""W10 a+b+c"" will be divided in three.  All quantities will be assigned to ""W10 a"".",Code 03a.,P-P-S-0136-0003,
P,H1W,6C,W09a,PH1W6CW09a,PH1W6CW09a,11/14/2012,11/15/2012,2,790,815,1,-1,Construct,,,Code 03.,"Lift ""W09 a+b+c"" will be divided in three.  All quantities will be assigned to ""W09 a"".",Code 03a.,P-P-S-0136-0003,
P,H1W,6C,W09b,PH1W6CW09b,PH1W6CW09b,11/14/2012,11/15/2012,2,0,0,1,-1,Construct,,,Code 03.,"Lift ""W09 a+b+c"" will be divided in three.  All quantities will be assigned to ""W09 a"".",Code 03a.,P-P-S-0136-0003,
P,H1W,6C,W09c,PH1W6CW09c,PH1W6CW09c,11/14/2012,11/15/2012,2,0,0,1,85,Construct,,,Code 03.,"Lift ""W09 a+b+c"" will be divided in three.  All quantities will be assigned to ""W09 a"".",Code 03a.,P-P-S-0136-0003,
P,H1W,6C,W08,PH1W6CW08,PH1W6CW08,02/08/2013,02/08/2013,1,286.06,310,1,19,Construct,,,,,,,
P,H1W,6C,W07,PH1W6CW07,PH1W6CW07,02/27/2013,02/27/2013,1,823,775,1,26,Construct,,,,,,,
P,H1W,6C,W06a,PH1W6CW06a,PH1W6CW06a,03/25/2013,03/26/2013,2,467,450,1,-1,Construct,,,,,,,
P,H1W,6C,W06b,PH1W6CW06b,PH1W6CW06b,03/25/2013,03/25/2013,1,32,32,1,0,Construct,,,,,,,
P,H1W,6C,W06c,PH1W6CW06c,PH1W6CW06c,03/25/2013,03/25/2013,1,13,13,1,0,Construct,,,,,,,
P,H1W,6C,W06d,PH1W6CW06d,PH1W6CW06d,03/25/2013,03/25/2013,1,32,32,1,30,Construct,,,,,,,
P,H1W,6C,W05a,PH1W6CW05a,PH1W6CW05a,04/24/2013,04/25/2013,2,548,536,1,-1,Construct,,,Code 03.,"""W05"" will be separated into ""W05a"", ""W05b"", ""W05c"" and ""W05d"".   All quantities will be assigned to ""W05a"".",Code 03a.,P-P-S-0137-0004,
P,H1W,6C,W05b,PH1W6CW05b,PH1W6CW05b,04/24/2013,04/25/2013,2,0,0,1,-1,Construct,,,Code 03.,"""W05"" will be separated into ""W05a"", ""W05b"", ""W05c"" and ""W05d"".   All quantities will be assigned to ""W05a"".",Code 03a.,P-P-S-0137-0004,
P,H1W,6C,W05c,PH1W6CW05c,PH1W6CW05c,04/24/2013,04/25/2013,2,0,0,1,-1,Construct,,,Code 03.,"""W05"" will be separated into ""W05a"", ""W05b"", ""W05c"" and ""W05d"".   All quantities will be assigned to ""W05a"".",Code 03a.,P-P-S-0137-0004,
P,H1W,6C,W05d,PH1W6CW05d,PH1W6CW05d,04/24/2013,04/25/2013,2,0,0,1,32,Construct,,,Code 03.,"""W05"" will be separated into ""W05a"", ""W05b"", ""W05c"" and ""W05d"".   All quantities will be assigned to ""W05a"".",Code 03a.,P-P-S-0137-0004,
P,H1W,6C,W04,PH1W6CW04,PH1W6CW04,05/27/2013,06/01/2013,6,1109,1037,2,26,Construct,,,,,,,
P,H1W,6C,W03,PH1W6CW03,PH1W6CW03,06/27/2013,06/28/2013,2,1025,1029,2,15,Construct,,,,,,,
P,H1W,6C,W02,PH1W6CW02,PH1W6CW02,07/13/2013,07/13/2013,1,460,450,1,364,Construct,,,,,,,
P,H1W,6C,W01,PH1W6CW01,PH1W6CW01,07/12/2014,07/12/2014,1,471,500,1,-788,Construct,,,,,,,
P,H1W,6D,F03,PH1W6DF03,PH1W6DF03,05/15/2012,05/15/2012,1,774,772,2,31,Construct,,,,,,,
P,H1W,6D,F02,PH1W6DF02,PH1W6DF02,06/15/2012,06/16/2012,2,363,365,2,48,Construct,,,,,,,
P,H1W,6D,F01,PH1W6DF01,PH1W6DF01,08/03/2012,08/03/2012,1,474,478,2,14,Construct,,,,,,,
P,H1W,6D,W10a,PH1W6DW10a,PH1W6DW10a,08/17/2012,08/18/2012,2,145,130,2,9,Construct,,,,,,,
P,H1W,6D,W10b,PH1W6DW10b,PH1W6DW10b,08/27/2012,08/27/2012,1,368,345,1,0,Construct,,,,,,,
P,H1W,6D,W10c,PH1W6DW10c,PH1W6DW10c,08/27/2012,08/28/2012,2,118,105,2,14,Construct,,,,,,,
P,H1W,6D,W9a,PH1W6DW09a,PH1W6DW09a,09/11/2012,09/12/2012,2,134,130,2,12,Construct,,,,,,,
P,H1W,6D,W9b,PH1W6DW09b,PH1W6DW09b,09/24/2012,09/25/2012,2,335,351,2,-7,Construct,,,,,,,
P,H1W,6D,W9c,PH1W6DW09c,PH1W6DW09c,09/18/2012,09/19/2012,2,91,105,2,79,Construct,,,,,,,
P,H1W,6D,W08,PH1W6DW08,PH1W6DW08,12/07/2012,12/07/2012,1,231,264,1,11,Construct,,,,,,,
P,H1W,6D,W07,PH1W6DW07,PH1W6DW07,12/18/2012,12/18/2012,1,688,755,1,80,Construct,,,,,,,
P,H1W,6D,W06a,PH1W6DW06a,PH1W6DW06a,03/08/2013,03/09/2013,2,184,218,1,-1,Construct,,,Code 03.,"""W06 a+b"" will be divided in ""W06 a"" and ""W06 B"".  All quantities are assigned to ""W06 a"".",Code 03a.,P-P-S-0137-0004,
P,H1W,6D,W06b,PH1W6DW06b,PH1W6DW06b,03/08/2013,03/09/2013,2,0,0,1,5,Construct,,,Code 03.,"""W06 a+b"" will be divided in ""W06 a"" and ""W06 B"".  All quantities are assigned to ""W06 a"".",Code 03a.,P-P-S-0137-0004,
P,H1W,6D,W05a,PH1W6DW05a,PH1W6DW05a,03/14/2013,03/14/2013,1,210,215,1,0,Construct,,,Code 03.,"""W05 a+b"" will be divided in ""W05 a"" and ""W05 B"".  All quantities are assigned to ""W05 a"".",Code 03a.,P-P-S-0137-0004,
P,H1W,6D,W05b,PH1W6DW05b,PH1W6DW05b,03/14/2013,03/14/2013,1,0,0,1,57,Construct,,,Code 03.,"""W05 a+b"" will be divided in ""W05 a"" and ""W05 B"".  All quantities are assigned to ""W05 a"".",Code 03a.,P-P-S-0137-0004,
P,H1W,6D,W04,PH1W6DW04,PH1W6DW04,05/10/2013,05/22/2013,13,440,433,1,14,Construct,,,,,,,
P,H1W,6D,W03,PH1W6DW03,PH1W6DW03,06/05/2013,06/06/2013,2,424,435,2,27,Construct,,,,,,,
P,H1W,6D,W02,PH1W6DW02,PH1W6DW02,07/03/2013,07/04/2013,2,188,190,2,397,Construct,,,,,,,
P,H1W,6D,W01,PH1W6DW01,PH1W6DW01,08/05/2014,08/05/2014,1,188,219,1,-872,Construct,,,,,,,
P,H1W,6E,F06,PH1W6EF06,PH1W6EF06,03/16/2012,03/16/2012,1,320,267,1,5,Construct,,,Code 04.," Lift ""6D&6E F06"" will be separated in ""6E F06"" and ""6D F06"". All quantities will be assigned to ""6E F06"".",Code 04a.,P-P-S-0135-0005,
P,H1W,6D,F06,PH1W6DF06,PH1W6DF06,03/16/2012,03/16/2012,1,0,0,0,5,Construct,,,Code 04.," Lift ""6D&6E F06"" will be separated in ""6E F06"" and ""6D F06"". All quantities will be assigned to ""6E F06"".",Code 04a.,P-P-S-0135-0005,
P,H1W,6E,F05,PH1W6EF05,PH1W6EF05,03/21/2012,03/22/2012,2,415,345,1,21,Construct,,,Code 04.," Lift ""6D&6E F05"" will be separated in ""6E F05"" and ""6E F05"". All quantities will be assigned to ""6E F05"".",Code 04a.,P-P-S-0135-0005,
P,H1W,6D,F05,PH1W6DF05,PH1W6DF05,03/21/2012,03/22/2012,2,0,0,0,21,Construct,,,Code 04.," Lift ""6D&6E F05"" will be separated in ""6E F05"" and ""6E F05"". All quantities will be assigned to ""6E F05"".",Code 04a.,P-P-S-0135-0005,
P,H1W,6E,F04a,PH1W6EF04a,PH1W6EF04a,04/12/2012,11/02/2013,570,648,653,1,-579,Construct,,,Code 04.,"Lift ""6D&6E F04a"" will be separated in ""6E F04a"" and ""6D F04a"". All quantities will be assigned to ""6E F04a"".",Code 04a.,P-P-S-0135-0005,
P,H1W,6D,F04a,PH1W6DF04a,PH1W6DF04a,04/12/2012,11/02/2013,570,0,0,0,-579,Construct,,,Code 04.,"Lift ""6D&6E F04a"" will be separated in ""6E F04a"" and ""6D F04a"". All quantities will be assigned to ""6E F04a"".",Code 04a.,P-P-S-0135-0005,
P,H1W,6D,F04b,PH1W6DF04b,PH1W6DF04b,04/02/2012,04/19/2012,18,544,176,1,36,Construct,,,Code 04.,"Lift ""6ED F04b"" will be separated in ""6D F04b"" and ""6E F04b"". All quantities will be assigned to ""6D F04b""",Code 04a.,,
P,H1W,6E,F04b,PH1W6EF04b,PH1W6EF04b,04/02/2012,04/19/2012,18,0,0,0,71,Construct,,,Code 04.,"Lift ""6ED F04b"" will be separated in ""6D F04b"" and ""6E F04b"". All quantities will be assigned to ""6D F04b""",Code 04a.,,
P,H1W,6E,F03,PH1W6EF03,PH1W6EF03,05/25/2012,05/25/2012,1,687,645,1,35,Construct,,,,,,,
P,H1W,6E,F02,PH1W6EF02,PH1W6EF02,06/29/2012,06/29/2012,1,298,330,1,13,Construct,,,,,,,
P,H1W,6E,F01,PH1W6EF01,PH1W6EF01,07/12/2012,07/12/2012,1,480,480,1,32,Construct,,,,,,,
P,H1W,6E,W10a,PH1W6EW10a,PH1W6EW10a,08/13/2012,08/13/2012,1,128,117,1,3,Construct,,,,,,,
P,H1W,6E,W10b,PH1W6EW10b,PH1W6EW10b,08/16/2012,08/16/2012,1,475,427,1,-34,Construct,,,,,,,
P,H1W,6E,W10c,PH1W6EW10c,PH1W6EW10c,07/13/2012,07/13/2012,1,0,0,1,53,Construct,,,Code 01.,"A new row was created under the name of ""W10c"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-0136-0004,
P,H1W,6E,W09a,PH1W6EW09a,PH1W6EW09a,09/04/2012,09/04/2012,1,120,121,1,10,Construct,,,,,,,
P,H1W,6E,W09b,PH1W6EW09b,PH1W6EW09b,09/14/2012,09/14/2012,1,444,437,1,34,Construct,,,,,,,
P,H1W,6E,W09c,PH1W6EW09c,PH1W6EW09c,10/18/2012,10/18/2012,1,16,22,1,54,Construct,,,,,,,
P,H1W,6E,W08,PH1W6EW08,PH1W6EW08,12/11/2012,12/12/2012,2,250,327,2,27,Construct,,,,,,,
P,H1W,6E,W07,PH1W6EW07,PH1W6EW07,01/08/2013,01/09/2013,2,718,724,2,31,Construct,,,,,,,
P,H1W,6E,W06a,PH1W6EW06a,PH1W6EW06a,02/09/2013,02/09/2013,1,257,243,1,0,Construct,,,Code 03.,"Lift ""W06 a&b"" will be divided into ""W06 a"" and ""W06 b"".  All quantities will be assigned to ""W06 a""",Code 03a.,P-P-S-0137-0005,
P,H1W,6E,W06b,PH1W6EW06b,PH1W6EW06b,02/09/2013,02/09/2013,1,0,0,1,11,Construct,,,Code 03.,"Lift ""W06 a&b"" will be divided into ""W06 a"" and ""W06 b"".  All quantities will be assigned to ""W06 a""",Code 03a.,P-P-S-0137-0005,
P,H1W,6E,W05a,PH1W6EW05a,PH1W6EW05a,02/20/2013,02/20/2013,1,259,160,1,0,Construct,,,Code 03.,"Lift ""W05 a&b"" will be divided into ""W05 a"" and ""W05 b"".  All quantities will be assigned to ""W05 a""",Code 03a.,P-P-S-0137-0005,
P,H1W,6E,W05b,PH1W6EW05b,PH1W6EW05b,02/20/2013,02/20/2013,1,0,0,1,57,Construct,,,Code 03.,"Lift ""W05 a&b"" will be divided into ""W05 a"" and ""W05 b"".  All quantities will be assigned to ""W05 a""",Code 03a.,P-P-S-0137-0005,
P,H1W,6E,W04,PH1W6EW04,PH1W6EW04,04/18/2013,05/14/2013,27,473,430,1,16,Construct,,,Code 02.,"Joining ""W04"" and ""W04 (1st stage)"" under the name of ""W04"".",Code 03a.,P-P-S-0137-0005,
P,H1W,6E,W03,PH1W6EW03,PH1W6EW03,05/30/2013,06/01/2013,3,448,425,3,19,Construct,,,,,,,
P,H1W,6E,W02,PH1W6EW02,PH1W6EW02,06/20/2013,06/20/2013,1,176,185,1,403,Construct,,,,,,,
P,H1W,6E,W01,PH1W6EW01,PH1W6EW01,07/28/2014,07/29/2014,2,211,205,2,-823,Construct,,,,,,,
P,H1C,5A,F03,PH1C5AF03,PH1C5AF03,04/27/2012,04/28/2012,2,1746,1561,2,31,Construct,,,,,,,
P,H1C,5A,F02,PH1C5AF02,PH1C5AF02,05/29/2012,05/30/2012,2,546,554,2,8,Construct,,,,,,,
P,H1C,5A,F01,PH1C5AF01,PH1C5AF01,06/07/2012,06/07/2012,1,199,188,1,25,Construct,,,,,,,
P,H1C,5B,F03,PH1C5BF03,PH1C5BF03,07/02/2012,07/03/2012,2,1192,1202,2,9,Construct,,,,,,,
P,H1C,5B,F02,PH1C5BF02,PH1C5BF02,07/12/2012,07/13/2012,2,464,457,2,12,Construct,,,,,,,
P,H1C,5B,F01,PH1C5BF01,PH1C5BF01,07/25/2012,07/25/2012,1,664,589,1,-70,Construct,,,,,,,
P,H1C,5C,F06,PH1C5CF06,PH1C5CF06,05/16/2012,05/16/2012,1,302,262,1,10,Construct,,,,,,,
P,H1C,5C,F05,PH1C5CF05,PH1C5CF05,05/26/2012,11/15/2012,174,425,425,1,-164,Construct,,,,,,,
P,H1C,5C,F04,PH1C5CF04,PH1C5CF04,06/04/2012,06/04/2012,1,598,589,1,0,Construct,,,,,,,
P,H1C,5C,F03,PH1C5CF03,PH1C5CF03,06/04/2012,06/22/2012,19,691,691,2,-18,Construct,,,,,,,
P,H1C,5C,F02,PH1C5CF02,PH1C5CF02,06/04/2012,07/10/2012,37,237,280,1,9,Construct,,,,,,,
P,H1C,5C,F01,PH1C5CF01,PH1C5CF01,07/19/2012,07/19/2012,1,184,224,1,64,Construct,,,,,,,
P,H1C,4A,F03,PH1C4AF03,PH1C4AF03,09/21/2012,09/22/2012,2,1583,1562,2,5,Construct,,,,,,,
P,H1C,4A,F02,PH1C4AF02,PH1C4AF02,09/27/2012,09/28/2012,2,521,554,2,6,Construct,,,,,,,
P,H1C,4A,F01,PH1C4AF01,PH1C4AF01,10/04/2012,10/04/2012,1,184,188,1,-36,Construct,,,,,,,
P,H1C,4B,F03,PH1C4BF03,PH1C4BF03,08/29/2012,08/30/2012,2,1178,1202,2,8,Construct,,,,,,,
P,H1C,4B,F02,PH1C4BF02,PH1C4BF02,09/07/2012,09/07/2012,1,464,456,1,6,Construct,,,,,,,
P,H1C,4B,F01,PH1C4BF01,PH1C4BF01,09/13/2012,09/14/2012,2,584,589,2,54,Construct,,,,,,,
P,H1C,4C,F06,PH1C4CF06,PH1C4CF06,11/07/2012,11/08/2012,2,455.96,262,2,6,Construct,,,,,,,
P,H1C,4C,F05,PH1C4CF05,PH1C4CF05,11/14/2012,11/15/2012,2,622.04,539,2,6,Construct,,,Code 04.,"Lift ""F05 2nd Stage 4C&5C"" will be separated in ""F05"" for the monolith 4C and ""F05"" for the monolith 5C. All quantities will be assigned to F05, monolith 4C.",Code 04a.,"P-P-S-0085-0001, P-P-S-0085-0004",
P,H1C,4C,F04,PH1C4CF04,PH1C4CF04,11/21/2012,11/22/2012,2,752,589,2,6,Construct,,,Code 04.,"Lift ""F04 2nd Stage 4C&5C"" will be separated in ""F04"" for the monolith 4C and ""F04"" for the monolith 5C. All quantities will be assigned to F04, monolith 4C.",Code 04a.,"P-P-S-0085-0001, P-P-S-0085-0004",
P,H1C,4C,F03,PH1C4CF03,PH1C4CF03,11/28/2012,11/29/2012,2,972,993,2,6,Construct,,,Code 04.,"Lift ""F03 2nd Stage 4C&5C"" will be separated in ""F03"" for the monolith 4C and ""F03"" for the monolith 5C. All quantities will be assigned to F03, monolith 4C.",Code 04a.,"P-P-S-0085-0001, P-P-S-0085-0004",
