Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,,,Revision Process,,,RFC number,
P,H1E,3B,F05b,PH1E3BF05b,PH1E3BF05b,07/07/2012,07/08/2012,2,0,0,1,-1,Construct,,,Code 03.,"F05 will be divided into ""F05 a"", ""F05 b"" and ""F05 c"". All quantities are assigned to ""F05 a"".",Code 03a.,P-P-S-0060-0002,
P,H1E,3B,F05c,PH1E3BF05c,PH1E3BF05c,07/07/2012,07/08/2012,2,0,0,1,18,Construct,,,Code 03.,"F05 will be divided into ""F05 a"", ""F05 b"" and ""F05 c"". All quantities are assigned to ""F05 a"".",Code 03a.,P-P-S-0060-0002,
P,H1E,3B,F04a,PH1E3BF04a,PH1E3BF04a,07/26/2012,08/02/2012,8,283,230,3,-7,Construct,,,,,,,
P,H1E,3B,F04b,PH1E3BF04b,PH1E3BF04b,07/26/2012,07/26/2012,1,328,235,1,13,Construct,,,,,,,
P,H1E,3B,F04c,PH1E3BF04c,PH1E3BF04c,08/08/2012,08/09/2012,2,308,313,2,68,Construct,,,,,,,
P,H1E,3B,F03,PH1E3BF03,PH1E3BF03,10/16/2012,10/20/2012,5,1433,1410,3,23,Construct,,,,,,,
P,H1E,3B,F02,PH1E3BF02,PH1E3BF02,11/12/2012,11/12/2012,1,528,553,1,10,Construct,,,,,,,
P,H1E,3B,F01,PH1E3BF01,PH1E3BF01,11/22/2012,11/23/2012,2,668,700,2,27,Construct,,,,,,,
P,H1E,3B,W10,PH1E3BW10,PH1E3BW10,12/20/2012,12/21/2012,2,1077,912,2,24,Construct,,,,,,,
P,H1E,3B,W09,PH1E3BW09,PH1E3BW09,01/14/2013,01/15/2013,2,625,667,2,10,Construct,,,,,,,
P,H1E,3B,W08,PH1E3BW08,PH1E3BW08,01/25/2013,01/26/2013,2,758,767,2,18,Construct,,,,,,,
P,H1E,3B,W07a,PH1E3BW07a,PH1E3BW07a,02/13/2013,03/11/2013,27,893,897,3,-11,Construct,,,Code 05.,"Lift ""W07"" will be renamed as ""W07a"".",Code 05a.,P-P-S-0062-0006,
P,H1E,3B,W07b,PH1E3BW07b,PH1E3BW07b,03/12/2013,03/12/2013,1,0,0,0,8,Construct,,,Code 01.,"A new row was created under the name of ""W07b"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-0062-0006,
P,H1E,3B,W07c,PH1E3BW07c,PH1E3BW07c,03/13/2013,03/13/2013,1,0,0,0,33,Construct,,,Code 01.,"A new row was created under the name of ""W07c"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-0062-0006,
P,H1E,3B,W06,PH1E3BW06,PH1E3BW06,02/28/2013,03/01/2013,2,829,856,2,19,Construct,,,,,,,
P,H1E,3B,W05,PH1E3BW05,PH1E3BW05,03/20/2013,03/21/2013,2,967,970,2,25,Construct,,,,,,,
P,H1E,3B,W04,PH1E3BW04,PH1E3BW04,04/15/2013,04/16/2013,2,752,739,2,44,Construct,,,,,,,
P,H1E,3B,W03,PH1E3BW03,PH1E3BW03,05/30/2013,10/08/2013,132,688,671,2,-80,Construct,,,Code 02.,"Joining ""W03 (2nd stage)"" with ""W03"".    All quantities ara assigned to ""W03"".",Code 02a.,P-P-S-0063-0004,
P,H1E,3B,W02a,PH1E3BW02a,PH1E3BW02a,07/12/2013,07/12/2013,1,72,84,2,8,Construct,,,Code 02.,"Joining ""W02 (North)"" and ""W02 (South)"" under the name of ""W02a"".",Code 02a.,P-P-S-0063-0005,
P,H1E,3B,W02,PH1E3BW02,PH1E3BW02,07/20/2013,07/20/2013,1,456,478,1,9,Construct,,,,,,,
P,H1E,3B,W01,PH1E3BW01,PH1E3BW01,07/29/2013,07/05/2014,342,285,319,3,-904,Construct,,,Code 02.,"Joining ""W01 (1st stage)"" with ""W01"".    All quantities ara assigned to ""W01"".",Code 02a.,P-P-S-0063-0004,
P,H1E,3C,F07,PH1E3CF07,PH1E3CF07,01/13/2012,01/13/2012,1,784.14,653,1,24,Construct,,,,,,,
P,H1E,3C,F06,PH1E3CF06,PH1E3CF06,02/06/2012,02/07/2012,2,1071.96,1072,2,31,Construct,,,,,,,
P,H1E,3C,F05a,PH1E3CF05a,PH1E3CF05a,03/09/2012,03/09/2012,1,364,273,1,13,Construct,,,,,,,
P,H1E,3C,F05b,PH1E3CF05b,PH1E3CF05b,03/22/2012,03/23/2012,2,603,440,2,17,Construct,,,,,,,
P,H1E,3C,F05c,PH1E3CF05c,PH1E3CF05c,04/09/2012,04/10/2012,2,320,364,1,-8,Construct,,,Code 06.,"Lift ""F05c"" does not exist in the RFC.",Code 06a.,P-P-S-0060-0002,
P,H1E,3C,F04a,PH1E3CF04a,PH1E3CF04a,04/02/2012,04/02/2012,1,302,283,1,-4,Construct,,,,,,,
P,H1E,3C,F04 b,PH1E3CF04b,PH1E3CF04b,03/29/2012,03/29/2012,1,272,272,1,19,Construct,,,,,,,
P,H1E,3C,F04 b1,PH1E3CF04b1,PH1E3CF04b1,04/17/2012,04/18/2012,2,752,650,2,8,Construct,,,,,,,
P,H1E,3C,F04c,PH1E3CF04c,PH1E3CF04c,04/26/2012,04/26/2012,1,316,278,1,61,Construct,,,Code 06.,"Lift ""F04c"" does not exist in the RFC.",Code 06a.,P-P-S-0060-0002,
P,H1E,3C,F03,PH1E3CF03,PH1E3CF03,06/26/2012,07/07/2012,12,1615,1520,3,25,Construct,,,,,,,
P,H1E,3C,F02,PH1E3CF02,PH1E3CF02,08/01/2012,09/03/2013,399,645,714,2,-375,Construct,,,Code 02.,"Joining ""F0.2 (2nd stage)"" with ""F02""    All quantities ara assigned to ""F02"".",Code 02a.,P-P-S-0060-0002,
P,H1E,3C,F01,PH1E3CF01,PH1E3CF01,08/24/2012,08/25/2012,2,721,780,2,16,Construct,,,,,,,
P,H1E,3C,W10,PH1E3CW10,PH1E3CW10,09/10/2012,09/11/2012,2,837,780,2,16,Construct,,,,,,,
P,H1E,3C,W09,PH1E3CW09,PH1E3CW09,09/27/2012,09/28/2012,2,525,551,2,14,Construct,,,,,,,
P,H1E,3C,W08,PH1E3CW08,PH1E3CW08,10/12/2012,10/13/2012,2,694,600,2,18,Construct,,,,,,,
P,H1E,3C,W07a,PH1E3CW07a,PH1E3CW07a,10/31/2012,11/01/2012,2,599,625,2,-1,Construct,,,Code 05.,"Lift ""W07"" will be renamed as ""W07a"".",Code 05a.,P-P-S-0062-0006,
P,H1E,3C,W07b,PH1E3CW07b,PH1E3CW07b,10/31/2012,11/01/2012,2,0,0,0,23,Construct,,,Code 01.,"A new row was created under the name of ""W07b"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-0062-0006,
P,H1E,3C,W06,PH1E3CW06,PH1E3CW06,11/24/2012,11/24/2012,1,548,565,1,34,Construct,,,,,,,
P,H1E,3C,W05,PH1E3CW05,PH1E3CW05,12/28/2012,12/29/2012,2,592,600,2,41,Construct,,,,,,,
P,H1E,3C,W04,PH1E3CW04,PH1E3CW04,02/08/2013,02/09/2013,2,452,434,2,53,Construct,,,,,,,
P,H1E,3C,W03,PH1E3CW03,PH1E3CW03,04/03/2013,10/08/2013,189,341,377,3,-90,Construct,,,Code 02.,"Joining ""W03 (2nd stage)"" with ""W03"".    All quantities ara assigned to ""W03"".",Code 02a.,P-P-S-0063-0004,
P,H1E,3C,W02a,PH1E3CW02a,PH1E3CW02a,06/10/2013,07/11/2013,32,63,42,2,-1,Construct,,,Code 02.,"Joining ""W02 (1st stage)"" with ""W02"" under the name ""W02a"". ",Code 02a.,P-P-S-0063-0005,
P,H1E,3C,W02,PH1E3CW02,PH1E3CW02,07/10/2013,07/10/2013,1,264,275,1,16,Construct,,,Code 05.,"Lift ""W02(2nd stage)"" will be renamed as ""W02"".",Code 05a.,P-P-S-0063-0005,
P,H1E,3C,W01,PH1E3CW01,PH1E3CW01,07/26/2013,08/07/2014,378,159,191,1,-763,Construct,,,Code 02.,"Joining ""W01 (1st stage)"" with ""W01"".    All quantities ara assigned to ""W01"".",Code 02a.,P-P-S-0063-0004,
P,H1E,2A,F03,PH1E2AF03,PH1E2AF03,07/05/2012,07/06/2012,2,869,872,2,11,Construct,,,,,,,
P,H1E,2A,F02,PH1E2AF02,PH1E2AF02,07/17/2012,07/18/2012,2,812,822,2,6,Construct,,,,,,,
P,H1E,2A,F01,PH1E2AF01,PH1E2AF01,07/24/2012,07/25/2012,2,332,324,2,8,Construct,,,,,,,
P,H1E,2A,W10,PH1E2AW10,PH1E2AW10,08/02/2012,08/03/2012,2,536,566,2,10,Construct,,,,,,,
P,H1E,2A,W09,PH1E2AW09,PH1E2AW09,08/13/2012,08/13/2012,1,362,356,1,8,Construct,,,,,,,
P,H1E,2A,W08,PH1E2AW08,PH1E2AW08,08/21/2012,08/21/2012,1,392,387,1,7,Construct,,,,,,,
P,H1E,2A,W07,PH1E2AW07,PH1E2AW07,08/28/2012,08/29/2012,2,408,409,2,6,Construct,,,,,,,
P,H1E,2A,W06,PH1E2AW06,PH1E2AW06,09/04/2012,09/05/2012,2,398,384,2,10,Construct,,,,,,,
P,H1E,2A,W05,PH1E2AW05,PH1E2AW05,09/15/2012,09/15/2012,1,405,404,1,205,Construct,,,,,,,
P,H1E,2A,W04,PH1E2AW04,PH1E2AW04,04/08/2013,04/09/2013,2,288,287,2,41,Construct,,,,,,,
P,H1E,2A,W03,PH1E2AW03,PH1E2AW03,05/20/2013,05/21/2013,2,228,230,2,56,Construct,,,,,,,
P,H1E,2A,W02,PH1E2AW02,PH1E2AW02,07/16/2013,08/05/2013,21,157,176,2,331,Construct,,,Code 02.," Joining ""W02 (2nd stage)"" with ""W02 (1st stage)"" under the name ""W02"".    All quantities ara assigned to ""W02"".",Code 02a.,P-P-S-0012-0003,
P,H1E,2A,W01,PH1E2AW01,PH1E2AW01,07/02/2014,07/02/2014,1,87,87,1,-697,Construct,,,,,,,
P,H1E,2B,F03,PH1E2BF03,PH1E2BF03,08/04/2012,08/05/2012,2,978,978,2,5,Construct,,,,,,,
P,H1E,2B,F02,PH1E2BF02,PH1E2BF02,08/10/2012,08/11/2012,2,935,940,2,6,Construct,,,,,,,
P,H1E,2B,F01,PH1E2BF01,PH1E2BF01,08/17/2012,08/18/2012,2,520,526,2,32,Construct,,,,,,,
P,H1E,2B,W10,PH1E2BW10,PH1E2BW10,09/19/2012,09/20/2012,2,789,763,2,15,Construct,,,,,,,
P,H1E,2B,W09,PH1E2BW09,PH1E2BW09,10/05/2012,10/06/2012,2,577,546,2,12,Construct,,,,,,,
P,H1E,2B,W08,PH1E2BW08,PH1E2BW08,10/18/2012,10/19/2012,2,659,628,2,19,Construct,,,,,,,
P,H1E,2B,W07,PH1E2BW07,PH1E2BW07,11/07/2012,11/08/2012,2,757,710,2,12,Construct,,,,,,,
P,H1E,2B,W06,PH1E2BW06,PH1E2BW06,11/20/2012,11/21/2012,2,697,710,2,7,Construct,,,,,,,
P,H1E,2B,W05,PH1E2BW05,PH1E2BW05,11/28/2012,11/29/2012,2,816,819,2,145,Construct,,,,,,,
P,H1E,2B,W04,PH1E2BW04,PH1E2BW04,04/23/2013,04/24/2013,2,636,633,2,43,Construct,,,,,,,
P,H1E,2B,W03,PH1E2BW03,PH1E2BW03,06/06/2013,06/07/2013,2,512,535,2,22,Construct,,,,,,,
P,H1E,2B,W02,PH1E2BW02,PH1E2BW02,06/29/2013,08/15/2013,48,423,484,4,344,Construct,,,Code 02.,"Joining ""W02 (1st stage)"" with ""W02"". All quantities ara assigned to ""W02"".",Code 02a.,P-P-S-0012-0003,
P,H1E,2B,W01,PH1E2BW01,PH1E2BW01,07/25/2014,07/26/2014,2,230,241,2,-816,Construct,,,,,,,
P,H1E,2C,F03,PH1E2CF03,PH1E2CF03,05/01/2012,05/02/2012,2,890,881,2,19,Construct,,,,,,,
P,H1E,2C,F02,PH1E2CF02,PH1E2CF02,05/21/2012,05/21/2012,1,819,829,1,9,Construct,,,,,,,
P,H1E,2C,F01,PH1E2CF01,PH1E2CF01,05/30/2012,05/30/2012,1,330,340,1,12,Construct,,,,,,,
P,H1E,2C,W10,PH1E2CW10,PH1E2CW10,06/11/2012,06/11/2012,1,585,577,1,16,Construct,,,,,,,
P,H1E,2C,W09,PH1E2CW09,PH1E2CW09,06/27/2012,06/27/2012,1,364,361,1,13,Construct,,,,,,,
P,H1E,2C,W08,PH1E2CW08,PH1E2CW08,07/10/2012,07/11/2012,2,392,393,2,34,Construct,,,,,,,
P,H1E,2C,W07,PH1E2CW07,PH1E2CW07,08/14/2012,08/15/2012,2,421,415,2,8,Construct,,,,,,,
P,H1E,2C,W06,PH1E2CW06,PH1E2CW06,08/23/2012,08/24/2012,2,384,384,2,6,Construct,,,,,,,
P,H1E,2C,W05,PH1E2CW05,PH1E2CW05,08/30/2012,09/01/2012,3,424,404,3,193,Construct,,,,,,,
P,H1E,2C,W04,PH1E2CW04,PH1E2CW04,03/13/2013,03/13/2013,1,280,287,1,54,Construct,,,,,,,
P,H1E,2C,W03,PH1E2CW03,PH1E2CW03,05/06/2013,05/07/2013,2,238,230,2,30,Construct,,,,,,,
P,H1E,2C,W02,PH1E2CW02,PH1E2CW02,06/06/2013,08/03/2013,59,178,181,2,380,Construct,,,Code 02.,"Joining ""W02 (2nd stage)"" with ""W02 (1st stage)"" under the name ""W02"".    All quantities ara assigned to ""W02"".",Code 02a.,P-P-S-0012-0003,
P,H1E,2C,W01,PH1E2CW01,PH1E2CW01,08/18/2014,08/18/2014,1,71,87,1,-970,Construct,,,,,,,
P,H1E,1A,F03,PH1E1AF03,PH1E1AF03,12/22/2011,12/23/2011,2,943,924,2,41,Construct,,,,,,,
P,H1E,1A,F02,PH1E1AF02,PH1E1AF02,02/02/2012,02/03/2012,2,860,830,2,27,Construct,,,,,,,
P,H1E,1A,F01,PH1E1AF01,PH1E1AF01,03/01/2012,03/02/2012,2,384,391,2,18,Construct,,,,,,,
P,H1E,1A,W10,PH1E1AW10,PH1E1AW10,03/20/2012,03/21/2012,2,713,713,2,19,Construct,,,,,,,
P,H1E,1A,W09,PH1E1AW09,PH1E1AW09,04/09/2012,04/09/2012,1,461,450,1,15,Construct,,,,,,,
P,H1E,1A,W08,PH1E1AW08,PH1E1AW08,04/24/2012,04/25/2012,2,528,498,2,692,Construct,,,,,,,
P,H1E,1A+1B,W08,PH1E1A+1BW08,PH1E1A+1BW08,03/18/2014,03/18/2014,1,4,8,1,-669,Construct,,,Code 07.,"""1A+1B"" corresponds to a non-structural balcony that spans on parts of ""1B"" and ""1C"" of lift W08, however this section was placed about one year after ""1B"" and ""1C"", therefore pour ""1A+1B"" will be kept separated, despite the fact that it does not appear in the RFC with that name.",Code 07a.,P-P-S-0011-0004,
P,H1E,1A,W07,PH1E1AW07,PH1E1AW07,05/18/2012,05/18/2012,1,564,540,1,25,Construct,,,,,,,
P,H1E,1A,W06,PH1E1AW06,PH1E1AW06,06/12/2012,06/12/2012,1,519,507,2,28,Construct,,,,,,,
P,H1E,1A,W05,PH1E1AW05,PH1E1AW05,07/10/2012,07/16/2012,7,540,519,2,24,Construct,,,,,,,
P,H1E,1A,W04,PH1E1AW04,PH1E1AW04,08/09/2012,09/27/2012,50,359,342,2,27,Construct,,,,,,,
P,H1E,1A,W03,PH1E1AW03,PH1E1AW03,10/24/2012,10/30/2012,7,252.5,249,2,17,Construct,,,,,,,
P,H1E,1A,W02,PH1E1AW02,PH1E1AW02,11/16/2012,03/06/2013,111,193,168,1,500,Construct,,,,,,,
P,H1E,1A,W01,PH1E1AW01,PH1E1AW01,07/19/2014,07/19/2014,1,86,92,1,-889,Construct,,,,,,,
P,H1E,1B,F03,PH1E1BF03,PH1E1BF03,02/11/2012,02/12/2012,2,1082,1031,2,16,Construct,,,,,,,
P,H1E,1B,F02,PH1E1BF02,PH1E1BF02,02/28/2012,02/29/2012,2,999.18,988.18,2,12,Construct,,,,,,,
P,H1E,1B,F01,PH1E1BF01,PH1E1BF01,03/12/2012,03/13/2012,2,576.5,574,2,17,Construct,,,,,,,
P,H1E,1B,W10,PH1E1BW10,PH1E1BW10,03/30/2012,04/11/2012,13,938,906,3,33,Construct,,,,,,,
P,H1E,1B,W09,PH1E1BW09,PH1E1BW09,05/14/2012,05/14/2012,1,674,639,1,14,Construct,,,,,,,
P,H1E,1B,W08,PH1E1BW08,PH1E1BW08,05/28/2012,05/29/2012,2,742,734,2,637,Construct,,,,,,,
P,H1E,1B+1C,W08,PH1E1B+1CW08,PH1E1B+1CW08,02/25/2014,02/25/2014,1,9,7,1,-608,Construct,,,Code 07.,"""1A+1B"" corresponds to a non-structural balcony that spans on parts of ""1B"" and ""1C"" of lift W08, however this section was placed about one year after ""1B"" and ""1C"", therefore pour ""1A+1B"" will be kept separated, despite the fact that it does not appear in the RFC with that name.",Code 07a.,P-P-S-0011-0004,
P,H1E,1B,W07,PH1E1BW07,PH1E1BW07,06/27/2012,06/27/2012,1,857,861,1,63,Construct,,,,,,,
P,H1E,1B,W06,PH1E1BW06,PH1E1BW06,08/29/2012,08/29/2012,1,813,813,1,31,Construct,,,,,,,
P,H1E,1B,W05,PH1E1BW05,PH1E1BW05,09/29/2012,09/29/2012,1,961,926,1,81,Construct,,,,,,,
P,H1E,1B,W04,PH1E1BW04,PH1E1BW04,12/19/2012,12/20/2012,2,713,690,2,50,Construct,,,,,,,
P,H1E,1B,W03,PH1E1BW03,PH1E1BW03,02/08/2013,03/06/2013,27,556,571,2,78,Construct,,,,,,,
P,H1E,1B,W02,PH1E1BW02,PH1E1BW02,05/23/2013,08/28/2013,98,483,482,4,348,Construct,,,,,,,
P,H1E,1B,W01,PH1E1BW01,PH1E1BW01,08/11/2014,08/11/2014,1,233,247,1,-956,Construct,,,,,,,
P,H1E,1C,F03,PH1E1CF03,PH1E1CF03,12/29/2011,12/29/2011,1,944.16,924,1,32,Construct,,,,,,,
P,H1E,1C,F02,PH1E1CF02,PH1E1CF02,01/30/2012,01/30/2012,1,856,830,1,32,Construct,,,,,,,
P,H1E,1C,F01,PH1E1CF01,PH1E1CF01,03/02/2012,03/03/2012,2,424,391,2,20,Construct,,,,,,,
P,H1E,1C,W10,PH1E1CW10,PH1E1CW10,03/23/2012,03/24/2012,2,769,713,2,27,Construct,,,,,,,
P,H1E,1C,W09,PH1E1CW09,PH1E1CW09,04/20/2012,04/21/2012,2,440,450,2,18,Construct,,,,,,,
P,H1E,1C,W08,PH1E1CW08,PH1E1CW08,05/09/2012,05/10/2012,2,496,498,2,13,Construct,,,,,,,
P,H1E,1C,W07,PH1E1CW07,PH1E1CW07,05/23/2012,05/23/2012,1,537,540,1,26,Construct,,,,,,,
P,H1E,1C,W06,PH1E1CW06,PH1E1CW06,06/18/2012,06/19/2012,2,498,507,2,49,Construct,,,,,,,
P,H1E,1C,W05,PH1E1CW05,PH1E1CW05,08/07/2012,08/13/2012,7,563,518,2,29,Construct,,,,,,,
P,H1E,1C,W04,PH1E1CW04,PH1E1CW04,09/11/2012,11/24/2012,75,337,342,2,58,Construct,,,,,,,
P,H1E,1C,W03,PH1E1CW03,PH1E1CW03,01/21/2013,02/28/2013,39,250,249,3,70,Construct,,,Code 02.,"Joining ""W03 (1st stage)"" with ""W03 (2nd stage)"".    All quantities ara assigned to ""W03"".",Code 02a.,P-P-S-0012-0003,
P,H1E,1C,W02,PH1E1CW02,PH1E1CW02,05/09/2013,08/27/2013,111,163,162,2,366,Construct,,,Code 02.,"Joining ""W02 (2nd stage)"" with ""W02"".    All quantities ara assigned to ""W02"".",Code 02a.,P-P-S-0012-0003,
P,H1E,1C,W01,PH1E1CW01,PH1E1CW01,08/28/2014,08/28/2014,1,94.5,92,1,37,Construct,,,,,,,
P,H1E,6C,W10,PH1E6CW10,PH1E6CW10,10/04/2014,10/04/2014,0,5,0,1,,Construct,,,Code 06.,"Lift ""6C-W10"" does not exist in the RFC.",Code 06a.,P-P-S-0062-0006,
