Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,
P,H2W,6B,W04,PH2W6BW04,PH2W6BW04,05/17/2013,05/17/2013,1,472,476,1,13,Construct,,,,,
P,H2W,6B,W03,PH2W6BW03,PH2W6BW03,05/30/2013,05/30/2013,1,184,478,1,432,Construct,,,,,
P,H2W,6B,W02,PH2W6BW02,PH2W6BW02,08/05/2014,08/06/2014,2,217,200,2,8,Construct,,,,,
P,H2W,6B,W01,PH2W6BW01,PH2W6BW01,08/14/2014,08/15/2014,2,213,244,2,-1030,Construct,,,,,
P,H2W,6C,F03,PH2W6CF03,PH2W6CF03,10/20/2011,10/22/2011,3,1176,1134,3,31,Construct,,,,,
P,H2W,6C,F02,PH2W6CF02,PH2W6CF02,11/22/2011,03/30/2012,130,681.55,716,4,17,Construct,,,,,
P,H2W,6C,F01,PH2W6CF01,PH2W6CF01,04/16/2012,04/17/2012,2,336,332,2,49,Construct,,,,,
P,H2W,6C,W13a,PH2W6CW13a,PH2W6CW13a,06/05/2012,06/11/2012,7,867,711,1,-6,Construct,Code 03.,"W13 will be divided in W13a, W13b and W13c.  All quantities are assigned to W13a.",Code 03a.,P-P-S-0507-0001,
P,H2W,6C,W13b,PH2W6CW13b,PH2W6CW13b,06/05/2012,06/11/2012,7,0,0,1,-6,Construct,Code 03.,"W13 will be divided in W13a, W13b and W13c.  All quantities are assigned to W13a.",Code 03a.,P-P-S-0507-0001,
P,H2W,6C,W13c,PH2W6CW13c,PH2W6CW13c,06/05/2012,06/11/2012,7,0,0,1,65,Construct,Code 03.,"W13 will be divided in W13a, W13b and W13c.  All quantities are assigned to W13a.",Code 03a.,P-P-S-0507-0001,
P,H2W,6C,W12a,PH2W6CW12a,PH2W6CW12a,08/15/2012,08/16/2012,2,801,796,2,-1,Construct,Code 03.,"W12 will be divided in W12a, W12b and W12c.  All quantities are assigned to W12a.",Code 03a.,P-P-S-0507-0001,
