Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,T6,C101,F01,PT6C101F01,PT6C101F01,07/30/2014,07/30/2014,1,392,399,1,8,Construct,.,,,
P,T6,C101,W03,PT6C101W03,PT6C101W03,08/07/2014,08/07/2014,1,88,83,1,7,Construct,,,,
P,T6,C101,W02,PT6C101W02,PT6C101W02,08/14/2014,08/14/2014,1,75,73,1,14,Construct,,,,
P,T6,C101,W01,PT6C101W01,PT6C101W01,08/28/2014,08/28/2014,1,21,18,1,75,Construct,,,,
P,T6,C101,R07,PT6C101R07,PT6C101R07,11/11/2014,11/11/2014,1,156,133,1,3,Construct,,,,
P,T6,C101,R06,PT6C101R06,PT6C101R06,11/14/2014,11/14/2014,1,137,143,1,4,Construct,,,,
P,T6,C101,R05,PT6C101R05,PT6C101R05,11/18/2014,11/18/2014,1,104,107,1,99,Construct,,,,
P,T6,C101,R04a,PT6C101R04a,PT6C101R04a,02/25/2015,02/25/2015,1,7,52,1,2,Construct,Code 05.,"Lift ""R04"" will be renamed to ""R04a"" to match the RFC.",Code 05a.,P-P-S-6860-0011
P,T6,C101,R04b,PT6C101R04b,PT6C101R04b,02/27/2015,02/27/2015,1,117,117,1,12,Construct,,,,P-P-S-6860-0011
P,T6,C101,R03a,PT6C101R03a,PT6C101R03a,03/11/2015,03/11/2015,1,74,65,1,0,Construct,Code 03.,"Lift ""R03 a+b"" will be divided into ""R03a"" and"" ""R03b"".  All quantities will be assigned to ""R03a"".",Code 03a.,P-P-S-6860-0011
P,T6,C101,R03b,PT6C101R03b,PT6C101R03b,03/11/2015,03/11/2015,1,0,0,0,7,Construct,Code 03.,"Lift ""R03 a+b"" will be divided into ""R03a"" and"" ""R03b"".  All quantities will be assigned to ""R03a"".",Code 03a.,P-P-S-6860-0011
P,T6,C101,R02,PT6C101R02,PT6C101R02,03/18/2015,03/18/2015,1,64,76,1,0,Construct,Code 03.,"Lift ""R02+R01"" will be divided into ""R02"" and"" ""R01"".  All quantities will be assigned to ""R02"".",Code 03a.,P-P-S-6860-0011
P,T6,C101,R01,PT6C101R01,PT6C101R01,03/18/2015,03/18/2015,1,0,0,0,-205,Construct,Code 03.,"Lift ""R02+R01"" will be divided into ""R02"" and"" ""R01"".  All quantities will be assigned to ""R02"".",Code 03a.,P-P-S-6860-0011
