Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duation in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,VS5,,C03a4,PVS5C03a4,PVS5C03a4,10/22/2013,10/22/2013,1,145,121,1,0,Construct,Code 03.,"Lift ""C03a&b4"" will be separated into ""C03a4"" and ""C03b4"". All quantities will be assigned to ""C03a4"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C03b4,PVS5C03b4,PVS5C03b4,10/22/2013,10/22/2013,1,0,0,0,2,Construct,Code 03.,"Lift ""C03a&b4"" will be separated into ""C03a4"" and ""C03b4"". All quantities will be assigned to ""C03a4"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C03a7,PVS5C03a7,PVS5C03a7,10/24/2013,10/24/2013,1,114,106,1,0,Construct,Code 03.,"Lift ""C03a&b7"" will be separated into ""C03a7"" and ""C03b7"". All quantities will be assigned to ""C03a7"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C03b7,PVS5C03b7,PVS5C03b7,10/24/2013,10/24/2013,1,0,0,0,-27,Construct,Code 03.,"Lift ""C03a&b7"" will be separated into ""C03a7"" and ""C03b7"". All quantities will be assigned to ""C03a7"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C02a1,PVS5C02a1,PVS5C02a1,09/27/2013,09/27/2013,1,121,110,1,0,Construct,Code 03.,"Lift ""C02a&b1"" will be separated into ""C02a1"" and ""C02b1"". All quantities will be assigned to ""C02a1"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C02b1,PVS5C02b1,PVS5C02b1,09/27/2013,09/27/2013,1,0,0,0,13,Construct,Code 03.,"Lift ""C02a&b1"" will be separated into ""C02a1"" and ""C02b1"". All quantities will be assigned to ""C02a1"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C02a2,PVS5C02a2,PVS5C02a2,10/10/2013,10/10/2013,1,137,131,1,0,Construct,Code 03.,"Lift ""C02a&b2"" will be separated into ""C02a2"" and ""C02b2"". All quantities will be assigned to ""C02a2"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C02b2,PVS5C02b2,PVS5C02b2,10/10/2013,10/10/2013,1,0,0,0,9,Construct,Code 03.,"Lift ""C02a&b2"" will be separated into ""C02a2"" and ""C02b2"". All quantities will be assigned to ""C02a2"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C02a3,PVS5C02a3,PVS5C02a3,10/19/2013,10/19/2013,1,162,168,1,0,Construct,Code 03.,"Lift ""C02a&b3"" will be separated into ""C02a3"" and ""C02b3"". All quantities will be assigned to ""C02a3"".",Code 03a.,P-P-S-6740-0003
P,VS5,,C02b3,PVS5C02b3,PVS5C02b3,10/19/2013,10/19/2013,1,0,0,0,10,Construct,Code 03.,"Lift ""C02a&b3"" will be separated into ""C02a3"" and ""C02b3"". All quantities will be assigned to ""C02a3"".",Code 03a.,P-P-S-6740-0003
