Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,
A,VS4,,C05a1,AVS4C05a1,AVS4C05a1,02/25/2013,02/25/2013,1,176,174,1,4,Construct,.,,,,
A,VS4,,C05a2,AVS4C05a2,AVS4C05a2,03/01/2013,03/01/2013,1,184,168,1,4,Construct,,,,,
A,VS4,,C05a3,AVS4C05a3,AVS4C05a3,03/05/2013,03/06/2013,2,166,174,2,26,Construct,,,,,
A,VS4,,C04a1,AVS4C04a1,AVS4C04a1,04/01/2013,04/01/2013,1,256,270,1,9,Construct,,,,,
A,VS4,,C04a3,AVS4C04a3,AVS4C04a3,04/10/2013,04/11/2013,2,240,270,2,7,Construct,,,,,
A,VS4,,C04a2,AVS4C04a2,AVS4C04a2,04/18/2013,04/22/2013,5,244,260,3,-2,Construct,,,,,
A,VS4,,C03a1,AVS4C03a1,AVS4C03a1,04/20/2013,04/20/2013,1,64,51,1,7,Construct,,,,,
A,VS4,,C03a2,AVS4C03a2,AVS4C03a2,04/27/2013,04/27/2013,1,88,82,1,10,Construct,,,,,
A,VS4,,C03a3,AVS4C03a3,AVS4C03a3,05/07/2013,05/08/2013,2,80,71,2,9,Construct,,,,,
A,VS4,,C03a4,AVS4C03a4,AVS4C03a4,05/17/2013,05/17/2013,1,96,71,1,11,Construct,,,,,
A,VS4,,C03a5,AVS4C03a5,AVS4C03a5,05/28/2013,05/28/2013,1,87,82,1,13,Construct,,,,,
A,VS4,,C03a6,AVS4C03a6,AVS4C03a6,06/10/2013,06/11/2013,2,88,82,2,11,Construct,,,,,
A,VS4,,C03a7,AVS4C03a7,AVS4C03a7,06/22/2013,06/22/2013,1,72,59,1,-53,Construct,,,,,
A,VS4,,C02a1,AVS4C02a1,AVS4C02a1,04/30/2013,04/30/2013,1,72,52,1,9,Construct,,,,,
A,VS4,,C02a2,AVS4C02a2,AVS4C02a2,05/09/2013,05/09/2013,1,72,74,1,13,Construct,,,,,
A,VS4,,C02a3,AVS4C02a3,AVS4C02a3,05/22/2013,05/22/2013,1,88,74,1,14,Construct,,,,,
A,VS4,,C02a4,AVS4C02a4,AVS4C02a4,06/05/2013,06/05/2013,1,80,74,1,12,Construct,,,,,
A,VS4,,C02a5,AVS4C02a5,AVS4C02a5,06/17/2013,06/17/2013,1,80,74,1,9,Construct,,,,,
A,VS4,,C02a6,AVS4C02a6,AVS4C02a6,06/26/2013,06/26/2013,1,79,74,1,3,Construct,Code 05.,"Lift ""AVS4C02a06"" will be renamed ""C02a6"".",Code 05a.,A-P-S-6730-0002,
A,VS4,,C02a7,AVS4C02a7,AVS4C02a7,06/29/2013,06/29/2013,1,63,52,1,58,Construct,,,,,
A,VS4,,C01a,AVS4C01a,AVS4C01a,08/26/2013,09/06/2013,12,582,620,2,220,Construct,Code 02.,"Joining ""C01a1(II)"" with""C01a"" under the name of ""C01a"".",Code 02a.,A-P-S-6730-0002,
A,VS4,,C05b3,AVS4C05b3,AVS4C05b3,04/14/2014,04/14/2014,1,392,466,1,0,Construct,Code 03.,"Lift ""AVS4C05b03+VS4-C04b-03"" will be divided into ""C05b3 and C04b3"" All quantities will be assigned to ""C05b3""",Code 03a.,A-P-S-6730-0003,(*)
A,VS4,,C04b3,AVS4C04b3,AVS4C04b3,04/14/2014,04/14/2014,1,0,0,1,7,Construct,Code 03.,"Lift ""AVS4C05b03+VS4-C04b-03"" will be divided into ""C05b3 and C04b3"" All quantities will be assigned to ""C05b3""",Code 03a.,A-P-S-6730-0003,(*)
A,VS4,,C05b1,AVS4C05b1,AVS4C05b1,04/21/2014,04/22/2014,2,864,916,2,-1,Construct,Code 03.,"Lift ""AVS4C05&C04b01&02"" will be divided into ""C05b1, C05b2, C04b1 and C04b2"" All quantities will be assigned to ""C05b1""",Code 03a.,A-P-S-6730-0003,(*)
A,VS4,,C05b2,AVS4C05b2,AVS4C05b2,04/21/2014,04/22/2014,2,0,0,0,-1,Construct,Code 03.,"Lift ""AVS4C05&C04b01&02"" will be divided into ""C05b1, C05b2, C04b1 and C04b2"" All quantities will be assigned to ""C05b1""",Code 03a.,A-P-S-6730-0003,(*)
A,VS4,,C04b1,AVS4C04b1,AVS4C04b1,04/21/2014,04/22/2014,2,0,0,0,-1,Construct,Code 03.,"Lift ""AVS4C05&C04b01&02"" will be divided into ""C05b1, C05b2, C04b1 and C04b2"" All quantities will be assigned to ""C05b1""",Code 03a.,A-P-S-6730-0003,(*)
A,VS4,,C04b2,AVS4C04b2,AVS4C04b2,04/21/2014,04/22/2014,2,0,0,0,36,Construct,Code 03.,"Lift ""AVS4C05&C04b01&02"" will be divided into ""C05b1, C05b2, C04b1 and C04b2"" All quantities will be assigned to ""C05b1""",Code 03a.,A-P-S-6730-0003,(*)
A,VS4,,C03b1,AVS4C03b1,AVS4C03b1,05/28/2014,05/29/2014,2,72,55,2,23,Construct,,,,,(*)
A,VS4,,C03b3,AVS4C03b3,AVS4C03b3,06/21/2014,06/21/2014,1,136,103,1,11,Construct,Code 05.,"Lift ""AVS4C03b03"" will be renamed ""C03b3"".",Code 05a.,A-P-S-6730-0003,(*)
A,VS4,,C03b5,AVS4C03b5,AVS4C03b5,07/02/2014,07/02/2014,1,120,90,1,9,Construct,Code 05.,"Lift ""AVS4C03b05"" will be renamed ""C03b5"".",Code 05a.,A-P-S-6730-0003,(*)
A,VS4,,C03b2,AVS4C03b2,AVS4C03b2,07/11/2014,07/11/2014,1,62,46,1,12,Construct,,,,,(*)
A,VS4,,C03b4,AVS4C03b4,AVS4C03b4,07/23/2014,07/23/2014,1,67,50,1,14,Construct,,,,,(*)
A,VS4,,C03b6,AVS4C03b6,AVS4C03b6,08/06/2014,08/06/2014,1,62,57,1,-75,Construct,,,,,(*)
A,VS4,,C03b7,AVS4C03b7,AVS4C03b7,05/23/2014,05/23/2014,1,80,56,1,12,Construct,Code 05.,"Lift ""AVS4C03b 07"" will be renamed ""C03b7"".",Code 05a.,A-P-S-6730-0003,(*)
A,VS4,,C02b7,AVS4C02b7,AVS4C02b7,06/04/2014,06/04/2014,1,120,58,1,7,Construct,,,,,(*)
A,VS4,,C02b1,AVS4C02b1,AVS4C02b1,06/11/2014,06/12/2014,2,80,57,1,35,Construct,Code 02.,"Joining lifts ""C02b1"" and ""C02 B1"" under the name of ""C02b1"".",Code 02a.,A-P-S-6730-0003,(*)
A,VS4,,C02b5,AVS4C02b5,AVS4C02b5,07/17/2014,07/17/2014,1,94,94,1,7,Construct,,,,,(*)
A,VS4,,C02b3,AVS4C02b3,AVS4C02b3,07/24/2014,07/24/2014,1,86,107,1,7,Construct,,,,,(*)
A,VS4,,C02b2,AVS4C02b2,AVS4C02b2,07/31/2014,07/31/2014,1,53,48,1,19,Construct,,,,,(*)
A,VS4,,C02b4,AVS4C02b4,AVS4C02b4,08/19/2014,08/19/2014,1,46,46,1,1,Construct,,,,,(*)
A,VS4,,C02b6,AVS4C02b6,AVS4C02b6,08/20/2014,08/20/2014,1,65,57,1,28,Construct,,,,,(*)
A,VS4,,C01b1,AVS4C01b1,AVS4C01b1,09/17/2014,09/17/2014,1,377,340,1,2,Construct,Code 05.,"Lift ""C01b(I) will be renamed as ""C01b1"""".",Code 05a.,A-P-S-6730-0003,(*)
A,VS4,,C01b2,AVS4C01b2,AVS4C01b2,09/19/2014,09/20/2014,2,608,654,2,-1,Construct,Code 02.,"Lift ""C01b(II)"" will be separated into ""C01b2"" and ""C01b3"".  All quantities will be assigned to ""C01b2"".",Code 02a.,A-P-S-6730-0003,(*)
A,VS4,,C01b3,AVS4C01b3,AVS4C01b3,09/19/2014,09/20/2014,2,0,0,0,-341,Construct,Code 02.,"Lift ""C01b(II)"" will be separated into ""C01b2"" and ""C01b3"".  All quantities will be assigned to ""C01b2"".",Code 02a.,A-P-S-6730-0003,(*)
A,VS4,,W06,AVS4W06,AVS4W06,10/14/2013,10/15/2013,2,965,996,2,28,Construct,,,,,
A,VS4,,W05,AVS4W05,AVS4W05,11/12/2013,11/13/2013,2,949,925,2,16,Construct,,,,,
A,VS4,,W04,AVS4W04,AVS4W04,11/29/2013,11/30/2013,2,1001,931,2,18,Construct,,,,,
A,VS4,,W03,AVS4W03,AVS4W03,12/18/2013,12/20/2013,3,1026,931,3,21,Construct,,,,,
A,VS4,,W02,AVS4W02,AVS4W02,01/10/2014,01/10/2014,1,940,941,1,89,Construct,,,,,
A,VS4,,W01,AVS4W01,AVS4W01,04/09/2014,03/31/2015,357,350,399,2,,Construct,,,,,
,,,,,,,,,,,,,,,,,(*) There is a mistake in the nomenclature of this lift in RFC drawing A-P-S-6730-0003.   This MS Excel table contains the correct name for the lift.,
,,,,,,,,,,,,,,,,,,
