Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
A,IW,M03,P1-01,AIWM03P1-01,AIWM03P1-01,07/22/2014,07/22/2014,1,64,24,1,4,Construct,,,,
A,IW,M03,P2-02,AIWM03P2-02,AIWM03P2-02,07/26/2014,07/26/2014,1,179,190,1,5,Construct,Code 05.,"Lift ""P02-02"" will be renamed as ""P2-02"".",Code 05a.,A-P-S-4211-0001
A,IW,M03,P2-01,AIWM03P2-01,AIWM03P2-01,07/31/2014,07/31/2014,1,164,187,1,4,Construct,Code 05.,"Lift ""P02-01"" will be renamed as ""P2-01"".",Code 05a.,A-P-S-4211-0001
A,IW,M03,P3-03,AIWM03P3-03,AIWM03P3-03,08/04/2014,08/04/2014,1,90,82,1,2,Construct,Code 05.,"Lift ""P03-03"" will be renamed as ""P3-03"".",Code 05a.,A-P-S-4211-0001
A,IW,M03,C06,AIWM03C06,AIWM03C06,08/06/2014,08/06/2014,1,104,130,1,5,Construct,,,,
A,IW,M03,P3-02,AIWM03P3-02,AIWM03P3-02,08/11/2014,09/17/2014,38,112,117,2,-36,Construct,Code 02.,"Joining ""P03-C02"" , ""P03-02"" under the name of ""P3-02"".",Code 02a.,A-P-S-4210-0001
A,IW,M03,C05 ,AIWM03C05,AIWM03C05,08/12/2014,08/12/2014,1,113,129,1,6,Construct,Code 05.,"Lift ""C05 b"" will be renamed as ""C05"".",Code 05a.,A-P-S-4211-0001
A,IW,M03,P3-01,AIWM03P3-01,AIWM03P3-01,08/18/2014,09/12/2014,26,76,86,2,-16,Construct,Code 05.,"Lift ""P03-01"" will be renamed as ""P3-01"".",Code 05a.,A-P-S-4211-0001
A,IW,M03,C04,AIWM03C04,AIWM03C04,08/27/2014,09/03/2014,8,268,316,3,5,Construct,,,,
A,IW,M03,C03,AIWM03C03,AIWM03C03,09/08/2014,09/08/2014,1,356,310,1,16,Construct,,,,
A,IW,M03,C02,AIWM03C02,AIWM03C02,09/24/2014,09/25/2014,2,608,608,2,-12,Construct,,,,
