Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duation in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,TRF5,SL,03c,PTRF5SL03c,PTRF5SL03c,11/15/2013,11/16/2013,2,0,0,0,34,Construct,Code 03.,"Lift ""SL 03"" will be divided into ""SL 03a"", ""SL 03b"" and ""SL 03c"". All quantities will be assigned to ""SL 03a""",Code 03a.,P-P-S-6140-0001
P,TRF5,SL,01a,PTRF5SL01a,PTRF5SL01a,12/20/2013,12/21/2013,2,623,640,2,-1,Construct,Code 03.,"Lift ""SL02+01""will be separated into ""SL 01a"", ""SL 01b"", ""SL 01c"", ""SL 02a"", SL 02b"" and ""SL 02c"".  All quantities will be assigned to ""SL 01a"".",Code 03a.,P-P-S-6140-0001
P,TRF5,SL,01b,PTRF5SL01b,PTRF5SL01b,12/20/2013,12/21/2013,2,0,0,0,-1,Construct,Code 03.,"Lift ""SL02+01""will be separated into ""SL 01a"", ""SL 01b"", ""SL 01c"", ""SL 02a"", SL 02b"" and ""SL 02c"".  All quantities will be assigned to ""SL 01a"".",Code 03a.,P-P-S-6140-0001
P,TRF5,SL,01c,PTRF5SL01c,PTRF5SL01c,12/20/2013,12/21/2013,2,0,0,0,-1,Construct,Code 03.,"Lift ""SL02+01""will be separated into ""SL 01a"", ""SL 01b"", ""SL 01c"", ""SL 02a"", SL 02b"" and ""SL 02c"".  All quantities will be assigned to ""SL 01a"".",Code 03a.,P-P-S-6140-0001
P,TRF5,SL,02a,PTRF5SL02a,PTRF5SL02a,12/20/2013,12/21/2013,2,0,0,0,-1,Construct,Code 03.,"Lift ""SL02+01""will be separated into ""SL 01a"", ""SL 01b"", ""SL 01c"", ""SL 02a"", SL 02b"" and ""SL 02c"".  All quantities will be assigned to ""SL 01a"".",Code 03a.,P-P-S-6140-0001
P,TRF5,SL,02b,PTRF5SL02b,PTRF5SL02b,12/20/2013,12/21/2013,2,0,0,0,-1,Construct,Code 03.,"Lift ""SL02+01""will be separated into ""SL 01a"", ""SL 01b"", ""SL 01c"", ""SL 02a"", SL 02b"" and ""SL 02c"".  All quantities will be assigned to ""SL 01a"".",Code 03a.,P-P-S-6140-0001
P,TRF5,SL,02c,PTRF5SL02c,PTRF5SL02c,12/20/2013,12/21/2013,2,0,0,0,-95,Construct,Code 03.,"Lift ""SL02+01""will be separated into ""SL 01a"", ""SL 01b"", ""SL 01c"", ""SL 02a"", SL 02b"" and ""SL 02c"".  All quantities will be assigned to ""SL 01a"".",Code 03a.,P-P-S-6140-0001
P,TRF5,NW,11,PTRF5NW11,PTRF5NW11,09/17/2013,09/18/2013,2,49,50,2,26,Construct,,,,
P,TRF5,NW,10,PTRF5NW10,PTRF5NW10,10/14/2013,10/14/2013,1,75,60,1,29,Construct,,,,
P,TRF5,NW,09,PTRF5NW09,PTRF5NW09,11/12/2013,11/12/2013,1,55,45,1,13,Construct,,,,
P,TRF5,NW,08,PTRF5NW08,PTRF5NW08,11/25/2013,11/25/2013,1,40,45,1,44,Construct,,,,
P,TRF5,NW,07,PTRF5NW07,PTRF5NW07,01/08/2014,01/08/2014,1,60,45,1,24,Construct,,,,
P,TRF5,NW,06,PTRF5NW06,PTRF5NW06,02/01/2014,02/01/2014,1,57,45,1,40,Construct,,,,
P,TRF5,NW,05,PTRF5NW05,PTRF5NW05,03/13/2014,03/13/2014,1,56,45,1,14,Construct,,,,
P,TRF5,NW,04,PTRF5NW04,PTRF5NW04,03/27/2014,03/27/2014,1,49,40,1,20,Construct,,,,
P,TRF5,NW,03,PTRF5NW03,PTRF5NW03,04/16/2014,04/16/2014,1,49,50,1,68,Construct,,,,
P,TRF5,NW,02,PTRF5NW02,PTRF5NW02,06/23/2014,06/23/2014,1,47,40,1,7,Construct,,,,
P,TRF5,NW,01,PTRF5NW01,PTRF5NW01,06/30/2014,06/30/2014,1,29,25,1,-284,Construct,,,,
P,TRF5,SW,11,PTRF5SW11,PTRF5SW11,09/19/2013,09/19/2013,1,57,50,1,25,Construct,,,,
