Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,
A,VS3,,C05a1,AVS3C05a1,AVS3C05a1,03/14/2013,03/15/2013,2,248,174,2,5,Construct,.,,,,
A,VS3,,C05a3,AVS3C05a3,AVS3C05a3,03/20/2013,03/20/2013,1,188,174,1,6,Construct,,,,,
A,VS3,,C05a2,AVS3C05a2,AVS3C05a2,03/26/2013,03/26/2013,1,184,168,1,32,Construct,,,,,
A,VS3,,C04a3,AVS3C04a3,AVS3C04a3,04/27/2013,04/27/2013,1,232,270,1,5,Construct,,,,,
A,VS3,,C04a1,AVS3C04a1,AVS3C04a1,05/02/2013,05/03/2013,2,232,270,2,7,Construct,,,,,
A,VS3,,C04a2,AVS3C04a2,AVS3C04a2,05/10/2013,05/11/2013,2,236,260,2,3,Construct,,,,,
A,VS3,,C03a7,AVS3C03a7,AVS3C03a7,05/14/2013,05/14/2013,1,72,59,1,6,Construct,,,,,
A,VS3,,C03a6,AVS3C03a6,AVS3C03a6,05/20/2013,05/20/2013,1,96,71,1,11,Construct,,,,,
A,VS3,,C03a5,AVS3C03a5,AVS3C03a5,05/31/2013,05/31/2013,1,80,71,1,7,Construct,,,,,
A,VS3,,C03a4,AVS3C03a4,AVS3C03a4,06/07/2013,06/08/2013,2,88,82,2,16,Construct,,,,,
A,VS3,,C03a3,AVS3C03a3,AVS3C03a3,06/24/2013,06/24/2013,1,81,82,1,30,Construct,,,,,
A,VS3,,C03a1,AVS3C03a1,AVS3C03a1,07/24/2013,07/24/2013,1,72,59,1,0,Construct,,,,,
A,VS3,,C03a2,AVS3C03a2,AVS3C03a2,07/24/2013,07/24/2013,1,86,82,1,-58,Construct,,,,,
A,VS3,,C02a7,AVS3C02a7,AVS3C02a7,05/27/2013,05/27/2013,1,64,52,1,17,Construct,,,,,
A,VS3,,C02a6,AVS3C02a6,AVS3C02a6,06/13/2013,06/14/2013,2,96,74,2,20,Construct,,,,,
A,VS3,,C02a5,AVS3C02a5,AVS3C02a5,07/04/2013,07/04/2013,1,75,74,1,7,Construct,,,,,
A,VS3,,C02a3,AVS3C02a3,AVS3C02a3,07/11/2013,07/11/2013,1,80,74,1,7,Construct,,,,,
A,VS3,,C02a4,AVS3C02a4,AVS3C02a4,07/18/2013,07/18/2013,1,88,74,1,16,Construct,,,,,
A,VS3,,C02a1,AVS3C02a1,AVS3C02a1,08/03/2013,08/03/2013,1,63,52,1,0,Construct,,,,,
A,VS3,,C02a2,AVS3C02a2,AVS3C02a2,08/03/2013,08/03/2013,1,80,74,1,40,Construct,,,,,
