Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,Note,Corrections
P,MW,M02,C02b,PMWM02C02b,PMWM02C02b,12/14/2012,12/15/2012,2,0,0,0,4,Construct,Code 03.,"Lift ""C02"" will be divided into ""C02a"" and ""C02b"".  All quantities will be assigned to ""C02a"".",Code 03a.,P-P-S-2223-0002,,
P,MW,M02,C01,PMWM02C01,PMWM02C01,12/19/2012,01/09/2013,22,1112,1117,4,113,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2223-0002,"entry has no part a or b, joining pours",
P,MW,M02,W09,PMWM02W09,PMWM02W09,05/02/2013,05/02/2013,1,257,260,1,32,Construct,,,,,,
P,MW,M02,W08,PMWM02W08,PMWM02W08,06/03/2013,06/04/2013,2,411,420,2,15,Construct,,,,,,
P,MW,M02,W07,PMWM02W07,PMWM02W07,06/19/2013,06/19/2013,1,345,350,1,43,Construct,,,,,,
P,MW,M02,W06,PMWM02W06,PMWM02W06,08/01/2013,08/02/2013,2,285,280,2,11,Construct,,,,,,
P,MW,M02,W05,PMWM02W05,PMWM02W05,08/13/2013,08/14/2013,2,314,283,2,12,Construct,,,,,,
P,MW,M02,W04,PMWM02W04,PMWM02W04,08/26/2013,08/26/2013,1,253,232,1,14,Construct,,,,,,
P,MW,M02,W03 b,PMWM02W03b,PMWM02W03b,09/09/2013,09/10/2013,2,150,143,2,73,Construct,,,,,,
P,MW,M02,W03 a,PMWM02W03a,PMWM02W03a,11/22/2013,11/23/2013,2,162,134,2,5,Construct,,,,,,
P,MW,M02,W02,PMWM02W02,PMWM02W02,11/28/2013,11/29/2013,2,105,97,2,334,Construct,,,,,,
P,MW,M02,W01,PMWM02W01,PMWM02W01,10/29/2014,10/29/2014,1,71,75,1,-1124,Construct,,,,,,
P,MW,M03,F03,PMWM03F03,PMWM03F03,10/01/2011,10/01/2011,1,416,429,1,122,Construct,,,,,,
P,MW,M03,F02,PMWM03F02,PMWM03F02,01/31/2012,02/01/2012,2,616,787,2,9,Construct,,,,,,
P,MW,M03,F01,PMWM03F01,PMWM03F01,02/10/2012,02/11/2012,2,1120.28,851,2,20,Construct,,,,,,
P,MW,M03,C04 a,PMWM03C04a,PMWM03C04a,03/02/2012,03/03/2012,2,183,183,2,4,Construct,,,,,,
P,MW,M03,C04 c,PMWM03C04c,PMWM03C04c,03/07/2012,03/07/2012,1,94,94,1,6,Construct,,,,,,
P,MW,M03,C03 a,PMWM03C03a,PMWM03C03a,03/13/2012,03/14/2012,2,161,161,2,9,Construct,,,,,,
P,MW,M03,C03 c,PMWM03C03c,PMWM03C03c,03/23/2012,03/23/2012,1,89,89,1,4,Construct,,,,,,
P,MW,M03,C04 b,PMWM03C04b,PMWM03C04b,03/27/2012,04/02/2012,7,212,139,2,17,Construct,,,,,,
P,MW,M03,C03 b,PMWM03C03b,PMWM03C03b,04/19/2012,04/20/2012,2,204,194,2,41,Construct,,,,,,
P,MW,M03,C02,PMWM03C02,PMWM03C02,05/31/2012,06/01/2012,2,336,299,2,10,Construct,,,,,,
P,MW,M03,C01,PMWM03C01,PMWM03C01,06/11/2012,06/25/2012,15,1088,999,3,12,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2243-0002,"entry has no part a or b, joining pours",
P,MW,M03,W09,PMWM03W09,PMWM03W09,07/07/2012,07/07/2012,1,496,494,1,10,Construct,,,,,,
P,MW,M03,W08,PMWM03W08,PMWM03W08,07/17/2012,07/17/2012,1,424,419,1,7,Construct,,,,,,
P,MW,M03,W07,PMWM03W07,PMWM03W07,07/24/2012,07/25/2012,2,323,344,2,9,Construct,,,,,,
P,MW,M03,W06,PMWM03W06,PMWM03W06,08/03/2012,08/04/2012,2,288,279,2,6,Construct,,,,,,
P,MW,M03,W05,PMWM03W05,PMWM03W05,08/10/2012,08/10/2012,1,283,273,1,7,Construct,,,,,,
P,MW,M03,W04,PMWM03W04,PMWM03W04,08/17/2012,08/18/2012,2,237,233,2,9,Construct,,,,,,
P,MW,M03,W03 b,PMWM03W03b,PMWM03W03b,08/27/2012,08/28/2012,2,152,134,2,230,Construct,,,,,,
P,MW,M03,W03 a,PMWM03W03a,PMWM03W03a,04/15/2013,04/16/2013,2,193,143,2,247,Construct,,,,,,
P,MW,M03,W02,PMWM03W02,PMWM03W02,12/19/2013,12/19/2013,1,109,97,1,308,Construct,,,,,,
P,MW,M03,W01,PMWM03W01,PMWM03W01,10/23/2014,10/23/2014,1,75,75,1,-1092,Construct,,,,,,
P,MW,M04,F03,PMWM04F03,PMWM04F03,10/27/2011,10/28/2011,2,464,429,2,40,Construct,,,,,,
P,MW,M04,F02,PMWM04F02,PMWM04F02,12/07/2011,12/07/2011,1,812,787,1,13,Construct,,,,,,
P,MW,M04,F01,PMWM04F01,PMWM04F01,12/20/2011,12/21/2011,2,868,851,2,96,Construct,,,,,,
P,MW,M04,C04 a,PMWM04C04a,PMWM04C04a,03/26/2012,03/26/2012,1,202,202,1,14,Construct,,,,,,
P,MW,M04,C04 c,PMWM04C04c,PMWM04C04c,04/09/2012,04/09/2012,1,96,96,1,12,Construct,,,,,,
P,MW,M04,C03 a,PMWM04C03a,PMWM04C03a,04/21/2012,04/22/2012,2,200,200,2,9,Construct,,,,,,
P,MW,M04,C03 c,PMWM04C03c,PMWM04C03c,05/01/2012,05/01/2012,1,84,84,1,115,Construct,,,,,,
P,MW,M04,C04 b,PMWM04C04b,PMWM04C04b,08/24/2012,08/25/2012,2,233,118,2,34,Construct,,,,,,
P,MW,M04,C03 b,PMWM04C03b,PMWM04C03b,09/28/2012,09/29/2012,2,212,160,2,23,Construct,,,,,,
P,MW,M04,C02,PMWM04C02,PMWM04C02,10/22/2012,10/22/2012,1,329,299,1,7,Construct,,,,,,
P,MW,M04,C01,PMWM04C01,PMWM04C01,10/29/2012,11/14/2012,17,1025.48,999,4,240,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2263-0002,"entry has no part a or b, joining pours",
P,MW,M04,W09,PMWM04W09,PMWM04W09,07/12/2013,07/13/2013,2,569,494,2,17,Construct,,,,,,
P,MW,M04,W08,PMWM04W08,PMWM04W08,07/30/2013,07/31/2013,2,419,419,2,20,Construct,,,,,,
P,MW,M04,W07,PMWM04W07,PMWM04W07,08/20/2013,08/21/2013,2,348,344,2,15,Construct,,,,,,
P,MW,M04,W06,PMWM04W06,PMWM04W06,09/05/2013,09/06/2013,2,293,279,2,32,Construct,,,,,,
P,MW,M04,W05,PMWM04W05,PMWM04W05,10/08/2013,10/08/2013,1,273,281,1,31,Construct,,,,,,
P,MW,M04,W04,PMWM04W04,PMWM04W04,11/08/2013,11/08/2013,1,225,233,1,15,Construct,,,,,,
P,MW,M04,W03,PMWM04W03b,PMWM04W03b,11/23/2013,11/23/2013,1,208,240,1,1,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2263-0002,,
P,MW,M04,W03,PMWM04W03a,PMWM04W03a,11/24/2013,11/24/2013,1,0,0,0,20,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2263-0002,,
P,MW,M04,W02,PMWM04W02,PMWM04W02,12/14/2013,12/14/2013,1,181,175,1,300,Construct,,,,,,
P,MW,M04,W01,PMWM04W01,PMWM04W01,10/10/2014,10/10/2014,1,72,69,1,-967,Construct,,,,,,
P,MW,M05,F03,PMWM05F03,PMWM05F03,02/16/2012,02/17/2012,2,484,429,2,11,Construct,,,,,,
P,MW,M05,F02,PMWM05F02,PMWM05F02,02/28/2012,02/29/2012,2,840,787,2,40,Construct,,,,,,
P,MW,M05,F01,PMWM05F01,PMWM05F01,04/09/2012,04/10/2012,2,905,851,2,39,Construct,,,,,,
P,MW,M05,C04 a,PMWM05C04a,PMWM05C04a,05/19/2012,05/22/2012,4,192,192,2,16,Construct,,,,,,
P,MW,M05,C03 a,PMWM05C03a,PMWM05C03a,06/07/2012,06/07/2012,1,169,169,1,0,Construct,,,,,,
P,MW,M05,C04 c,PMWM05C04c,PMWM05C04c,06/07/2012,06/07/2012,1,88,88,1,23,Construct,,,,,,
