Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,Note,Corrections
P,MW,M09,F01,PMWM09F01,PMWM09F01,12/05/2011,12/06/2011,2,846,851,2,69,Construct,,,,,,
P,MW,M09,C04 c,PMWM09C04c,PMWM09C04c,02/13/2012,02/14/2012,2,88,88,2,-1,Construct,,,,,,
P,MW,M09,C04 a,PMWM09C04a,PMWM09C04a,02/13/2012,02/13/2012,1,218,218,1,12,Construct,,,,,,
P,MW,M09,C03 a,PMWM09C03a,PMWM09C03a,02/25/2012,02/25/2012,1,176.98,176.98,1,7,Construct,,,,,,
P,MW,M09,C03 c,PMWM09C03c,PMWM09C03c,03/03/2012,03/03/2012,1,81,81,1,5,Construct,,,,,,
P,MW,M09,C04 b,PMWM09C04b,PMWM09C04b,03/08/2012,10/16/2012,223,200,213,3,35,Construct,,,,,,
P,MW,M09,C03 b,PMWM09C03b,PMWM09C03b,11/20/2012,11/21/2012,2,200,186,2,27,Construct,,,,,,
P,MW,M09,C02,PMWM09C02,PMWM09C02,12/18/2012,12/19/2012,2,394,299,2,8,Construct,,,,,,
P,MW,M09,C01,PMWM09C01,PMWM09C01,12/27/2012,01/14/2013,19,1094,999,3,56,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2363-0002,"entry has no subdivisions in model, joining pours",
P,MW,M09,W09,PMWM09W09,PMWM09W09,03/11/2013,03/12/2013,2,494,494,2,92,Construct,,,,,,
P,MW,M09,W08,PMWM09W08,PMWM09W08,06/12/2013,06/12/2013,1,409,419,1,8,Construct,,,,,,
P,MW,M09,W07,PMWM09W07,PMWM09W07,06/20/2013,06/20/2013,1,337,344,1,274,Construct,,,,,,
P,MW,M09,W06,PMWM09W06,PMWM09W06,03/21/2014,03/21/2014,1,248,279,1,14,Construct,,,,,,
P,MW,M09,W05,PMWM09W05,PMWM09W05,04/04/2014,04/04/2014,1,272,282,1,17,Construct,,,,,,
P,MW,M09,W04,PMWM09W04,PMWM09W04,04/21/2014,04/21/2014,1,242,232,1,24,Construct,,,,,,
P,MW,M09,W03b,PMWM09W03b,PMWM09W03b,05/15/2014,05/15/2014,1,200,211,1,1,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2363-0002,,
P,MW,M09,W03a,PMWM09W03a,PMWM09W03a,05/16/2014,05/16/2014,1,0,0,0,7,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2363-0002,,
P,MW,M09,W02,PMWM09W02,PMWM09W02,05/23/2014,05/23/2014,1,165,182,1,49,Construct,,,,,,
P,MW,M09,W01,PMWM09W01,PMWM09W01,07/11/2014,11/01/2014,114,80,77,2,-1104,Construct,,,,,,
P,MW,M10,F03,PMWM10F03,PMWM10F03,10/24/2011,10/24/2011,1,464,429,1,56,Construct,,,,,,
P,MW,M10,F02,PMWM10F02,PMWM10F02,12/19/2011,12/20/2011,2,778,787,2,349,Construct,,,,,,
P,MW,M10,F01,PMWM10F01,PMWM10F01,12/03/2012,01/13/2012,-324,912.14,851,3,60,Construct,Code 02.,"Joining ""F01"" and ""F01b"" under the name of ""F01""",Code 02a.,P-P-S-2382-0001,"entry has no subdivisions in model, joining pours",
P,MW,M10,C04 a,PMWM10C04a,PMWM10C04a,03/13/2012,03/13/2012,1,216.54,155,1,7,Construct,,,,,,
P,MW,M10,C04 c,PMWM10C04c,PMWM10C04c,03/20/2012,03/20/2012,1,97,80,1,2,Construct,,,,,,
P,MW,M10,C03 a,PMWM10C03a,PMWM10C03a,03/22/2012,03/23/2012,2,240.5,240.5,2,89,Construct,,,,,,
P,MW,M10,C03 c,PMWM10C03c,PMWM10C03c,06/20/2012,06/20/2012,1,82,82,1,175,Construct,,,,,,
P,MW,M10,C04 b,PMWM10C04b,PMWM10C04b,12/12/2012,12/13/2012,2,183,181,2,9,Construct,,,,,,
P,MW,M10,C03 b,PMWM10C03b,PMWM10C03b,12/22/2012,12/22/2012,1,210,121.5,1,32,Construct,,,,,,
P,MW,M10,C02,PMWM10C02,PMWM10C02,01/23/2013,01/23/2013,1,321,299,1,3,Construct,,,,,,
P,MW,M10,C01,PMWM10C01,PMWM10C01,01/26/2013,02/07/2013,13,1105,999,3,77,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2382-0001,"entry has no subdivisions in model, joining pours",
P,MW,M10,W09,PMWM10W09,PMWM10W09,04/25/2013,04/25/2013,1,518,494,1,20,Construct,,,,,,
P,MW,M10,W08,PMWM10W08,PMWM10W08,05/15/2013,05/16/2013,2,470,419,2,18,Construct,,,,,,
P,MW,M10,W07,PMWM10W07,PMWM10W07,06/03/2013,06/04/2013,2,377,344,2,167,Construct,,,,,,
P,MW,M10,W06,PMWM10W06,PMWM10W06,11/18/2013,11/18/2013,1,261,279,1,11,Construct,,,,,,
P,MW,M10,W05,PMWM10W05,PMWM10W05,11/29/2013,11/29/2013,1,309,283,1,17,Construct,,,,,,
P,MW,M10,W04,PMWM10W04,PMWM10W04,12/16/2013,12/16/2013,1,240,233,1,30,Construct,,,,,,
P,MW,M10,W03b,PMWM10W03b,PMWM10W03b,01/15/2014,01/15/2014,1,200,211,1,1,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2383-0002,,
P,MW,M10,W03a,PMWM10W03a,PMWM10W03a,01/16/2014,01/16/2014,1,0,0,0,15,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2383-0002,,
P,MW,M10,W02,PMWM10W02,PMWM10W02,01/31/2014,01/31/2014,1,185,184,1,173,Construct,,,,,,
P,MW,M10,W01,PMWM10W01,PMWM10W01,07/23/2014,07/23/2014,1,68,69,1,-1009,Construct,,,,,,
P,MW,M11,F03,PMWM11F03,PMWM11F03,10/18/2011,10/18/2011,1,196,179,1,42,Construct,,,,,,
P,MW,M11,F02,PMWM11F02,PMWM11F02,11/29/2011,11/30/2011,2,368,328,2,6,Construct,,,,,,
P,MW,M11,F01,PMWM11F01,PMWM11F01,12/06/2011,12/07/2011,2,344,358,2,56,Construct,,,,,,
P,MW,M11,C04 a,PMWM11C04a,PMWM11C04a,02/01/2012,02/01/2012,1,90,90,1,1,Construct,,,,,,
P,MW,M11,C04 c,PMWM11C04c,PMWM11C04c,02/02/2012,02/02/2012,1,40,40,1,11,Construct,,,,,,
P,MW,M11,C04 b,PMWM11C04b,PMWM11C04b,02/13/2012,02/13/2012,1,101,53,1,3,Construct,,,,,,
P,MW,M11,C03 a,PMWM11C03a,PMWM11C03a,02/16/2012,02/16/2012,1,64,64,1,2,Construct,,,,,,
P,MW,M11,C03 c,PMWM11C03c,PMWM11C03c,02/18/2012,02/18/2012,1,37,37,1,5,Construct,,,,,,
P,MW,M11,C03 b,PMWM11C03b,PMWM11C03b,02/23/2012,02/23/2012,1,92,88,1,371,Construct,,,,,,
P,MW,M11,C02,PMWM11C02,PMWM11C02,02/28/2013,02/28/2013,1,145,127,1,8,Construct,,,,,,
P,MW,M11,C01,PMWM11C01,PMWM11C01,03/08/2013,03/16/2013,9,438,418,2,115,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2401-0001,"entry has no subdivisions in model, joining pours",
P,MW,M11,W09,PMWM11W09,PMWM11W09,07/09/2013,07/10/2013,2,216,210,2,7,Construct,,,,,,
P,MW,M11,W08,PMWM11W08,PMWM11W08,07/17/2013,07/17/2013,1,176,179,1,10,Construct,,,,,,
P,MW,M11,W07,PMWM11W07,PMWM11W07,07/27/2013,07/27/2013,1,152,148,1,233,Construct,,,,,,
P,MW,M11,W06,PMWM11W06,PMWM11W06,03/17/2014,03/17/2014,1,108,120,1,15,Construct,,,,,,
P,MW,M11,W05,PMWM11W05,PMWM11W05,04/01/2014,04/01/2014,1,120,122,1,14,Construct,,,,,,
P,MW,M11,W04,PMWM11W04,PMWM11W04,04/15/2014,04/15/2014,1,112,110,1,31,Construct,,,,,,
P,MW,M11,W03b,PMWM11W03b,PMWM11W03b,05/16/2014,05/16/2014,1,88,88,1,1,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2403-0001,,
P,MW,M11,W03a,PMWM11W03a,PMWM11W03a,05/17/2014,05/17/2014,1,0,0,0,16,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2403-0001,,
P,MW,M11,W02,PMWM11W02,PMWM11W02,06/02/2014,06/02/2014,1,72,74,1,59,Construct,,,,,,
P,MW,M11,W01,PMWM11W01,PMWM11W01,07/31/2014,07/31/2014,1,25,22,1,-873,Construct,,,,,,
P,MW,M12,F03,PMWM12F03,PMWM12F03,03/10/2012,03/11/2012,2,736,675,2,8,Construct,,,,,,
P,MW,M12,F02,PMWM12F02,PMWM12F02,03/19/2012,03/20/2012,2,803,810,2,22,Construct,,,,,,
P,MW,M12,F01a,PMWM12F01a,PMWM12F01a,04/11/2012,04/11/2012,1,704,704,1,273,Construct,Code 05.,"Lift ""F01"" will be renamed as F01a to match the drawing.",Code 05a.,P-P-S-2421-0002,"model has only part a and b, joining pours",
P,MW,M12,F01 b,PMWM12F01b,PMWM12F01b,01/09/2013,01/17/2013,9,198,163,3,8,Construct,Code 02.,"Joining ""F01a"", ""F01b"" and ""F01c"" under the name of ""F01b""",Code 02a.,P-P-S-2421-0002,,
P,MW,M12,C04 b,PMWM12C04b,PMWM12C04b,01/25/2013,01/25/2013,1,183,182,1,5,Construct,,,,,,
P,MW,M12,C04 a,PMWM12C04a,PMWM12C04a,01/30/2013,01/30/2013,1,198,165,1,2,Construct,,,,,,
P,MW,M12,C04 c,PMWM12C04c,PMWM12C04c,02/01/2013,02/02/2013,2,173,156,2,6,Construct,,,,,,
P,MW,M12,C03 b,PMWM12C03b,PMWM12C03b,02/08/2013,02/08/2013,1,216,200,1,7,Construct,,,,,,
P,MW,M12,C03 a,PMWM12C03a,PMWM12C03a,02/15/2013,02/16/2013,2,176,165,2,2,Construct,,,,,,
P,MW,M12,C03 c,PMWM12C03c,PMWM12C03c,02/18/2013,02/19/2013,2,152,156,2,43,Construct,,,,,,
P,MW,M12,C02,PMWM12C02,PMWM12C02,04/03/2013,04/04/2013,2,416,325,2,6,Construct,,,,,,
P,MW,M12,C01,PMWM12C01,PMWM12C01,04/10/2013,04/27/2013,18,1040,1050,2,38,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2421-0002,"entry has no subdivisions in model, joining pours",
P,MW,M12,W09,PMWM12W09,PMWM12W09,06/04/2013,06/05/2013,2,506,495,2,16,Construct,,,,,,
P,MW,M12,W08,PMWM12W08,PMWM12W08,06/21/2013,06/21/2013,1,426,420,1,12,Construct,,,,,,
P,MW,M12,W07,PMWM12W07,PMWM12W07,07/03/2013,07/04/2013,2,352,345,2,244,Construct,,,,,,
P,MW,M12,W06,PMWM12W06,PMWM12W06,03/05/2014,03/05/2014,1,276,280,1,22,Construct,,,,,,
P,MW,M12,W05,PMWM12W05,PMWM12W05,03/27/2014,03/27/2014,1,268,282,1,13,Construct,,,,,,
P,MW,M12,W04,PMWM12W04,PMWM12W04,04/09/2014,04/09/2014,1,248,232,1,30,Construct,,,,,"Model has wrong name, correct model",Fixed
P,MW,M12,W03b,PMWM12W03b,PMWM12W03b,05/09/2014,05/09/2014,1,216,211,1,1,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2423-0002,,
P,MW,M12,W03a,PMWM12W03a,PMWM12W03a,05/10/2014,05/10/2014,1,0,0,0,16,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2423-0002,,
P,MW,M12,W02,PMWM12W02,PMWM12W02,05/26/2014,05/26/2014,1,159,175,1,77,Construct,,,,,,
P,MW,M12,W01,PMWM12W01,PMWM12W01,08/11/2014,11/08/2014,90,73,96,2,-1012,Construct,,,,,,
P,MW,M13,F03,PMWM13F03,PMWM13F03,01/31/2012,02/01/2012,2,1219,1105,2,23,Construct,,,,,,
P,MW,M13,F02,PMWM13F02,PMWM13F02,02/24/2012,09/07/2012,197,1053,1110,4,-3,Construct,Code 02.,"Joining ""F02"", ""F02b"" and ""F02a"" under the name of ""F02""",Code 02a.,P-P-S-2443-0002,"entry has no subdivisions in model, joining pours",
P,MW,M13,F01 a,PMWM13F01a,PMWM13F01a,09/04/2012,12/11/2012,99,235,110,3,-6,Construct,,,,,"Model is not divided in more parts, review model",Model is correct
P,MW,M13,F01 b,PMWM13F01b,PMWM13F01b,12/05/2012,12/06/2012,2,317,298,2,5,Construct,,,,,"Model is not divided in more parts, review model",Model is correct
P,MW,M13,F01 c,PMWM13F01c,PMWM13F01c,12/11/2012,12/18/2012,8,75,37,3,8,Construct,Code 02.,"Joining ""F01 c-S"" and ""F01 c-N"" under the name of ""F01c""",Code 02a.,P-P-S-2440-0001,"model has no N or S, joining pours",In the drawing P-P-S-2440-0001 there is no South nor North nomeclature it is just C
P,MW,M13,F01 c,PMWM13F01c,PMWM13F01c,12/26/2012,12/26/2012,1,40,0,1,17,Construct,,,,,,
P,MW,M13,C04 b,PMWM13C04b,PMWM13C04b,01/12/2013,01/12/2013,1,304,300,1,2,Construct,,,,,,
P,MW,M13,C04 a,PMWM13C04a,PMWM13C04a,01/14/2013,02/19/2013,37,296,265,2,-14,Construct,,,,,,
P,MW,M13,C04c,PMWM13C04c,PMWM13C04c,02/05/2013,02/28/2013,24,174,144,3,-1,Construct,Code 02.,"Joining ""C04 c-S"" and ""C04 c-N"" under the name of ""C04c""",Code 02a.,P-P-S-2440-0001,"Model has only C04c with no more subdivisions, joining pours",
P,MW,M13,C03 b,PMWM13C03b,PMWM13C03b,02/27/2013,03/09/2013,11,256,300,3,-1,Construct,,,,,,
P,MW,M13,C03 a,PMWM13C03a,PMWM13C03a,03/08/2013,03/09/2013,2,324,225,2,-1,Construct,,,,,,
P,MW,M13,C03 c,PMWM13C03c,PMWM13C03c,03/08/2013,03/09/2013,2,141,144,4,91,Construct,,,,,,
P,MW,M13,C02,PMWM13C02,PMWM13C02,06/08/2013,06/08/2013,1,441,441,1,3,Construct,,,,,,
P,MW,M13,C01,PMWM13C01,PMWM13C01,06/11/2013,06/26/2013,16,1320,1290,4,15,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2440-0001,"entry has no subdivisions in model, joining pours",
P,MW,M13,W09,PMWM13W09,PMWM13W09,07/11/2013,07/12/2013,2,512,499,2,20,Construct,,,,,,
P,MW,M13,W08,PMWM13W08,PMWM13W08,08/01/2013,08/02/2013,2,424,424,2,31,Construct,,,,,,
P,MW,M13,W07,PMWM13W07,PMWM13W07,09/02/2013,09/03/2013,2,336,350,2,13,Construct,,,,,,
P,MW,M13,W06,PMWM13W06,PMWM13W06,09/16/2013,09/16/2013,1,276,286,1,53,Construct,,,,,,
P,MW,M13,W05,PMWM13W05,PMWM13W05,11/08/2013,11/09/2013,2,293,288,2,16,Construct,,,,,,
P,MW,M13,W04,PMWM13W04,PMWM13W04,11/25/2013,11/26/2013,2,233,238,2,14,Construct,,,,,"model has wrong name, correct model",Fixed
P,MW,M13,W03b,PMWM13W03b,PMWM13W03b,12/10/2013,12/10/2013,1,216,211,1,1,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2443-0001,,
P,MW,M13,W03a,PMWM13W03a,PMWM13W03a,12/11/2013,12/11/2013,1,0,0,0,10,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2443-0001,,
P,MW,M13,W02,PMWM13W02,PMWM13W02,12/21/2013,12/21/2013,1,161,175,1,245,Construct,,,,,,
P,MW,M13,W01,PMWM13W01,PMWM13W01,08/23/2014,11/06/2014,76,58,65,2,-973,Construct,,,,,,
P,MW,M14,F03,PMWM14F03,PMWM14F03,03/08/2012,03/09/2012,2,744,675,2,8,Construct,,,,,,
P,MW,M14,F02,PMWM14F02,PMWM14F02,03/17/2012,03/18/2012,2,856,800,2,17,Construct,,,,,,
P,MW,M14,F01,PMWM14F01,PMWM14F01,04/04/2012,09/07/2012,157,827,815,5,24,Construct,,,,,,
P,MW,M14,C04 a,PMWM14C04a,PMWM14C04a,10/01/2012,10/01/2012,1,161,161,1,7,Construct,,,,,"model is not separated,review model",Fixed
P,MW,M14,C04 b,PMWM14C04b,PMWM14C04b,10/08/2012,10/09/2012,2,192,192,2,1,Construct,,,,,"model is not separated,review model",Fixed
P,MW,M14,C04 c,PMWM14C04c,PMWM14C04c,10/10/2012,10/10/2012,1,152,147,1,13,Construct,,,,,"model is not separated,review model",Fixed
P,MW,M14,C03 b,PMWM14C03b,PMWM14C03b,10/23/2012,10/24/2012,2,205,205,2,15,Construct,,,,,,
P,MW,M14,C03 c,PMWM14C03c,PMWM14C03c,11/08/2012,11/08/2012,1,160,160,1,28,Construct,,,,,,
P,MW,M14,C03 a,PMWM14C03a,PMWM14C03a,12/06/2012,12/06/2012,1,169,165,1,132,Construct,,,,,,
P,MW,M14,C02,PMWM14C02,PMWM14C02,04/17/2013,04/18/2013,2,312,325,2,6,Construct,,,,,,
P,MW,M14,C01,PMWM14C01,PMWM14C01,04/24/2013,05/08/2013,15,1012,1050,4,30,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2461-0002,"entry has no subdivisions in model, joining pours",
P,MW,M14,W09,PMWM14W09,PMWM14W09,06/07/2013,06/08/2013,2,520,495,2,10,Construct,,,,,,
P,MW,M14,W08,PMWM14W08,PMWM14W08,06/18/2013,06/19/2013,2,430,420,2,20,Construct,,,,,,
P,MW,M14,W07,PMWM14W07,PMWM14W07,07/09/2013,07/09/2013,1,328,345,1,270,Construct,,,,,,
P,MW,M14,W06,PMWM14W06,PMWM14W06,04/05/2014,04/05/2014,1,260,278,1,12,Construct,,,,,,
P,MW,M14,W05,PMWM14W05,PMWM14W05,04/17/2014,04/17/2014,1,282,280,1,27,Construct,,,,,,
P,MW,M14,W04,PMWM14W04,PMWM14W04,05/14/2014,05/14/2014,1,236,232,1,15,Construct,,,,,"model has wrong name, correct model",Fixed
P,MW,M14,W03b,PMWM14W03b,PMWM14W03b,05/29/2014,05/29/2014,1,192,211,1,1,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2463-0002,,
P,MW,M14,W03a,PMWM14W03a,PMWM14W03a,05/30/2014,05/30/2014,1,0,0,0,6,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2463-0002,,
P,MW,M14,W02,PMWM14W02,PMWM14W02,06/05/2014,06/05/2014,1,166,175,1,90,Construct,,,,,,
P,MW,M14,W01,PMWM14W01,PMWM14W01,09/03/2014,09/03/2014,1,56,69,1,-1030,Construct,,,,,,
P,MW,M15,F03,PMWM15F03,PMWM15F03,11/08/2011,11/08/2011,1,374,346,1,35,Construct,,,,,,
P,MW,M15,F02,PMWM15F02,PMWM15F02,12/13/2011,12/14/2011,2,669,635,2,20,Construct,,,,,,
P,MW,M15,F01,PMWM15F01,PMWM15F01,01/03/2012,01/03/2012,1,680.08,685,1,84,Construct,,,,,,
P,MW,M15,C04 a,PMWM15C04a,PMWM15C04a,03/27/2012,03/27/2012,1,161,161,1,4,Construct,,,,,,
P,MW,M15,C04 c,PMWM15C04c,PMWM15C04c,03/31/2012,03/31/2012,1,77,77,1,9,Construct,,,,,,
P,MW,M15,C04 b,PMWM15C04b,PMWM15C04b,04/09/2012,04/10/2012,2,166,93,2,10,Construct,,,,,,
P,MW,M15,C03 a,PMWM15C03a,PMWM15C03a,04/20/2012,04/20/2012,1,152,152,1,11,Construct,,,,,,
P,MW,M15,C03 b,PMWM15C03b,PMWM15C03b,05/01/2012,05/02/2012,2,183,183,2,12,Construct,,,,,,
P,MW,M15,C03 c,PMWM15C03c,PMWM15C03c,05/14/2012,05/14/2012,1,76,22,1,107,Construct,,,,,,
P,MW,M15,C02,PMWM15C02,PMWM15C02,08/29/2012,08/30/2012,2,261,240,2,4,Construct,,,,,,
P,MW,M15,C01,PMWM15C01,PMWM15C01,09/03/2012,09/12/2012,10,775,803,3,16,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2481-0002,"entry has no subdivisions in model, joining pours",
P,MW,M15,W09,PMWM15W09,PMWM15W09,09/28/2012,09/29/2012,2,395,396,2,32,Construct,,,,,,
P,MW,M15,W08,PMWM15W08,PMWM15W08,10/31/2012,11/01/2012,2,340,336,2,382,Construct,,,,,,
P,MW,M15,W07,PMWM15W07,PMWM15W07,11/18/2013,11/19/2013,2,284,275,2,16,Construct,,,,,,
P,MW,M15,W06,PMWM15W06,PMWM15W06,12/05/2013,12/06/2013,2,224,279,2,12,Construct,,,,,,
P,MW,M15,W05,PMWM15W05,PMWM15W05,12/18/2013,12/18/2013,1,214,263,1,34,Construct,,,,,,
P,MW,M15,W04,PMWM15W04,PMWM15W04,01/21/2014,01/21/2014,1,208,232,1,34,Construct,,,,,,
P,MW,M15,W03b,PMWM15W03b,PMWM15W03b,02/24/2014,02/24/2014,1,177,211,1,1,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2483-0002,,
P,MW,M15,W03a,PMWM15W03a,PMWM15W03a,02/25/2014,02/25/2014,1,0,0,0,29,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2483-0002,,
P,MW,M15,W02,PMWM15W02,PMWM15W02,03/26/2014,03/26/2014,1,153,140,1,127,Construct,,,,,,
P,MW,M15,W01,PMWM15W01,PMWM15W01,07/31/2014,07/31/2014,1,55,69,1,-982,Construct,,,,,,
P,MW,M16,F03,PMWM16F03,PMWM16F03,11/22/2011,11/22/2011,1,464,429,1,69,Construct,,,,,,
P,MW,M16,F02,PMWM16F02,PMWM16F02,01/30/2012,01/31/2012,2,848,787,2,9,Construct,,,,,,
P,MW,M16,F01,PMWM16F01,PMWM16F01,02/09/2012,02/10/2012,2,832,851,2,89,Construct,,,,,,
P,MW,M16,C04 a,PMWM16C04a,PMWM16C04a,05/09/2012,05/09/2012,1,192,192,1,7,Construct,,,,,,
P,MW,M16,C04 c,PMWM16C04c,PMWM16C04c,05/16/2012,09/13/2012,121,97,90,3,-119,Construct,,,,,,
P,MW,M16,C03 a,PMWM16C03a,PMWM16C03a,05/17/2012,05/18/2012,2,160,160,2,28,Construct,,,,,,
P,MW,M16,C04 b,PMWM16C04b,PMWM16C04b,06/15/2012,06/15/2012,1,214,134,1,13,Construct,,,,,,
P,MW,M16,C03 b,PMWM16C03b,PMWM16C03b,06/28/2012,06/28/2012,1,216,216,1,96,Construct,,,,,,
P,MW,M16,C03 c,PMWM16C03c,PMWM16C03c,10/02/2012,10/02/2012,1,97,68,1,72,Construct,,,,,,
P,MW,M16,C02,PMWM16C02,PMWM16C02,12/13/2012,12/13/2012,1,329,299,1,6,Construct,,,,,,
P,MW,M16,C01,PMWM16C01,PMWM16C01,12/19/2012,01/04/2013,17,955,999,3,193,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2501-0002,"entry has no subdivisions in model, joining pours",
P,MW,M16,W09,PMWM16W09,PMWM16W09,07/16/2013,07/17/2013,2,529,494,2,17,Construct,,,,,,
P,MW,M16,W08,PMWM16W08,PMWM16W08,08/03/2013,08/03/2013,1,424,419,1,19,Construct,,,,,,
P,MW,M16,W07,PMWM16W07,PMWM16W07,08/22/2013,08/23/2013,2,356,344,2,12,Construct,,,,,,
P,MW,M16,W06,PMWM16W06,PMWM16W06,09/04/2013,09/05/2013,2,273,279,2,268,Construct,,,,,,
P,MW,M16,W05,PMWM16W05,PMWM16W05,05/31/2014,05/31/2014,1,286,273,1,1,Construct,,,,,,
P,MW,M16,W04,PMWM16W04,PMWM16W04,06/01/2014,06/01/2014,1,0,0,0,8,Construct,Code 01.,"A new row was  created under the name of ""W04"" with 0 quantities and the date of the previous lift plus one day.",Code 01a.,P-P-S-2501-0002,,
P,MW,M16,W03b,PMWM16W03b,PMWM16W03b,06/09/2014,06/16/2014,8,416,444,2,1,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2503-0002,,
P,MW,M16,W03a,PMWM16W03a,PMWM16W03a,06/17/2014,06/17/2014,1,0,0,0,9,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2503-0002,,
P,MW,M16,W02,PMWM16W02,PMWM16W02,06/26/2014,06/26/2014,1,168,175,1,49,Construct,,,,,,
P,MW,M16,W01,PMWM16W01,PMWM16W01,08/14/2014,10/29/2014,77,93,95,2,-1069,Construct,,,,,,
P,MW,M17,F03,PMWM17F03,PMWM17F03,11/25/2011,11/25/2011,1,467,429,1,27,Construct,,,,,,
P,MW,M17,F02,PMWM17F02,PMWM17F02,12/22/2011,12/22/2011,1,824,787,1,16,Construct,,,,,,
P,MW,M17,F01,PMWM17F01,PMWM17F01,01/07/2012,01/08/2012,2,848.16,851,2,74,Construct,,,,,,
P,MW,M17,C04 a,PMWM17C04a,PMWM17C04a,03/22/2012,03/23/2012,2,192,192,2,6,Construct,,,,,,
P,MW,M17,C04 c,PMWM17C04c,PMWM17C04c,03/29/2012,03/29/2012,1,97,97,1,19,Construct,,,,,,
P,MW,M17,C03 a,PMWM17C03a,PMWM17C03a,04/17/2012,04/17/2012,1,201,201,1,10,Construct,,,,,,
P,MW,M17,C04 b,PMWM17C04b,PMWM17C04b,04/27/2012,04/28/2012,2,222,127,2,0,Construct,,,,,,
P,MW,M17,C03 c,PMWM17C03c,PMWM17C03c,04/28/2012,04/28/2012,1,88,88,1,30,Construct,,,,,,
P,MW,M17,C03 b,PMWM17C03b,PMWM17C03b,05/28/2012,05/28/2012,1,250,155,1,152,Construct,,,,,,
P,MW,M17,C02,PMWM17C02,PMWM17C02,10/27/2012,10/27/2012,1,292,299,1,11,Construct,,,,,"entry has no subdivisions in model, joining pours",
P,MW,M17,C01,PMWM17C01,PMWM17C01,11/07/2012,11/20/2012,14,1043,999,3,311,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2521-0002,,
P,MW,M17,W09,PMWM17W09,PMWM17W09,09/27/2013,09/28/2013,2,504,494,2,13,Construct,,,,,,
P,MW,M17,W08,PMWM17W08,PMWM17W08,10/11/2013,10/12/2013,2,488,419,2,10,Construct,,,,,,
