Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,,Revision Process,,RFC Number
A,T1,C301,W01a,AT1C301W01a,AT1C301W01a,12/06/2013,12/14/2013,9,140,69,2,12,Construct,Code 02.,"Joining pours ""W02b"" and ""W02(b)"" under the name of ""W02b"".",Code 02a.,A-P-S-6810-0004
A,T1,C301,W02b,AT1C301W02b,AT1C301W02b,12/26/2013,12/26/2013,1,95,131,1,22,Construct,,,,
A,T1,C301,W01b,AT1C301W01b,AT1C301W01b,01/17/2014,01/17/2014,1,111,111,1,87,Construct,,,,
A,T1,C301,R02,AT1C301R02,AT1C301R02,04/14/2014,04/14/2014,1,160,144,1,8,Construct,,,,
A,T1,C301,R01,AT1C301R01,AT1C301R01,04/22/2014,04/22/2014,1,256,250,1,176,Construct,,,,
A,T1,C208,F01a,AT1C208F01a,AT1C208F01a,10/15/2014,10/15/2014,1,131,76,1,15,Construct,Code 05.,"Lift ""F01a(I)"" will be renamed as ""F01a"".",Code 05a.,A-P-S-6810-0009
A,T1,C208,F01b,AT1C208F01b,AT1C208F01b,10/30/2014,10/30/2014,1,80,76,1,15,Construct,Code 05.,"Lift ""F01a(II)"" will be renamed as ""F01b"".",Code 05a.,A-P-S-6810-0009
A,T1,C208,W02e,AT1C208W02e,AT1C208W02e,11/14/2014,11/14/2014,1,22,20,1,0,Construct,Code 03.,"Lift ""W02e(I)/W02c(I)/W02d(I)"" will be divided into ""W02e"", ""W02c"" and ""W02d"".  All quantities will be assigned to ""W02e"".",Code 03a.,A-P-S-6810-0008
A,T1,C208,W02c,AT1C208W02c,AT1C208W02c,11/14/2014,11/14/2014,1,0,0,0,0,Construct,Code 03.,"Lift ""W02e(I)/W02c(I)/W02d(I)"" will be divided into ""W02e"", ""W02c"" and ""W02d"".  All quantities will be assigned to ""W02e"".",Code 03a.,A-P-S-6810-0008
A,T1,C208,W02d,AT1C208W02d,AT1C208W02d,11/14/2014,11/14/2014,1,0,0,0,28,Construct,Code 03.,"Lift ""W02e(I)/W02c(I)/W02d(I)"" will be divided into ""W02e"", ""W02c"" and ""W02d"".  All quantities will be assigned to ""W02e"".",Code 03a.,A-P-S-6810-0008
A,T1,C208,W01e,AT1C208W01e,AT1C208W01e,12/12/2014,12/12/2014,1,68,50,1,0,Construct,Code 03.,"Lift ""W02e(II)/W01e/W02c(II)/W01c"" will be divided into ""W01e"", ""W01c"" and ""W01d"".  All quantities will be assigned to ""W01e"".",Code 03a.,A-P-S-6810-0008
A,T1,C208,W01c,AT1C208W01c,AT1C208W01c,12/12/2014,12/12/2014,1,0,0,0,0,Construct,Code 03.,"Lift ""W02e(II)/W01e/W02c(II)/W01c"" will be divided into ""W01e"", ""W01c"" and ""W01d"".  All quantities will be assigned to ""W01e"".",Code 03a.,A-P-S-6810-0008
A,T1,C208,W01d,AT1C208W01d,AT1C208W01d,12/12/2014,12/12/2014,1,0,0,0,-407,Construct,Code 03.,"Lift ""W02e(II)/W01e/W02c(II)/W01c"" will be divided into ""W01e"", ""W01c"" and ""W01d"".  All quantities will be assigned to ""W01e"".",Code 03a.,A-P-S-6810-0008
A,T1,C207,F01a,AT1C207F01a,AT1C207F01a,10/31/2013,11/01/2013,2,704,514,2,207,Construct,Code 05.,"Lift ""C02-07/08 F01a&F01b"" will be renamed as ""C02-07 F01a"".",Code 05a.,A-P-S-6810-0009
A,T1,C207,W06,AT1C207W06,AT1C207W06,05/27/2014,05/27/2014,1,24,23,1,8,Construct,,,,
A,T1,C207,W05,AT1C207W05,AT1C207W05,06/04/2014,06/04/2014,1,72,85,1,0,Construct,Code 04.,"Lift ""C02-07/08 W05"" will be separated into ""C02-07 W05"" and ""C02-08 W05"".  All quantities will be assigned to ""C02-07 W05"".",Code 04a.,A-P-S-6810-0009
A,T1,C208,W05,AT1C208W05,AT1C208W05,06/04/2014,06/04/2014,1,0,0,0,20,Construct,Code 04.,"Lift ""C02-07/08 W05"" will be separated into ""C02-07 W05"" and ""C02-08 W05"".  All quantities will be assigned to ""C02-07 W05"".",Code 04a.,A-P-S-6810-0009
A,T1,C207,W04,AT1C207W04,AT1C207W04,06/24/2014,06/24/2014,1,88,72,1,0,Construct,Code 04.,"Lift ""C02-07/08 W04b"" will be separated into ""C02-07 W04"" and ""C02-08 W04"".  All quantities will be assigned to ""C02-07 W04"".",Code 04a.,A-P-S-6810-0009
A,T1,C208,W04,AT1C208W04,AT1C208W04,06/24/2014,06/24/2014,1,0,0,0,17,Construct,Code 04.,"Lift ""C02-07/08 W04b"" will be separated into ""C02-07 W04"" and ""C02-08 W04"".  All quantities will be assigned to ""C02-07 W04"".",Code 04a.,A-P-S-6810-0009
A,T1,C207,W03b,AT1C207W03b,AT1C207W03b,07/11/2014,07/11/2014,1,111,84,1,0,Construct,Code 04.,"Lift ""C02-07/08 W03b"" will be separated into ""C02-07 W03b"" and ""C02-08 W03b"".  All quantities will be assigned to ""C02-07 W03b"".",Code 04a.,A-P-S-6810-0009
A,T1,C208,W03b,AT1C208W03b,AT1C208W03b,07/11/2014,07/11/2014,1,0,0,0,27,Construct,Code 04.,"Lift ""C02-07/08 W03b"" will be separated into ""C02-07 W03b"" and ""C02-08 W03b"".  All quantities will be assigned to ""C02-07 W03b"".",Code 04a.,A-P-S-6810-0009
A,T1,C207,W03a,AT1C207W03a,AT1C207W03a,08/07/2014,08/07/2014,1,96,81,1,0,Construct,Code 04.,"Lift ""C02-07/08 W03a"" will be separated into ""C02-07 W03a"" and ""C02-08 W03a"".  All quantities will be assigned to ""C02-07 W03a"".",Code 04a.,A-P-S-6810-0008
A,T1,C208,W03a,AT1C208W03a,AT1C208W03a,08/07/2014,08/07/2014,1,0,0,0,42,Construct,Code 04.,"Lift ""C02-07/08 W03a"" will be separated into ""C02-07 W03a"" and ""C02-08 W03a"".  All quantities will be assigned to ""C02-07 W03a"".",Code 04a.,A-P-S-6810-0008
A,T1,C207,F01b,AT1C207F01b,AT1C207F01b,09/18/2014,09/18/2014,1,30,0,1,39,Construct,Code 05.,"Lift ""C02-07/08 F01(kicker)"" will be renamed as ""C02-07 F01b"".",Code 05a.,A-P-S-6810-0008
A,T1,C207,P07,AT1C207P07,AT1C207P07,10/27/2014,10/27/2014,1,15,12,1,16,Construct,,,,
A,T1,C207,P06,AT1C207P06,AT1C207P06,11/12/2014,11/12/2014,1,42,47,1,0,Construct,Code 04.,"Lift ""C02-07/08 P06/P05"" will be divided into ""C02-07 P06"", ""C02-07 P05"" and ""C02-08 P05"".  All quantities will be assigned to ""C02-07 P06"".",Code 04a.,A-P-S-6810-0008
A,T1,C207,P05,AT1C207P05,AT1C207P05,11/12/2014,11/12/2014,1,0,0,0,0,Construct,Code 04.,"Lift ""C02-07/08 P06/P05"" will be divided into ""C02-07 P06"", ""C02-07 P05"" and ""C02-08 P05"".  All quantities will be assigned to ""C02-07 P06"".",Code 04a.,A-P-S-6810-0008
A,T1,C208,P05,AT1C208P05,AT1C208P05,11/12/2014,11/12/2014,1,0,0,0,7,Construct,Code 04.,"Lift ""C02-07/08 P06/P05"" will be divided into ""C02-07 P06"", ""C02-07 P05"" and ""C02-08 P05"".  All quantities will be assigned to ""C02-07 P06"".",Code 04a.,A-P-S-6810-0008
A,T1,C207,P04,AT1C207P04,AT1C207P04,11/19/2014,11/19/2014,1,51,68,1,0,Construct,Code 04.,"Lift ""C02-07/08 P04/P03"" will be separated into ""C02-07 P04"", ""C02-07 P03"", ""C02-08 P04"" and ""C02-08 P03"".  All quantities will be assigned to ""C02-07 P04"".",Code 04a.,A-P-S-6810-0008
A,T1,C207,P03,AT1C207P03,AT1C207P03,11/19/2014,11/19/2014,1,0,0,0,0,Construct,Code 04.,"Lift ""C02-07/08 P04/P03"" will be separated into ""C02-07 P04"", ""C02-07 P03"", ""C02-08 P04"" and ""C02-08 P03"".  All quantities will be assigned to ""C02-07 P04"".",Code 04a.,A-P-S-6810-0008
A,T1,C208,P04,AT1C208P04,AT1C208P04,11/19/2014,11/19/2014,1,0,0,0,0,Construct,Code 04.,"Lift ""C02-07/08 P04/P03"" will be separated into ""C02-07 P04"", ""C02-07 P03"", ""C02-08 P04"" and ""C02-08 P03"".  All quantities will be assigned to ""C02-07 P04"".",Code 04a.,A-P-S-6810-0008
A,T1,C208,P03,AT1C208P03,AT1C208P03,11/19/2014,11/19/2014,1,0,0,0,9,Construct,Code 04.,"Lift ""C02-07/08 P04/P03"" will be separated into ""C02-07 P04"", ""C02-07 P03"", ""C02-08 P04"" and ""C02-08 P03"".  All quantities will be assigned to ""C02-07 P04"".",Code 04a.,A-P-S-6810-0008
A,T1,C207,W01a,AT1C207W01a,AT1C207W01a,11/28/2014,11/28/2014,1,119,75,1,0,Construct,Code 04.,"Lift ""W02b(II)/W01b/W02d(II)/W01d"" will be separated into ""C02-07 W01a"", ""C02-07 W01b"", ""C02-07 W02b"", ""C02-08 W01a"", ""C02-08 W01b"" and ""C02-08 W2b"".  All quantities will be assigned to ""C02-07 W01a"".",Code 04a.,A-P-S-6810-0008
A,T1,C207,W01b,AT1C207W01b,AT1C207W01b,11/28/2014,11/28/2014,1,0,0,0,0,Construct,Code 04.,"Lift ""W02b(II)/W01b/W02d(II)/W01d"" will be separated into ""C02-07 W01a"", ""C02-07 W01b"", ""C02-07 W02b"", ""C02-08 W01a"", ""C02-08 W01b"" and ""C02-08 W2b"".  All quantities will be assigned to ""C02-07 W01a"".",Code 04a.,A-P-S-6810-0009
A,T1,C207,W02b,AT1C207W02b,AT1C207W02b,11/28/2014,11/28/2014,1,0,0,0,0,Construct,Code 04.,"Lift ""W02b(II)/W01b/W02d(II)/W01d"" will be separated into ""C02-07 W01a"", ""C02-07 W01b"", ""C02-07 W02b"", ""C02-08 W01a"", ""C02-08 W01b"" and ""C02-08 W2b"".  All quantities will be assigned to ""C02-07 W01a"".",Code 04a.,A-P-S-6810-0009
A,T1,C208,W01a,AT1C208W01a,AT1C208W01a,11/28/2014,11/28/2014,1,0,0,0,0,Construct,Code 04.,"Lift ""W02b(II)/W01b/W02d(II)/W01d"" will be separated into ""C02-07 W01a"", ""C02-07 W01b"", ""C02-07 W02b"", ""C02-08 W01a"", ""C02-08 W01b"" and ""C02-08 W2b"".  All quantities will be assigned to ""C02-07 W01a"".",Code 04a.,A-P-S-6810-0008
A,T1,C208,W01b,AT1C208W01b,AT1C208W01b,11/28/2014,11/28/2014,1,0,0,0,0,Construct,Code 04.,"Lift ""W02b(II)/W01b/W02d(II)/W01d"" will be separated into ""C02-07 W01a"", ""C02-07 W01b"", ""C02-07 W02b"", ""C02-08 W01a"", ""C02-08 W01b"" and ""C02-08 W2b"".  All quantities will be assigned to ""C02-07 W01a"".",Code 04a.,A-P-S-6810-0009
A,T1,C208,W02b,AT1C208W02b,AT1C208W02b,11/28/2014,11/28/2014,1,0,0,0,6,Construct,Code 04.,"Lift ""W02b(II)/W01b/W02d(II)/W01d"" will be separated into ""C02-07 W01a"", ""C02-07 W01b"", ""C02-07 W02b"", ""C02-08 W01a"", ""C02-08 W01b"" and ""C02-08 W2b"".  All quantities will be assigned to ""C02-07 W01a"".",Code 04a.,A-P-S-6810-0009
A,T1,C207,P02,AT1C207P02,AT1C207P02,12/04/2014,12/04/2014,1,30,24,1,0,Construct,Code 04.,"Lift ""C02-07/08 P02"" will be separated into ""C02-07 P02"" and ""C02-08 P02"".  All quantities will be assigned to ""C02-07 P02"".",Code 04a.,A-P-S-6810-0008
A,T1,C208,P02,AT1C208P02,AT1C208P02,12/04/2014,12/04/2014,1,0,0,0,11,Construct,Code 04.,"Lift ""C02-07/08 P02"" will be separated into ""C02-07 P02"" and ""C02-08 P02"".  All quantities will be assigned to ""C02-07 P02"".",Code 04a.,A-P-S-6810-0008
A,T1,C207,P01,AT1C207P01,AT1C207P01,12/15/2014,12/15/2014,1,16,10,1,0,Construct,Code 04.,"Lift ""C02-07/08 P01"" will be separated into ""C02-07 P01"" and ""C02-08 P01"".  All quantities will be assigned to ""C02-07 P01"".",Code 04a.,A-P-S-6810-0008
A,T1,C208,P01,AT1C208P01,AT1C208P01,12/15/2014,12/15/2014,1,0,0,0,22,Construct,Code 04.,"Lift ""C02-07/08 P01"" will be separated into ""C02-07 P01"" and ""C02-08 P01"".  All quantities will be assigned to ""C02-07 P01"".",Code 04a.,A-P-S-6810-0008
A,T1,C207,W02a,AT1C207W02a,AT1C207W02a,01/06/2015,01/06/2015,1,76,65,1,0,Construct,Code 04.,"Lift ""C02-07/08 W02a(II)"" will be separated into ""C02-07 W02a"" and ""C02-08 W02a"".  All quantities will be assigned to ""C02-07 W02a"".",Code 04a.,A-P-S-6810-0008
A,T1,C208,W02a,AT1C208W02a,AT1C208W02a,01/06/2015,01/06/2015,1,0,0,0,-528,Construct,Code 04.,"Lift ""C02-07/08 W02a(II)"" will be separated into ""C02-07 W02a"" and ""C02-08 W02a"".  All quantities will be assigned to ""C02-07 W02a"".",Code 04a.,A-P-S-6810-0008
A,T1,C205,F01,AT1C205F01,AT1C205F01,07/27/2013,07/27/2013,1,499,425,1,0,Construct,Code 04.,"Lift ""C02-05/06 F01"" will be divided into ""C02-05 F01"" and ""C02-06 F01"".  All quantities will be assigned to ""C02-05 F01"".",Code 04a.,A-P-S-6810-0009
A,T1,C206,F01,AT1C206F01,AT1C206F01,07/27/2013,07/27/2013,1,0,0,0,89,Construct,Code 04.,"Lift ""C02-05/06 F01"" will be divided into ""C02-05 F01"" and ""C02-06 F01"".  All quantities will be assigned to ""C02-05 F01"".",Code 04a.,A-P-S-6810-0009
A,T1,C205,P04,AT1C205P04,AT1C205P04,10/24/2013,10/24/2013,1,54,49,1,0,Construct,Code 04.,"Lift ""C02-05/06 P04/P03"" will be divided into ""C02-05 P04"", ""C02-05 P03"", ""C02-06 P04"" and ""C02-06 P03"".  All quantities will be assigned to ""C02-05 P04"".",Code 04a.,A-P-S-6810-0008
A,T1,C205,P03,AT1C205P03,AT1C205P03,10/24/2013,10/24/2013,1,0,0,1,0,Construct,Code 04.,"Lift ""C02-05/06 P04/P03"" will be divided into ""C02-05 P04"", ""C02-05 P03"", ""C02-06 P04"" and ""C02-06 P03"".  All quantities will be assigned to ""C02-05 P04"".",Code 04a.,A-P-S-6810-0008
A,T1,C206,P04,AT1C206P04,AT1C206P04,10/24/2013,10/24/2013,1,0,0,1,0,Construct,Code 04.,"Lift ""C02-05/06 P04/P03"" will be divided into ""C02-05 P04"", ""C02-05 P03"", ""C02-06 P04"" and ""C02-06 P03"".  All quantities will be assigned to ""C02-05 P04"".",Code 04a.,A-P-S-6810-0008
A,T1,C206,P03,AT1C206P03,AT1C206P03,10/24/2013,10/24/2013,1,0,0,1,54,Construct,Code 04.,"Lift ""C02-05/06 P04/P03"" will be divided into ""C02-05 P04"", ""C02-05 P03"", ""C02-06 P04"" and ""C02-06 P03"".  All quantities will be assigned to ""C02-05 P04"".",Code 04a.,A-P-S-6810-0008
A,T1,C206,W02,AT1C206W02,AT1C206W02,12/17/2013,12/17/2013,1,56,0,1,98,Construct,Code 05.,"Lift ""C02-05/06 W02b"" will be renamed as ""C02-06 W02"".",Code 05a.,A-P-S-6810-0009
A,T1,C205,W02,AT1C205W02,AT1C205W02,03/25/2014,03/25/2014,1,96,88,1,49,Construct,Code 05.,"Lift ""C02-05/06 W02"" will be renamed as ""C02-05 W02"".",Code 05a.,A-P-S-6810-0009
A,T1,C205,W01,AT1C205W01,AT1C205W01,05/13/2014,05/13/2014,1,136,81,1,0,Construct,Code 04.,"Lift ""C02-05/06 W01"" will be divided into ""C02-05 W01"" and ""C02-06 W01"".  All quantities will be assigned to ""C02-05 W01"".",Code 04a.,A-P-S-6810-0009
A,T1,C206,W01,AT1C206W01,AT1C206W01,05/13/2014,05/13/2014,1,0,0,0,6,Construct,Code 04.,"Lift ""C02-05/06 W01"" will be divided into ""C02-05 W01"" and ""C02-06 W01"".  All quantities will be assigned to ""C02-05 W01"".",Code 04a.,A-P-S-6810-0009
A,T1,C205,P02,AT1C205P02,AT1C205P02,05/19/2014,05/19/2014,1,48,54,1,0,Construct,Code 04.,"Lift ""C02-05/06 P02/P01"" will be divided into ""C02-05 P02"", ""C02-05 P01"", ""C02-06 P02"" and ""C02-06 P01"".  All quantities will be assigned to ""C02-05 P02"".",Code 04a.,A-P-S-6810-0008
A,T1,C205,P01,AT1C205P01,AT1C205P01,05/19/2014,05/19/2014,1,0,0,0,0,Construct,Code 04.,"Lift ""C02-05/06 P02/P01"" will be divided into ""C02-05 P02"", ""C02-05 P01"", ""C02-06 P02"" and ""C02-06 P01"".  All quantities will be assigned to ""C02-05 P02"".",Code 04a.,A-P-S-6810-0008
A,T1,C206,P02,AT1C206P02,AT1C206P02,05/19/2014,05/19/2014,1,0,0,0,0,Construct,Code 04.,"Lift ""C02-05/06 P02/P01"" will be divided into ""C02-05 P02"", ""C02-05 P01"", ""C02-06 P02"" and ""C02-06 P01"".  All quantities will be assigned to ""C02-05 P02"".",Code 04a.,A-P-S-6810-0008
A,T1,C206,P01,AT1C206P01,AT1C206P01,05/19/2014,05/19/2014,1,0,0,0,16,Construct,Code 04.,"Lift ""C02-05/06 P02/P01"" will be divided into ""C02-05 P02"", ""C02-05 P01"", ""C02-06 P02"" and ""C02-06 P01"".  All quantities will be assigned to ""C02-05 P02"".",Code 04a.,A-P-S-6810-0008
A,T1,C205,R07,AT1C205R07,AT1C205R07,06/04/2014,06/05/2014,2,252,265,2,-1,Construct,Code 03.,"Lift ""R07/R06"" will be separated into ""R07"" and ""R06"".  All quantities will be assigned to ""R07"".",Code 03a.,A-P-S-6810-0009
A,T1,C205,R06,AT1C205R06,AT1C205R06,06/04/2014,06/05/2014,2,0,0,0,11,Construct,Code 03.,"Lift ""R07/R06"" will be separated into ""R07"" and ""R06"".  All quantities will be assigned to ""R07"".",Code 03a.,A-P-S-6810-0009
A,T1,C205,R04,AT1C205R04,AT1C205R04,06/16/2014,06/17/2014,2,472,340,2,-1,Construct,Code 03.,"Lift ""R04(I)/R05"" will be divided into ""R04"" and ""R05"".  All quantities will be assigned to ""R04"".",Code 03a.,A-P-S-6810-0009
A,T1,C205,R05,AT1C205R05,AT1C205R05,06/16/2014,06/17/2014,2,0,0,0,214,Construct,Code 03.,"Lift ""R04(I)/R05"" will be divided into ""R04"" and ""R05"".  All quantities will be assigned to ""R04"".",Code 03a.,A-P-S-6810-0009
A,T1,C205,R03,AT1C205R03,AT1C205R03,01/17/2015,01/17/2015,1,384,398,1,9,Construct,Code 05.,"Lift R04(II) will be renamed as ""R03"".",Code 05a.,A-P-S-6810-0009
A,T1,C205,R02,AT1C205R02,AT1C205R02,01/26/2015,01/26/2015,1,172,132,1,0,Construct,Code 03.,"Lift ""R02(II)/R01"" will be divided into ""R02"", ""R02a"", ""R02b"" and ""R01"".  All quantities will be assigned to ""R02"".",Code 03a.,A-P-S-6810-0009
A,T1,C205,R02a,AT1C205R02a,AT1C205R02a,01/26/2015,01/26/2015,1,0,0,1,0,Construct,Code 03.,"Lift ""R02(II)/R01"" will be divided into ""R02"", ""R02a"", ""R02b"" and ""R01"".  All quantities will be assigned to ""R02"".",Code 03a.,A-P-S-6810-0009
A,T1,C205,R02b,AT1C205R02b,AT1C205R02b,01/26/2015,01/26/2015,1,0,0,1,0,Construct,Code 03.,"Lift ""R02(II)/R01"" will be divided into ""R02"", ""R02a"", ""R02b"" and ""R01"".  All quantities will be assigned to ""R02"".",Code 03a.,A-P-S-6810-0009
A,T1,C205,R01,AT1C205R01,AT1C205R01,01/26/2015,01/26/2015,1,0,0,1,-297,Construct,Code 03.,"Lift ""R02(II)/R01"" will be divided into ""R02"", ""R02a"", ""R02b"" and ""R01"".  All quantities will be assigned to ""R02"".",Code 03a.,A-P-S-6810-0009
A,T1,C204,W02,AT1C204W02,AT1C204W02,04/04/2014,04/04/2014,1,88,110,1,83,Construct,,,,
A,T1,C204,R02,AT1C204R02,AT1C204R02,06/26/2014,10/01/2014,98,152,147,3,-90,Construct,,,,
A,T1,C204,R01,AT1C204R01,AT1C204R01,07/03/2014,07/03/2014,1,256,252,1,-318,Construct,,,,
A,T1,C203,F01,AT1C203F01,AT1C203F01,08/19/2013,08/20/2013,2,710,650,2,-1,Construct,Code 04.,"Lift ""C02-03/04 F01"" will be divided into ""C02-03 F01"" and ""C02-04 F01"".  All quantities will be assigned to ""C02-03 F01"".",Code 04a.,A-P-S-6810-0009
A,T1,C204,F01,AT1C204F01,AT1C204F01,08/19/2013,08/20/2013,2,0,0,0,261,Construct,Code 04.,"Lift ""C02-03/04 F01"" will be divided into ""C02-03 F01"" and ""C02-04 F01"".  All quantities will be assigned to ""C02-03 F01"".",Code 04a.,A-P-S-6810-0009
A,T1,C203,W02,AT1C203W02,AT1C203W02,05/08/2014,05/08/2014,1,168,166,1,15,Construct,,,,
A,T1,C203,W01,AT1C203W01,AT1C203W01,05/23/2014,05/24/2014,2,256,231,2,-1,Construct,Code 04.,"Lift ""C02-03/04 W01"" will be divided into ""C02-03 W01"" and ""C02-04 W01"".  All quantities will be assigned to ""C02-03 W01"".",Code 04a.,A-P-S-6810-0009
A,T1,C204,W01,AT1C204W01,AT1C204W01,05/23/2014,05/24/2014,2,0,0,0,19,Construct,Code 04.,"Lift ""C02-03/04 W01"" will be divided into ""C02-03 W01"" and ""C02-04 W01"".  All quantities will be assigned to ""C02-03 W01"".",Code 04a.,A-P-S-6810-0009
A,T1,C203,R02,AT1C203R02,AT1C203R02,06/12/2014,06/12/2014,1,120,125,1,6,Construct,,,,
A,T1,C203,R01,AT1C203R01,AT1C203R01,06/18/2014,06/18/2014,1,248,203,1,-21,Construct,,,,
A,T1,C202,W01,AT1C202W01,AT1C202W01,05/28/2014,05/28/2014,1,168,211,1,0,Construct,Code 04.,"Lift ""C02-02/01 W01"" will be divided into ""C02-02 W01"" and ""C02-01 W01"".  All quantities will be assigned to ""C02-02 W01"".",Code 04a.,A-P-S-6810-0009
A,T1,C201,W01,AT1C201W01,AT1C201W01,05/28/2014,05/28/2014,1,0,0,0,40,Construct,Code 04.,"Lift ""C02-02/01 W01"" will be divided into ""C02-02 W01"" and ""C02-01 W01"".  All quantities will be assigned to ""C02-02 W01"".",Code 04a.,A-P-S-6810-0009
A,T1,C202,R02,AT1C202R02,AT1C202R02,07/07/2014,07/07/2014,1,172,227,1,0,Construct,Code 04.,"Lift ""C02-02/01 R02"" will be divided into ""C02-02 R02"" and ""C02-01 R02"".  All quantities will be assigned to ""C02-02 R02"".",Code 04a.,A-P-S-6810-0009
A,T1,C201,R02,AT1C201R02,AT1C201R02,07/07/2014,07/07/2014,1,0,0,0,4,Construct,Code 04.,"Lift ""C02-02/01 R02"" will be divided into ""C02-02 R02"" and ""C02-01 R02"".  All quantities will be assigned to ""C02-02 R02"".",Code 04a.,A-P-S-6810-0009
A,T1,C202,R01,AT1C202R01,AT1C202R01,07/11/2014,07/11/2014,1,247,274,1,0,Construct,Code 04.,"Lift ""C02-02/01 R01"" will be divided into ""C02-02 R01"" and ""C02-01 R01"".  All quantities will be assigned to ""C02-02 R01"".",Code 04a.,A-P-S-6810-0009
A,T1,C201,R01,AT1C201R01,AT1C201R01,07/11/2014,07/11/2014,1,0,0,0,-319,Construct,Code 04.,"Lift ""C02-02/01 R01"" will be divided into ""C02-02 R01"" and ""C02-01 R01"".  All quantities will be assigned to ""C02-02 R01"".",Code 04a.,A-P-S-6810-0009
A,T1,C202,F01,AT1C202F01,AT1C202F01,08/26/2013,08/27/2013,2,440,446,2,-1,Construct,Code 04.,"Lift ""C02-02/01 F01"" will be divided into ""C02-02 F01"" and ""C02-01 F01"".  All quantities will be assigned to ""C02-02 F01"".",Code 04a.,A-P-S-6810-0009
A,T1,C201,F01,AT1C201F01,AT1C201F01,08/26/2013,08/27/2013,2,0,0,0,134,Construct,Code 04.,"Lift ""C02-02/01 F01"" will be divided into ""C02-02 F01"" and ""C02-01 F01"".  All quantities will be assigned to ""C02-02 F01"".",Code 04a.,A-P-S-6810-0009
A,T1,C202,W02,AT1C202W02,AT1C202W02,01/08/2014,05/14/2014,127,176,244,2,-126,Construct,Code 04.,"Lift ""C02-02/01 W02"" will be divided into ""C02-02 W02"" and ""C02-01 W02"".  All quantities will be assigned to ""C02-02 W02"".",Code 04a.,A-P-S-6810-0009
A,T1,C201,W02,AT1C201W02,AT1C201W02,01/08/2014,05/14/2014,127,0,0,0,-177,Construct,Code 04.,"Lift ""C02-02/01 W02"" will be divided into ""C02-02 W02"" and ""C02-01 W02"".  All quantities will be assigned to ""C02-02 W02"".",Code 04a.,A-P-S-6810-0009
A,T1,C103,F01b,AT1C103F01b,AT1C103F01b,11/18/2013,07/24/2014,249,264,171,1,180,Construct,Code 02.,"Joining lifts ""F01b"" and ""C01-02/03 F01(Kickerb)"" under the name of ""F01b"".",Code 02a.,A-P-S-6810-0011
A,T1,C103,F01a,AT1C103F01a,AT1C103F01a,01/20/2015,01/27/2015,8,241,217,1,16,Construct,Code 02.,"Joining lifts ""F01a(I)"" and ""F01a(II)"" under the name of ""F01a"".",Code 02a.,A-P-S-6810-0011
A,T1,C103,W02d,AT1C103W02d,AT1C103W02d,02/12/2015,02/12/2015,1,125,120,1,0,Construct,Code 03.,"Lift ""F01a(III)/W02d(I)/W02e(I)/W02c(I)"" will be separated into ""W02d"", ""W01d"", ""W02e"", ""W01e"", ""W02c"" and ""W01c"".  All quantities will be assigned to ""W02d"".",Code 03a.,A-P-S-6810-0011
A,T1,C103,W01d,AT1C103W01d,AT1C103W01d,02/12/2015,02/12/2015,1,0,0,0,0,Construct,Code 03.,"Lift ""F01a(III)/W02d(I)/W02e(I)/W02c(I)"" will be separated into ""W02d"", ""W01d"", ""W02e"", ""W01e"", ""W02c"" and ""W01c"".  All quantities will be assigned to ""W02d"".",Code 03a.,A-P-S-6810-0011
A,T1,C103,W02e,AT1C103W02e,AT1C103W02e,02/12/2015,02/12/2015,1,0,0,0,0,Construct,Code 03.,"Lift ""F01a(III)/W02d(I)/W02e(I)/W02c(I)"" will be separated into ""W02d"", ""W01d"", ""W02e"", ""W01e"", ""W02c"" and ""W01c"".  All quantities will be assigned to ""W02d"".",Code 03a.,A-P-S-6810-0011
A,T1,C103,W01e,AT1C103W01e,AT1C103W01e,02/12/2015,02/12/2015,1,0,0,0,0,Construct,Code 03.,"Lift ""F01a(III)/W02d(I)/W02e(I)/W02c(I)"" will be separated into ""W02d"", ""W01d"", ""W02e"", ""W01e"", ""W02c"" and ""W01c"".  All quantities will be assigned to ""W02d"".",Code 03a.,A-P-S-6810-0011
A,T1,C103,W02c,AT1C103W02c,AT1C103W02c,02/12/2015,02/12/2015,1,0,0,0,0,Construct,Code 03.,"Lift ""F01a(III)/W02d(I)/W02e(I)/W02c(I)"" will be separated into ""W02d"", ""W01d"", ""W02e"", ""W01e"", ""W02c"" and ""W01c"".  All quantities will be assigned to ""W02d"".",Code 03a.,A-P-S-6810-0011
A,T1,C103,W01c,AT1C103W01c,AT1C103W01c,02/12/2015,02/12/2015,1,0,0,0,-481,Construct,Code 03.,"Lift ""F01a(III)/W02d(I)/W02e(I)/W02c(I)"" will be separated into ""W02d"", ""W01d"", ""W02e"", ""W01e"", ""W02c"" and ""W01c"".  All quantities will be assigned to ""W02d"".",Code 03a.,A-P-S-6810-0011
A,T1,C102,F01a,AT1C102F01a,AT1C102F01a,10/19/2013,10/19/2013,1,431,350,1,284,Construct,Code 05.,"Lift ""F01a+F01b"" will be renamed as ""F01a"".",Code 05a.,A-P-S-6810-0011
A,T1,C102,W08,AT1C102W08,AT1C102W08,07/30/2014,07/30/2014,1,24,23,1,7,Construct,,,,
