Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,,Revision Process,,RFC Number
A,T1,C311,P02,AT1C311P02,AT1C311P02,05/09/2014,05/09/2014,1,24,14,1,0,Construct,Code 05.,"Lift ""C03-10/11 P03"" will be renamed as ""C03-11 P02"".",Code 05a.,A-P-S-6810-0004
A,T1,C310,W02a,AT1C310W02a,AT1C310W02a,05/09/2014,05/09/2014,1,24,33,1,0,Construct,Code 03.,"Lift ""C03-10/11 W02a"" will be divided into ""C03-10 W02a"" and ""C03-11 W02a"".  All quantities will be assigned to ""C03-10 W02a"".",Code 03a.,A-P-S-6810-0003
A,T1,C311,W02a,AT1C311W02a,AT1C311W02a,05/09/2014,05/09/2014,1,0,0,0,11,Construct,Code 04.,"Lift ""C03-10/11 W02a"" will be separated into ""C03-10 W02a"" and ""C03-11 W02a"".  All quantities will be assigned to ""C03-10 W02a"".",Code 04a.,A-P-S-6810-0003
A,T1,C310,P01,AT1C310P01,AT1C310P01,05/20/2014,05/20/2014,1,8,11,1,0,Construct,Code 03.,"Lift ""C03-10/11 P01(II)"" will be divided into ""C03-10 P01"" and ""C03-11 P01"".  All quantities will be assigned to ""C03-10 P01"".",Code 03a.,A-P-S-6810-0004
A,T1,C311,P01,AT1C311P01,AT1C311P01,05/20/2014,05/20/2014,1,0,0,0,85,Construct,Code 04.,"Lift ""C03-10/11 P01(II)"" will be separated into ""C03-10 P01"" and ""C03-11 P01"".  All quantities will be assigned to ""C03-10 P01"".",Code 04a.,A-P-S-6810-0004
A,T1,C311,W01a,AT1C311W01a,AT1C311W01a,08/13/2014,08/13/2014,1,121,75,1,0,Construct,Code 04.,"Lift ""W01a/W02a(II)+T1-C3-11-W01c(I)/W02c(I)"" will be separated into ""C03-11 W01a"", ""C03-11 W01d"", ""C03-11 W02d"" and ""C03-11 W01e"".  All quantities will be assigned to ""C03-11 W01a"".",Code 04a.,A-P-S-6810-0004
A,T1,C311,W01d,AT1C311W01d,AT1C311W01d,08/13/2014,08/13/2014,1,0,0,0,0,Construct,Code 04.,"Lift ""W01a/W02a(II)+T1-C3-11-W01c(I)/W02c(I)"" will be separated into ""C03-11 W01a"", ""C03-11 W01d"", ""C03-11 W02d"" and ""C03-11 W01e"".  All quantities will be assigned to ""C03-11 W01a"".",Code 04a.,A-P-S-6810-0004
A,T1,C311,W02d,AT1C311W02d,AT1C311W02d,08/13/2014,08/13/2014,1,0,0,0,0,Construct,Code 04.,"Lift ""W01a/W02a(II)+T1-C3-11-W01c(I)/W02c(I)"" will be separated into ""C03-11 W01a"", ""C03-11 W01d"", ""C03-11 W02d"" and ""C03-11 W01e"".  All quantities will be assigned to ""C03-11 W01a"".",Code 04a.,A-P-S-6810-0004
A,T1,C311,W01e,AT1C311W01e,AT1C311W01e,08/13/2014,08/13/2014,1,0,0,0,15,Construct,Code 04.,"Lift ""W01a/W02a(II)+T1-C3-11-W01c(I)/W02c(I)"" will be separated into ""C03-11 W01a"", ""C03-11 W01d"", ""C03-11 W02d"" and ""C03-11 W01e"".  All quantities will be assigned to ""C03-11 W01a"".",Code 04a.,A-P-S-6810-0004
A,T1,C310,W01b,AT1C310W01b,AT1C310W01b,08/28/2014,08/28/2014,1,92,75,1,0,Construct,Code 03.,"Lift ""C03-10/11 W01b/W02(II)+T1-C03-11-W01C(I)/W02(I)"" will be divided into ""C03-10 W01b"", ""C03-11 W01b"", ""C03-11 W01c"" and ""C03-11 W02c"".  All quantities will be assigned to ""C03-10 W01b"".",Code 03a.,A-P-S-6810-0004
A,T1,C311,W01b,AT1C311W01b,AT1C311W01b,08/28/2014,08/28/2014,1,0,0,0,0,Construct,Code 04.,"Lift ""C03-10/11 W01b/W02(II)+T1-C03-11-W01C(I)/W02(I)"" will be separated into ""C03-10 W01b"", ""C03-11 W01b"", ""C03-11 W01c"" and ""C03-11 W02c"".  All quantities will be assigned to ""C03-10 W01b"".",Code 04a.,A-P-S-6810-0004
A,T1,C311,W01c,AT1C311W01c,AT1C311W01c,08/28/2014,08/28/2014,1,0,0,0,0,Construct,Code 04.,"Lift ""C03-10/11 W01b/W02(II)+T1-C03-11-W01C(I)/W02(I)"" will be separated into ""C03-10 W01b"", ""C03-11 W01b"", ""C03-11 W01c"" and ""C03-11 W02c"".  All quantities will be assigned to ""C03-10 W01b"".",Code 04a.,A-P-S-6810-0004
A,T1,C311,W02c,AT1C311W02c,AT1C311W02c,08/28/2014,08/28/2014,1,0,0,0,-453,Construct,Code 04.,"Lift ""C03-10/11 W01b/W02(II)+T1-C03-11-W01C(I)/W02(I)"" will be separated into ""C03-10 W01b"", ""C03-11 W01b"", ""C03-11 W01c"" and ""C03-11 W02c"".  All quantities will be assigned to ""C03-10 W01b"".",Code 04a.,A-P-S-6810-0004
A,T1,C309,F01,AT1C309F01,AT1C309F01,06/01/2013,06/01/2013,1,281,259,1,480,Construct,,,,
A,T1,C309,R02,AT1C309R02,AT1C309R02,09/24/2014,09/25/2014,2,209,250,2,6,Construct,,,,
A,T1,C309,R01,AT1C309R01,AT1C309R01,10/01/2014,10/02/2014,2,201,340,2,-449,Construct,,,,
A,T1,C308,W02a,AT1C308W02a,AT1C308W02a,07/10/2013,07/10/2013,1,112,100,1,0,Construct,Code 04.,"Lift ""C3-08/09 W0aa"" will be divided into ""C3-08 W02a"" and ""C3-09 W02a"".  All quantities will be assigned to ""C3-08 W02a"".",Code 04a.,A-P-S-6810-0003
A,T1,C309,W02a,AT1C309W02a,AT1C309W02a,07/10/2013,07/10/2013,1,0,0,0,12,Construct,Code 04.,"Lift ""C3-08/09 W0aa"" will be divided into ""C3-08 W02a"" and ""C3-09 W02a"".  All quantities will be assigned to ""C3-08 W02a"".",Code 04a.,A-P-S-6810-0003
A,T1,C308,W02b,AT1C308W02b,AT1C308W02b,07/22/2013,07/22/2013,1,132,100,1,0,Construct,Code 04.,"Lift ""C3-08/09 W02b"" will be divided into ""C3-08 W02b"" and ""C3-09 W02b"".  All quantities will be assigned to ""C3-08 W02b"".",Code 04a.,A-P-S-6810-0004
A,T1,C309,W02b,AT1C309W02b,AT1C309W02b,07/22/2013,07/22/2013,1,0,0,0,1,Construct,Code 04.,"Lift ""C3-08/09 W02b"" will be divided into ""C3-08 W02b"" and ""C3-09 W02b"".  All quantities will be assigned to ""C3-08 W02b"".",Code 04a.,A-P-S-6810-0004
A,T1,C308,W01a,AT1C308W01a,AT1C308W01a,07/23/2013,07/24/2013,2,119,87,2,-1,Construct,Code 04.,"Lift ""C3-08/09 W01a"" will be divided into ""C3-08 W01a"" and ""C3-09 W01a"".  All quantities will be assigned to ""C3-08 W01a"".",Code 04a.,A-P-S-6810-0003
A,T1,C309,W01a,AT1C309W01a,AT1C309W01a,07/23/2013,07/24/2013,2,0,0,0,6,Construct,Code 04.,"Lift ""C3-08/09 W01a"" will be divided into ""C3-08 W01a"" and ""C3-09 W01a"".  All quantities will be assigned to ""C3-08 W01a"".",Code 04a.,A-P-S-6810-0003
A,T1,C308,P03,AT1C308P03,AT1C308P03,07/30/2013,07/30/2013,1,48,60,1,0,Construct,Code 04.,"Lift ""C03-08/09 P03&P04"" will be separated into ""C03-08 P03"", ""C03-08 P04"", ""C03-09 P03"" and ""C03-09 P04"".  All quantities will be assgned to ""C03-08 P03"".",Code 04a.,A-P-S-6810-0004
A,T1,C308,P04,AT1C308P04,AT1C308P04,07/30/2013,07/30/2013,1,0,0,0,0,Construct,Code 04.,"Lift ""C03-08/09 P03&P04"" will be separated into ""C03-08 P03"", ""C03-08 P04"", ""C03-09 P03"" and ""C03-09 P04"".  All quantities will be assgned to ""C03-08 P03"".",Code 04a.,A-P-S-6810-0004
A,T1,C309,P03,AT1C309P03,AT1C309P03,07/30/2013,07/30/2013,1,0,0,0,0,Construct,Code 04.,"Lift ""C03-08/09 P03&P04"" will be separated into ""C03-08 P03"", ""C03-08 P04"", ""C03-09 P03"" and ""C03-09 P04"".  All quantities will be assgned to ""C03-08 P03"".",Code 04a.,A-P-S-6810-0004
A,T1,C309,P04,AT1C309P04,AT1C309P04,07/30/2013,07/30/2013,1,0,0,0,6,Construct,Code 04.,"Lift ""C03-08/09 P03&P04"" will be separated into ""C03-08 P03"", ""C03-08 P04"", ""C03-09 P03"" and ""C03-09 P04"".  All quantities will be assgned to ""C03-08 P03"".",Code 04a.,A-P-S-6810-0004
A,T1,C308,W01b,AT1C308W01b,AT1C308W01b,08/05/2013,08/06/2013,2,120,87,2,-1,Construct,Code 04.,"Lift ""C3-08/09 W01b"" will be divided into ""C3-08 W01b"" and ""C3-09 W01b"".  All quantities will be assigned to ""C3-08 W01b"".",Code 04a.,A-P-S-6810-0004
