Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,T4,C101,F01,PT4C101F01,PT4C101F01,06/20/2014,06/20/2014,1,408,411,1,38,Construct,.,,,
P,T4,C101,W03,PT4C101W03,PT4C101W03,07/28/2014,07/29/2014,2,107,83,2,22,Construct,,,,
P,T4,C101,W02,PT4C101W02,PT4C101W02,08/20/2014,08/20/2014,1,60,72,1,9,Construct,,,,
P,T4,C102,F01b,PT4C102F01b,PT4C102F01b,08/29/2014,09/05/2014,8,368.22,318,3,-6,Construct,Code 05.,"Lift ""F01B"" will be renamed as ""F01b"".",Code 05a.,P-P-S-6840-0011
P,T4,C102,F01a,PT4C102F01a,PT4C102F01a,08/30/2014,08/30/2014,1,12,0,1,2,Construct,,,,
P,T4,C101,W01,PT4C101W01,PT4C101W01,09/01/2014,09/02/2014,2,27,18,2,27,Construct,,,,
P,T4,C102,W01b,PT4C102W01b,PT4C102W01b,09/29/2014,09/29/2014,1,16,21,1,2,Construct,Code 05.,"Lift ""W01"" will be renamed as ""W01b"".",Code 05a.,P-P-S-6840-0011
P,T4,C103,F01a,PT4C103F01a,PT4C103F01a,10/01/2014,10/02/2014,2,138,165,2,1,Construct,,,,
P,T4,C101,R07,PT4C101R07,PT4C101R07,10/03/2014,10/03/2014,1,120,132,1,4,Construct,,,,
P,T4,C102,W06,PT4C102W06,PT4C102W06,10/07/2014,10/08/2014,2,46,52,2,-6,Construct,,,,
P,T4,C102,W07,PT4C102W07,PT4C102W07,10/02/2014,10/02/2014,1,0,0,0,6,Construct,Code 01.,"A new row was created under the name of ""W07"", with 0 quantities and the dates of the previous lift plus one day.",Code 01a.,P-P-S-6840-0011
P,T4,C101,R06,PT4C101R06,PT4C101R06,10/08/2014,10/08/2014,1,144,144,1,5,Construct,,,,
P,T4,C101,R05,PT4C101R05,PT4C101R05,10/13/2014,10/13/2014,1,112,107,1,3,Construct,,,,
P,T4,C102,W05,PT4C102W05,PT4C102W05,10/16/2014,10/16/2014,1,29,27,1,15,Construct,,,,
P,T4,C102,W04b,PT4C102W04b,PT4C102W04b,10/31/2014,10/31/2014,1,64,69,1,24,Construct,,,,
P,T4,C102,W04a,PT4C102W04a,PT4C102W04a,11/24/2014,11/24/2014,1,38,40,1,3,Construct,Code 05.,"Lift ""C1-02+03 W04a"" will be renamed as ""C01-02 W04a"".",Code 05a.,P-P-S-6840-0011
P,T4,C102,P09,PT4C102P09,PT4C102P09,11/27/2014,11/27/2014,1,18,22,1,0,Construct,Code 03.,"Lift ""P09+P08"" will be separated into ""P09"" and ""P08"". All quantities will be assigned to ""P09"".",Code 03a.,P-P-S-6840-0011
P,T4,C102,P08,PT4C102P08,PT4C102P08,11/27/2014,11/27/2014,1,0,0,1,0,Construct,Code 03.,"Lift ""P09+P08"" will be separated into ""P09"" and ""P08"". All quantities will be assigned to ""P09"".",Code 03a.,P-P-S-6840-0011
P,T4,C103,W04a,PT4C103W04a,PT4C103W04a,11/27/2014,11/27/2014,1,22,22,1,15,Construct,,,,
P,T4,C102,P07,PT4C102P07,PT4C102P07,12/12/2014,12/12/2014,1,37,49,1,0,Construct,Code 03.,"Lift ""P07+P06"" will be separated into ""P07"" and ""P06"". All quantities will be assigned to ""P07"".",Code 03a.,P-P-S-6840-0011
P,T4,C102,P06,PT4C102P06,PT4C102P06,12/12/2014,12/12/2014,1,0,0,1,0,Construct,Code 03.,"Lift ""P07+P06"" will be separated into ""P07"" and ""P06"". All quantities will be assigned to ""P07"".",Code 03a.,P-P-S-6840-0011
P,T4,C102,W03b,PT4C102W03b,PT4C102W03b,12/12/2014,12/12/2014,1,57,48,1,5,Construct,,,,
P,T4,C103,F01b,PT4C103F01b,PT4C103F01b,12/17/2014,12/18/2014,2,163,136,2,15,Construct,,,,
P,T4,C102,P05,PT4C102P05,PT4C102P05,01/02/2015,01/02/2015,1,48,46,1,0,Construct,Code 03.,"Lift ""P05+P04"" will be separated into ""P05"" and ""P04"". All quantities will be assigned to ""P05"".",Code 03a.,P-P-S-6840-0011
P,T4,C102,P04,PT4C102P04,PT4C102P04,01/02/2015,01/02/2015,1,0,0,0,3,Construct,Code 03.,"Lift ""P05+P04"" will be separated into ""P05"" and ""P04"". All quantities will be assigned to ""P05"".",Code 03a.,P-P-S-6840-0011
P,T4,C102,W03a,PT4C102W03a,PT4C102W03a,01/05/2015,01/06/2015,2,79,92,2,-1,Construct,Code 04.,"Lift ""C1-02+03 W03a"" will be separated into ""C1-02 W03a"" and ""C1-03 W03a"".  All quantities will be assigned to ""C1-02 W03a2.",Code 04.,P-P-S-6840-0011
P,T4,C103,W03a,PT4C103W03a,PT4C103W03a,01/05/2015,01/06/2015,2,0,0,0,6,Construct,Code 04.,"Lift ""C1-02+03 W03a"" will be separated into ""C1-02 W03a"" and ""C1-03 W03a"".  All quantities will be assigned to ""C1-02 W03a2.",Code 04.,P-P-S-6840-0012
P,T4,C103,W05,PT4C103W05,PT4C103W05,01/12/2015,01/12/2015,1,18,15,1,11,Construct,,,,
P,T4,C103,W04b,PT4C103W04b,PT4C103W04b,01/23/2015,01/23/2015,1,32,67,1,4,Construct,,,,
P,T4,C101,R04a,PT4C101R04a,PT4C101R04a,01/27/2015,02/04/2015,9,77,104,2,-8,Construct,,,,
P,T4,C103,F01c,PT4C103F01c,PT4C103F01c,01/27/2015,01/27/2015,1,108,90,1,8,Construct,,,,
P,T4,C102,P03,PT4C102P03,PT4C102P03,02/04/2015,02/04/2015,1,32,25,1,0,Construct,Code 03.,"Lift ""P03+P02"" will be separated into ""P03"", ""P02a"" and ""P02b"". All quantities will be assigned to ""P03"".",Code 03a.,P-P-S-6840-0011
P,T4,C102,P02a,PT4C102P02a,PT4C102P02a,02/04/2015,02/04/2015,1,0,0,0,0,Construct,Code 03.,"Lift ""P03+P02"" will be separated into ""P03"", ""P02a"" and ""P02b"". All quantities will be assigned to ""P03"".",Code 03a.,P-P-S-6840-0011
P,T4,C102,P02b,PT4C102P02b,PT4C102P02b,02/04/2015,02/04/2015,1,0,0,0,2,Construct,Code 03.,"Lift ""P03+P02"" will be separated into ""P03"", ""P02a"" and ""P02b"". All quantities will be assigned to ""P03"".",Code 03a.,P-P-S-6840-0011
P,T4,C103,W03b,PT4C103W03b,PT4C103W03b,02/06/2015,03/12/2015,35,81,90,2,-22,Construct,Code 02.,"Joining ""C1-03 W03b"" and ""C1-02+03 W03b"" under the name of ""C1-03 W03b"".",,
P,T4,C101,R04b,PT4C101R04b,PT4C101R04b,02/18/2015,02/18/2015,1,120,117,1,9,Construct,,,,
P,T4,C103,P06,PT4C103P06,PT4C103P06,02/27/2015,02/27/2015,1,24,24,1,8,Construct,Code 06.,"Lift ""C1-03 P6"" does not exist in the RFC"".",Code 06a.,P-P-S-6840-0012
P,T4,C102,P01,PT4C102P01,PT4C102P01,03/07/2015,03/10/2015,4,21,15,2,6,Construct,,,,
P,T4,C103,P05,PT4C103P05,PT4C103P05,03/16/2015,03/16/2015,1,29,30,1,0,Construct,Code 03.,"Lift ""P05+P04"" will be separated into ""P05"" and ""P04"". All quantities will be assigned to ""P05"".",Code 03a.,P-P-S-6840-0012
P,T4,C103,P04,PT4C103P04,PT4C103P04,03/16/2015,03/16/2015,1,0,0,0,-37,Construct,Code 03.,"Lift ""P05+P04"" will be separated into ""P05"" and ""P04"". All quantities will be assigned to ""P05"".",Code 03a.,P-P-S-6840-0012
P,T4,C103,W02b,PT4C103W02b,PT4C103W02b,02/07/2015,02/07/2015,1,0,0,0,39,Construct,Code 01.,"A new row was created under the name of ""W02b"", with 0 quantities and the dates of the previous lift plus one day.",Code 01a.,P-P-S-6840-0012
P,T4,C103,W02c,PT4C103W02c,PT4C103W02c,03/18/2015,03/18/2015,1,25,25,1,0,Construct,Code 03.,"Lift ""W02c+d+e"" will be separated into ""W02c"" and ""W02d"" and ""W02e"". All quantities will be assigned to ""W02c"".",Code 03a.,P-P-S-6840-0012
P,T4,C103,W02d,PT4C103W02d,PT4C103W02d,03/18/2015,03/18/2015,1,0,0,0,0,Construct,Code 03.,"Lift ""W02c+d+e"" will be separated into ""W02c"" and ""W02d"" and ""W02e"". All quantities will be assigned to ""W02c"".",Code 03a.,P-P-S-6840-0012
P,T4,C103,W02e,PT4C103W02e,PT4C103W02e,03/18/2015,03/18/2015,1,0,0,0,13,Construct,Code 03.,"Lift ""W02c+d+e"" will be separated into ""W02c"" and ""W02d"" and ""W02e"". All quantities will be assigned to ""W02c"".",Code 03a.,P-P-S-6840-0012
P,T4,C101,R03a,PT4C101R03a,PT4C101R03a,03/31/2015,03/31/2015,1,78,57,1,0,Construct,Code 03.,"Lift ""R03a+b"" will be separated into ""R03a"" and ""R03b"". All quantities will be assigned to ""R03a"".",Code 03a.,P-P-S-6840-0011
P,T4,C101,R03b,PT4C101R03b,PT4C101R03b,03/31/2015,03/31/2015,1,0,0,0,7,Construct,Code 03.,"Lift ""R03a+b"" will be separated into ""R03a"" and ""R03b"". All quantities will be assigned to ""R03a"".",Code 03a.,P-P-S-6840-0011
P,T4,C103,P03,PT4C103P03,PT4C103P03,04/07/2015,04/07/2015,1,17,27,1,0,Construct,Code 03.,"Lift ""P03+P02"" will be separated into ""P03"", ""P02a"" and ""P02b"". All quantities will be assigned to ""P03"".",Code 03a.,P-P-S-6840-0012
P,T4,C103,P02a,PT4C103P02a,PT4C103P02a,04/07/2015,04/07/2015,1,0,0,0,0,Construct,Code 03.,"Lift ""P03+P02"" will be separated into ""P03"", ""P02a"" and ""P02b"". All quantities will be assigned to ""P03"".",Code 03a.,P-P-S-6840-0012
