Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,,,,,,,,,,,,,,,,,,,,
A,LW,M08,W01,ALWM08W01,ALWM08W01,05/19/2014,05/19/2014,1,72,78,1,-769,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M09,F02,ALWM09F02,ALWM09F02,04/10/2012,04/11/2012,2,995,999,2,8,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M09,F01,ALWM09F01,ALWM09F01,04/19/2012,09/26/2013,526,946,817,6,-492,Construct,Code 02.,"Joining lift ""F01"", ""F01 a"", ""F01 b"" and ""F01 c"", under the name of ""F01"".",Code 02a.,A-P-S-3310-0001,,,,,,,,,,,,,,,,,,,,
A,LW,M09,C04a,ALWM09C04a,ALWM09C04a,05/22/2012,05/22/2012,1,81,81,1,15,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M09,C03a,ALWM09C03a,ALWM09C03a,06/06/2012,06/06/2012,1,120,120,1,3,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M09,C04c,ALWM09C04c,ALWM09C04c,06/09/2012,06/09/2012,1,94,102,1,4,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M09,C03c,ALWM09C03c,ALWM09C03c,06/13/2012,06/14/2012,2,96,96,2,28,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M09,C04b,ALWM09C04b,ALWM09C04b,07/12/2012,07/13/2012,2,200,181,2,5,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M09,C03b,ALWM09C03b,ALWM09C03b,07/18/2012,07/18/2012,1,184,175,1,19,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M09,C02,ALWM09C02,ALWM09C02,08/06/2012,08/06/2012,1,300,283,1,15,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M09,C01,ALWM09C01,ALWM09C01,08/21/2012,08/23/2012,3,990,956,3,12,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M09,W07,ALWM09W07,ALWM09W07,09/04/2012,09/04/2012,1,408,399,1,13,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M09,W06,ALWM09W06,ALWM09W06,09/17/2012,09/17/2012,1,340,350,1,9,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M09,W05,ALWM09W05,ALWM09W05,09/26/2012,09/27/2012,2,288,283,2,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M09,W04,ALWM09W04,ALWM09W04,10/08/2012,10/08/2012,1,280,252,1,21,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M09,W03b,ALWM09W03b,ALWM09W03b,10/29/2012,10/29/2012,1,180,160,1,14,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M09,W03a,ALWM09W03a,ALWM09W03a,11/12/2012,11/12/2012,1,168,142,1,590,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M09,W02,ALWM09W02,ALWM09W02,06/25/2014,06/25/2014,1,120,119,1,23,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M09,W01,ALWM09W01,ALWM09W01,07/18/2014,07/18/2014,1,65,78,1,-793,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M10,F02,ALWM10F02,ALWM10F02,05/16/2012,05/17/2012,2,1032,999,2,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M10,F01,ALWM10F01,ALWM10F01,05/24/2012,07/05/2012,43,945,817,5,-23,Construct,Code 02.,"Joining lift ""F01"", ""F01 a"", ""F01 b"" and ""F01 c"", under the name of ""F01"".",Code 02a.,A-P-S-3380-0001,,,,,,,,,,,,,,,,,,,,
A,LW,M10,C04a,ALWM10C04a,ALWM10C04a,06/12/2012,06/12/2012,1,128,128,1,4,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M10,C03a,ALWM10C03a,ALWM10C03a,06/16/2012,06/16/2012,1,150,150,1,12,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M10,C04c,ALWM10C04c,ALWM10C04c,06/28/2012,06/28/2012,1,76,76,1,2,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M10,C03c,ALWM10C03c,ALWM10C03c,06/30/2012,06/30/2012,1,22,22,1,30,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M10,C04b,ALWM10C04b,ALWM10C04b,07/30/2012,07/30/2012,1,180,160,1,4,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M10,C03b,ALWM10C03b,ALWM10C03b,08/03/2012,08/04/2012,2,198,219,2,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M10,C02,ALWM10C02,ALWM10C02,08/15/2012,08/15/2012,1,290,283,1,15,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M10,C01,ALWM10C01,ALWM10C01,08/30/2012,08/31/2012,2,952,956,2,85,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M10,W07,ALWM10W07,ALWM10W07,11/24/2012,11/27/2012,4,464,399,2,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M10,W06,ALWM10W06,ALWM10W06,12/04/2012,12/05/2012,2,352,350,2,13,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M10,W05,ALWM10W05,ALWM10W05,12/18/2012,12/18/2012,1,320,301,1,21,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M10,W04,ALWM10W04,ALWM10W04,01/08/2013,01/08/2013,1,264,252,1,10,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M10,W03b,ALWM10W03b,ALWM10W03b,01/18/2013,01/18/2013,1,160,160,1,10,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M10,W03a,ALWM10W03a,ALWM10W03a,01/28/2013,01/29/2013,2,152,142,2,4,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M10,W02,ALWM10W02,ALWM10W02,02/02/2013,02/02/2013,1,116,119,1,735,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M10,W01,ALWM10W01,ALWM10W01,02/07/2015,02/07/2015,1,64,63,1,-1020,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M11,F02,ALWM11F02,ALWM11F02,04/23/2012,04/23/2012,1,312,312,1,1,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M11,F01,ALWM11F01,ALWM11F01,04/24/2012,06/26/2012,64,484,447,4,1,Construct,Code 02.,"Joining lift ""F01"", ""F01 a"" and ""F01 b"", under the name of ""F01"".",Code 02a.,A-P-S-3400-0001,,,,,,,,,,,,,,,,,,,,
A,LW,M11,C04a,ALWM11C04a,ALWM11C04a,06/27/2012,06/27/2012,1,0,0,0,-8,Construct,Code 01.,"A new row was created under the name of ""C04 a"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,A-P-S-3401-0001,,,,,,,,,,,,,,,,,,,,
A,LW,M11,C04c,ALWM11C04c,ALWM11C04c,06/19/2012,06/20/2012,2,94,94,2,2,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M11,C03c,ALWM11C03c,ALWM11C03c,06/22/2012,06/23/2012,2,77,77,2,4,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M11,C03a,ALWM11C03a,ALWM11C03a,06/27/2012,06/27/2012,1,56,56,1,2,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M11,C04b,ALWM11C04b,ALWM11C04b,06/29/2012,06/30/2012,2,104,67,2,4,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M11,C03b,ALWM11C03b,ALWM11C03b,07/04/2012,07/04/2012,1,88,34,1,54,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M11,C02,ALWM11C02,ALWM11C02,08/27/2012,08/27/2012,1,134,120,1,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M11,C01,ALWM11C01,ALWM11C01,09/07/2012,09/07/2012,1,385,402,1,13,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M11,W07,ALWM11W07,ALWM11W07,09/20/2012,09/20/2012,1,144,172,1,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M11,W06,ALWM11W06,ALWM11W06,10/01/2012,10/01/2012,1,168,152,1,9,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M11,W05,ALWM11W05,ALWM11W05,10/10/2012,10/11/2012,2,128,130,2,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M11,W04,ALWM11W04,ALWM11W04,10/18/2012,10/18/2012,1,120,109,1,19,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M11,W03b,ALWM11W03b,ALWM11W03b,11/06/2012,11/06/2012,1,80,58,1,10,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M11,W03a,ALWM11W03a,ALWM11W03a,11/16/2012,11/16/2012,1,56,69,1,17,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M11,W02,ALWM11W02,ALWM11W02,12/03/2012,12/03/2012,1,40,45,1,802,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M11,W01,ALWM11W01,ALWM11W01,02/13/2015,02/13/2015,1,24,21,1,-977,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M12,F02,ALWM12F02,ALWM12F02,06/11/2012,06/12/2012,2,1054,981,2,9,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M12,F01,ALWM12F01,ALWM12F01,06/21/2012,09/19/2012,91,976,1067,6,-7,Construct,Code 02.,"Joining lift ""F01"", ""F01 a"", ""F01 c"" and ""F01 b"", under the name of ""F01"".",Code 02a.,A-P-S-3420-0002,,,,,,,,,,,,,,,,,,,,
A,LW,M12,C04a,ALWM12C04a,ALWM12C04a,09/12/2012,09/13/2012,2,192,171,2,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M12,C03a,ALWM12C03a,ALWM12C03a,09/24/2012,09/24/2012,1,160,160,1,9,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M12,C04b,ALWM12C04b,ALWM12C04b,10/03/2012,10/04/2012,2,232,206,2,4,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M12,C04c,ALWM12C04c,ALWM12C04c,10/08/2012,10/08/2012,1,232,98,1,4,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M12,C03b,ALWM12C03b,ALWM12C03b,10/12/2012,10/13/2012,2,200,200,2,2,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M12,C03c,ALWM12C03c,ALWM12C03c,10/15/2012,10/16/2012,2,160,148,2,16,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M12,C02,ALWM12C02,ALWM12C02,11/01/2012,11/01/2012,1,340,314,1,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M12,C01,ALWM12C01,ALWM12C01,11/12/2012,11/13/2012,2,1060,1033,2,27,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M12,W07,ALWM12W07,ALWM12W07,12/10/2012,12/10/2012,1,392,399,1,30,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M12,W06,ALWM12W06,ALWM12W06,01/09/2013,01/09/2013,1,364,352,1,12,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M12,W05,ALWM12W05,ALWM12W05,01/21/2013,01/21/2013,1,304,299,1,8,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M12,W04,ALWM12W04,ALWM12W04,01/29/2013,01/29/2013,1,256,249,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M12,W03b,ALWM12W03b,ALWM12W03b,02/05/2013,02/05/2013,1,168,162,1,8,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M12,W03a,ALWM12W03a,ALWM12W03a,02/13/2013,02/14/2013,2,152,132,2,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M12,W02,ALWM12W02,ALWM12W02,02/25/2013,02/25/2013,1,112,109,1,732,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M12,W01,ALWM12W01,ALWM12W01,02/27/2015,02/27/2015,1,72,65,1,-1059,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M13,F03,ALWM13F03,ALWM13F03,04/04/2012,04/10/2012,7,1041,923,5,23,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M13,F02,ALWM13F02,ALWM13F02,05/03/2012,05/04/2012,2,897,1100,2,69,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M13,F01b,ALWM13F01b,ALWM13F01b,07/12/2012,02/22/2013,226,372,374,4,-115,Construct,Code 02.,"Joining lift ""F01"" and ""F01 b"", under the name of ""F01 b"".",Code 02a.,A-P-S-3440-0002,,,,,,,,,,,,,,,,,,,,
A,LW,M13,F01a,ALWM13F01a,ALWM13F01a,10/30/2012,11/09/2012,11,140,110,2,-8,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M13,F01c,ALWM13F01c,ALWM13F01c,11/01/2012,01/25/2013,86,80,66,4,-58,Construct,Code 02.,"Joining lift ""F01 c"", ""F01 c-N"" and ""F01 c-S"", under the name of ""F01 c"".",Code 02a.,A-P-S-3440-0002,,,,,,,,,,,,,,,,,,,,
A,LW,M13,C04a,ALWM13C04a,ALWM13C04a,11/28/2012,11/28/2012,1,264,264,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M13,C04c,ALWM13C04c,ALWM13C04c,12/05/2012,02/02/2013,60,152,168,3,-54,Construct,Code 02.,"Joining lift ""C04 c-N"" and ""C04 c-S"", under the name of ""C04 c"".",Code 02a.,A-P-S-3441-0002,,,,,,,,,,,,,,,,,,,,
A,LW,M13,C03a,ALWM13C03a,ALWM13C03a,12/10/2012,12/10/2012,1,264,244,1,8,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M13,C03c,ALWM13C03c,ALWM13C03c,12/18/2012,02/16/2013,61,152,152,4,13,Construct,Code 02.,"Joining lift ""C03 c-N"", ""C03 c-N"" and ""C03 c-S"", under the name of ""C03 c"".",Code 02a.,A-P-S-3441-0002,,,,,,,,,,,,,,,,,,,,
A,LW,M13,C04b,ALWM13C04b,ALWM13C04b,03/01/2013,03/01/2013,1,304,325,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M13,C03b,ALWM13C03b,ALWM13C03b,03/08/2013,03/08/2013,1,304,325,1,32,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M13,C02,ALWM13C02,ALWM13C02,04/09/2013,04/10/2013,2,472,396,2,5,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M13,C01,ALWM13C01,ALWM13C01,04/15/2013,04/16/2013,2,1192,1290,2,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M13,W07,ALWM13W07,ALWM13W07,04/23/2013,04/23/2013,1,384,407,1,8,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M13,W06,ALWM13W06,ALWM13W06,05/01/2013,05/01/2013,1,352,358,1,15,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M13,W05,ALWM13W05,ALWM13W05,05/16/2013,05/16/2013,1,324,309,1,18,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M13,W04,ALWM13W04,ALWM13W04,06/03/2013,06/03/2013,1,243,260,1,5,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M13,W03b,ALWM13W03b,ALWM13W03b,06/08/2013,06/08/2013,1,160,162,1,5,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M13,W03a,ALWM13W03a,ALWM13W03a,06/13/2013,06/13/2013,1,96,129,1,28,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M13,W02,ALWM13W02,ALWM13W02,07/11/2013,07/11/2013,1,145,125,1,572,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M13,W01,ALWM13W01,ALWM13W01,02/03/2015,02/03/2015,1,38,45,1,-964,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M14,F02,ALWM14F02,ALWM14F02,06/14/2012,06/15/2012,2,945,981,2,10,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M14,F01,ALWM14F01,ALWM14F01,06/25/2012,08/16/2012,53,1056,1067,7,4,Construct,Code 02.,"Joining lift ""F01"", ""F01 a"", ""F01 c"" and ""F01 b"", under the name of ""F01"".",Code 02a.,A-P-S-3460-0002,,,,,,,,,,,,,,,,,,,,
A,LW,M14,C04b,ALWM14C04b,ALWM14C04b,08/20/2012,08/20/2012,1,198,198,1,4,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M14,C04a,ALWM14C04a,ALWM14C04a,08/24/2012,08/25/2012,2,187,187,2,3,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M14,C03b,ALWM14C03b,ALWM14C03b,08/28/2012,08/28/2012,1,215,215,1,1,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M14,C03a,ALWM14C03a,ALWM14C03a,08/29/2012,08/30/2012,2,152,152,2,4,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M14,C04c,ALWM14C04c,ALWM14C04c,09/03/2012,09/03/2012,1,218,90,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M14,C03c,ALWM14C03c,ALWM14C03c,09/10/2012,09/10/2012,1,144,141,1,14,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M14,C02,ALWM14C02,ALWM14C02,09/24/2012,09/25/2012,2,328,314,2,4,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M14,C01,ALWM14C01,ALWM14C01,09/29/2012,09/29/2012,1,1008,1033,1,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M14,W07,ALWM14W07,ALWM14W07,10/10/2012,10/11/2012,2,400,399,2,1,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M14,W06,ALWM14W06,ALWM14W06,10/12/2012,10/12/2012,1,352,350,1,34,Construct,Code 01.,"A new row was created under the name of ""W06"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,A-P-S-3462-0001,,,,,,,,,,,,,,,,,,,,
A,LW,M14,W05,ALWM14W05,ALWM14W05,11/15/2012,11/15/2012,1,302,300,1,19,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M14,W04,ALWM14W04,ALWM14W04,12/04/2012,12/04/2012,1,248,252,1,10,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M14,W03b,ALWM14W03b,ALWM14W03b,12/14/2012,12/14/2012,1,192,159,1,32,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M14,W03a,ALWM14W03a,ALWM14W03a,01/15/2013,01/15/2013,1,136,140,1,8,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M14,W02,ALWM14W02,ALWM14W02,01/23/2013,01/23/2013,1,124,116,1,715,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M14,W01,ALWM14W01,ALWM14W01,01/08/2015,01/08/2015,1,69,60,1,-993,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M15,F02,ALWM15F02,ALWM15F02,04/20/2012,02/04/2013,291,865,805,3,-278,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M15,F01,ALWM15F01,ALWM15F01,05/02/2012,09/21/2013,508,724,739,8,-480,Construct,Code 02.,"Joining lift ""F01"", ""F01 a"", ""F01 c"", ""F01 b-N"" and ""F01 b"", under the name of ""F01"".",Code 02a.,A-P-S-3480-0001,,,,,,,,,,,,,,,,,,,,
A,LW,M15,C04a,ALWM15C04a,ALWM15C04a,05/29/2012,05/29/2012,1,100,100,1,8,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M15,C03a,ALWM15C03a,ALWM15C03a,06/06/2012,06/06/2012,1,104,104,1,13,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M15,C04c,ALWM15C04c,ALWM15C04c,06/19/2012,06/21/2012,3,136,136,3,5,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M15,C03c,ALWM15C03c,ALWM15C03c,06/26/2012,06/27/2012,2,86,86,2,21,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M15,C04b,ALWM15C04b,ALWM15C04b,07/18/2012,07/19/2012,2,144,53,2,4,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M15,C03b,ALWM15C03b,ALWM15C03b,07/23/2012,07/23/2012,1,190,124,1,17,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M15,C02,ALWM15C02,ALWM15C02,08/09/2012,08/09/2012,1,237,228,1,5,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M15,C01,ALWM15C01,ALWM15C01,08/14/2012,08/15/2012,2,790,768,2,14,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M15,W07,ALWM15W07,ALWM15W07,08/29/2012,08/29/2012,1,341,319,1,8,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M15,W06,ALWM15W06,ALWM15W06,09/06/2012,09/06/2012,1,306,280,1,9,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M15,W05,ALWM15W05,ALWM15W05,09/15/2012,09/15/2012,1,288,241,1,6,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M15,W04,ALWM15W04,ALWM15W04,09/21/2012,09/22/2012,2,193,201,2,17,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M15,W03b,ALWM15W03b,ALWM15W03b,10/09/2012,10/09/2012,1,160,129,1,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M15,W03a,ALWM15W03a,ALWM15W03a,10/20/2012,10/20/2012,1,136,118,1,19,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M15,W02,ALWM15W02,ALWM15W02,11/08/2012,11/08/2012,1,116,102,1,782,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M15,W01,ALWM15W01,ALWM15W01,12/30/2014,12/30/2014,1,59,57,1,-1002,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M16,F02,ALWM16F02,ALWM16F02,04/02/2012,04/03/2012,2,704,611,2,8,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M16,F01,ALWM16F01,ALWM16F01,04/11/2012,01/31/2013,296,574,503,5,-270,Construct,Code 02.,"Joining lift ""F01"", ""F01 c"" and ""F01 b"", under the name of ""F01"".",Code 02a.,A-P-S-3500-0001,,,,,,,,,,,,,,,,,,,,
A,LW,M16,C04c,ALWM16C04c,ALWM16C04c,05/06/2012,05/06/2012,1,48,48,1,2,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M16,C04a,ALWM16C04a,ALWM16C04a,05/08/2012,05/08/2012,1,59,59,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M16,C03a,ALWM16C03a,ALWM16C03a,05/15/2012,05/15/2012,1,72,72,1,0,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M16,C03c,ALWM16C03c,ALWM16C03c,05/15/2012,05/15/2012,1,32,32,1,45,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M16,C04b,ALWM16C04b,ALWM16C04b,06/29/2012,06/29/2012,1,160,129,1,5,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M16,C03b,ALWM16C03b,ALWM16C03b,07/04/2012,07/04/2012,1,149,140,1,16,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M16,C02,ALWM16C02,ALWM16C02,07/20/2012,07/21/2012,2,172,175,2,9,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M16,C01,ALWM16C01,ALWM16C01,07/30/2012,07/31/2012,2,596,589,2,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M16,W07,ALWM16W07,ALWM16W07,08/07/2012,08/08/2012,2,235,251,2,5,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M16,W06,ALWM16W06,ALWM16W06,08/13/2012,08/13/2012,1,240,221,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M16,W05,ALWM16W05,ALWM16W05,08/20/2012,08/20/2012,1,230,190,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M16,W04,ALWM16W04,ALWM16W04,08/27/2012,08/28/2012,2,176,160,2,10,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M16,W03b,ALWM16W03b,ALWM16W03b,09/07/2012,09/07/2012,1,96,101,1,8,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M16,W03a,ALWM16W03a,ALWM16W03a,09/15/2012,09/15/2012,1,96,84,1,9,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M16,W02,ALWM16W02,ALWM16W02,09/24/2012,09/24/2012,1,80,65,1,854,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M16,W01,ALWM16W01,ALWM16W01,01/26/2015,01/26/2015,1,45,45,1,-803,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M17,F03,ALWM17F03,ALWM17F03,11/14/2012,11/15/2012,2,840,779,2,15,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M17,F02,ALWM17F02,ALWM17F02,11/30/2012,12/01/2012,2,1084,1057,2,10,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M17,F01,ALWM17F01,ALWM17F01,12/11/2012,01/29/2013,50,1070,1130,5,0,Construct,Code 02.,"Joining lift ""F01"", ""F01 c"", ""F01 a"" and ""F01 b"", under the name of ""F01"".",Code 02a.,A-P-S-3520-0001,,,,,,,,,,,,,,,,,,,,
A,LW,M17,C04c,ALWM17C04c,ALWM17C04c,01/29/2013,01/29/2013,1,112,110,1,6,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M17,C03c,ALWM17C03c,ALWM17C03c,02/04/2013,02/05/2013,2,104,111,2,10,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M17,C04a,ALWM17C04a,ALWM17C04a,02/15/2013,02/15/2013,1,160,142,1,6,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M17,C03a,ALWM17C03a,ALWM17C03a,02/21/2013,02/22/2013,2,136,185,2,41,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M17,C04b,ALWM17C04b,ALWM17C04b,04/04/2013,04/04/2013,1,260,266,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M17,C03b,ALWM17C03b,ALWM17C03b,04/11/2013,04/11/2013,1,288,273,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M17,C02,ALWM17C02,ALWM17C02,04/18/2013,04/22/2013,5,404,392,3,3,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M17,C01,ALWM17C01,ALWM17C01,04/25/2013,04/26/2013,2,1282,1322,2,15,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M17,W07,ALWM17W07,ALWM17W07,05/11/2013,05/11/2013,1,576,547,1,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
