id,date,global_area,area,structure,monolith,lift,side,name,icl_found,defects,ncr,cod,formwork_defects,rebar_defects
4735,8/1/2013 0:00,LMC,Middle East,ME,M07,W03,A,AMEM07W03,Yes,4,0,0,2,2
4736,8/1/2013 0:00,LMC,Middle West ,MW,M21,W04,A,AMWM21W04,Yes,6,0,0,2,4
4737,8/2/2013 0:00,LMC,Middle West ,MW,M06,W05,A,AMWM06W05,Yes,1,0,0,0,1
4738,8/3/2013 0:00,LMC,Middle East,ME,M19,W03,A,AMEM19W03,Yes,1,0,0,0,1
4739,8/5/2013 0:00,LMC,Middle West ,MW,M03,W02,A,AMWM03W02,Yes,3,0,0,1,2
4740,8/6/2013 0:00,LMC,Middle West ,MW,M18,W07,A,AMWM18W07,Yes,1,0,0,0,1
4741,8/7/2013 0:00,LMC,Middle East,ME,M02,W08,A,AMEM02W08,Yes,7,0,0,5,2
4742,8/7/2013 0:00,LMC,Middle West ,MW,M20,W07,A,AMWM20W07,Yes,5,0,0,3,1
4743,8/8/2013 0:00,LMC,Middle East,ME,M03,W04,A,AMEM03W04,Yes,1,0,0,0,1
4744,8/8/2013 0:00,LMC,Middle West ,MW,M07,W04,A,AMWM07W04,Yes,1,0,0,0,1
4745,8/9/2013 0:00,LMC,Middle West ,MW,M21,W03,A,AMWM21W03,Yes,2,0,0,0,2
4746,8/10/2013 0:00,LMC,Middle East,ME,M19,W02,A,AMEM19W02,Yes,2,0,0,0,2
4747,8/10/2013 0:00,LMC,Middle West ,MW,M19,W05,A,AMWM19W05,Yes,3,0,0,0,2
4748,8/12/2013 0:00,LMC,Middle West ,MW,M06,W04,A,AMWM06W04,Yes,0,0,0,0,0
4749,8/13/2013 0:00,LMC,Middle West ,MW,M18,W06,A,AMWM18W06,Yes,5,0,0,3,2
4750,8/14/2013 0:00,LMC,Middle West ,MW,M20,W06,A,AMWM20W06,Yes,0,0,0,0,0
4751,8/15/2013 0:00,LMC,Middle East,ME,M07,W02,A,AMEM07W02,Yes,1,0,0,0,1
4752,8/16/2013 0:00,LMC,Middle East,ME,M02,W07,A,AMEM02W07,Yes,1,0,0,0,1
4753,8/17/2013 0:00,LMC,Middle West ,MW,M21,W02,A,AMWM21W02,Yes,3,0,0,0,3
4754,8/18/2013 0:00,LMC WSB,Trifurcation ,TRF4,SL,11,A,ATRF4SL11,Yes,0,0,0,0,0
4755,8/19/2013 0:00,LMC,Middle West ,MW,M07,W03,A,AMWM07W03,Yes,1,0,0,0,1
