id,date,global_area,area,structure,monolith,lift,side,name,icl_found,defects,ncr,cod,formwork_defects,rebar_defects
55,10/11/2011 0:00,LUC,Upper East,UE,M09,C04a,P,PUEM09C04a,Yes,1,0,0,0,1
56,10/5/2011 0:00,LUC,Upper East,UE,M09,C04c,P,PUEM09C04c,Yes,3,0,0,1,1
57,10/28/2011 0:00,LUC,Upper East,UE,M09,C03a,P,PUEM09C03a,Yes,1,0,0,0,1
58,10/18/2011 0:00,LUC,Upper East,UE,M09,C03c,P,PUEM09C03c,Yes,0,0,0,0,0
59,9/23/2011 0:00,LUC,Upper East,UE,M10,F02,P,PUEM10F02,Yes,2,2,0,0,2
60,9/30/2011 0:00,LUC,Upper East,UE,M10,F01,P,PUEM10F01,Yes,0,4,0,0,0
61,10/17/2011 0:00,LUC,Upper East,UE,M10,C04a,P,PUEM10C04a,Yes,0,0,0,0,0
62,10/21/2011 0:00,LUC,Upper East,UE,M10,C04c,P,PUEM10C04c,Yes,0,0,0,0,0
63,11/10/2011 0:00,LUC,Upper East,UE,M10,C03a,P,PUEM10C03a,Yes,2,0,0,0,2
64,11/7/2011 0:00,LUC,Upper East,UE,M10,C03c,P,PUEM10C03c,Yes,1,0,0,0,1
65,10/24/2011 0:00,LUC,Upper East,UE,M11,F02,P,PUEM11F02,Yes,3,0,0,0,1
66,11/1/2011 0:00,LUC,Upper East,UE,M11,F01,P,PUEM11F01,Yes,2,1,0,0,0
67,11/30/2011 0:00,LUC,Upper East,UE,M11,C04a,P,PUEM11C04a,Yes,1,0,0,0,1
68,11/1/2011 0:00,LUC,Upper East,UE,M11,C04b,P,PUEM11C04b,Yes,1,1,0,0,1
69,11/26/2011 0:00,LUC,Upper East,UE,M11,C04c,P,PUEM11C04c,Yes,3,0,0,1,2
70,12/6/2011 0:00,LUC,Upper East,UE,M11,C03a,P,PUEM11C03a,Yes,2,0,0,0,2
71,12/2/2011 0:00,LUC,Upper East,UE,M11,C03b,P,PUEM11C03b,Yes,0,0,0,0,0
72,12/9/2011 0:00,LUC,Upper East,UE,M11,C03c,P,PUEM11C03c,Yes,2,1,0,0,2
73,12/10/2011 0:00,LUC,Upper East,UE,M12,F02,P,PUEM12F02,Yes,1,0,0,0,1
74,11/2/2011 0:00,LUC,Upper East,UE,M13,F03,P,PUEM13F03,Yes,0,0,0,0,0
75,11/25/2011 0:00,LUC,Upper East,UE,M13,F02,P,PUEM13F02,Yes,0,0,0,0,0
76,12/16/2011 0:00,LUC,Upper East,UE,M14,F02,P,PUEM14F02,Yes,0,0,0,0,0
77,12/22/2011 0:00,LUC,Upper East,UE,M14,F01,P,PUEM14F01,Yes,2,0,0,0,2
78,11/21/2011 0:00,LUC,Upper East,UE,M15,F02,P,PUEM15F02,Yes,2,0,0,0,2
79,11/30/2011 0:00,LUC,Upper East,UE,M15,F01,P,PUEM15F01,Yes,0,0,0,0,0
80,9/22/2011 0:00,LUC,Upper East,UE,M16,F02,P,PUEM16F02,Yes,0,0,0,0,0
81,10/11/2011 0:00,LUC,Upper East,UE,M16,F01,P,PUEM16F01,Yes,1,0,0,0,1
82,10/29/2011 0:00,LUC,Upper East,UE,M16,C04a,P,PUEM16C04a,Yes,1,0,0,0,1
83,11/11/2011 0:00,LUC,Upper East,UE,M16,C04b,P,PUEM16C04b,Yes,0,1,0,0,0
84,10/26/2011 0:00,LUC,Upper East,UE,M16,C04c,P,PUEM16C04c,Yes,3,1,0,0,1
85,11/12/2011 0:00,LUC,Upper East,UE,M16,C03a,P,PUEM16C03a,Yes,2,0,0,1,1
86,11/16/2011 0:00,LUC,Upper East,UE,M16,C03b,P,PUEM16C03b,Yes,0,0,0,0,0
87,11/11/2011 0:00,LUC,Upper East,UE,M16,C03c,P,PUEM16C03c,Yes,0,0,0,0,0
88,8/30/2011 0:00,LUC,Upper East,UE,M21,F03a,P,PUEM21F03a,Yes,3,1,0,1,2
89,9/12/2011 0:00,LUC,Upper East,UE,M21,F03b,P,PUEM21F03b,No,0,0,0,0,0
90,10/18/2011 0:00,LUC,Upper East,UE,M21,F02b,P,PUEM21F02b,Yes,0,1,0,0,0
91,10/19/2011 0:00,LUC,Upper East,UE,M21,F01b,P,PUEM21F01b,No,0,0,0,0,0
92,10/27/2011 0:00,LUC,Upper East,UE,M22,F05,P,PUEM22F05,Yes,0,0,0,0,0
93,8/18/2011 0:00,LUC,Upper East,UE,M23,F07,P,PUEM23F07,Yes,1,1,0,0,1
94,9/8/2011 0:00,LUC,Upper West,UW,M09,F02,P,PUWM09F02,Yes,3,1,0,1,2
95,10/1/2011 0:00,LUC,Upper West,UW,M09,F01,P,PUWM09F01,Yes,1,2,0,0,1
96,10/19/2011 0:00,LUC,Upper West,UW,M09,C04a,P,PUWM09C04a,Yes,0,0,0,0,0
97,12/12/2011 0:00,LUC,Upper West,UW,M09,C04b,P,PUWM09C04b,Yes,0,0,0,0,0
98,10/10/2011 0:00,LUC,Upper West,UW,M09,C04c,P,PUWM09C04c,Yes,0,0,0,0,0
99,11/8/2011 0:00,LUC,Upper West,UW,M09,C03a,P,PUWM09C03a,Yes,1,0,0,0,1
100,10/27/2011 0:00,LUC,Upper West,UW,M09,C03c,P,PUWM09C03c,Yes,1,0,0,0,1
101,9/29/2011 0:00,LUC,Upper West,UW,M10,F02,P,PUWM10F02,Yes,0,1,0,0,0
102,10/19/2011 0:00,LUC,Upper West,UW,M10,F01,P,PUWM10F01,Yes,1,2,0,0,1
103,10/25/2011 0:00,LUC,Upper West,UW,M10,C04a,P,PUWM10C04a,Yes,0,0,0,0,0
104,11/14/2011 0:00,LUC,Upper West,UW,M10,C03a,P,PUWM10C03a,Yes,0,0,0,0,0
105,11/30/2011 0:00,LUC,Upper West,UW,M10,C03c,P,PUWM10C03c,Yes,0,0,0,0,0
106,9/9/2011 0:00,LUC,Upper West,UW,M11,F02,P,PUWM11F02,Yes,1,1,0,0,1
107,10/7/2011 0:00,LUC,Upper West,UW,M11,F01,P,PUWM11F01,Yes,2,3,0,0,2
108,11/7/2011 0:00,LUC,Upper West,UW,M11,C04a,P,PUWM11C04a,Yes,3,0,0,1,2
109,11/22/2011 0:00,LUC,Upper West,UW,M11,C04b,P,PUWM11C04b,Yes,2,0,0,0,2
110,10/20/2011 0:00,LUC,Upper West,UW,M11,C04c,P,PUWM11C04c,Yes,0,0,0,0,0
111,11/22/2011 0:00,LUC,Upper West,UW,M11,C03a,P,PUWM11C03a,Yes,0,0,0,0,0
112,12/1/2011 0:00,LUC,Upper West,UW,M11,C03b,P,PUWM11C03b,Yes,0,0,0,0,0
113,10/21/2011 0:00,LUC,Upper West,UW,M11,C03c,P,PUWM11C03c,Yes,0,0,0,0,0
114,11/25/2011 0:00,LUC,Upper West,UW,M12,F02,P,PUWM12F02,Yes,0,0,0,0,0
115,10/23/2011 0:00,LUC,Upper West,UW,M13,F03,P,PUWM13F03,Yes,1,1,0,0,1
116,11/14/2011 0:00,LUC,Upper West,UW,M13,F02,P,PUWM13F02,Yes,1,1,0,0,1
117,12/2/2011 0:00,LUC,Upper West,UW,M14,F02,P,PUWM14F02,Yes,6,0,0,1,4
118,11/10/2011 0:00,LUC,Upper West,UW,M15,F02,P,PUWM15F02,Yes,1,0,0,0,1
119,11/19/2011 0:00,LUC,Upper West,UW,M15,F01,P,PUWM15F01,Yes,1,0,0,0,1
120,12/14/2011 0:00,LUC,Upper West,UW,M15,C04a,P,PUWM15C04a,Yes,3,1,0,0,3
121,10/15/2011 0:00,LUC,Upper West,UW,M16,F02,P,PUWM16F02,Yes,0,0,0,0,0
122,10/26/2011 0:00,LUC,Upper West,UW,M16,F01,P,PUWM16F01,Yes,3,0,0,0,3
123,11/8/2011 0:00,LUC,Upper West,UW,M17,F02,P,PUWM17F02,Yes,0,0,0,0,0
124,11/15/2011 0:00,LUC,Upper West,UW,M17,F01,P,PUWM17F01,Yes,1,0,0,0,1
125,9/7/2011 0:00,LUC,Upper West,UW,M21,F02,P,PUWM21F02,No,0,1,0,0,0
126,10/5/2011 0:00,LUC,Upper West,UW,M21,F01,P,PUWM21F01,Yes,2,2,0,0,2
127,11/21/2011 0:00,LUC,Upper West,UW,M21,C04a,P,PUWM21C04a,Yes,4,0,0,1,3
128,11/26/2011 0:00,LUC,Upper West,UW,M21,C04c,P,PUWM21C04c,Yes,0,1,0,0,0
129,12/1/2011 0:00,LUC,Upper West,UW,M21,C03a,P,PUWM21C03a,Yes,1,0,0,0,1
130,12/7/2011 0:00,LUC,Upper West,UW,M21,C03c,P,PUWM21C03c,Yes,2,0,0,0,2
131,10/22/2011 0:00,LUC,Upper West,UW,M22,F02,P,PUWM22F02,Yes,0,0,0,0,0
132,11/16/2011 0:00,LUC,Upper West,UW,M22,F01,P,PUWM22F01,Yes,3,0,0,0,3
133,12/3/2011 0:00,LUC,Upper West,UW,M22,C04c,P,PUWM22C04c,Yes,4,0,0,1,2
134,12/30/2011 0:00,LUC,Upper West,UW,M22,C03c,P,PUWM22C03c,Yes,3,0,0,1,1
135,9/28/2011 0:00,LUC,Upper West,UW,M23,F02,P,PUWM23F02,Yes,1,1,0,0,0
136,12/23/2011 0:00,LH1,Lock Head 1,H1E,1A,F03,P,PH1E1AF03,Yes,0,2,0,0,0
137,12/29/2011 0:00,LH1,Lock Head 1,H1E,1C,F03,P,PH1E1CF03,Yes,6,3,0,3,3
138,10/27/2011 0:00,LH2,Lock Head 2,H2W,6A,F03,P,PH2W6AF03,Yes,2,0,0,0,2
139,10/27/2011 0:00,LH2,Lock Head 2,H2W,6A,F02,P,PH2W6AF02,Yes,3,1,0,1,2
140,11/25/2011 0:00,LH2,Lock Head 2,H2W,6A,F01,P,PH2W6AF01,Yes,6,1,0,1,5
141,12/3/2011 0:00,LH2,Lock Head 2,H2W,6A,W13a,P,PH2W6AW13a,Yes,9,0,0,3,4
142,12/6/2011 0:00,LH2,Lock Head 2,H2W,6A,W13b,P,PH2W6AW13b,Yes,9,1,0,3,5
143,12/10/2011 0:00,LH2,Lock Head 2,H2W,6A,W13c,P,PH2W6AW13c,Yes,8,0,0,5,2
144,12/13/2011 0:00,LH2,Lock Head 2,H2W,6A,W12a,P,PH2W6AW12a,Yes,5,0,0,3,2
145,12/15/2011 0:00,LH2,Lock Head 2,H2W,6A,W12b,P,PH2W6AW12b,Yes,7,0,0,5,0
146,12/21/2011 0:00,LH2,Lock Head 2,H2W,6A,W12c,P,PH2W6AW12c,Yes,4,0,0,3,0
147,10/22/2011 0:00,LH2,Lock Head 2,H2W,6C,F03,P,PH2W6CF03,Yes,9,3,0,7,2
148,10/27/2011 0:00,LH2,Lock Head 2,H2W,6D,F06,P,PH2W6DF06,Yes,3,0,0,2,1
149,11/9/2011 0:00,LH2,Lock Head 2,H2W,6D,F05,P,PH2W6DF05,Yes,3,0,0,1,2
150,11/22/2011 0:00,LH2,Lock Head 2,H2W,6D,F04,P,PH2W6DF04,Yes,1,0,0,0,1
151,10/27/2011 0:00,LH2,Lock Head 2,H2W,6E,F06,P,PH2W6EF06,Yes,2,1,0,2,0
152,11/9/2011 0:00,LH2,Lock Head 2,H2W,6E,F05,P,PH2W6EF05,Yes,5,1,0,1,3
153,11/22/2011 0:00,LH2,Lock Head 2,H2W,6E,F04,P,PH2W6EF04,Yes,1,0,0,0,1
154,12/5/2011 0:00,LH2,Lock Head 2,H2W,6E,F03,P,PH2W6EF03,Yes,8,1,0,3,4
155,12/19/2011 0:00,LH2,Lock Head 2,H2W,6E,F02,P,PH2W6EF02,Yes,10,0,0,5,4
156,11/7/2011 0:00,LH2,Lock Head 2,H2C,4C,F06,P,PH2C4CF06,Yes,5,0,0,1,4
157,11/12/2011 0:00,LH2,Lock Head 2,H2C,4C,F05,P,PH2C4CF05,Yes,10,0,0,8,1
158,11/16/2011 0:00,LH2,Lock Head 2,H2C,4C,F04,P,PH2C4CF04,Yes,0,0,0,0,0
159,12/14/2011 0:00,LH2,Lock Head 2,H2C,4C,F03,P,PH2C4CF03,Yes,6,0,0,2,3
160,9/15/2011 0:00,LH2,Lock Head 2,H2E,3A,F07,P,PH2E3AF07,Yes,10,0,0,6,4
161,10/1/2011 0:00,LH2,Lock Head 2,H2E,3A,F06,P,PH2E3AF06,Yes,2,0,0,0,2
162,10/13/2011 0:00,LH2,Lock Head 2,H2E,3A,F05a,P,PH2E3AF05a,Yes,8,2,0,3,5
163,10/11/2011 0:00,LH2,Lock Head 2,H2E,3A,F05b,P,PH2E3AF05b,Yes,0,0,0,0,0
164,10/19/2011 0:00,LH2,Lock Head 2,H2E,3A,F05c,P,PH2E3AF05c,Yes,2,0,0,0,2
165,10/23/2011 0:00,LH2,Lock Head 2,H2E,3A,F04a,P,PH2E3AF04a,Yes,2,1,0,2,0
166,10/23/2011 0:00,LH2,Lock Head 2,H2E,3A,F04b,P,PH2E3AF04b,Yes,2,0,0,0,1
167,11/1/2011 0:00,LH2,Lock Head 2,H2E,3A,F04c,P,PH2E3AF04c,Yes,1,2,0,0,1
168,11/15/2011 0:00,LH2,Lock Head 2,H2E,3B,F07,P,PH2E3BF07,Yes,2,1,0,0,1
169,9/17/2011 0:00,LH2,Lock Head 2,H2E,3C,F07,P,PH2E3CF07,Yes,1,0,0,1,0
170,10/16/2011 0:00,LH2,Lock Head 2,H2E,3C,F06,P,PH2E3CF06,Yes,9,2,0,2,6
171,10/20/2011 0:00,LH2,Lock Head 2,H2E,3C,F05a,P,PH2E3CF05a,Yes,5,1,0,0,5
172,10/16/2011 0:00,LH2,Lock Head 2,H2E,3C,F05b,P,PH2E3CF05b,Yes,3,0,0,0,3
173,10/26/2011 0:00,LH2,Lock Head 2,H2E,3C,F05c,P,PH2E3CF05c,Yes,3,0,0,0,2
174,11/12/2011 0:00,LH2,Lock Head 2,H2E,3C,F04a,P,PH2E3CF04a,Yes,6,0,0,1,4
175,10/31/2011 0:00,LH2,Lock Head 2,H2E,3C,F04b,P,PH2E3CF04b,Yes,6,2,0,2,3
176,11/23/2011 0:00,LH2,Lock Head 2,H2E,3C,F04c,P,PH2E3CF04c,Yes,11,1,0,7,3
177,11/10/2011 0:00,LH2,Lock Head 2,H2E,2A,F03,P,PH2E2AF03,Yes,1,0,0,1,0
178,11/18/2011 0:00,LH2,Lock Head 2,H2E,2B,F03,P,PH2E2BF03,Yes,2,1,0,0,2
179,11/19/2011 0:00,LH2,Lock Head 2,H2E,2C,F03,P,PH2E2CF03,Yes,3,1,0,0,2
180,12/22/2011 0:00,LH2,Lock Head 2,H2E,2C,F02,P,PH2E2CF02,Yes,11,4,0,7,3
181,9/29/2011 0:00,LMC,Middle East,ME,M02,F03,P,PMEM02F03,Yes,5,1,0,1,4
182,12/16/2011 0:00,LMC,Middle East,ME,M02,F02,P,PMEM02F02,Yes,11,0,0,7,3
183,10/7/2011 0:00,LMC,Middle East,ME,M03,F03,P,PMEM03F03,Yes,0,0,0,0,0
184,10/15/2011 0:00,LMC,Middle East,ME,M04,F03,P,PMEM04F03,Yes,0,0,0,0,0
185,10/30/2011 0:00,LMC,Middle East,ME,M04,F02,P,PMEM04F02,Yes,0,0,0,0,0
186,10/21/2011 0:00,LMC,Middle East,ME,M09,F03,P,PMEM09F03,Yes,0,0,0,0,0
187,12/3/2011 0:00,LMC,Middle East,ME,M09,F02,P,PMEM09F02,Yes,2,0,0,0,1
188,12/20/2011 0:00,LMC,Middle East,ME,M09,F01,P,PMEM09F01,Yes,2,2,0,0,2
189,10/14/2011 0:00,LMC,Middle East,ME,M10,F03,P,PMEM10F03,Yes,0,0,0,0,0
190,12/28/2011 0:00,LMC,Middle East,ME,M10,F02,P,PMEM10F02,Yes,4,0,0,0,3
191,10/22/2011 0:00,LMC,Middle East,ME,M11,F03,P,PMEM11F03,Yes,0,0,0,0,0
192,11/15/2011 0:00,LMC,Middle East,ME,M11,F02,P,PMEM11F02,Yes,2,0,0,0,2
193,11/24/2011 0:00,LMC,Middle East,ME,M11,F01,P,PMEM11F01,Yes,12,0,0,3,7
194,11/11/2011 0:00,LMC,Middle East,ME,M15,F03,P,PMEM15F03,Yes,3,0,0,0,3
195,12/29/2011 0:00,LMC,Middle East,ME,M15,F02,P,PMEM15F02,Yes,9,0,0,4,4
196,12/20/2011 0:00,LMC,Middle East,ME,M16,F03,P,PMEM16F03,Yes,6,0,0,2,2
197,11/26/2011 0:00,LMC,Middle West,MW,M01,F03,P,PMWM01F03,Yes,0,0,0,0,0
198,10/20/2011 0:00,LMC,Middle West,MW,M02,F03,P,PMWM02F03,Yes,0,0,0,0,0
199,12/15/2011 0:00,LMC,Middle West,MW,M02,F02,P,PMWM02F02,Yes,3,1,0,0,2
200,10/1/2011 0:00,LMC,Middle West,MW,M03,F03,P,PMWM03F03,Yes,2,1,0,2,0
201,10/28/2011 0:00,LMC,Middle West,MW,M04,F03,P,PMWM04F03,Yes,1,0,0,0,1
202,12/7/2011 0:00,LMC,Middle West,MW,M04,F02,P,PMWM04F02,Yes,2,0,0,0,2
203,12/21/2011 0:00,LMC,Middle West,MW,M04,F01,P,PMWM04F01,Yes,2,1,0,0,2
204,10/12/2011 0:00,LMC,Middle West,MW,M09,F03,P,PMWM09F03,Yes,0,0,0,0,0
205,11/26/2011 0:00,LMC,Middle West,MW,M09,F02,P,PMWM09F02,Yes,10,0,0,1,9
206,12/6/2011 0:00,LMC,Middle West,MW,M09,F01,P,PMWM09F01,Yes,1,2,0,0,1
207,10/24/2011 0:00,LMC,Middle West,MW,M10,F03,P,PMWM10F03,Yes,0,0,0,0,0
208,12/20/2011 0:00,LMC,Middle West,MW,M10,F02,P,PMWM10F02,Yes,0,0,0,0,0
209,10/18/2011 0:00,LMC,Middle West,MW,M11,F03,P,PMWM11F03,Yes,0,0,0,0,0
210,11/30/2011 0:00,LMC,Middle West,MW,M11,F02,P,PMWM11F02,Yes,4,0,0,1,2
211,12/7/2011 0:00,LMC,Middle West,MW,M11,F01,P,PMWM11F01,Yes,1,0,0,0,1
212,11/8/2011 0:00,LMC,Middle West,MW,M15,F03,P,PMWM15F03,Yes,1,0,0,0,1
213,12/14/2011 0:00,LMC,Middle West,MW,M15,F02,P,PMWM15F02,Yes,4,0,0,1,3
214,11/22/2011 0:00,LMC,Middle West,MW,M16,F03,P,PMWM16F03,Yes,1,0,0,0,1
215,11/25/2011 0:00,LMC,Middle West,MW,M17,F03,P,PMWM17F03,Yes,1,0,0,0,1
216,12/22/2011 0:00,LMC,Middle West,MW,M17,F02,P,PMWM17F02,Yes,5,1,0,1,3
217,12/13/2011 0:00,LMC,Middle West,MW,M21,F03,P,PMWM21F03,Yes,4,0,0,4,0
218,3/16/2012 0:00,LH1,Lock Head 1,H1W,6A,F03,P,PH1W6AF03,Yes,1,0,0,0,1
219,3/27/2012 0:00,LH1,Lock Head 1,H1W,6A,F02,P,PH1W6AF02,Yes,2,0,0,2,0
220,5/10/2012 0:00,LH1,Lock Head 1,H1W,6A,F01,P,PH1W6AF01,Yes,3,0,0,0,3
221,6/23/2012 0:00,LH1,Lock Head 1,H1W,6A,W10a,P,PH1W6AW10a,Yes,4,0,0,2,1
222,6/28/2012 0:00,LH1,Lock Head 1,H1W,6A,W10b,P,PH1W6AW10b,Yes,1,0,0,0,1
223,7/3/2012 0:00,LH1,Lock Head 1,H1W,6A,W10c,P,PH1W6AW10c,Yes,0,0,0,0,0
