site,report,lift,qty_equipment,volume,concrete_start,concrete_finish,duration,calc_duration,calc_rate,rate,type
P,Blank,PMEM11W03a,1,96.5,2/26/2014 8:31,2/26/2014 12:20,3.816666667,3.82,25.28384279,25.28,Redfern Request 325
P,Blank,PMEM11W03b,1,96.5,2/26/2014 8:31,2/26/2014 12:20,3.816666667,3.82,25.28384279,25.28,Redfern Request 325
P,Blank,PMEM12W03a,1,192,11/2/2013 16:00,11/2/2013 19:50,3.833333333,3.83,50.08695652,50,Redfern Request 325
P,Blank,PMEM12W03b,1,192,11/2/2013 16:00,11/2/2013 19:50,3.833333333,3.83,50.08695652,50,Redfern Request 325
P,4749,PMEM12W07,1,336,8/31/2013 18:00,9/1/2013 2:47,8.783333333,8.78,38.25426945,38,Redfern Request 325
P,4136,PMEM12W08,1,418,7/10/2013 4:25,7/10/2013 15:02,10.61666667,10.62,39.37205651,39,Redfern Request 325
P,4037,PMEM12W09,1,496,7/2/2013 4:57,7/2/2013 21:36,16.65,16.65,29.78978979,30,Redfern Request 325
P,5830,PMEM13W04,1,184,8/27/2013 3:34,8/27/2013 12:45,9.183333333,9.18,20.03629764,20,Redfern Request 325
P,4254,PMEM13W05,1,290,7/20/2013 17:15,7/20/2013 23:02,5.783333333,5.78,50.14409222,50,Redfern Request 325
P,4064,PMEM13W06,1,297,7/4/2013 2:00,7/4/2013 9:28,7.466666667,7.47,39.77678571,40,Redfern Request 325
P,5659,PMEM14W02,1,168,11/13/2013 0:40,11/13/2013 10:35,9.916666667,9.92,16.94117647,5,Redfern Request 325
P,Blank,PMEM14W03b,1,221,10/28/2013 0:01,10/28/2013 18:40,18.65,18.65,11.84986595,n.a,Redfern Request 325
P,5278,PMEM14W04,1,260,10/10/2013 20:29,10/11/2013 14:25,17.93333333,17.93,14.49814126,6,Redfern Request 325
P,4494,PMEM14W08,1,264,8/9/2014 22:04,8/10/2014 6:12,8.133333333,8.13,32.45901639,32,Redfern Request 325
P,4377,PMEM14W09,2,502,7/31/2013 23:40,8/1/2013 13:56,14.26666667,14.27,35.18691589,35,Redfern Request 325
