original_lift,lift,rebar_units
ME-M03-C04-20,PMEM03C04,39177
ME-M19-C04-20,PMEM19C04,84232
ME-M07-C04-20,PMEM07C04,68464
ME-M22-C07-20,PMEM22C07,498
ME-M22-C08-20,PMEM22C08,3415
ME-M22-F01-20,PMEM22F01,45905
ME-M01-F02-20,PMEM01F02,17500
ME-M01-C07-20,PMEM01C07,9283
ME-M01-C05-20,PMEM01C05,1100
ME-M20-C03-20,PMEM20C03,32274
ME-M05-C04-20,PMEM05C04,50566
ME-M02-C04-20,PMEM02C04,22841
ME-M14-F01-20,PMEM14F01,34419
ME-M14-C03-20,PMEM14C03,29791
ME-M13-C04-20,PMEM13C04,18624
ME-M12-F01-20,PMEM12F01,34419
ME-M12-C03-20,PMEM12C03,29791
ME-M11-C03-20,PMEM11C03,14968
ME-M08-C03-20,PMEM08C03,27391
ME-M10-C03-20,PMEM10C03,34660
ME-M09-C04-20,PMEM09C04,39177
ME-M18-C04-20,PMEM18C04,25950
ME-M17-C04-20,PMEM17C04,51250
ME-M06-C04-20,PMEM06C04,26841
ME-M23-F04-20,PMEM23F04,0
ME-M23-F03-20,PMEM23F03,60078
ME-M23-F01-20,PMEM23F01,20696
ME-M23-C03-20,PMEM23C03,30998
ME-M21-F02-20,PMEM21F02,37090
ME-CC4-A04-20,PCC4A04,29576
ME-CC3-A04-20,PCC3A04,29771
ME-M16-C04-20,PMEM16C04,24864
ME-M15-C04-20,PMEM15C04,35352
ME-M04-C04-20,PMEM04C04,24864
IE-M07-C09-20,PIEM07C09,10980
IE-M07-C07-20,PIEM07C07,9422
IE-M06-C08-20,PIEM06C08,8665
IE-M06-C06-20,PIEM06C06,7199
IE-M05-C05-20,PIEM05C05,22585
IE-M05-W05a-20,PIEM05W05a,7781
IE-M05-W05d-20,PIEM05W05d,6938
IE-M05-W05b-20,PIEM05W05b,10174
IE-M05-W05c-20,PIEM05W05c,10510
IE-M02-P2-01-20,PIEM02P201,18491
IE-M04-C05-20,PIEM04C05,33214
IE-M03-P3-01-20,PIEM03P301,20685
IW-M06-C04-20,PIWM06C04,21911
IW-M05-C04-20,PIWM05C04,21897
IW-M04-C05-20,PIWM04C05,43852
IW-M03-P3-01-20,PIWM03P301,3842
IW-M02-P2-01-20,PIWM02P201,3018
IW-M07-C04-20,PIWM07C04,13085
H2W-6B-W12-20,PH2W6BW12,5873
H2W-6B-W08-20,PH2W6BW08,4958
H2W-6C-W09-20,PH2W6CW09,45727
H2W-6C-W08-20,PH2W6CW08,26432
H2W-6E-W09-20,PH2W6EW09,6815
H2W-6E-W12-20,PH2W6EW12,4650
H2W-6D-W09-20,PH2W6DW09,10574
H2W-6D-W13-20,PH2W6DW13,14232
H2W-6A-W09-20,PH2W6AW09,6760
H2W-6A-W08-20,PH2W6AW08,3693
H2E-3B-F05-20,PH2E3BF05,64794
H2E-3C-W12-20,PH2E3CW12,33338
H2E-3C-F04-20,PH2E3CF04,19255
H2E-3A-F05-20,PH2E3AF05,60890
H4E-3B-F05-20,PH4E3BF05,40283
H4E-3A-F05-20,PH4E3AF05,38638
H4E-3C-F05-20,PH4E3CF05,46305
H4W-6B-W13-20,PH4W6BW13,15127
H4W-6B-W09-20,PH4W6BW09,5404
H4W-6B-W02-20,PH4W6BW02,5401
H4W-6A-W12-20,PH4W6AW12,6495
H4W-6A-W09-20,PH4W6AW09,8726
H4W-6C-W13-20,PH4W6CW13,27902
H4W-6C-W08-20,PH4W6CW08,37396
H4W-6C-W02-20,PH4W6CW02,40487
H4W-6E-W12-20,PH4W6EW12,8881
H4W-6E-W08-20,PH4W6EW08,12747
H4W-6D-W13-20,PH4W6DW13,19800
H4W-6D-W09-20,PH4W6DW09,9027
H4W-6D-W02-20,PH4W6DW02,18028
H1E-3B-F04-20,PH1E3BF04,39526
H1E-3A-W07-20,PH1E3AW07,25041
H1E-3A-F05-20,PH1E3AF05,29666
H1E-3C-F05-20,PH1E3CF05,34951
H1W-6C-W05-20,PH1W6CW05,16504
H1W-6C-W10-20,PH1W6CW10,22912
H1W-6B-W10-20,PH1W6BW10,16108
H1W-6B-W09-20,PH1W6BW09,5027
H1W-6E-W06-20,PH1W6EW06,6167
H1W-6E-W09-20,PH1W6EW09,3639
H1W-6E-F04-20,PH1W6EF04,1684
H1W-6A-W10-20,PH1W6AW10,21644
H1W-6A-W05-20,PH1W6AW05,6546
H1W-6D-W05-20,PH1W6DW05,3070
H1W-6D-W09-20,PH1W6DW09,5439
LC-CC5-C03-20,PCC5C03,10208
LC-CC5-D03-20,PCC5D03,7605
LC-CC5-E03-20,PCC5E03,2590
LC-CC5-B03-20,PCC5B03,12171
LC-CC5-I04-20,PCC5I04,7765
LC-CC6-E03-20,PCC6E03,2538
LC-CC6-D04-20,PCC6D04,24991
LC-CC6-I03-20,PCC6I03,2597
LC-CC6-B03-20,PCC6B03,6683
LC-CC6-C03-20,PCC6C03,5831
CU3-C-04D-20,PCU3C04D,7172
LW-M13-C04-20,PLWM13C04,34500
LW-M13-F01-20,PLWM13F01,12906
LW-M12-F02-20,PLWM12F02,28573
LW-M12-C04-20,PLWM12C04,18864
LW-M09-C04-20,PLWM09C04,22017
LW-M05-C03-20,PLWM05C03,18841
LW-M11-C04-20,PLWM11C04,9114
LW-M08-C04-20,PLWM08C04,35762
LW-M15-C03-20,PLWM15C03,14911
LW-M14-C03-20,PLWM14C03,23762
LW-M14-F01-20,PLWM14F01,5536
LW-M16-C04-20,PLWM16C04,22015
LW-M04-C04-20,PLWM04C04,22017
LW-M23-C03-20,PLWM23C03,17622
LW-M06-C04-20,PLWM06C04,16331
LW-M02-F03-20,PLWM02F03,12093
LW-M02-C06-20,PLWM02C06,12097
LW-M02-C04-20,PLWM02C04,6607
LW-M17-C03-20,PLWM17C03,18055
LW-M03-C03-20,PLWM03C03,18823
LW-M21-C03-20,PLWM21C03,18823
LW-M10-C03-20,PLWM10C03,17969
LW-M22-C03-20,PLWM22C03,18055
LW-M01-C04-20,PLWM01C04,1522
LW-M01-C03-20,PLWM01C03,1347
LW-M20-C03-20,PLWM20C03,19614
LW-M07-C03-20,PLWM07C03,43166
LW-M18-C04-20,PLWM18C04,16719
LW-M19-C04-20,PLWM19C04,49390
LE-M01-F02-20,PLEM01F02,33592
LE-M01-C04-20,PLEM01C04,8185
LE-M01-C06-20,PLEM01C06,2661
LE-M05-C03-20,PLEM05C03,42591
LE-M06-C03-20,PLEM06C03,10625
LE-M08-C04-20,PLEM08C04,41713
LE-M07-C03-20,PLEM07C03,43166
LE-M17-C03-20,PLEM17C03,43352
LE-M11-C03-20,PLEM11C03,8183
LE-M12-F02-20,PLEM12F02,28680
LE-M12-C03-20,PLEM12C03,23762
LE-M14-F01-20,PLEM14F01,9002
LE-M14-C03-20,PLEM14C03,23762
LE-M19-C03-20,PLEM19C03,48605
LE-M10-C04-20,PLEM10C04,22017
LE-M15-C03-20,PLEM15C03,14911
LE-M21-F01-20,PLEM21F01,29365
LE-M21-C03-20,PLEM21C03,23723
LE-M21-C05-20,PLEM21C05,5600
LE-M16-C04-20,PLEM16C04,13657
LE-CC6-A04-20,PCC6A04,12196
LE-CC5-A03-20,PCC5A03,10170
LE-M04-C03-20,PLEM04C03,13112
LE-M02-C03-20,PLEM02C03,11577
LE-M03-C04-20,PLEM03C04,28777
LE-M13-C04-20,PLEM13C04,34733
LE-M20-C03-20,PLEM20C03,23098
LE-M22-F01-20,PLEM22F01,21785
LE-M22-F03-20,PLEM22F03,8039
LE-M22-C04-20,PLEM22C04,16435
LE-M22-C06-20,PLEM22C06,797
LE-M18-C04-20,PLEM18C04,17233
LE-M09-C04-20,PLEM09C04,22017
LE-M23-C03-20,PLEM23C03,13847
LE-M23-F04-20,PLEM23F04,6699
LE-M23-F02-20,PLEM23F02,45514
LE-M23-F03-20,PLEM23F03,1314
OW-M07-W04-20,POWM07W04,13457
OW-M07-W02-20,POWM07W02,9121
OW-M07-W06-20,POWM07W06,14957
OW-M05-W04-20,POWM05W04,4532
OW-M05-W07-20,POWM05W07,19382
OW-M05-W02-20,POWM05W02,9745
OW-M04-C04-20,POWM04C04,42607
OW-M03-C04-20,POWM03C04,15587
OW-M01-C04-20,POWM01C04,18753
OW-M06-W04-20,POWM06W04,6859
OW-M06-W02-20,POWM06W02,5748
OW-M06-W07-20,POWM06W07,12739
OW-M02-C04-20,POWM02C04,19885
OE-M07-W05-20,POEM07W05,12781
OE-M07-W02-20,POEM07W02,7562
OE-M07-W04-20,POEM07W04,8833
OE-M06-W06-20,POEM06W06,7706
OE-M06-W04-20,POEM06W04,7135
OE-M06-W02-20,POEM06W02,5256
OE-M04-C04-20,POEM04C04,35486
OE-M01-C05-20,POEM01C05,11635
OE-M01-C07-20,POEM01C07,13454
OE-M03-C07-20,POEM03C07,15786
OE-M03-C05-20,POEM03C05,5033
OE-M02-C06-20,POEM02C06,13058
OE-M02-C07-20,POEM02C07,18628
OE-M05-W06-20,POEM05W06,6721
OE-M05-W02-20,POEM05W02,4939
OE-M05-W05-20,POEM05W05,14754
