original_lift,lift,rebar_units,actual_start
TRF4-SW-03-20,PTRF4SW03,5837,05/14/2014
TRF4-SW-02-20,PTRF4SW02,8203,06/03/2014
TRF4-SW-01-20,PTRF4SW01,1505,06/11/2014
TRF4-SW-05-20,PTRF4SW05,6369,03/14/2014
TRF4-SW-11-20,PTRF4SW11,6978,07/09/2013
TRF4-SW-09-20,PTRF4SW09,5866,09/02/2013
TRF4-SW-08-20,PTRF4SW08,5872,09/28/2013
TRF4-SW-10-20,PTRF4SW10,8463,07/29/2013
TRF4-P1-01-20,PTRF4P101,3411,06/11/2014
TRF4-P1-02-20,PTRF4P102,19983,06/11/2014
TRF4-P1-04-20,PTRF4P104,6478,04/22/2014
TRF4-P1-03-20,PTRF4P103,4994,05/27/2014
TRF4-P2-01-20,PTRF4P201,1722,05/31/2014
TRF4-P2-02-20,PTRF4P202,6861,05/31/2014
TRF4-P2-03-20,PTRF4P203,2519,04/01/2014
TRF4-P3-01-20,PTRF4P301,1613,06/10/2014
TRF4-P3-03-20,PTRF4P303,4153,05/15/2014
TRF4-P3-04-20,PTRF4P304,4337,03/28/2014
TRF4-P3-06-20,PTRF4P306,7643,12/18/2013
TRF4-P3-09-20,PTRF4P309,3472,09/04/2013
TRF4-P3-02-20,PTRF4P302,7107,06/10/2014
TRF4-P3-07-20,PTRF4P307,6506,10/31/2013
TRF4-P3-08-20,PTRF4P308,5854,10/02/2013
TRF4-P3-05-20,PTRF4P305,6272,03/12/2014
TRF4-P5-04-20,PTRF4P504,6478,03/12/2014
TRF4-P5-01-20,PTRF4P501,3411,05/27/2014
TRF4-P5-03-20,PTRF4P503,4994,03/20/2014
TRF4-P5-02-20,PTRF4P502,19983,05/27/2014
TRF4-P4-03-20,PTRF4P403,2519,03/12/2014
TRF4-P4-02-20,PTRF4P402,6861,04/12/2014
TRF4-P4-01-20,PTRF4P401,1722,04/12/2014
TRF4-NW-11-20,PTRF4NW11,6978,07/05/2013
TRF4-NW-10-20,PTRF4NW10,8463,07/29/2013
TRF4-NW-09-20,PTRF4NW09,5866,09/02/2013
TRF4-NW-07-20,PTRF4NW07,6148,10/15/2013
TRF4-NW-06-20,PTRF4NW06,6223,03/12/2014
TRF4-NW-05-20,PTRF4NW05,6369,04/01/2014
TRF4-NW-01-20,PTRF4NW01,1505,06/11/2014
TRF4-NW-08-20,PTRF4NW08,5872,09/28/2013
TRF4-NW-03-20,PTRF4NW03,5837,05/27/2014
TRF4-NW-02-20,PTRF4NW02,8203,06/03/2014
TRF4-NW-04-20,PTRF4NW04,6226,05/09/2014
TRF4-SL-07b-20,PTRF4SL07b,0,07/16/2013
TRF4-SL-12-20,PTRF4SL12,70009,04/17/2013
TRF4-SL-11-20,PTRF4SL11,37064,04/17/2013
TRF4-SL-02a-20,PTRF4SL02a,110073,11/18/2013
TRF4-SL-02b-20,PTRF4SL02b,0,11/18/2013
TRF4-SL-02c-20,PTRF4SL02c,0,11/18/2013
TRF4-SL-01a-20,PTRF4SL01a,52906,11/18/2013
TRF4-SL-10-20,PTRF4SL10,55735,05/01/2013
TRF4-SL-09-20,PTRF4SL09,61174,06/13/2013
TRF4-SL-08b-20,PTRF4SL08b,0,06/27/2013
TRF4-SL-08c-20,PTRF4SL08c,0,06/27/2013
TRF4-SL-07a-20,PTRF4SL07a,76052,07/16/2013
TRF4-SL-07c-20,PTRF4SL07c,0,07/16/2013
TRF4-SL-06a-20,PTRF4SL06a,78079,08/07/2013
TRF4-SL-06b-20,PTRF4SL06b,0,08/07/2013
TRF4-SL-06c-20,PTRF4SL06c,0,08/07/2013
TRF4-SL-05a-20,PTRF4SL05a,81164,08/23/2013
TRF4-SL-05c-20,PTRF4SL05c,0,08/23/2013
TRF4-SL-04b-20,PTRF4SL04b,0,09/18/2013
TRF4-SL-04c-20,PTRF4SL04c,0,09/18/2013
TRF4-SL-03a-20,PTRF4SL03a,63904,10/09/2013
TRF4-SL-03b-20,PTRF4SL03b,0,10/09/2013
TRF4-SL-01b-20,PTRF4SL01b,0,11/18/2013
TRF4-SL-01c-20,PTRF4SL01c,0,11/18/2013
TRF4-SL-08a-20,PTRF4SL08a,68220,06/27/2013
TRF4-SL-05b-20,PTRF4SL05b,0,08/23/2013
TRF4-SL-04a-20,PTRF4SL04a,71170,09/18/2013
TRF4-SL-03c-20,PTRF4SL03c,0,10/09/2013
TRF4-R-03-20,PTRF4R03,96945,08/08/2014
TRF4-R-01-20,PTRF4R01,76285,08/22/2014
TRF4-R-12-20,PTRF4R12,40134,11/23/2013
TRF4-R-10-20,PTRF4R10,40706,03/24/2014
TRF4-R-02-20,PTRF4R02,127870,08/15/2014
TRF4-R-14-20,PTRF4R14,40855,10/23/2013
TRF4-R-13-20,PTRF4R13,27784,11/02/2013
TRF4-R-11-20,PTRF4R11,40741,01/14/2014
TRF4-R-09-20,PTRF4R09,44342,04/15/2014
TRF4-R-08-20,PTRF4R08,47363,05/12/2014
TRF4-R-07-20,PTRF4R07,52849,05/31/2014
TRF4-R-06-20,PTRF4R06,53461,06/10/2014
TRF4-R-05-20,PTRF4R05,52773,06/25/2014
TRF4-R-04-20,PTRF4R04,71944,07/08/2014
T3-C2-07-W02a-20,PT3C207W02a,855,02/25/2015
T3-C2-07-W01a-20,PT3C207W01a,2826,03/09/2015
T3-C2-07-W04a-20,PT3C207W04a,3154,02/06/2015
T3-C2-07-W03a-20,PT3C207W03a,3586,02/06/2015
T3-C2-08-W04a-20,PT3C208W04a,1958,02/06/2015
T3-C2-08-W03a-20,PT3C208W03a,1278,02/06/2015
T3-C2-08-W02a-20,PT3C208W02a,333,02/25/2015
T3-C2-08-W01a-20,PT3C208W01a,1218,03/09/2015
T3-C2-08-F01b-20,PT3C208F01b,16125,01/29/2015
T3-C2-01-F01-20,PT3C201F01,11499,06/05/2014
T3-C2-02-F01-20,PT3C202F01,17192,06/18/2014
T3-C2-03-F01-20,PT3C203F01,60783,06/05/2014
T3-C2-04-F01-20,PT3C204F01,0,07/11/2014
T3-C2-05-F01-20,PT3C205F01,16900,08/05/2014
T3-C2-06-F01-20,PT3C206F01,17606,08/05/2014
T3-C2-07-F01a-20,PT3C207F01a,15882,08/15/2014
T3-C2-07-F01b-20,PT3C207F01b,16406,11/29/2014
T3-C2-08-F01a-20,PT3C208F01a,17957,01/05/2015
T3-C2-08-W02d-20,PT3C208W02d,1109,03/06/2015
T3-C2-08-W01d-20,PT3C208W01d,2406,03/27/2015
T3-C2-08-W02c-20,PT3C208W02c,100,03/06/2015
T3-C2-08-W01c-20,PT3C208W01c,100,03/27/2015
T3-C2-08-W02e-20,PT3C208W02e,540,03/06/2015
T3-C2-08-W01e-20,PT3C208W01e,1733,03/27/2015
T3-C2-01-W02-20,PT3C201W02,1156,07/25/2014
T3-C2-02-W02-20,PT3C202W02,4636,07/25/2014
T3-C2-02-W01-20,PT3C202W01,3403,08/08/2014
T3-C2-03-W02-20,PT3C203W02,7251,08/27/2014
T3-C2-03-W01-20,PT3C203W01,3735,09/08/2014
T3-C2-04-W02-20,PT3C204W02,4450,09/04/2014
T3-C2-04-W01-20,PT3C204W01,6412,09/17/2014
T3-C2-05-W02-20,PT3C205W02,2999,09/12/2014
T3-C2-06-W03-20,PT3C206W03,3532,09/19/2014
T3-C2-06-W02-20,PT3C206W02,4078,11/06/2014
