original_lift,lift,rebar_units,actual_start
T2-C3-12-W03a-20,PT2C312W03a,3227,11/15/2014
T2-C3-12-W02a-20,PT2C312W02a,1109,12/11/2014
T2-C3-12-W01a-20,PT2C312W01a,1312,01/07/2015
T2-C3-01-W02a-20,PT2C301W02a,3364,04/16/2014
T2-C3-01-W01a-20,PT2C301W01a,5930,05/09/2014
T2-C3-02-W02a-20,PT2C302W02a,3302,11/01/2013
T2-C3-02-W01a-20,PT2C302W01a,5766,05/20/2014
T2-C3-03-W02a-20,PT2C303W02a,4188,05/12/2014
T2-C3-03-W01a-20,PT2C303W01a,6849,05/24/2014
T2-C3-04-W02a-20,PT2C304W02a,3380,06/24/2014
T2-C3-04-W01a-20,PT2C304W01a,5517,07/09/2014
T2-C3-06-W02a-20,PT2C306W02a,3626,07/08/2014
T2-C3-06-W01a-20,PT2C306W01a,5550,08/04/2014
T2-C3-11-W04a-20,PT2C311W04a,2116,10/02/2014
T2-C3-03-W02b-20,PT2C303W02b,7510,11/29/2013
T2-C3-03-W01b-20,PT2C303W01b,7560,11/30/2013
T2-C3-04-W02b-20,PT2C304W02b,6437,07/03/2014
T2-C3-04-W01b-20,PT2C304W01b,7458,07/15/2014
T2-C3-05-W01b-20,PT2C305W01b,4889,07/31/2014
T2-C3-06-W02b-20,PT2C306W02b,7437,07/17/2014
T2-C3-06-W01b-20,PT2C306W01b,3389,08/08/2014
T2-C3-07-W01b-20,PT2C307W01b,4847,08/13/2014
T2-C3-08-W01b-20,PT2C308W01b,6101,08/20/2014
T2-C3-09-W02b-20,PT2C309W02b,1862,07/24/2014
T2-C3-09-W01b-20,PT2C309W01b,3063,08/28/2014
T2-C3-10-W02b-20,PT2C310W02b,5631,07/31/2014
T2-C3-10-W01b-20,PT2C310W01b,2147,09/09/2014
T2-C3-11-W05b-20,PT2C311W05b,4114,08/04/2014
T2-C3-05-W02b-20,PT2C305W02b,5366,07/14/2014
T2-C3-07-W02b-20,PT2C307W02b,2778,07/22/2014
T2-C3-08-W02b-20,PT2C308W02b,2961,07/21/2014
T2-C3-11-W04b-20,PT2C311W04b,2143,09/26/2014
T2-C3-11-W03b-20,PT2C311W03b,12037,10/23/2014
T2-C3-11-W02b-20,PT2C311W02b,2675,12/11/2014
T2-C3-11-W01b-20,PT2C311W01b,2910,01/12/2015
T2-C3-12-W04b-20,PT2C312W04b,1312,10/08/2014
T2-C3-12-W03b-20,PT2C312W03b,4273,10/29/2014
T2-C3-12-W02b-20,PT2C312W02b,1109,12/11/2014
T2-C3-12-W01b-20,PT2C312W01b,1312,01/12/2015
T2-C3-01-W02b-20,PT2C301W02b,6645,04/17/2014
T2-C3-01-W01b-20,PT2C301W01b,6529,05/14/2014
T2-C3-02-W02b-20,PT2C302W02b,6431,05/16/2014
T2-C3-02-W01b-20,PT2C302W01b,6291,05/22/2014
T2-C3-08-R02-20,PT2C308R02,12609,10/11/2014
T2-C3-09-R03-20,PT2C309R03,7590,11/27/2014
T2-C3-09-R02-20,PT2C309R02,270,11/18/2014
T2-C3-09-R01-20,PT2C309R01,5976,11/26/2014
T2-C3-10-R01-20,PT2C310R01,6444,01/10/2015
T2-C3-05-R02-20,PT2C305R02,12382,08/26/2014
T2-C3-05-R01-20,PT2C305R01,11701,08/29/2014
T2-C3-06-R02-20,PT2C306R02,12967,09/10/2014
T2-C3-06-R01-20,PT2C306R01,12446,09/16/2014
T2-C3-07-R02-20,PT2C307R02,12092,09/27/2014
T2-C3-07-R01-20,PT2C307R01,7367,09/30/2014
T2-C3-08-R01-20,PT2C308R01,12971,10/16/2014
T2-C3-10-R05-20,PT2C310R05,8065,11/13/2014
T2-C3-10-R04-20,PT2C310R04,2835,12/31/2014
T2-C3-10-R02-20,PT2C310R02,11413,01/10/2015
T2-C3-01-R02-20,PT2C301R02,12684,06/06/2014
T2-C3-01-R01-20,PT2C301R01,17187,06/06/2014
T2-C3-02-R02-20,PT2C302R02,12578,07/04/2014
T2-C3-02-R01-20,PT2C302R01,10274,07/14/2014
T2-C3-03-R02-20,PT2C303R02,11734,07/26/2014
T2-C3-03-R01-20,PT2C303R01,10250,07/30/2014
T2-C3-04-R02-20,PT2C304R02,13544,08/09/2014
T2-C3-04-R01-20,PT2C304R01,7445,08/14/2014
T2-C3-12-W02c-20,PT2C312W02c,248,12/24/2014
T2-C3-12-W02d-20,PT2C312W02d,1732,09/27/2014
T2-C3-12-W02e-20,PT2C312W02e,1755,12/26/2014
T2-C3-12-W01c-20,PT2C312W01c,295,01/14/2015
T2-C3-12-W01d-20,PT2C312W01d,1751,01/14/2015
T2-C3-12-W01e-20,PT2C312W01e,1743,01/14/2015
T2-C3-09-P04-20,PT2C309P04,1822,09/24/2014
T2-C3-09-P03-20,PT2C309P03,2223,10/02/2014
T2-C3-09-P01-20,PT2C309P01,2043,10/07/2014
T2-C3-10-P03-20,PT2C310P03,2867,10/08/2014
T2-C3-10-P01-20,PT2C310P01,3509,10/16/2014
T2-C3-11-P06-20,PT2C311P06,3584,11/15/2014
T2-C3-11-P02-20,PT2C311P02,3973,12/03/2014
T2-C3-12-P03-20,PT2C312P03,554,12/03/2014
T2-C3-12-P02-20,PT2C312P02,1249,12/03/2014
T2-C3-12-P01-20,PT2C312P01,133,12/09/2014
T2-C3-09-P02-20,PT2C309P02,892,10/04/2014
T2-C3-10-P02-20,PT2C310P02,1718,10/16/2014
T2-C3-11-P07-20,PT2C311P07,867,11/15/2014
T2-C3-11-P05-20,PT2C311P05,1635,11/24/2014
T2-C3-11-P04-20,PT2C311P04,3879,11/24/2014
T2-C3-11-P03-20,PT2C311P03,1613,12/03/2014
T2-C3-11-P01-20,PT2C311P01,315,12/09/2014
T2-C3-12-P05-20,PT2C312P05,953,11/24/2014
T2-C3-12-P04-20,PT2C312P04,1245,11/24/2014
T2-C3-10-P04-20,PT2C310P04,2375,09/30/2014
VS2-C04a-3-20,PVS2C04a3,33898,12/03/2012
VS2-C03a-7-20,PVS2C03a7,6314,05/23/2013
VS2-C05a-3-20,PVS2C05a3,26309,10/03/2012
VS2-C03a-6-20,PVS2C03a6,8567,05/22/2013
VS2-C02a-6-20,PVS2C02a6,7259,06/07/2013
VS2-C02a-7-20,PVS2C02a7,4394,06/05/2013
VS2-C03a-2-20,PVS2C03a2,8587,05/01/2013
VS2-C02a-1-20,PVS2C02a1,4287,04/19/2013
VS2-C04a-1-20,PVS2C04a1,33880,11/08/2012
VS2-C05a-1-20,PVS2C05a1,24479,10/01/2012
VS2-C03a-1-20,PVS2C03a1,6371,04/04/2013
VS2-C02a-2-20,PVS2C02a2,7257,05/10/2013
VS2-C04a-2-20,PVS2C04a2,29235,11/20/2012
VS2-C03a-3-20,PVS2C03a3,8524,04/18/2013
VS2-C03a-5-20,PVS2C03a5,8524,05/16/2013
VS2-C02a-5-20,PVS2C02a5,7291,05/28/2013
VS2-C05a-2-20,PVS2C05a2,21680,10/05/2012
VS2-C02a-3-20,PVS2C02a3,7300,05/06/2013
VS2-C02a-4-20,PVS2C02a4,7259,06/24/2013
VS2-C03a-4-20,PVS2C03a4,8567,06/13/2013
VS2-C04b-2-20,PVS2C04b2,15269,11/20/2012
VS2-C03b-4-20,PVS2C03b4,3959,06/13/2013
VS2-C03b-3-20,PVS2C03b3,5205,04/18/2013
VS2-C05b-2-20,PVS2C05b2,12105,10/10/2012
VS2-C03b-5-20,PVS2C03b5,5397,05/16/2013
VS2-C02b-3-20,PVS2C02b3,2414,05/06/2013
VS2-C02b-4-20,PVS2C02b4,1739,06/24/2013
VS2-C02b-5-20,PVS2C02b5,2562,05/28/2013
VS2-C01b-2-20,PVS2C01b2,18332,07/27/2013
VS2-C04b-3-20,PVS2C04b3,19630,12/03/2012
VS2-C05b-3-20,PVS2C05b3,20817,10/12/2012
VS2-C02b-7-20,PVS2C02b7,1877,06/05/2013
VS2-C01b-3-20,PVS2C01b3,29852,07/16/2013
VS2-C03b-7-20,PVS2C03b7,4907,05/23/2013
VS2-C02b-6-20,PVS2C02b6,1613,06/07/2013
VS2-C03b-6-20,PVS2C03b6,3694,05/22/2013
VS2-C03b-1-20,PVS2C03b1,4944,04/04/2013
VS2-C05b-1-20,PVS2C05b1,19764,10/08/2012
VS2-C04b-1-20,PVS2C04b1,19299,11/08/2012
VS2-C03b-2-20,PVS2C03b2,4420,05/01/2013
VS2-C02b-2-20,PVS2C02b2,1960,05/10/2013
VS2-C01b-1-20,PVS2C01b1,24166,06/19/2013
VS2-C02b-1-20,PVS2C02b1,1912,04/19/2013
VS2-W06-20,PVS2W06,82236,07/29/2013
VS2-W07-20,PVS2W07,82740,07/09/2013
VS2-W05-20,PVS2W05,58278,08/12/2013
VS2-W04-20,PVS2W04,58317,08/26/2013
VS2-W03-20,PVS2W03,58637,09/04/2013
VS2-W01-20,PVS2W01,31779,01/31/2015
VS2-W02-20,PVS2W02,54862,09/18/2013
VS1-C02a-2-20,PVS1C02a2,7257,04/13/2013
VS1-C03a-2-20,PVS1C03a2,8587,03/27/2013
VS1-C03a-1-20,PVS1C03a1,6404,02/13/2013
VS1-C04a-1-20,PVS1C04a1,34843,12/12/2012
VS1-C02a-1-20,PVS1C02a1,4287,03/04/2013
VS1-C05a-1-20,PVS1C05a1,24420,11/14/2012
VS1-C03a-4-20,PVS1C03a4,8567,05/25/2013
VS1-C03a-3-20,PVS1C03a3,8524,03/28/2013
VS1-C04a-2-20,PVS1C04a2,28739,12/20/2012
VS1-C02a-3-20,PVS1C02a3,7321,04/19/2013
VS1-C02a-5-20,PVS1C02a5,7291,04/25/2013
VS1-C02a-4-20,PVS1C02a4,7259,06/03/2013
VS1-C03a-5-20,PVS1C03a5,8524,04/11/2013
VS1-C05a-2-20,PVS1C05a2,22259,11/19/2012
VS1-C04a-3-20,PVS1C04a3,34059,01/03/2013
VS1-C05a-3-20,PVS1C05a3,25239,11/22/2012
VS1-C02a-6-20,PVS1C02a6,7259,05/20/2013
VS1-C02a-7-20,PVS1C02a7,4425,05/14/2013
VS1-C03a-6-20,PVS1C03a6,8567,05/08/2013
VS1-C03a-7-20,PVS1C03a7,6346,05/02/2013
VS1-C02b-2-20,PVS1C02b2,1911,04/13/2013
VS1-C03b-1-20,PVS1C03b1,4944,02/13/2013
VS1-C03b-2-20,PVS1C03b2,4420,03/27/2013
VS1-C04b-1-20,PVS1C04b1,19299,12/12/2012
VS1-C02b-1-20,PVS1C02b1,1912,03/04/2013
VS1-C01b-1-20,PVS1C01b1,24166,05/31/2013
VS1-C05b-1-20,PVS1C05b1,19737,10/27/2012
VS1-C04b-2-20,PVS1C04b2,15269,12/20/2012
VS1-C03b-4-20,PVS1C03b4,3959,05/25/2013
VS1-C03b-5-20,PVS1C03b5,5397,04/11/2013
VS1-C03b-3-20,PVS1C03b3,5205,03/28/2013
VS1-C02b-3-20,PVS1C02b3,2414,04/19/2013
VS1-C02b-4-20,PVS1C02b4,1739,06/03/2013
VS1-C02b-5-20,PVS1C02b5,2562,04/25/2013
VS1-C01b-2-20,PVS1C01b2,18373,07/24/2013
VS1-C05b-2-20,PVS1C05b2,12105,10/27/2012
VS1-C05b-3-20,PVS1C05b3,20613,10/27/2012
VS1-C02b-6-20,PVS1C02b6,1613,05/20/2013
VS1-C04b-3-20,PVS1C04b3,19630,01/03/2013
VS1-C03b-7-20,PVS1C03b7,4907,04/11/2013
VS1-C03b-6-20,PVS1C03b6,3694,04/11/2013
VS1-C02b-7-20,PVS1C02b7,1877,05/14/2013
VS1-C01b-3-20,PVS1C01b3,29852,07/04/2013
VS1-W03-20,PVS1W03,58637,08/20/2013
VS1-W04-20,PVS1W04,58317,08/03/2013
VS1-W05-20,PVS1W05,58198,07/22/2013
VS1-W07-20,PVS1W07,83342,06/22/2013
VS1-W01-20,PVS1W01,31746,11/06/2014
VS1-W02-20,PVS1W02,55165,08/31/2013
VS1-W06-20,PVS1W06,82015,07/10/2013
TRF1-R-04-20,PTRF1R04,60944,01/23/2014
TRF1-R-13-20,PTRF1R13,33108,08/09/2013
TRF1-R-14-20,PTRF1R14,33108,08/02/2013
TRF1-R-10-20,PTRF1R10,36794,09/27/2013
TRF1-R-11-20,PTRF1R11,35059,09/14/2013
TRF1-R-09-20,PTRF1R09,40645,10/09/2013
TRF1-R-08-20,PTRF1R08,44552,10/31/2013
TRF1-R-07-20,PTRF1R07,45431,11/18/2013
TRF1-R-05-20,PTRF1R05,51326,12/17/2013
TRF1-R-03-20,PTRF1R03,82487,04/05/2014
TRF1-R-02-20,PTRF1R02,117957,05/16/2014
TRF1-R-01-20,PTRF1R01,60626,05/29/2014
TRF1-R-12-20,PTRF1R12,38182,08/29/2013
TRF1-R-06-20,PTRF1R06,49566,11/29/2013
TRF1-SL-04c-20,PTRF1SL04c,0,08/02/2013
TRF1-SL-09-20,PTRF1SL09,40964,04/26/2013
TRF1-SL-06b-20,PTRF1SL06b,0,06/21/2013
TRF1-SL-10-20,PTRF1SL10,50619,04/09/2013
TRF1-SL-04b-20,PTRF1SL04b,0,08/02/2013
TRF1-SL-02a-20,PTRF1SL02a,90007,10/14/2013
TRF1-SL-06a-20,PTRF1SL06a,58920,06/21/2013
TRF1-SL-05c-20,PTRF1SL05c,0,07/08/2013
TRF1-SL-01b-20,PTRF1SL01b,0,10/14/2013
TRF1-SL-02c-20,PTRF1SL02c,0,10/14/2013
TRF1-SL-05a-20,PTRF1SL05a,64522,07/08/2013
TRF1-SL-03c-20,PTRF1SL03c,0,09/13/2013
TRF1-SL-01c-20,PTRF1SL01c,0,10/14/2013
TRF1-SL-06c-20,PTRF1SL06c,0,06/21/2013
TRF1-SL-04a-20,PTRF1SL04a,57900,08/02/2013
TRF1-SL-12-20,PTRF1SL12,54318,03/21/2013
TRF1-SL-11-20,PTRF1SL11,31861,03/21/2013
TRF1-SL-08c-20,PTRF1SL08c,0,05/13/2013
TRF1-SL-07b-20,PTRF1SL07b,0,06/07/2013
TRF1-SL-07c-20,PTRF1SL07c,0,06/07/2013
TRF1-SL-05b-20,PTRF1SL05b,0,07/08/2013
TRF1-SL-03a-20,PTRF1SL03a,54871,09/13/2013
TRF1-SL-03b-20,PTRF1SL03b,0,09/13/2013
TRF1-SL-01a-20,PTRF1SL01a,46764,10/14/2013
TRF1-SL-02b-20,PTRF1SL02b,0,10/14/2013
TRF1-SL-08a-20,PTRF1SL08a,51658,05/13/2013
TRF1-SL-08b-20,PTRF1SL08b,0,05/13/2013
TRF1-SL-07a-20,PTRF1SL07a,58573,06/07/2013
TRF1-SW-07-20,PTRF1SW07,4850,08/14/2013
TRF1-SW-10-20,PTRF1SW10,7595,07/01/2013
TRF1-SW-08-20,PTRF1SW08,4850,07/19/2013
TRF1-SW-06-20,PTRF1SW06,5008,09/10/2013
TRF1-SW-09-20,PTRF1SW09,4619,07/12/2013
TRF1-SW-05-20,PTRF1SW05,4597,09/27/2013
TRF1-SW-04-20,PTRF1SW04,4450,10/18/2013
TRF1-SW-03-20,PTRF1SW03,4928,11/06/2013
TRF1-SW-01-20,PTRF1SW01,1284,11/22/2013
TRF1-SW-11-20,PTRF1SW11,6083,06/12/2013
TRF1-SW-02-20,PTRF1SW02,6332,11/19/2013
TRF1-NW-11-20,PTRF1NW11,6083,06/11/2013
TRF1-NW-10-20,PTRF1NW10,7595,07/02/2013
TRF1-NW-09-20,PTRF1NW09,4619,07/11/2013
TRF1-NW-08-20,PTRF1NW08,4850,07/19/2013
TRF1-NW-05-20,PTRF1NW05,4597,09/28/2013
TRF1-NW-04-20,PTRF1NW04,4450,10/19/2013
TRF1-NW-03-20,PTRF1NW03,4928,11/07/2013
TRF1-NW-07-20,PTRF1NW07,4850,08/14/2013
TRF1-NW-06-20,PTRF1NW06,5008,09/10/2013
TRF1-NW-01-20,PTRF1NW01,1284,11/25/2013
TRF1-NW-02-20,PTRF1NW02,6332,11/21/2013
TRF1-P2-01-20,PTRF1P201,1792,12/30/2013
TRF1-P2-02-20,PTRF1P202,5863,12/30/2013
TRF1-P2-03-20,PTRF1P203,2223,12/04/2013
TRF1-P4-01-20,PTRF1P401,1792,12/23/2013
TRF1-P4-02-20,PTRF1P402,5863,12/23/2013
TRF1-P4-03-20,PTRF1P403,2223,12/03/2013
TRF1-P1-01-20,PTRF1P101,3184,01/21/2014
TRF1-P1-02-20,PTRF1P102,17875,01/21/2014
TRF1-P1-04-20,PTRF1P104,6193,11/29/2013
TRF1-P1-03-20,PTRF1P103,4641,12/06/2013
TRF1-P3-01-20,PTRF1P301,1666,11/16/2013
TRF1-P3-02-20,PTRF1P302,6421,11/16/2013
TRF1-P3-03-20,PTRF1P303,4298,11/08/2013
TRF1-P3-04-20,PTRF1P304,4251,10/19/2013
TRF1-P3-05-20,PTRF1P305,6449,09/23/2013
TRF1-P3-06-20,PTRF1P306,6766,08/27/2013
TRF1-P3-07-20,PTRF1P307,6124,08/17/2013
TRF1-P3-08-20,PTRF1P308,4546,08/06/2013
TRF1-P3-09-20,PTRF1P309,3108,07/20/2013
TRF1-P5-04-20,PTRF1P504,6193,11/14/2013
TRF1-P5-01-20,PTRF1P501,3184,12/13/2013
TRF1-P5-02-20,PTRF1P502,17875,12/13/2013
TRF1-P5-03-20,PTRF1P503,4641,11/26/2013
TRF2-SL-08a-20,PTRF2SL08a,51667,12/05/2012
TRF2-SL-08c-20,PTRF2SL08c,0,12/05/2012
TRF2-SL-07c-20,PTRF2SL07c,0,01/04/2013
TRF2-SL-09-20,PTRF2SL09,35506,11/02/2012
TRF2-SL-07b-20,PTRF2SL07b,0,01/04/2013
TRF2-SL-12-20,PTRF2SL12,56674,08/24/2012
TRF2-SL-11-20,PTRF2SL11,33876,08/24/2012
TRF2-SL-05b-20,PTRF2SL05b,0,02/25/2013
TRF2-SL-05a-20,PTRF2SL05a,63045,02/25/2013
TRF2-SL-08b-20,PTRF2SL08b,0,12/05/2012
TRF2-SL-10-20,PTRF2SL10,53177,10/04/2012
TRF2-SL-06b-20,PTRF2SL06b,0,01/30/2013
TRF2-SL-01b-20,PTRF2SL01b,0,05/21/2013
TRF2-SL-04b-20,PTRF2SL04b,0,03/14/2013
TRF2-SL-06a-20,PTRF2SL06a,59394,01/30/2013
TRF2-SL-04a-20,PTRF2SL04a,55636,03/14/2013
TRF2-SL-06c-20,PTRF2SL06c,0,01/30/2013
TRF2-SL-02a-20,PTRF2SL02a,70286,04/30/2013
TRF2-SL-07a-20,PTRF2SL07a,58995,01/04/2013
TRF2-SL-02c-20,PTRF2SL02c,0,04/30/2013
TRF2-SL-01c-20,PTRF2SL01c,0,05/21/2013
TRF2-SL-02b-20,PTRF2SL02b,0,04/30/2013
TRF2-SL-03c-20,PTRF2SL03c,0,04/03/2013
TRF2-SL-03b-20,PTRF2SL03b,0,04/03/2013
TRF2-SL-03a-20,PTRF2SL03a,53220,04/03/2013
TRF2-SL-04c-20,PTRF2SL04c,0,03/14/2013
TRF2-SL-05c-20,PTRF2SL05c,0,02/25/2013
TRF2-SL-01a-20,PTRF2SL01a,51037,05/21/2013
TRF2-P2-03-20,PTRF2P203,4256,07/24/2013
TRF2-P2-02-20,PTRF2P202,1734,10/03/2013
TRF2-P2-01-20,PTRF2P201,4117,10/03/2013
TRF2-P3-07-20,PTRF2P307,5447,04/18/2013
TRF2-P3-04-20,PTRF2P304,5576,07/01/2013
TRF2-P3-03-20,PTRF2P303,5656,08/12/2013
TRF2-P3-02-20,PTRF2P302,4066,09/18/2013
TRF2-P3-06-20,PTRF2P306,7602,05/09/2013
TRF2-P3-01-20,PTRF2P301,4423,09/18/2013
TRF2-P3-05-20,PTRF2P305,7312,06/03/2013
TRF2-P3-09-20,PTRF2P309,2250,03/07/2013
TRF2-P3-08-20,PTRF2P308,1978,03/27/2013
TRF2-P1-04-20,PTRF2P104,5322,08/23/2013
TRF2-P1-03-20,PTRF2P103,8806,09/24/2013
TRF2-P1-02-20,PTRF2P102,9222,10/21/2013
TRF2-P1-01-20,PTRF2P101,7813,10/21/2013
TRF2-P5-01-20,PTRF2P501,7813,10/17/2013
TRF2-P5-02-20,PTRF2P502,9222,10/17/2013
TRF2-P5-03-20,PTRF2P503,8947,09/28/2013
TRF2-P5-04-20,PTRF2P504,5322,08/23/2013
TRF2-P4-01-20,PTRF2P401,4117,10/03/2013
TRF2-P4-02-20,PTRF2P402,1734,10/03/2013
TRF2-P4-03-20,PTRF2P403,4256,08/20/2013
TRF2-SW-02-20,PTRF2SW02,3954,08/15/2013
TRF2-SW-03-20,PTRF2SW03,4927,07/02/2013
TRF2-SW-04-20,PTRF2SW04,3918,06/14/2013
TRF2-SW-05-20,PTRF2SW05,3962,05/31/2013
TRF2-SW-09-20,PTRF2SW09,4371,03/13/2013
TRF2-SW-01-20,PTRF2SW01,3515,08/23/2013
TRF2-SW-06-20,PTRF2SW06,3638,05/16/2013
TRF2-SW-07-20,PTRF2SW07,3772,04/27/2013
TRF2-SW-08-20,PTRF2SW08,3813,04/10/2013
TRF2-SW-10-20,PTRF2SW10,5445,02/19/2013
TRF2-SW-11-20,PTRF2SW11,3469,12/01/2012
TRF2-NW-07-20,PTRF2NW07,3772,04/26/2013
TRF2-NW-01-20,PTRF2NW01,3435,08/23/2013
TRF2-NW-04-20,PTRF2NW04,3918,06/12/2013
TRF2-NW-06-20,PTRF2NW06,3638,05/22/2013
TRF2-NW-02-20,PTRF2NW02,3954,08/14/2013
TRF2-NW-10-20,PTRF2NW10,5445,02/22/2013
TRF2-NW-03-20,PTRF2NW03,4927,07/15/2013
TRF2-NW-08-20,PTRF2NW08,3813,04/10/2013
TRF2-NW-05-20,PTRF2NW05,3962,06/03/2013
TRF2-NW-09-20,PTRF2NW09,4371,03/26/2013
TRF2-NW-11-20,PTRF2NW11,3469,12/01/2012
TRF2-R-01-20,PTRF2R01,62677,01/20/2014
TRF2-R-05-20,PTRF2R05,51996,10/11/2013
TRF2-R-06-20,PTRF2R06,51360,09/30/2013
TRF2-R-14-20,PTRF2R14,35061,05/22/2013
TRF2-R-08-20,PTRF2R08,43402,09/05/2013
TRF2-R-07-20,PTRF2R07,46499,09/18/2013
TRF2-R-12-20,PTRF2R12,40528,07/01/2013
TRF2-R-10-20,PTRF2R10,36043,08/06/2013
TRF2-R-04-20,PTRF2R04,60240,10/29/2013
TRF2-R-11-20,PTRF2R11,32362,07/23/2013
TRF2-R-09-20,PTRF2R09,41196,08/23/2013
TRF2-R-13-20,PTRF2R13,37577,06/04/2013
TRF2-R-02-20,PTRF2R02,112585,01/07/2014
TRF2-R-03-20,PTRF2R03,86503,12/12/2013
VS5-W02-20,PVS5W02,56447,04/09/2014
VS5-W01-20,PVS5W01,32719,08/08/2014
VS5-W05-20,PVS5W05,61368,01/22/2014
VS5-W03-20,PVS5W03,60572,03/31/2014
VS5-W04-20,PVS5W04,60989,03/17/2014
VS5-W06-20,PVS5W06,92532,12/16/2013
VS5-W07-20,PVS5W07,90640,11/30/2013
VS5-C04b-1-20,PVS5C04b1,20501,08/24/2013
VS5-C05b-1-20,PVS5C05b1,19622,08/01/2013
VS5-C03b-1-20,PVS5C03b1,4914,09/10/2013
VS5-C03b-2-20,PVS5C03b2,4407,09/18/2013
VS5-C02b-1-20,PVS5C02b1,1912,09/27/2013
VS5-C02b-2-20,PVS5C02b2,1911,10/10/2013
VS5-C01b-1-20,PVS5C01b1,27008,11/19/2013
VS5-C04b-2-20,PVS5C04b2,16467,08/30/2013
VS5-C05b-2-20,PVS5C05b2,12031,08/08/2013
VS5-C03b-3-20,PVS5C03b3,5185,09/20/2013
VS5-C03b-4-20,PVS5C03b4,3942,10/22/2013
VS5-C03b-5-20,PVS5C03b5,5377,10/04/2013
VS5-C02b-3-20,PVS5C02b3,2414,10/19/2013
VS5-C02b-4-20,PVS5C02b4,1739,11/23/2013
VS5-C02b-5-20,PVS5C02b5,2562,10/29/2013
VS5-C01b-2-20,PVS5C01b2,18569,05/20/2014
VS5-C04b-3-20,PVS5C04b3,19575,09/04/2013
VS5-C05b-3-20,PVS5C05b3,20713,08/05/2013
VS5-C03b-6-20,PVS5C03b6,3678,10/11/2013
VS5-C03b-7-20,PVS5C03b7,4877,10/24/2013
VS5-C02b-6-20,PVS5C02b6,1613,11/16/2013
VS5-C02b-7-20,PVS5C02b7,1877,11/08/2013
VS5-C01b-3-20,PVS5C01b3,30506,12/11/2013
VS5-C03a-5-20,PVS5C03a5,8422,10/04/2013
VS5-C02a-3-20,PVS5C02a3,7187,10/19/2013
VS5-C02a-4-20,PVS5C02a4,7155,11/23/2013
VS5-C05a-2-20,PVS5C05a2,21576,08/08/2013
VS5-C04a-2-20,PVS5C04a2,29331,08/30/2013
VS5-C03a-3-20,PVS5C03a3,8422,09/20/2013
VS5-C03a-4-20,PVS5C03a4,8534,10/22/2013
VS5-C02a-5-20,PVS5C02a5,7187,10/29/2013
VS5-C03a-7-20,PVS5C03a7,6126,10/24/2013
VS5-C02a-7-20,PVS5C02a7,4422,11/08/2013
VS5-C05a-3-20,PVS5C05a3,25217,08/05/2013
VS5-C04a-3-20,PVS5C04a3,33907,09/04/2013
VS5-C02a-6-20,PVS5C02a6,7155,11/16/2013
VS5-C03a-6-20,PVS5C03a6,8534,10/11/2013
VS5-C03a-2-20,PVS5C03a2,8535,09/18/2013
VS5-C02a-2-20,PVS5C02a2,7153,10/10/2013
VS5-C05a-1-20,PVS5C05a1,24733,08/01/2013
VS5-C03a-1-20,PVS5C03a1,6116,09/10/2013
VS5-C02a-1-20,PVS5C02a1,4284,09/27/2013
VS5-C04a-1-20,PVS5C04a1,34169,08/24/2013
VS6-C05b-1-20,PVS6C05b1,19622,06/04/2013
VS6-C04b-1-20,PVS6C04b1,20501,07/08/2013
VS6-C03b-1-20,PVS6C03b1,4914,09/06/2013
VS6-C03b-2-20,PVS6C03b2,4407,08/21/2013
VS6-C02b-1-20,PVS6C02b1,1912,10/07/2013
VS6-C02b-2-20,PVS6C02b2,1911,10/16/2013
VS6-C01b-1-20,PVS6C01b1,27008,11/15/2013
VS6-C05b-2-20,PVS6C05b2,12050,06/06/2013
VS6-C04b-2-20,PVS6C04b2,16467,07/01/2013
VS6-C03b-3-20,PVS6C03b3,5185,08/29/2013
VS6-C03b-4-20,PVS6C03b4,3942,09/25/2013
VS6-C02b-3-20,PVS6C02b3,2414,09/24/2013
VS6-C02b-4-20,PVS6C02b4,1739,10/28/2013
VS6-C02b-5-20,PVS6C02b5,2562,09/11/2013
VS6-C01b-2-20,PVS6C01b2,18569,01/15/2014
VS6-C03b-5-20,PVS6C03b5,5377,08/09/2013
VS6-C01b-3-20,PVS6C01b3,30506,10/05/2013
VS6-C05b-3-20,PVS6C05b3,20713,05/29/2013
VS6-C03b-6-20,PVS6C03b6,3678,08/01/2013
VS6-C02b-6-20,PVS6C02b6,1613,09/02/2013
VS6-C04b-3-20,PVS6C04b3,19575,06/25/2013
VS6-C03b-7-20,PVS6C03b7,4877,07/27/2013
VS6-C02b-7-20,PVS6C02b7,1877,08/15/2013
VS6-C04a-2-20,PVS6C04a2,29331,07/01/2013
VS6-C03a-3-20,PVS6C03a3,8603,08/29/2013
VS6-C03a-4-20,PVS6C03a4,8534,09/25/2013
VS6-C03a-5-20,PVS6C03a5,8603,08/09/2013
VS6-C02a-4-20,PVS6C02a4,7252,10/28/2013
VS6-C02a-5-20,PVS6C02a5,7284,09/11/2013
VS6-C05a-2-20,PVS6C05a2,21576,06/06/2013
VS6-C02a-3-20,PVS6C02a3,7285,09/24/2013
VS6-C03a-7-20,PVS6C03a7,6118,07/27/2013
VS6-C05a-3-20,PVS6C05a3,25217,05/29/2013
VS6-C04a-3-20,PVS6C04a3,33907,06/25/2013
VS6-C03a-6-20,PVS6C03a6,8534,08/01/2013
VS6-C02a-6-20,PVS6C02a6,7252,09/02/2013
