lift,actual_start,actual_quantity
ACU31W03a-N,5/27/2013,80
ACU31W03b-N,5/30/2013,104
ACU31W03c-N,6/19/2013,96
ACU31W03b-S,7/3/2013,64
ACU31W03c-S,7/6/2013,68
ACU32W16,12/5/2013,92
ACU32W15,12/11/2013,100
ACU32W14,1/7/2014,451
ACU32W13,1/29/2014,121
ACU32W12c,2/27/2014,307
ACU32W12b,3/15/2014,376
ACU32W12a,3/15/2014,0
ACU32W11,3/15/2014,0
ACU32W10,3/24/2014,328
ACU32W09,3/29/2014,256
ACU32W08b,4/4/2014,144
ACU32W08a,4/10/2014,104
ACU32W07,4/21/2014,248
ACU32W06,5/24/2014,224
ACU32W05,6/10/2014,144
ACU32W04,6/26/2014,160
ACU32W03,7/9/2014,104
ACU32W02a,7/21/2014,88
ACU32W02b,7/21/2014,0
ACU32W01,1/8/2015,65
ACU32WIW,3/3/2015,197
ALEM01F02,07/23/2012,624
ALEM01F01,07/26/2012,390
ALEM01C10,08/22/2012,648
ALEM01C09,08/31/2012,821
ALEM01C08,09/12/2012,456
ALEM01C07,09/24/2012,148
ALEM01C06b,03/06/2013,256
ALEM01C06a,03/13/2013,48
ALEM01C05b,03/16/2013,536
ALEM01C04b,03/21/2013,516
ALEM01C03b,04/01/2013,224
ALEM01C05a,04/02/2013,180
ALEM01C04a,04/23/2013,148
ALEM01C03a,05/03/2013,72
ALEM01C02,07/27/2013,392
ALEM01C01,08/01/2013,1079
ALEM01W06,08/29/2013,64
ALEM01W05,09/10/2013,264
ALEM01W04,09/18/2013,280
ALEM01W03b,09/24/2013,192
ALEM01W03a,10/02/2013,164
ALEM01W02,10/09/2013,136
ALEM01W01,08/04/2014,56
ALEM02F02b,06/28/2012,476
ALEM02F02a,06/29/2012,511
ALEM02F01b,07/12/2012,484
ALEM02F01a,07/16/2012,352
ALEM02C06b,04/26/2013,432
ALEM02C06c,04/03/2013,0
ALEM02C05b,05/07/2013,364
ALEM02C05c,04/04/2013,0
ALEM02C04,05/11/2013,224
ALEM02C06a,05/13/2013,64
ALEM02C03,05/18/2013,392
ALEM02C05a,05/25/2013,127
ALEM02C02,07/02/2013,620
ALEM02C01,07/10/2013,726
ALEM02W07,07/25/2013,173
ALEM02W06,08/07/2013,320
ALEM02W05,08/16/2013,317
ALEM02W04,08/26/2013,266
ALEM02W03b,09/03/2013,167
ALEM02W03a,09/10/2013,158
ALEM02W02,09/18/2013,135
ALEM02W01,08/20/2014,72
ALEM03F02,03/23/2012,1045.5
ALEM03F01,04/03/2012,855
ALEM03C04c,05/11/2012,96
ALEM03C03c,06/04/2012,97
ALEM03C04b,06/23/2012,193
