lift,actual_start,actual_quantity
AMEM10W03,08/04/2012,152
AMEM10W02,08/14/2012,128
AMEM10S227A,12/19/2012,8
AMEM10W01,05/14/2014,56
AMEM11F02,11/29/2011,400
AMEM11F01,12/13/2011,362
AMEM11C04b,02/29/2012,120
AMEM11C03b,03/09/2012,116
AMEM11C04a,03/10/2012,54
AMEM11C04c,03/15/2012,32
AMEM11C03a,03/16/2012,58
AMEM11C03c,03/20/2012,16
AMEM11C02,06/09/2012,132
AMEM11C01,06/18/2012,333
AMEM11W08,06/28/2012,192
AMEM11W07,07/07/2012,156
AMEM11W06,07/16/2012,134
AMEM11W05,07/27/2012,112
AMEM11W04,09/11/2012,68
AMEM11W03,05/08/2013,64
AMEM11W02,05/14/2013,61
AMEM11W01,12/26/2013,24
AMEM12F02,01/06/2012,958
AMEM12F01,02/08/2012,863
AMEM12C04c,04/23/2012,365
AMEM12C03c,05/02/2012,152
AMEM12C04a,06/05/2012,204
AMEM12C03a,06/25/2012,184
AMEM12C04b,07/19/2012,208
AMEM12C03b,08/01/2012,205
AMEM12C02,12/11/2012,312
AMEM12C01,12/19/2012,1068
AMEM12W08,12/28/2012,424
AMEM12W07,01/11/2013,372
AMEM12W06,01/23/2013,344
AMEM12W05,02/07/2013,274
AMEM12W04,02/27/2013,216
AMEM12W03,03/21/2013,152
AMEM12W02,04/03/2013,112
AMEM12W01,05/22/2014,64
AMEM13F03,11/23/2011,864
AMEM13F02,12/14/2011,944
AMEM13F01c,02/09/2012,112
AMEM13C04c,02/11/2012,216
AMEM13F01a,02/28/2012,48
AMEM13C04a,03/19/2012,260
AMEM13C03a,03/30/2012,296
AMEM13C03b,03/30/2012,404
AMEM13F01b,04/02/2012,274
AMEM13C03c,04/09/2012,175
AMEM13C04b,04/13/2012,374
AMEM13C02,06/16/2012,352
AMEM13C01,06/27/2012,1310
AMEM13W08,07/10/2012,424
AMEM13W07,07/24/2012,394
AMEM13W06,08/27/2012,311
AMEM13W05,09/10/2012,304
AMEM13W04,05/08/2013,160
AMEM13W03,05/09/2013,0
AMEM13W02,05/28/2013,151
AMEM13W01,07/23/2014,64
AMEM14F02,01/05/2012,937
AMEM14F01,02/10/2012,951
AMEM14C04a,04/28/2012,208
AMEM14C04c,05/10/2012,191
AMEM14C03a,05/14/2012,160
AMEM14C03c,05/21/2012,144
AMEM14C04b,07/07/2012,220
AMEM14C03b,07/18/2012,213
AMEM14C02,09/07/2012,342
AMEM14C01,09/14/2012,1091
AMEM14W08,09/25/2012,432
AMEM14W07,10/09/2012,360
AMEM14W06,11/07/2012,296
AMEM14W05,01/09/2013,272
AMEM14W04,01/24/2013,184
AMEM14W03,02/18/2013,176
AMEM14W02,03/04/2013,120
AMEM14W01,08/07/2014,77
AMEM15F02,11/30/2011,760
AMEM15F01,12/15/2011,644
AMEM15C04a,02/11/2012,102
AMEM15C04c,02/14/2012,64
AMEM15C03a,03/01/2012,104
AMEM15C03c,03/01/2012,88
AMEM15C04b,03/28/2012,160
AMEM15C03b,04/16/2012,172
AMEM15C02,05/16/2012,244
AMEM15C01,05/29/2012,797
AMEM15W08,06/12/2012,342
AMEM15W07,06/21/2012,270
AMEM15W06,06/29/2012,296
AMEM15W05,07/19/2012,196
AMEM15W04,08/02/2012,127
AMEM15W03,03/27/2013,104
AMEM15W02,04/10/2013,104
AMEM15W01,08/05/2014,44
AMEM16F02,10/26/2011,940
AMEM16F01,11/21/2011,806
AMEM16C04a,02/02/2012,140
AMEM16C04c,02/03/2012,78
AMEM16C03a,02/24/2012,136
AMEM16C03c,02/24/2012,96
AMEM16C04b,02/24/2012,172
AMEM16C03b,03/08/2012,184
AMEM16C02,04/04/2012,328
AMEM16C01,04/21/2012,972
AMEM16W08,05/04/2012,399
AMEM16W07,05/14/2012,365
AMEM16W06,05/28/2012,321
AMEM16W05,06/09/2012,260
AMEM16W04,06/22/2012,152
AMEM16W03,07/13/2012,144
AMEM16W02,07/26/2012,144
AMEM16W01,07/29/2014,62
AMEM17F02,08/11/2012,912
AMEM17F01,08/20/2012,807
AMEM17C04a,09/17/2012,138
AMEM17C04c,09/17/2012,72
AMEM17C03c,10/05/2012,72
AMEM17C04b,10/05/2012,200
AMEM17C03a,10/09/2012,140
AMEM17C03b,10/12/2012,216
AMEM17C02,11/30/2012,344
AMEM17C01,12/06/2012,1000
AMEM17W08,01/29/2013,416
AMEM17W07,02/15/2013,392
AMEM17W06,02/28/2013,316
AMEM17W05,03/19/2013,248
AMEM17W04,04/15/2013,172
AMEM17W03,05/07/2013,154
AMEM17W02,06/10/2013,120
AMEM17W01,07/16/2014,90
AMEM18F02,07/20/2012,692
AMEM18F01,08/02/2012,502
AMEM18C04a,10/18/2012,80
AMEM18C04c,10/18/2012,48
AMEM18C03a,11/06/2012,100
AMEM18C03c,11/06/2012,40
AMEM18C04b,11/15/2012,112
AMEM18C03b,11/27/2012,112
AMEM18C02,12/27/2012,184
AMEM18C01,01/04/2013,584
AMEM18W08,01/25/2013,248
AMEM18W07,02/04/2013,224
AMEM18W06,02/25/2013,184
AMEM18W05,03/13/2013,142
AMEM18W04,04/09/2013,112
AMEM18W03,05/13/2013,88
AMEM18W02,06/13/2013,93
AMEM18W01,07/10/2014,64
AMEM19F02,03/27/2013,1016
AMEM19F01,04/04/2013,984
AMEM19C04c,04/18/2013,332
AMEM19C03a,04/23/2013,208
AMEM19C03c,05/01/2013,128
AMEM19C04a,04/23/2013,0
AMEM19C04b,05/10/2013,208
AMEM19C03b,05/17/2013,256
AMEM19C02,05/29/2013,497
AMEM19C01,06/03/2013,1180
AMEM19W08,06/13/2013,516
AMEM19W07,06/24/2013,460
AMEM19W06,07/02/2013,358
AMEM19W05,07/13/2013,324
AMEM19W04,07/24/2013,238
AMEM19W03,08/02/2013,179
AMEM19W02,08/10/2013,182
AMEM19W01,07/04/2014,114
AMEM20F02,07/31/2012,982
AMEM20F01,08/07/2012,784
AMEM20C04a,10/08/2012,136
AMEM20C04c,10/08/2012,80
AMEM20C03a,10/16/2012,152
AMEM20C03c,10/29/2012,88
AMEM20C04b,11/13/2012,176
AMEM20C03b,11/29/2012,200
AMEM20C02,12/17/2012,312
AMEM20C01,12/20/2012,1088
AMEM20W08,01/21/2013,404
AMEM20W07,02/01/2013,376
AMEM20W06,02/25/2013,304
AMEM20W05,03/09/2013,272
AMEM20W04,03/26/2013,184
AMEM20W03,05/27/2013,152
AMEM20W02,06/18/2013,143
AMEM20W01,06/21/2014,80
AMEM21F02,08/23/2012,1000
AMEM21F01,08/30/2012,802
AMEM21C04c,09/20/2012,96
AMEM21C04a,09/26/2012,160
AMEM21C03c,09/28/2012,88
AMEM21C03a,10/01/2012,160
AMEM21C04b,10/08/2012,172
AMEM21C03b,10/17/2012,224
AMEM21C02,11/15/2012,304
AMEM21C01,11/28/2012,960
AMEM21W08,01/24/2013,424
AMEM21W07,02/05/2013,360
AMEM21W06,02/26/2013,300
AMEM21W05,03/13/2013,254
AMEM21W04,04/02/2013,168
AMEM21W03,04/26/2013,168
AMEM21W02,05/09/2013,192
AMEM21W01,06/17/2014,0
AMEM22F02,11/26/2011,940
AMEM22F01,12/10/2011,893
AMEM22C04c,03/05/2012,72
AMEM22C04a,03/06/2012,152
AMEM22C03a,03/16/2012,140
AMEM22C03c,03/21/2012,107
AMEM22C04b,05/15/2012,200
AMEM22C03b,05/24/2012,205
AMEM22C02,08/06/2012,298
AMEM22C01,08/15/2012,985
AMEM22W08,08/28/2012,428
AMEM22W07,09/07/2012,374
AMEM22W06,09/22/2012,328
AMEM22W05,06/19/2013,263
AMEM22W04,06/27/2013,168
AMEM22W03,07/04/2013,143
AMEM22W02,07/13/2013,125
AMEM22W01,06/09/2014,72
AMEM23F02,01/31/2012,1152
AMEM23F01,02/09/2012,944
AMEM23C04a,03/09/2012,200
AMEM23C03a,03/24/2012,211
AMEM23C04b,04/03/2012,403
AMEM23C03b,04/17/2012,453
AMEM23C04c,03/10/2012,0
AMEM23C03c,03/11/2012,0
AMEM23C02,07/04/2012,381
AMEM23C01,07/12/2012,1227
AMEM23W08,07/26/2012,480
AMEM23W07,08/08/2012,423
AMEM23W06,08/17/2012,400
AMEM23W05,09/07/2012,304
AMEM23W04,07/08/2013,196
AMEM23W03,07/19/2013,157
AMEM23W02,07/29/2013,160
AMEM23W01,06/02/2014,80
AMWM01F02a,02/08/2012,392
AMWM01F02b,02/16/2012,660
AMWM01F01a,02/27/2012,431
AMWM01F01b,03/05/2012,424
AMWM01C06b,03/15/2012,147
AMWM01C05b,04/04/2012,563
AMWM01C06a,04/18/2012,59
AMWM01C05a,05/08/2012,104
AMWM01C04b,05/15/2012,427
AMWM01C03b,05/22/2012,156
AMWM01C04a,05/25/2012,112
AMWM01C03a,05/28/2012,46
AMWM01C02,09/07/2012,389
AMWM01C01,09/14/2012,987
AMWM01W09,09/25/2012,104
AMWM01W08,10/03/2012,472
AMWM01W07,10/30/2012,392
AMWM01W06,11/09/2012,368
AMWM01W05,11/19/2012,288
AMWM01W04,01/29/2013,168
AMWM01W03,02/19/2013,176
AMWM01W02,03/05/2013,128
AMWM01W01,01/22/2015,67
AMWM02F02,10/29/2011,944
AMWM02F01,11/27/2011,866
AMWM02C04a,03/14/2012,152
AMWM02C04b,05/01/2012,474
AMWM02C04c,03/24/2012,0
AMWM02C03c,05/10/2012,110
AMWM02C03b,05/11/2012,427
AMWM02C03a,03/15/2012,0
AMWM02C02,06/14/2012,353
AMWM02C01,06/22/2012,957
AMWM02W08,07/05/2012,430
AMWM02W07,07/16/2012,353
AMWM02W06,07/30/2012,346
AMWM02W05,08/06/2012,281
AMWM02W04,08/27/2012,184
AMWM02W03,07/05/2013,147
AMWM02W02,07/16/2013,132
AMWM02W01,01/14/2015,90
AMWM03F02,12/13/2011,968
AMWM03F01,01/04/2012,797
AMWM03C04a,03/05/2012,142
AMWM03C04c,03/06/2012,80
AMWM03C03c,03/16/2012,72
AMWM03C03a,03/27/2012,287
AMWM03C04b,04/13/2012,232
AMWM03C03b,04/23/2012,227
AMWM03C02,07/10/2012,317
AMWM03C01,07/23/2012,918
AMWM03W08,10/11/2012,392
AMWM03W07,12/05/2012,360
AMWM03W06,01/02/2013,324
AMWM03W05,07/01/2013,263
AMWM03W04,07/16/2013,170
AMWM03W03,07/25/2013,157
AMWM03W02,08/05/2013,141
AMWM03W01,01/24/2015,86
AMWM04F02,10/31/2011,584
AMWM04F01,11/14/2011,515
AMWM04C04a,02/18/2012,88
AMWM04C04c,02/28/2012,47
AMWM04C03c,03/10/2012,48
AMWM04C04b,03/15/2012,152
AMWM04C03a,03/21/2012,86
AMWM04C03b,03/23/2012,129
AMWM04C02,09/03/2012,204
AMWM04C01,09/07/2012,572
AMWM04W08,10/30/2012,256
AMWM04W07,11/16/2012,232
AMWM04W06,05/13/2013,192
AMWM04W05,05/29/2013,164
AMWM04W04,06/06/2013,111
AMWM04W03,06/15/2013,88
AMWM04W02,06/25/2013,79
AMWM04W01,01/08/2015,37
AMWM05F02,07/26/2012,1853
AMWM05F01,08/18/2012,1172
AMWM05C04a,11/29/2012,176
AMWM05C03a,12/10/2012,184
AMWM05C04c,12/11/2012,104
AMWM05C03c,12/22/2012,104
AMWM05C04b,12/28/2012,264
AMWM05C03b,01/09/2013,288
AMWM05C02,01/22/2013,400
AMWM05C01,01/28/2013,1336
AMWM05W08,02/06/2013,572
AMWM05W07,02/20/2013,472
AMWM05W06,03/06/2013,440
AMWM05W05,03/18/2013,416
AMWM05W04,04/03/2013,272
AMWM05W03,08/29/2013,210
AMWM05W02,09/05/2013,212
AMWM05W01,12/29/2014,118
AMWM06F02,09/12/2012,568
AMWM06F01,09/20/2012,557
AMWM06C04a,05/22/2013,80
AMWM06C04b,05/22/2013,112
AMWM06C04c,05/22/2013,55
AMWM06C03a,05/31/2013,93
AMWM06C03b,05/31/2013,104
AMWM06C03c,05/31/2013,56
AMWM06C02,06/14/2013,184
AMWM06C01,06/17/2013,588
AMWM06W08,06/28/2013,223
AMWM06W07,07/12/2013,231
AMWM06W06,07/22/2013,192
AMWM06W05,08/02/2013,174
AMWM06W04,08/12/2013,101
AMWM06W03,08/23/2013,100
AMWM06W02,09/11/2013,93
AMWM06W01,12/18/2014,60
AMWM07F02,03/22/2013,992
AMWM07F01,04/01/2013,984
AMWM07C04a,04/18/2013,176
AMWM07C03a,04/24/2013,200
AMWM07C04c,04/24/2013,140
AMWM07C04b,04/30/2013,232
AMWM07C03c,05/03/2013,120
AMWM07C03b,05/10/2013,240
AMWM07C02,05/20/2013,446
AMWM07C01,05/24/2013,1235
AMWM07W08,05/31/2013,551
AMWM07W07,07/05/2013,423
AMWM07W06,07/19/2013,363
AMWM07W05,07/29/2013,306
AMWM07W04,08/08/2013,201
AMWM07W03,08/19/2013,273
AMWM07W02,08/27/2013,212
AMWM07W01,11/13/2014,126
AMWM08F02,10/16/2012,1031
AMWM08F01,10/31/2012,782
AMWM08C04a,12/04/2012,144
AMWM08C04c,12/05/2012,72
AMWM08C03a,12/12/2012,144
AMWM08C03c,12/12/2012,80
AMWM08C04b,12/20/2012,160
AMWM08C03b,12/28/2012,192
AMWM08C02,01/14/2013,328
AMWM08C01,01/18/2013,900
AMWM08W08,01/28/2013,400
AMWM08W07,02/06/2013,336
AMWM08W06,02/19/2013,344
AMWM08W05,03/04/2013,224
AMWM08W04,03/25/2013,152
AMWM08W03,04/26/2013,160
AMWM08W02,05/04/2013,160
AMWM08W01,10/28/2014,80
AMWM09F02,11/25/2011,960
AMWM09F01,12/08/2011,868
AMWM09C04a,03/02/2012,168
AMWM09C04c,03/06/2012,120
AMWM09C03a,03/13/2012,184
AMWM09C03c,03/15/2012,114
AMWM09C04b,05/16/2012,202
AMWM09C03b,05/29/2012,207
AMWM09C02,08/09/2012,309
AMWM09C01,08/21/2012,994
AMWM09W08,09/03/2012,412
AMWM09W07,09/12/2012,358
AMWM09W06,09/21/2012,304
AMWM09W05,11/12/2012,280
AMWM09W04,01/02/2013,168
AMWM09W03,02/19/2013,140
AMWM09W02,03/04/2013,156
AMWM09W01,11/22/2014,86
AMWM10F02,01/10/2012,984
AMWM10F01,01/30/2012,824
AMWM10C04a,03/08/2012,126
AMWM10C04c,03/12/2012,102
AMWM10C03a,03/20/2012,158
AMWM10C03c,03/22/2012,104
AMWM10C04b,04/17/2012,212
AMWM10C03b,04/29/2012,232
AMWM10C02,07/17/2012,304
AMWM10C01,07/25/2012,1064
AMWM10W08,09/06/2012,416
AMWM10W07,09/26/2012,364
AMWM10W06,10/08/2012,328
AMWM10W05,12/05/2012,272
AMWM10W04,01/15/2013,152
AMWM10W03,03/16/2013,144
AMWM10W02,04/05/2013,128
AMWM10W01,11/29/2014,63
AMWM11F02,12/09/2011,388
AMWM11F01,12/21/2011,370
AMWM11C04b,03/28/2012,103
AMWM11C04a,03/29/2012,98
AMWM11C04c,04/02/2012,40
AMWM11C03b,04/04/2012,112
AMWM11C03c,04/09/2012,40
AMWM11C03a,04/14/2012,101
AMWM11C02,06/14/2012,141
AMWM11C01,06/23/2012,430
AMWM11W08,07/03/2012,219
AMWM11W07,07/11/2012,144
AMWM11W06,07/19/2012,144
AMWM11W05,07/25/2012,112
AMWM11W04,07/31/2012,72
AMWM11W03,08/06/2012,56
AMWM11W02,08/23/2012,48
AMWM11W01,12/06/2014,20
AMWM12F02,02/14/2012,885
AMWM12F01,03/03/2012,894
AMWM12C04a,05/18/2012,230
AMWM12C04c,05/25/2012,196
AMWM12C03a,06/01/2012,193
AMWM12C03c,06/01/2012,160
AMWM12C04b,06/16/2012,174
AMWM12C03b,06/20/2012,226
AMWM12C02,09/25/2012,360
AMWM12C01,10/02/2012,1040
AMWM12W08,10/15/2012,467
AMWM12W07,11/01/2012,351
AMWM12W06,11/19/2012,312
AMWM12W05,12/21/2012,296
AMWM12W04,01/21/2013,144
AMWM12W03,03/11/2013,124
AMWM12W02,04/06/2013,144
AMWM12W01,12/24/2014,57
AMWM13F03,12/28/2011,936
AMWM13F02,01/26/2012,990
AMWM13F01a,03/05/2012,226
AMWM13F01b,04/11/2012,317
AMWM13F01c,04/11/2012,78
AMWM13C04a,04/17/2012,251
AMWM13C03a,04/29/2012,312
AMWM13C04b,05/10/2012,327
AMWM13C03b,05/21/2012,332
AMWM13C04c,06/21/2012,162
AMWM13C03c,07/12/2012,165
AMWM13C02,08/17/2012,444
AMWM13C01,08/31/2012,1237
AMWM13W08,09/10/2012,416
AMWM13W07,09/21/2012,372
AMWM13W06,10/08/2012,352
AMWM13W05,11/01/2012,272
AMWM13W04,01/08/2013,176
AMWM13W03,02/04/2013,120
AMWM13W02,02/25/2013,152
AMWM13W01,12/12/2014,63
AMWM14F02,02/23/2012,704
AMWM14F01,03/06/2012,1268
AMWM14C04a,05/23/2012,208
AMWM14C04c,05/25/2012,200
AMWM14C03a,05/30/2012,160
AMWM14C03c,06/04/2012,171
AMWM14C04b,06/30/2012,188
AMWM14C03b,07/06/2012,192
AMWM14C02,09/26/2012,367
AMWM14C01,10/06/2012,1104
AMWM14W08,10/17/2012,424
AMWM14W07,11/12/2012,352
AMWM14W06,01/23/2013,320
AMWM14W05,02/04/2013,256
AMWM14W04,02/27/2013,176
AMWM14W03,03/11/2013,151
AMWM14W02,03/27/2013,128
AMWM14W01,11/28/2014,64
AMWM15F02,01/23/2012,764
AMWM15F01,02/02/2012,664
AMWM15C04c,03/14/2012,112
AMWM15C03c,03/27/2012,56
AMWM15C04a,04/02/2012,109
AMWM15C03a,04/09/2012,142
AMWM15C04b,05/02/2012,96
AMWM15C03b,05/19/2012,183
AMWM15C02,06/19/2012,267
AMWM15C01,06/29/2012,769
AMWM15W08,07/11/2012,343
AMWM15W07,07/19/2012,322
AMWM15W06,07/27/2012,276
AMWM15W05,08/04/2012,245
AMWM15W04,08/14/2012,147
AMWM15W03,08/25/2012,126
AMWM15W02,04/18/2013,104
AMWM15W01,11/24/2014,48
AMWM16F02,12/16/2011,574
AMWM16F01,01/07/2012,498
AMWM16C04a,03/06/2012,95
AMWM16C04c,03/08/2012,40
AMWM16C04b,03/12/2012,126
AMWM16C03a,03/15/2012,91
AMWM16C03c,03/19/2012,72
AMWM16C03b,03/25/2012,136
AMWM16C02,04/28/2012,140
AMWM16C01,05/08/2012,572
AMWM16W08,05/18/2012,254
AMWM16W07,06/01/2012,247
AMWM16W06,06/08/2012,204
AMWM16W05,06/21/2012,207
AMWM16W04,07/06/2012,96
AMWM16W03,07/17/2012,87
AMWM16W02,07/30/2012,64
AMWM16W01,11/15/2014,51
AMWM17F02,10/16/2012,1852
AMWM17F01,11/14/2012,1152
AMWM17C04a,01/05/2013,212
AMWM17C04c,01/08/2013,120
AMWM17C03a,01/21/2013,144
AMWM17C03c,01/21/2013,112
AMWM17C04b,01/22/2013,240
AMWM17C03b,01/30/2013,280
AMWM17C02,02/15/2013,344
AMWM17C01,02/21/2013,1404
AMWM17W08,03/11/2013,616
AMWM17W07,03/25/2013,520
AMWM17W06,04/04/2013,466
AMWM17W05,04/17/2013,424
AMWM17W04,05/23/2013,200
AMWM17W03,06/11/2013,209
AMWM17W02,06/22/2013,184
AMWM17W01,11/06/2014,86
AMWM18F02,02/28/2013,600
AMWM18F01,03/08/2013,508
AMWM18C04a,04/02/2013,80
AMWM18C04c,04/02/2013,56
AMWM18C03a,04/11/2013,88
AMWM18C04b,04/16/2013,112
AMWM18C03c,04/22/2013,48
AMWM18C03b,05/20/2013,127
AMWM18C02,07/10/2013,199
AMWM18C01,07/15/2013,580
AMWM18W08,07/26/2013,280
AMWM18W07,08/05/2013,161
AMWM18W06,08/12/2013,163
AMWM18W05,08/24/2013,158
AMWM18W04,09/09/2013,105
AMWM18W03,09/13/2013,92
AMWM18W02,09/18/2013,111
AMWM18W01,10/24/2014,48
AMWM19F02,04/12/2013,996
AMWM19F01,04/20/2013,968
AMWM19C04a,05/06/2013,184
AMWM19C04c,05/06/2013,128
AMWM19C03a,05/10/2013,188
AMWM19C03c,05/11/2013,104
AMWM19C04b,05/30/2013,224
AMWM19C03b,06/06/2013,248
AMWM19C02,06/22/2013,399
AMWM19C01,06/25/2013,1333
AMWM19W08,07/06/2013,556
AMWM19W07,07/18/2013,446
AMWM19W06,07/30/2013,408
AMWM19W05,08/10/2013,356
AMWM19W04,08/20/2013,177
AMWM19W03,08/28/2013,192
AMWM19W02,09/04/2013,242
AMWM19W01,10/17/2014,112
AMWM20F02,02/08/2013,936
AMWM20F01,02/18/2013,792
AMWM20C04a,03/07/2013,172
AMWM20C04c,03/09/2013,72
AMWM20C03c,03/14/2013,113
AMWM20C03a,03/15/2013,176
AMWM20C04b,03/19/2013,208
AMWM20C03b,03/27/2013,188
AMWM20C02,04/04/2013,328
AMWM20C01,04/11/2013,996
AMWM20W08,07/22/2013,448
AMWM20W07,08/06/2013,376
AMWM20W06,08/14/2013,288
AMWM20W05,08/24/2013,264
AMWM20W04,09/03/2013,152
AMWM20W03,09/13/2013,144
AMWM20W02,09/21/2013,168
AMWM20W01,10/06/2014,56
AMWM21F02a,01/28/2012,396
AMWM21F02b,02/02/2012,584
AMWM21F01a,02/13/2012,393
AMWM21F01b,02/23/2012,466
AMWM21C07b,04/14/2012,0
AMWM21C06b,04/14/2012,71
AMWM21C07a,05/06/2012,48
AMWM21C05b,05/06/2012,47
AMWM21C06a,05/11/2012,133
AMWM21C05a,06/18/2012,108
AMWM21C04a,05/12/2012,31
AMWM21C04c,07/04/2012,55
AMWM21C04b,09/24/2012,220
AMWM21C03b,12/12/2012,208
AMWM21C03a,05/13/2012,0
AMWM21C02.1,01/17/2013,128
AMWM21C02,01/26/2013,364
AMWM21C01,01/31/2013,916
AMWM21W08,06/12/2013,400
AMWM21W07,06/28/2013,376
AMWM21W06,07/10/2013,312
AMWM21W05,07/18/2013,272
AMWM21W04,08/01/2013,168
AMWM21W03,08/08/2013,152
AMWM21W02,08/17/2013,136
AMWM21W01,09/30/2014,64
AMWM22F08,03/03/2012,351
AMWM22F07,03/12/2012,471
AMWM22F06b,08/28/2012,40
AMWM22F06a,08/31/2012,64
AMWM22F02b,09/08/2012,664
AMWM22F05b,09/08/2012,160
AMWM22F01b,09/17/2012,396
AMWM22F04b,09/17/2012,80
AMWM22F05a,12/06/2012,112
AMWM22F04a,12/18/2012,112
AMWM22F03b,03/17/2013,0
AMWM22F03a,12/29/2012,40
AMWM22C04b,01/25/2013,204
AMWM22F02a,02/23/2013,200
AMWM22F01a,02/28/2013,216
AMWM22C04a,03/08/2013,528
AMWM22C03b,03/23/2013,196
AMWM22C03a,04/04/2013,384
AMWM22C02,04/05/2013,128
AMWM22C01,04/12/2013,654
AMWM22W08,04/25/2013,416
AMWM22W07,05/17/2013,372
AMWM22W06,05/30/2013,312
AMWM22W05,06/18/2013,272
AMWM22W04,07/03/2013,176
AMWM22W03,07/13/2013,152
AMWM22W02,07/27/2013,120
AMWM22W01,09/23/2014,80
AMWM23F09,02/07/2012,424
AMWM23F08,02/18/2012,496
AMWM23F07a,08/03/2012,72
AMWM23F07b,08/07/2012,64
AMWM23F06a,08/09/2012,92
AMWM23F06b,08/11/2012,115
AMWM23F05b,08/15/2012,132
AMWM23F05a,08/18/2012,119
AMWM23F04a,08/24/2012,48
AMWM23F02b,08/29/2012,820
AMWM23F04b,09/06/2012,68
AMWM23F03,11/07/2012,272
AMWM23F02a,11/13/2012,312
AMWM23F01a,11/27/2012,744
AMWM23F01b,11/28/2012,120
AMWM23C04a,01/24/2013,472
AMWM23C04c,01/25/2013,96
AMWM23C03a,02/16/2013,112
AMWM23C03c,02/16/2013,24
AMWM23C04b,04/13/2013,352
AMWM23C03b,04/27/2013,440
AMWM23C02,05/04/2013,224
AMWM23C01,05/08/2013,552
AMWM23W08,05/23/2013,471
AMWM23W07,06/06/2013,416
AMWM23W06,06/21/2013,352
AMWM23W05,07/06/2013,296
AMWM23W04,09/06/2013,212
AMWM23W03,09/26/2013,144
AMWM23W02,10/23/2013,167
AMWM23W01,09/17/2014,72
ACC1A05,10/27/2011,820
ACC1A04a,12/12/2011,168
ACC1A04b,12/14/2011,168
ACC1A03b,01/11/2012,176
ACC1A03a,01/11/2012,184
ACC1B05,11/20/2011,590
ACC1B04a,01/25/2012,72
ACC1B04b,01/26/2012,138
ACC1B03b,02/07/2012,124
ACC1B04c,02/09/2012,63
ACC1B03a,02/15/2012,72
ACC1B03c,02/18/2012,57
ACC1B02,03/14/2012,527
ACC1B01,03/26/2012,764
ACC1C05,10/04/2011,640
ACC1C04a,11/26/2011,64
ACC1C04c,11/29/2011,72
ACC1C04b,11/30/2011,140
ACC1C03a,12/09/2011,64
ACC1C03c,12/15/2011,72
ACC1C03b,12/20/2011,128
ACC1C02,03/01/2012,497
ACC1C01,03/19/2012,792
ACC1D05,07/13/2012,892
ACC1D04b,08/29/2012,72
ACC1D04a,08/31/2012,80
ACC1D03a,09/06/2012,64
ACC1D03b,09/06/2012,76
ACC1D04c,09/10/2012,308
ACC1D03c,09/15/2012,296
ACC1D02,10/02/2012,817
ACC1D01,10/08/2012,1056
ACC1I05,09/08/2011,192
ACC1I04c,09/26/2011,56
ACC1I04a,10/10/2011,36
ACC1I03c,10/10/2011,56
ACC1I03a,10/18/2011,36
ACC1I02,04/11/2012,163
ACC1I01,04/17/2012,231
ACC1J05,10/07/2011,598
ACC1J04,03/06/2012,573
ACC1J03,03/28/2012,626
ACC1J02,07/17/2012,604
ACC1K05,09/02/2011,120
ACC1K04,09/09/2011,62
ACC1K03,09/17/2011,66
ACC1K02,09/22/2011,64
ACC1L05,08/29/2011,112
ACC1L04,09/08/2011,62
ACC1L03,09/26/2011,68
ACC1L02,09/30/2011,56
ACC1E05,10/20/2012,184
ACC1E04b,11/13/2012,64
ACC1E04c,11/14/2012,28
ACC1E03b,11/16/2012,32
ACC1E03c,11/17/2012,56
ACC1E02,01/11/2013,160
ACC1E01,01/17/2013,220
ACC1F05,08/16/2012,584
ACC1F04,12/17/2012,568
ACC1F03,01/04/2013,556
ACC1F02,02/13/2013,568
ACC1G05,07/23/2012,92
ACC1G04,08/07/2012,64
ACC1G03,08/10/2012,61
ACC1G02,08/15/2012,64
ACC1H05,07/28/2012,119
ACC1H04,08/10/2012,64
ACC1H03,08/15/2012,71
ACC1H02,08/20/2012,72
ACC2A05,09/13/2011,836
ACC2A04b,10/01/2011,172
ACC2A03b,10/20/2011,168
ACC2A04a,11/01/2011,160
ACC2A03a,11/15/2011,168
ACC2B05,10/08/2011,606
ACC2B04a,10/29/2011,72
ACC2B04b,10/30/2011,136
ACC2B03b,02/24/2012,128
ACC2B03a,02/28/2012,72
ACC2B04c,03/06/2012,72
ACC2B03c,03/15/2012,72
ACC2B02,03/29/2012,504
ACC2B01,04/10/2012,750
ACC2C05,08/25/2011,600
ACC2C04b,09/17/2011,136
ACC2C03b,09/24/2011,128
ACC2C04a,10/06/2011,64
ACC2C03a,10/13/2011,66
ACC2C04c,10/26/2011,64
ACC2C03c,11/01/2011,72
ACC2C02,12/17/2011,512
ACC2C01,02/07/2012,784
ACC2D05,10/14/2011,902
ACC2D05,11/18/2011,14
ACC2D04b,11/18/2011,68
ACC2D05,,
ACC2D03b,11/24/2011,68
ACC2D04a,11/25/2011,72
ACC2D03a,12/02/2011,64
ACC2D04c,12/03/2011,280
ACC2D03c,12/10/2011,312
ACC2D02,01/13/2012,734
ACC2D01,02/17/2012,1049
ACC2E05,06/06/2012,308
ACC2E04b,06/21/2012,40
ACC2E04c,06/21/2012,64
ACC2E03b,06/29/2012,88
ACC2E03c,06/29/2012,24
ACC2E02,11/29/2012,168
ACC2E01,12/04/2012,240
ACC2F05,08/07/2012,578
ACC2F04,10/11/2012,512
ACC2F03,10/30/2012,596
ACC2F02,12/22/2012,576
