Activity ID,Structure,Main structure,Activity Name,Start,Finish,Budgeted Units,Remaining Units,WBS Path,WBS Name,Resource Type,Resource Name
T6-C1-02-W03b-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,8-Jun-13,8-Jun-13,4591,4591,2.13.3.3.2.1.3.58,T6-C1-02-W03b,Material,Rebar
T6-C1-01-W03-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,4-May-13,4-May-13,5180,5180,2.13.3.3.2.1.3.1,T6-C1-01-W03,Material,Rebar
T6-C1-01-W02-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,11-May-13,11-May-13,7820,7820,2.13.3.3.2.1.3.2,T6-C1-01-W02,Material,Rebar
T6-C1-02-W07-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,20-May-13,20-May-13,2112,2112,2.13.3.3.2.1.3.16,T6-C1-02-W07,Material,Rebar
T6-C1-02-W06-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,25-May-13,25-May-13,3030,3030,2.13.3.3.2.1.3.17,T6-C1-02-W06,Material,Rebar
T6-C1-02-W05-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,30-May-13,30-May-13,2343,2343,2.13.3.3.2.1.3.18,T6-C1-02-W05,Material,Rebar
T6-C1-02-W04b-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,4-Jun-13,4-Jun-13,8072,8072,2.13.3.3.2.1.3.20,T6-C1-02-W04b,Material,Rebar
T6-C1-02-W02b-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,13-Jun-13,13-Jun-13,3375,3375,2.13.3.3.2.1.3.23,T6-C1-02-W02b,Material,Rebar
T6-C1-02-W01b-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,18-Jun-13,18-Jun-13,3368,3368,2.13.3.3.2.1.3.25,T6-C1-02-W01b,Material,Rebar
T6-C1-03-W05-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,7-Jun-13,7-Jun-13,1485,1485,2.13.3.3.2.1.3.38,T6-C1-03-W05,Material,Rebar
T6-C1-03-W03b-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,15-Jun-13,15-Jun-13,3298,3298,2.13.3.3.2.1.3.42,T6-C1-03-W03b,Material,Rebar
T6-C1-03-W02b-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,27-Jun-13,27-Jun-13,1324,1324,2.13.3.3.2.1.3.44,T6-C1-03-W02b,Material,Rebar
T6-C1-03-W01b-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,2-Jul-13,2-Jul-13,971,971,2.13.3.3.2.1.3.49,T6-C1-03-W01b,Material,Rebar
T6-C1-03-W04b-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,11-Jun-13,11-Jun-13,2525,2525,2.13.3.3.2.1.3.40,T6-C1-03-W04b,Material,Rebar
T6-C1-01-W01-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,16-May-13,16-May-13,2123,2123,2.13.3.3.2.1.3.4,T6-C1-01-W01,Material,Rebar
T6-C1-02-W04a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,18-May-13,20-May-13,5998,5998,2.13.3.3.2.1.2.1,T6-C1-02-W04a,Material,Rebar
T6-C1-02-W03a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,24-May-13,24-May-13,3086,3086,2.13.3.3.2.1.2.2,T6-C1-02-W03a,Material,Rebar
T6-C1-02-W02a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,28-May-13,28-May-13,3262,3262,2.13.3.3.2.1.2.3,T6-C1-02-W02a,Material,Rebar
T6-C1-03-W01a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,28-Jun-13,28-Jun-13,595,595,2.13.3.3.2.1.2.8,T6-C1-03-W01a,Material,Rebar
T6-C1-02-W01a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,1-Jun-13,1-Jun-13,3252,3252,2.13.3.3.2.1.2.4,T6-C1-02-W01a,Material,Rebar
T6-C1-03-W03a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,11-Jun-13,11-Jun-13,1998,1998,2.13.3.3.2.1.2.6,T6-C1-03-W03a,Material,Rebar
T6-C1-03-W02a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,24-Jun-13,24-Jun-13,675,675,2.13.3.3.2.1.2.7,T6-C1-03-W02a,Material,Rebar
T6-C1-03-W04a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,7-Jun-13,7-Jun-13,2101,2101,2.13.3.3.2.1.2.5,T6-C1-03-W04a,Material,Rebar
T5-C3-04-W02a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,20-Mar-13,20-Mar-13,3888,3888,2.13.3.3.1.3.2.8,T5-C3-04-W02a,Material,Rebar
T5-C3-06-W02a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,23-Mar-13,23-Mar-13,3275,3275,2.13.3.3.1.3.2.12,T5-C3-06-W02a,Material,Rebar
T5-C3-01-W02a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,8-Mar-13,8-Mar-13,3553,3553,2.13.3.3.1.3.2.2,T5-C3-01-W02a,Material,Rebar
T5-C3-01-W01a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,13-Mar-13,13-Mar-13,5423,5423,2.13.3.3.1.3.2.3,T5-C3-01-W01a,Material,Rebar
T5-C3-02-W02a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,20-Mar-13,20-Mar-13,2904,2904,2.13.3.3.1.3.2.4,T5-C3-02-W02a,Material,Rebar
T5-C3-03-W01a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,15-Mar-13,15-Mar-13,6110,6110,2.13.3.3.1.3.2.7,T5-C3-03-W01a,Material,Rebar
T5-C3-05-W02a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,5-Apr-13,5-Apr-13,3851,3851,2.13.3.3.1.3.2.10,T5-C3-05-W02a,Material,Rebar
T5-C3-05-W01a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,10-Apr-13,10-Apr-13,6427,6427,2.13.3.3.1.3.2.11,T5-C3-05-W01a,Material,Rebar
T5-C3-06-W01a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,28-Mar-13,28-Mar-13,5245,5245,2.13.3.3.1.3.2.13,T5-C3-06-W01a,Material,Rebar
T5-C3-07-W01a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,9-Apr-13,9-Apr-13,3837,3837,2.13.3.3.1.3.2.15,T5-C3-07-W01a,Material,Rebar
T5-C3-08-W02a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,15-Apr-13,15-Apr-13,3553,3553,2.13.3.3.1.3.2.16,T5-C3-08-W02a,Material,Rebar
T5-C3-08-W01a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,20-Apr-13,20-Apr-13,7032,7032,2.13.3.3.1.3.2.17,T5-C3-08-W01a,Material,Rebar
T5-C3-09-W02a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,27-Apr-13,27-Apr-13,2776,2776,2.13.3.3.1.3.2.18,T5-C3-09-W02a,Material,Rebar
T5-C3-09-W01a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,3-May-13,3-May-13,4555,4555,2.13.3.3.1.3.2.19,T5-C3-09-W01a,Material,Rebar
T5-C3-10-W02a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,15-Apr-13,16-Apr-13,5735,5735,2.13.3.3.1.3.2.20,T5-C3-10-W02a,Material,Rebar
T5-C3-10-W01a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,23-Apr-13,23-Apr-13,1904,1904,2.13.3.3.1.3.2.21,T5-C3-10-W01a,Material,Rebar
T5-C3-11-W05a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,27-Apr-13,27-Apr-13,4846,4846,2.13.3.3.1.3.2.22,T5-C3-11-W05a,Material,Rebar
T5-C3-11-W04a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,2-May-13,2-May-13,2605,2605,2.13.3.3.1.3.2.23,T5-C3-11-W04a,Material,Rebar
T5-C3-11-W02a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,16-May-13,16-May-13,2494,2494,2.13.3.3.1.3.2.25,T5-C3-11-W02a,Material,Rebar
T5-C3-11-W01a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,21-May-13,21-May-13,3851,3851,2.13.3.3.1.3.2.26,T5-C3-11-W01a,Material,Rebar
T5-C3-12-W04a-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,13-May-13,13-May-13,1751,1751,2.13.3.3.1.3.2.27,T5-C3-12-W04a,Material,Rebar
